bs_p,bs_r,bs_f
66.93,64.16,65.52
64.42,66.99000000000001,65.68
64.58,59.29,61.82
55.60000000000001,60.83,58.099999999999994
64.12,61.78,62.93
63.43,65.69,64.53999999999999
66.09,64.36,65.21000000000001
62.29,67.43,64.75999999999999
64.92,67.4,66.14
69.05,63.68000000000001,66.25999999999999
63.61,61.22,62.39
69.85,66.67999999999999,68.23
67.27,58.34,62.49
67.77,67.56,67.66
61.79,61.33,61.56
63.6,61.12,62.33
68.38,66.60000000000001,67.47999999999999
63.959999999999994,60.33,62.09
65.53,58.24,61.67
64.45,64.28,64.36
70.49,69.57,70.02000000000001
61.739999999999995,63.129999999999995,62.43
65.47,64.78,65.12
66.95,61.01,63.839999999999996
64.56,56.46,60.24
67.15,60.64000000000001,63.73
83.98,67.9,75.09
64.28,66.47,65.35
66.41,62.36000000000001,64.32
64.31,59.27,61.69
63.42,58.120000000000005,60.650000000000006
69.45,68.15,68.78999999999999
65.96,60.14000000000001,62.92
63.81,61.040000000000006,62.4
69.88,62.23,65.83
66.56,58.89,62.49
63.33,71.1,66.99000000000001
72.5,66.28,69.25
69.42,64.68,66.97
62.49,63.959999999999994,63.22
66.18,67.45,66.81
63.629999999999995,67.31,65.42
67.67,60.870000000000005,64.09
61.660000000000004,62.419999999999995,62.03999999999999
64.37,63.470000000000006,63.91
68.60000000000001,65.63,67.08
69.28,64.36,66.73
63.59,60.480000000000004,62.0
64.19,63.849999999999994,64.02
63.839999999999996,63.24999999999999,63.54
56.589999999999996,62.41,59.36
65.92,62.22,64.01
63.6,60.129999999999995,61.809999999999995
68.31,61.18,64.55
66.59,62.739999999999995,64.61
63.7,63.1,63.4
71.06,58.919999999999995,64.42
68.10000000000001,59.57,63.55
69.46,70.81,70.13000000000001
67.35,66.10000000000001,66.72
65.95,65.66,65.81
63.49,57.04,60.089999999999996
67.17999999999999,64.29,65.7
66.22,59.64,62.760000000000005
68.76,65.81,67.25
67.47999999999999,61.870000000000005,64.55
59.41,63.080000000000005,61.19
57.68,54.339999999999996,55.96
66.11,69.19,67.61
65.18,60.56,62.79
63.53,64.68,64.1
62.44,56.45,59.29
67.86999999999999,65.75999999999999,66.8
62.8,65.18,63.970000000000006
61.050000000000004,68.11,64.39
64.86,64.25999999999999,64.56
60.57,63.62,62.06
66.01,63.53,64.74
67.38,65.57,66.46
65.55,63.629999999999995,64.57000000000001
63.83,68.69,66.17
59.9,61.86000000000001,60.870000000000005
64.14,60.67,62.36000000000001
61.89,61.14000000000001,61.51
64.24,60.480000000000004,62.3
68.83,59.11,63.6
70.50999999999999,65.53,67.93
77.97,65.42999999999999,71.15
65.06,68.37,66.67
64.13,63.12,63.62
58.989999999999995,56.76,57.86
60.14000000000001,55.03,57.47
62.93,60.61,61.75000000000001
62.31,58.809999999999995,60.51
67.33,64.19,65.72
69.03,62.51,65.61
65.84,60.27,62.93
59.53000000000001,56.55,57.99999999999999
70.02000000000001,67.65,68.82000000000001
65.64,58.68,61.970000000000006
63.23,57.54,60.25
72.43,68.81,70.57
71.6,62.69,66.85
63.349999999999994,65.91,64.61
65.51,58.24,61.660000000000004
62.44,63.49,62.96000000000001
72.05,68.17,70.06
64.3,60.07,62.11
65.72,59.540000000000006,62.480000000000004
66.85,66.95,66.9
69.5,62.55,65.84
66.14999999999999,61.75000000000001,63.870000000000005
65.53,63.129999999999995,64.31
64.16,61.980000000000004,63.05
62.580000000000005,54.67999999999999,58.36
67.12,60.809999999999995,63.81
67.43,65.11,66.25
62.5,65.75999999999999,64.09
63.7,66.91,65.27
59.06,58.050000000000004,58.550000000000004
63.949999999999996,56.13,59.79
62.849999999999994,70.23,66.33
65.55,56.95,60.95
62.33,61.36000000000001,61.839999999999996
63.01,61.69,62.339999999999996
64.64,56.69,60.4
65.93,64.3,65.10000000000001
62.160000000000004,62.69,62.43
64.44,53.32,58.36
68.77,61.980000000000004,65.2
64.35,59.150000000000006,61.63999999999999
63.7,45.29,52.94
56.69,64.39,60.29
