bleu,p,bp,lr,rl,pl
0.0,,0.751477293075286,0.7777777777777778,135,105
0.0,,1.0,2.05,40,82
0.0,,0.3522274099927112,0.48936170212765956,141,69
0.0,,1.0,1.9607843137254901,51,100
0.0,,1.0,1.0666666666666667,45,48
0.0,,1.0,1.1384615384615384,65,74
0.0,,1.0,1.1097560975609757,82,91
0.0,,1.0,3.0952380952380953,21,65
0.0,,1.0,3.107142857142857,28,87
0.0,,0.558035145770047,0.631578947368421,133,84
0.0,,1.0,1.0,94,94
0.0,,0.9534969548334766,0.9545454545454546,66,63
0.0,,0.2318792628481923,0.40625,96,39
0.0,,1.0,1.673913043478261,46,77
0.0,,0.8811016508555652,0.8876404494382022,89,79
0.0,,0.7710515858035663,0.7936507936507936,63,50
0.0,,1.0,1.6363636363636365,44,72
0.0,,0.8166606384980957,0.8315789473684211,95,79
0.0,,0.012124828337388099,0.18475750577367206,433,80
0.0,,1.0,2.0,47,94
0.0,,0.8322075006903012,0.8448275862068966,58,49
0.0,,1.0,2.5806451612903225,31,80
0.0,,1.0,1.5625,48,75
0.0,,0.13963128628139898,0.3368421052631579,285,96
0.0,,0.0028512436826796344,0.1457725947521866,343,50
0.0,,0.16651282810908963,0.35807860262008734,229,82
0.1401,,0.2865047968601901,0.4444444444444444,36,16
0.0,,1.0,3.782608695652174,23,87
0.0,,0.43459820850707814,0.5454545454545454,165,90
0.0,,0.441233167759984,0.55,140,77
0.0,,0.7939226578179512,0.8125,64,52
0.0,,0.9661049965255963,0.9666666666666667,60,58
0.0,,0.420012889236166,0.535483870967742,155,83
0.0,,1.0,1.0392156862745099,51,53
0.0,,0.10539922456186433,0.3076923076923077,273,84
0.0,,0.1264641247096641,0.3259668508287293,181,59
0.0,,1.0,2.764705882352941,34,94
0.0478,,0.5488116360940264,0.625,120,75
0.0,,0.5445240670802435,0.6219512195121951,82,51
0.0,,1.0,1.509433962264151,53,80
0.0,,1.0,2.3333333333333335,36,84
0.0,,1.0,1.6,35,56
0.0,,0.010847620586711397,0.1810344827586207,348,63
0.0,,1.0,1.3214285714285714,56,74
0.0,,0.9294421312368021,0.9318181818181818,88,82
0.0,,1.0,1.0,64,64
0.0,,0.7114675062078237,0.746031746031746,63,47
0.0,,0.5855455702656331,0.6513761467889908,109,71
0.0,,1.0,1.3617021276595744,47,64
0.0,,1.0,1.6181818181818182,55,89
0.0,,1.0,1.1016949152542372,59,65
0.0,,1.0,1.0,86,86
0.0,,0.6577575247969796,0.7047619047619048,105,74
0.0,,0.013418631717273661,0.18828451882845187,239,45
0.0,,0.9322302563909031,0.9344262295081968,61,57
0.0,,0.8898817709880238,0.8955223880597015,67,60
0.0,,0.0041631574863039604,0.15428571428571428,175,27
0.0,,0.3490180709313199,0.48717948717948717,78,38
0.0,,1.0,1.574468085106383,47,74
0.0,,0.35996836354516365,0.4946236559139785,93,46
0.0,,1.0,1.6666666666666667,27,45
0.0,,0.49433322011463077,0.5866666666666667,75,44
0.0,,1.0,1.0,53,53
0.0,,0.017489512801808955,0.19817073170731708,328,65
0.0,,0.9834714538216176,0.9836065573770492,61,60
0.0,,0.8096840969833764,0.8256880733944955,109,90
0.0,,1.0,2.9393939393939394,33,97
0.0,,0.07930272731034531,0.28292682926829266,205,58
0.0,,1.0,1.3,40,52
0.0,,1.0,1.0309278350515463,97,100
0.0,,1.0,2.1794871794871793,39,85
0.0,,0.17832671545615317,0.3670886075949367,158,58
0.0,,1.0,1.0188679245283019,53,54
0.0,,1.0,2.0344827586206895,29,59
0.0,,1.0,4.388888888888889,18,79
0.0,,1.0,1.891304347826087,46,87
0.0,,1.0,1.9722222222222223,36,71
0.0,,1.0,1.2307692307692308,52,64
0.0,,1.0,1.4054054054054055,37,52
0.0,,1.0,1.0933333333333333,75,82
0.0,,1.0,1.951219512195122,41,80
0.0,,1.0,2.1702127659574466,47,102
0.0,,1.0,1.6538461538461537,26,43
0.0,,0.3272983571518471,0.4723926380368098,163,77
0.0,,0.4919873247222271,0.5850340136054422,147,86
0.0,,0.014475552056282438,0.19101123595505617,178,34
0.0,,0.30771802192680037,0.45901639344262296,61,28
0.0,,0.1464527202065202,0.34234234234234234,111,38
0.0,,1.0,1.9268292682926829,41,79
0.0,,0.8424604416167714,0.8536585365853658,82,70
0.0,,0.5488116360940264,0.625,112,70
0.0,,0.05733617492545109,0.25914634146341464,328,85
0.0,,1.0,1.273972602739726,73,93
0.0,,0.010286498417184603,0.1793103448275862,580,104
0.0,,0.5682366036329846,0.6388888888888888,108,69
0.0,,0.7206611626353246,0.7532467532467533,77,58
0.0,,0.29309082728375574,0.4489795918367347,196,88
0.0,,0.751477293075286,0.7777777777777778,63,49
0.0,,0.6778095780054504,0.72,100,72
0.0,,0.2865047968601901,0.4444444444444444,81,36
0.0,,0.4871899827793704,0.5816993464052288,153,89
0.0615,,0.5929013373120886,0.6567164179104478,67,44
0.0,,0.14193572674833374,0.3387096774193548,186,63
0.0,,1.0,2.1315789473684212,38,81
0.0,,0.2635971381157267,0.42857142857142855,133,57
0.0,,1.0,3.0,28,84
0.0,,0.4147829116815813,0.5319148936170213,47,25
0.0,,0.3412060209230214,0.48186528497409326,193,93
0.0,,0.010002319412773726,0.17841409691629956,454,81
0.0,,1.0,1.5217391304347827,46,70
0.0,,0.40463821606698874,0.525,120,63
0.0,,0.4757526784556506,0.5737704918032787,61,35
0.0,,0.36787944117144233,0.5,102,51
0.0,,0.4749981144926917,0.5732484076433121,157,90
0.0,,0.29665368229770256,0.4514285714285714,175,79
0.0,,0.21157166646415845,0.39166666666666666,120,47
0.0,,0.9640757912305453,0.9647058823529412,85,82
0.0,,1.0,2.0714285714285716,28,58
0.0,,1.0,1.7777777777777777,45,80
0.0,,1.0,2.085714285714286,35,73
0.0,,1.9013327632299755e-05,0.0842433697347894,641,54
0.0,,1.0,3.4166666666666665,24,82
0.0,,0.3021083059367254,0.45517241379310347,145,66
0.0,,1.0,1.1774193548387097,62,73
0.0,,0.9316515010120799,0.9338842975206612,121,113
0.0,,0.16295426273207936,0.3553299492385787,197,70
0.0,,1.0,1.1791044776119404,67,79
0.0,,1.0,1.2083333333333333,72,87
0.0,,0.06793600029022952,0.27106227106227104,273,74
0.0,,0.17326359449783152,0.36324786324786323,234,85
0.0,,0.3755433218607104,0.5052083333333334,192,97
0.0,,1.640666709816883e-11,0.03870967741935484,155,6
0.0,,1.0,2.6333333333333333,30,79
0.0,,1.0,1.5476190476190477,42,65
0.0,,0.15658337446621542,0.35036496350364965,137,48
0.0,,0.9096122746259414,0.9134615384615384,104,95
0.0,,0.4261596760771025,0.5396825396825397,252,136
0.0,,0.4145353539976868,0.5317460317460317,126,67
0.0,,0.3177973182448562,0.4659090909090909,176,82
0.0,,0.45942582403592663,0.5625,64,36
0.0,,0.017053009655799933,0.19718309859154928,355,70
0.0,,0.6726354843108723,0.7160493827160493,81,58
0.0,,0.03926192732595982,0.2359882005899705,339,80
0.0,,0.002280562095392161,0.1411764705882353,170,24
0.0,,0.19398004229089189,0.3787878787878788,198,75
0.0,,0.2306931822549629,0.40540540540540543,185,75
0.0,,0.3414251289719548,0.48201438848920863,139,67
0.0,,0.07264125831489247,0.27607361963190186,163,45
0.0,,0.08629358649937054,0.2898550724637681,138,40
0.0,,1.0,1.1,80,88
0.0,,0.24408069033666593,0.4148936170212766,188,78
0.0,,0.3076023602021984,0.45893719806763283,207,95
0.0,,1.0,1.7878787878787878,66,118
0.0,,1.0,1.5625,48,75
0.0,,1.0,1.0638297872340425,47,50
0.0,,0.0776490817034759,0.28125,224,63
0.0,,0.4269604769868339,0.5402298850574713,174,94
0.0,,1.0,1.3571428571428572,28,38
0.0,,0.039037082813529765,0.2356687898089172,157,37
0.0,,0.8007374029168082,0.8181818181818182,55,45
0.0,,0.38850293851629,0.514018691588785,107,55
0.0,,0.2598044394455425,0.42592592592592593,216,92
0.0,,1.0,1.7586206896551724,29,51
0.0,,1.0,1.3620689655172413,58,79
0.0,,0.1353352832366127,0.3333333333333333,81,27
0.0,,0.07115767120808197,0.27450980392156865,204,56
0.0,,0.43739304269062246,0.5473684210526316,95,52
0.0,,0.8970033769865935,0.9019607843137255,102,92
0.0,,0.8735978499475631,0.8809523809523809,42,37
0.0,,0.049787068367863944,0.25,176,44
0.0,,1.0,1.0289855072463767,69,71
0.0,,0.00013594967106042504,0.10097719869706841,307,31
0.0,,0.38101662078407555,0.5089285714285714,112,57
0.0,,1.0,2.3181818181818183,44,102
