r1_p,r1_r,r1_f,r2_p,r2_r,r2_f,rL_p,rL_r,rL_f
17.05,13.270000000000001,14.93,1.15,0.89,1.01,10.23,7.960000000000001,8.959999999999999
14.29,32.26,19.8,1.4500000000000002,3.3300000000000005,2.02,8.57,19.35,11.88
32.2,13.669999999999998,19.189999999999998,0.0,0.0,0.0,11.86,5.04,7.07
5.62,12.5,7.75,0.0,0.0,0.0,3.37,7.5,4.65
11.110000000000001,12.5,11.76,0.0,0.0,0.0,8.33,9.379999999999999,8.82
15.620000000000001,16.950000000000003,16.259999999999998,0.0,0.0,0.0,10.94,11.86,11.379999999999999
24.05,25.0,24.52,3.85,4.0,3.92,16.46,17.11,16.77
5.56,25.0,9.09,1.8900000000000001,9.09,3.1199999999999997,5.56,25.0,9.09
7.79,23.080000000000002,11.65,0.0,0.0,0.0,6.49,19.23,9.71
19.72,11.97,14.89,1.43,0.86,1.08,11.27,6.84,8.51
14.81,14.46,14.63,1.25,1.22,1.23,11.110000000000001,10.84,10.979999999999999
20.75,20.75,20.75,1.92,1.92,1.92,13.209999999999999,13.209999999999999,13.209999999999999
27.779999999999998,10.75,15.5,5.71,2.17,3.15,19.439999999999998,7.53,10.85
16.18,31.430000000000003,21.36,0.0,0.0,0.0,5.88,11.43,7.7700000000000005
12.73,8.97,10.530000000000001,0.0,0.0,0.0,9.09,6.41,7.5200000000000005
11.110000000000001,10.2,10.639999999999999,0.0,0.0,0.0,6.67,6.12,6.38
23.21,37.14,28.57,1.82,2.94,2.25,10.71,17.14,13.19
24.0,20.93,22.36,0.0,0.0,0.0,12.0,10.47,11.18
52.11,8.92,15.229999999999999,11.43,1.9300000000000002,3.3099999999999996,25.35,4.34,7.41
8.43,18.92,11.67,0.0,0.0,0.0,6.02,13.51,8.33
26.669999999999998,22.64,24.490000000000002,6.819999999999999,5.7700000000000005,6.25,20.0,16.98,18.37
8.219999999999999,33.33,13.19,2.78,11.76,4.49,6.8500000000000005,27.779999999999998,10.99
7.9399999999999995,11.63,9.43,1.6099999999999999,2.3800000000000003,1.92,7.9399999999999995,11.63,9.43
41.46,12.690000000000001,19.43,2.4699999999999998,0.75,1.15,17.07,5.220000000000001,8.0
51.11,6.819999999999999,12.04,4.55,0.6,1.05,31.11,4.15,7.33
29.49,10.41,15.379999999999999,3.9,1.3599999999999999,2.02,17.95,6.329999999999999,9.36
80.0,27.589999999999996,41.03,55.559999999999995,17.86,27.029999999999998,70.0,24.14,35.9
9.719999999999999,46.67,16.09,1.41,7.140000000000001,2.35,5.56,26.669999999999998,9.2
24.0,11.76,15.790000000000001,0.0,0.0,0.0,16.0,7.84,10.530000000000001
28.17,14.93,19.509999999999998,5.71,3.01,3.94,12.68,6.72,8.780000000000001
13.33,13.950000000000001,13.639999999999999,0.0,0.0,0.0,8.89,9.3,9.09
22.919999999999998,20.0,21.36,0.0,0.0,0.0,20.830000000000002,18.18,19.42
28.38,13.459999999999999,18.26,2.74,1.29,1.7500000000000002,13.51,6.41,8.7
15.909999999999998,12.73,14.14,0.0,0.0,0.0,9.09,7.2700000000000005,8.08
44.59,12.740000000000002,19.82,4.109999999999999,1.16,1.81,17.57,5.0200000000000005,7.8100000000000005
32.65,9.139999999999999,14.29,4.17,1.15,1.7999999999999998,18.37,5.140000000000001,8.04
8.14,26.919999999999998,12.5,0.0,0.0,0.0,4.65,15.379999999999999,7.140000000000001
52.94,30.769999999999996,38.92,22.39,12.93,16.39,26.47,15.379999999999999,19.46
23.080000000000002,12.33,16.07,0.0,0.0,0.0,15.379999999999999,8.219999999999999,10.71
7.580000000000001,11.63,9.17,0.0,0.0,0.0,4.55,6.98,5.5
8.75,22.58,12.61,0.0,0.0,0.0,6.25,16.13,9.01
5.66,12.0,7.6899999999999995,3.85,8.33,5.26,5.66,12.0,7.6899999999999995
54.39000000000001,9.629999999999999,16.36,8.93,1.5599999999999998,2.65,35.089999999999996,6.21,10.549999999999999
13.11,16.33,14.549999999999999,5.0,6.25,5.56,9.84,12.24,10.91
19.7,16.669999999999998,18.060000000000002,6.15,5.19,5.63,15.15,12.82,13.889999999999999
25.929999999999996,25.0,25.45,5.66,5.45,5.56,14.81,14.29,14.549999999999999
30.56,18.64,23.16,2.86,1.72,2.15,16.669999999999998,10.17,12.629999999999999
24.19,14.85,18.4,0.0,0.0,0.0,12.9,7.920000000000001,9.82
15.690000000000001,20.0,17.580000000000002,0.0,0.0,0.0,9.8,12.5,10.99
14.08,20.830000000000002,16.81,1.43,2.13,1.71,9.86,14.580000000000002,11.76
10.94,13.73,12.17,0.0,0.0,0.0,6.25,7.84,6.959999999999999
24.0,22.78,23.380000000000003,2.7,2.56,2.63,16.0,15.190000000000001,15.58
19.35,13.33,15.790000000000001,1.6400000000000001,1.1199999999999999,1.3299999999999998,9.68,6.67,7.89
37.84,6.25,10.73,5.56,0.8999999999999999,1.54,35.14,5.800000000000001,9.959999999999999
6.38,5.7700000000000005,6.0600000000000005,2.17,1.96,2.06,6.38,5.7700000000000005,6.0600000000000005
20.369999999999997,18.970000000000002,19.64,0.0,0.0,0.0,11.110000000000001,10.34,10.71
47.83,6.510000000000001,11.459999999999999,4.55,0.6,1.05,34.78,4.73,8.33
37.5,17.39,23.76,12.9,5.88,8.08,28.12,13.04,17.82
10.0,15.0,12.0,0.0,0.0,0.0,8.33,12.5,10.0
17.07,8.05,10.94,2.5,1.16,1.59,12.2,5.75,7.8100000000000005
8.57,13.639999999999999,10.530000000000001,0.0,0.0,0.0,5.71,9.09,7.02
10.81,6.5600000000000005,8.16,0.0,0.0,0.0,10.81,6.5600000000000005,8.16
10.2,11.110000000000001,10.639999999999999,0.0,0.0,0.0,6.12,6.67,6.38
45.45,7.8100000000000005,13.33,9.26,1.5699999999999998,2.68,34.55,5.94,10.13
26.32,27.27,26.790000000000003,3.5700000000000003,3.6999999999999997,3.64,19.3,20.0,19.64
31.430000000000003,22.220000000000002,26.040000000000003,0.0,0.0,0.0,14.29,10.100000000000001,11.83
4.9399999999999995,14.81,7.41,0.0,0.0,0.0,3.6999999999999997,11.110000000000001,5.56
26.090000000000003,6.279999999999999,10.13,2.22,0.53,0.8500000000000001,15.22,3.66,5.91
17.65,25.71,20.93,0.0,0.0,0.0,9.8,14.29,11.63
14.77,14.13,14.44,1.15,1.0999999999999999,1.1199999999999999,9.09,8.7,8.89
11.690000000000001,29.03,16.669999999999998,1.32,3.3300000000000005,1.8900000000000001,5.19,12.9,7.41
5.13,1.43,2.23,0.0,0.0,0.0,5.13,1.43,2.23
16.669999999999998,15.22,15.909999999999998,0.0,0.0,0.0,7.140000000000001,6.52,6.819999999999999
7.02,20.0,10.39,0.0,0.0,0.0,7.02,20.0,10.39
5.0,23.080000000000002,8.219999999999999,0.0,0.0,0.0,5.0,23.080000000000002,8.219999999999999
10.67,22.220000000000002,14.41,0.0,0.0,0.0,5.33,11.110000000000001,7.21
11.86,24.14,15.909999999999998,1.72,3.5700000000000003,2.33,6.78,13.79,9.09
11.110000000000001,15.379999999999999,12.9,0.0,0.0,0.0,7.41,10.26,8.6
9.3,16.0,11.76,0.0,0.0,0.0,6.98,12.0,8.82
17.65,21.43,19.35,0.0,0.0,0.0,10.290000000000001,12.5,11.29
10.45,20.59,13.86,1.52,3.0300000000000002,2.02,7.46,14.71,9.9
8.05,17.95,11.110000000000001,0.0,0.0,0.0,5.75,12.82,7.9399999999999995
5.26,7.6899999999999995,6.25,0.0,0.0,0.0,5.26,7.6899999999999995,6.25
21.43,12.950000000000001,16.14,1.2,0.72,0.8999999999999999,11.899999999999999,7.19,8.97
35.620000000000005,18.44,24.3,1.39,0.7100000000000001,0.9400000000000001,16.439999999999998,8.51,11.21
42.309999999999995,6.83,11.76,4.0,0.62,1.08,30.769999999999996,4.97,8.559999999999999
43.480000000000004,16.39,23.810000000000002,4.55,1.67,2.44,26.090000000000003,9.84,14.29
69.44,25.25,37.04,34.29,12.24,18.05,44.440000000000005,16.16,23.7
10.45,20.0,13.73,0.0,0.0,0.0,7.46,14.29,9.8
11.67,8.75,10.0,0.0,0.0,0.0,8.33,6.25,7.140000000000001
14.000000000000002,7.6899999999999995,9.93,0.0,0.0,0.0,12.0,6.59,8.51
41.79,9.180000000000001,15.049999999999999,3.0300000000000002,0.66,1.08,25.369999999999997,5.57,9.139999999999999
14.77,21.310000000000002,17.45,0.0,0.0,0.0,6.819999999999999,9.84,8.05
48.04,7.920000000000001,13.59,15.840000000000002,2.59,4.45,25.490000000000002,4.2,7.21
33.33,21.78,26.35,6.15,4.0,4.8500000000000005,16.669999999999998,10.89,13.170000000000002
30.43,21.54,25.230000000000004,4.44,3.1199999999999997,3.6700000000000004,13.04,9.229999999999999,10.81
26.669999999999998,12.2,16.74,1.35,0.61,0.84,14.67,6.710000000000001,9.21
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32.79,23.53,27.400000000000002,5.0,3.5700000000000003,4.17,18.029999999999998,12.94,15.07
17.86,7.35,10.42,0.0,0.0,0.0,10.71,4.41,6.25
31.169999999999998,16.11,21.240000000000002,3.95,2.03,2.68,18.18,9.4,12.389999999999999
50.0,30.159999999999997,37.62,18.92,11.29,14.14,34.21,20.630000000000003,25.740000000000002
39.62,12.280000000000001,18.75,3.85,1.18,1.7999999999999998,22.64,7.02,10.71
10.96,25.81,15.379999999999999,2.78,6.67,3.92,8.219999999999999,19.35,11.540000000000001
39.58,13.669999999999998,20.32,6.38,2.17,3.2399999999999998,27.08,9.35,13.900000000000002
4.0,17.65,6.52,0.0,0.0,0.0,4.0,17.65,6.52
38.1,19.05,25.4,10.0,4.88,6.5600000000000005,23.810000000000002,11.899999999999999,15.870000000000001
24.05,10.22,14.34,0.0,0.0,0.0,10.13,4.3,6.04
51.39,8.33,14.34,11.27,1.81,3.11,29.17,4.73,8.14
13.56,21.62,16.669999999999998,1.72,2.78,2.13,11.86,18.92,14.580000000000002
26.669999999999998,14.680000000000001,18.93,1.69,0.9299999999999999,1.2,16.669999999999998,9.17,11.83
3.3300000000000005,1.7500000000000002,2.3,0.0,0.0,0.0,3.3300000000000005,1.7500000000000002,2.3
27.27,12.5,17.14,0.0,0.0,0.0,9.09,4.17,5.71
26.58,15.110000000000001,19.27,1.28,0.72,0.9299999999999999,16.46,9.35,11.93
13.43,5.84,8.14,0.0,0.0,0.0,7.46,3.25,4.52
38.3,17.14,23.68,10.870000000000001,4.81,6.67,23.400000000000002,10.48,14.469999999999999
16.669999999999998,20.630000000000003,18.44,0.0,0.0,0.0,8.97,11.110000000000001,9.93
10.530000000000001,27.27,15.190000000000001,0.0,0.0,0.0,7.02,18.18,10.13
15.28,34.38,21.15,4.2299999999999995,9.68,5.88,8.33,18.75,11.540000000000001
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54.0,4.390000000000001,8.12,10.2,0.8099999999999999,1.51,30.0,2.44,4.51
10.0,38.89,15.909999999999998,0.0,0.0,0.0,4.29,16.669999999999998,6.819999999999999
29.310000000000002,11.64,16.669999999999998,1.7500000000000002,0.69,0.9900000000000001,15.52,6.16,8.82
17.24,19.23,18.18,3.51,3.92,3.6999999999999997,12.07,13.459999999999999,12.73
33.98,30.17,31.96,11.76,10.43,11.06,22.33,19.830000000000002,21.0
30.0,10.979999999999999,16.07,0.0,0.0,0.0,15.0,5.489999999999999,8.04
16.439999999999998,17.65,17.02,4.17,4.4799999999999995,4.32,12.33,13.239999999999998,12.770000000000001
16.669999999999998,19.12,17.810000000000002,1.3,1.49,1.39,10.26,11.76,10.96
35.94,10.27,15.97,1.59,0.44999999999999996,0.7000000000000001,18.75,5.36,8.33
32.14,11.44,16.88,2.41,0.8500000000000001,1.26,17.86,6.36,9.379999999999999
25.88,12.43,16.79,1.1900000000000002,0.5700000000000001,0.77,16.470000000000002,7.91,10.69
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.32,20.0,10.71,0.0,0.0,0.0,4.88,13.33,7.140000000000001
12.280000000000001,21.88,15.73,0.0,0.0,0.0,7.02,12.5,8.99
25.580000000000002,8.4,12.64,4.760000000000001,1.54,2.33,20.93,6.87,10.34
27.85,21.36,24.18,0.0,0.0,0.0,12.659999999999998,9.71,10.99
27.18,11.76,16.42,3.92,1.69,2.36,12.620000000000001,5.46,7.62
30.19,15.53,20.51,0.0,0.0,0.0,16.98,8.74,11.540000000000001
20.9,8.48,12.07,1.52,0.61,0.8699999999999999,14.93,6.0600000000000005,8.62
23.330000000000002,14.89,18.18,0.0,0.0,0.0,10.0,6.38,7.79
42.370000000000005,7.53,12.790000000000001,3.45,0.6,1.03,23.73,4.22,7.16
15.22,9.21,11.48,0.0,0.0,0.0,8.7,5.26,6.5600000000000005
42.19,7.76,13.11,7.9399999999999995,1.44,2.44,25.0,4.6,7.7700000000000005
21.05,3.2300000000000004,5.59,0.0,0.0,0.0,21.05,3.2300000000000004,5.59
34.849999999999994,12.64,18.55,0.0,0.0,0.0,15.15,5.489999999999999,8.06
27.42,10.69,15.379999999999999,3.2800000000000002,1.27,1.83,14.52,5.66,8.14
29.630000000000003,13.22,18.29,1.8900000000000001,0.83,1.16,16.669999999999998,7.4399999999999995,10.290000000000001
28.57,8.219999999999999,12.770000000000001,2.44,0.69,1.08,21.43,6.16,9.569999999999999
19.05,6.84,10.059999999999999,0.0,0.0,0.0,9.520000000000001,3.42,5.029999999999999
20.51,22.86,21.62,2.6,2.9000000000000004,2.74,14.099999999999998,15.709999999999999,14.860000000000001
