bs_p,bs_r,bs_f
67.88,65.05,66.43
63.65,67.19000000000001,65.36999999999999
69.71000000000001,60.9,65.01
64.44,63.63999999999999,64.03999999999999
61.629999999999995,66.17,63.82
64.74,66.10000000000001,65.41
67.56,64.51,66.0
65.51,72.92999999999999,69.02000000000001
64.84,65.16999999999999,65.0
68.23,61.69,64.79
63.839999999999996,62.36000000000001,63.09
67.08,66.05,66.56
71.0,66.53,68.69
67.47999999999999,66.33,66.9
66.42,64.36,65.36999999999999
66.34,63.970000000000006,65.13
68.65,66.82000000000001,67.72
64.84,61.06,62.89
65.38000000000001,57.269999999999996,61.06
64.98,68.81,66.84
65.59,57.91,61.51
61.970000000000006,56.76,59.25
65.86,65.51,65.68
71.1,62.83,66.71000000000001
63.9,57.56,60.57
67.24,60.660000000000004,63.78
65.73,67.07,66.39
64.97,66.62,65.78
61.4,56.68,58.95
65.91,58.809999999999995,62.160000000000004
60.809999999999995,59.089999999999996,59.940000000000005
66.08000000000001,66.08000000000001,66.08000000000001
67.78,62.92,65.25999999999999
63.59,61.22,62.38
68.30000000000001,60.9,64.39
65.78,57.28,61.24000000000001
63.46000000000001,67.33,65.34
74.7,65.79,69.96
67.02,63.7,65.32
68.46,67.92,68.19
65.55,64.84,65.19
65.91,68.60000000000001,67.23
66.79,61.41,63.99
66.32000000000001,65.68,66.0
65.53999999999999,64.3,64.91
74.83,67.54,71.0
66.33,63.239999999999995,64.75
67.83,61.78,64.66
68.89999999999999,53.92,60.5
62.029999999999994,60.589999999999996,61.309999999999995
61.129999999999995,65.59,63.28
64.64,62.4,63.5
64.59,60.07,62.25000000000001
64.44,60.99,62.67
64.44,62.970000000000006,63.690000000000005
63.14999999999999,63.74999999999999,63.449999999999996
71.16,62.91,66.78
65.58,60.589999999999996,62.99
68.42,67.47999999999999,67.94
66.72,65.01,65.85
65.86999999999999,69.94,67.84
67.04,59.440000000000005,63.01
64.71000000000001,64.55,64.63
67.56,60.18,63.65
65.53,65.85,65.69
70.17999999999999,63.31,66.57
62.06,63.74999999999999,62.89
62.8,57.220000000000006,59.88
64.64999999999999,68.66,66.60000000000001
64.57000000000001,61.760000000000005,63.129999999999995
67.93,66.0,66.95
62.7,55.53,58.9
66.11,65.75,65.93
67.60000000000001,70.28999999999999,68.92
63.690000000000005,72.82,67.95
64.95,63.260000000000005,64.09
62.39,63.370000000000005,62.88
64.31,61.1,62.660000000000004
62.470000000000006,62.78,62.629999999999995
66.64,64.42999999999999,65.51
64.2,68.37,66.22
59.95,61.59,60.760000000000005
61.73,61.0,61.36000000000001
63.080000000000005,59.730000000000004,61.36000000000001
66.25,63.91,65.06
68.13,62.17,65.02
73.32,67.43,70.25
63.56,56.39999999999999,59.77
64.82,68.55,66.64
63.980000000000004,63.480000000000004,63.73
