r1_p,r1_r,r1_f,r2_p,r2_r,r2_f,rL_p,rL_r,rL_f
30.380000000000003,21.240000000000002,25.0,0.0,0.0,0.0,13.919999999999998,9.73,11.459999999999999
12.120000000000001,25.81,16.49,0.0,0.0,0.0,7.580000000000001,16.13,10.31
35.089999999999996,14.39,20.41,3.5700000000000003,1.4500000000000002,2.06,17.54,7.19,10.2
13.79,20.0,16.33,0.0,0.0,0.0,10.34,15.0,12.24
10.91,18.75,13.79,0.0,0.0,0.0,7.2700000000000005,12.5,9.2
13.850000000000001,15.25,14.52,0.0,0.0,0.0,9.229999999999999,10.17,9.68
29.17,27.63,28.38,5.63,5.33,5.48,15.28,14.469999999999999,14.860000000000001
10.81,33.33,16.33,2.78,9.09,4.26,8.110000000000001,25.0,12.24
9.8,19.23,12.989999999999998,0.0,0.0,0.0,7.84,15.379999999999999,10.39
22.64,10.26,14.12,1.92,0.86,1.1900000000000002,13.209999999999999,5.9799999999999995,8.24
13.889999999999999,12.049999999999999,12.9,1.41,1.22,1.31,9.719999999999999,8.43,9.030000000000001
12.959999999999999,13.209999999999999,13.08,3.7699999999999996,3.85,3.81,11.110000000000001,11.32,11.21
42.11,34.410000000000004,37.87,18.67,15.22,16.77,25.0,20.43,22.49
25.0,28.57,26.669999999999998,0.0,0.0,0.0,12.5,14.29,13.33
21.57,14.099999999999998,17.05,2.0,1.3,1.5699999999999998,11.76,7.6899999999999995,9.3
12.73,14.29,13.459999999999999,0.0,0.0,0.0,7.2700000000000005,8.16,7.6899999999999995
14.580000000000002,20.0,16.869999999999997,2.13,2.94,2.4699999999999998,8.33,11.43,9.64
20.830000000000002,17.44,18.990000000000002,0.0,0.0,0.0,12.5,10.47,11.39
52.73,6.99,12.34,7.41,0.97,1.71,34.55,4.58,8.09
12.94,29.73,18.029999999999998,0.0,0.0,0.0,5.88,13.51,8.200000000000001
17.24,9.43,12.2,3.5700000000000003,1.92,2.5,13.79,7.55,9.76
7.140000000000001,16.669999999999998,10.0,0.0,0.0,0.0,4.760000000000001,11.110000000000001,6.67
15.690000000000001,18.6,17.02,0.0,0.0,0.0,7.84,9.3,8.51
42.86,10.07,16.31,1.6099999999999999,0.37,0.61,19.05,4.4799999999999995,7.249999999999999
37.5,5.34,9.35,8.51,1.1900000000000002,2.09,20.830000000000002,2.97,5.19
41.67,11.31,17.79,6.78,1.82,2.87,23.330000000000002,6.329999999999999,9.959999999999999
15.939999999999998,37.93,22.45,4.41,10.71,6.25,11.59,27.589999999999996,16.33
9.09,40.0,14.81,0.0,0.0,0.0,4.55,20.0,7.41
2.17,0.65,1.01,0.0,0.0,0.0,2.17,0.65,1.01
20.45,6.72,10.11,0.0,0.0,0.0,15.909999999999998,5.220000000000001,7.870000000000001
12.989999999999998,23.26,16.669999999999998,0.0,0.0,0.0,9.09,16.28,11.67
20.369999999999997,20.0,20.18,0.0,0.0,0.0,14.81,14.549999999999999,14.680000000000001
30.53,18.59,23.11,3.19,1.94,2.41,15.790000000000001,9.62,11.95
9.09,7.2700000000000005,8.08,0.0,0.0,0.0,6.819999999999999,5.45,6.0600000000000005
45.0,10.42,16.93,3.39,0.7799999999999999,1.26,25.0,5.79,9.4
20.0,6.859999999999999,10.209999999999999,0.0,0.0,0.0,13.33,4.569999999999999,6.81
2.53,7.6899999999999995,3.81,0.0,0.0,0.0,1.27,3.85,1.9
56.86,24.79,34.52,18.0,7.76,10.84,37.25,16.24,22.62
14.81,10.96,12.6,1.8900000000000001,1.39,1.6,11.110000000000001,8.219999999999999,9.45
13.04,13.950000000000001,13.48,0.0,0.0,0.0,10.870000000000001,11.63,11.24
16.919999999999998,35.480000000000004,22.919999999999998,1.5599999999999998,3.3300000000000005,2.13,9.229999999999999,19.35,12.5
13.16,20.0,15.870000000000001,5.41,8.33,6.5600000000000005,10.530000000000001,16.0,12.7
49.120000000000005,8.7,14.78,14.29,2.4899999999999998,4.24,28.07,4.97,8.44
18.18,24.490000000000002,20.87,3.08,4.17,3.54,12.120000000000001,16.33,13.91
25.81,20.51,22.86,4.92,3.9,4.35,16.13,12.82,14.29
42.42,25.0,31.46,9.379999999999999,5.45,6.9,15.15,8.93,11.24
17.78,13.56,15.379999999999999,2.27,1.72,1.96,11.110000000000001,8.469999999999999,9.62
28.26,12.870000000000001,17.69,0.0,0.0,0.0,15.22,6.93,9.520000000000001
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19.35,25.0,21.82,0.0,0.0,0.0,11.29,14.580000000000002,12.73
17.11,25.490000000000002,20.47,0.0,0.0,0.0,7.89,11.76,9.45
18.459999999999997,15.190000000000001,16.669999999999998,1.5599999999999998,1.28,1.41,9.229999999999999,7.59,8.33
17.740000000000002,12.22,14.469999999999999,0.0,0.0,0.0,9.68,6.67,7.89
33.33,9.82,15.17,9.229999999999999,2.69,4.17,16.669999999999998,4.91,7.59
13.33,15.379999999999999,14.29,1.69,1.96,1.82,10.0,11.540000000000001,10.71
15.620000000000001,17.24,16.39,1.59,1.7500000000000002,1.67,7.8100000000000005,8.62,8.200000000000001
52.27,13.61,21.6,9.3,2.3800000000000003,3.7900000000000005,31.819999999999997,8.28,13.15
26.790000000000003,21.740000000000002,24.0,1.82,1.47,1.63,17.86,14.49,16.0
9.09,7.5,8.219999999999999,0.0,0.0,0.0,9.09,7.5,8.219999999999999
23.400000000000002,12.64,16.42,0.0,0.0,0.0,12.770000000000001,6.9,8.959999999999999
5.66,13.639999999999999,8.0,1.92,4.760000000000001,2.74,3.7699999999999996,9.09,5.33
19.57,14.75,16.82,11.110000000000001,8.33,9.520000000000001,15.22,11.48,13.08
2.33,2.22,2.27,0.0,0.0,0.0,2.33,2.22,2.27
50.0,10.0,16.669999999999998,11.110000000000001,2.19,3.66,31.25,6.25,10.42
18.990000000000002,27.27,22.39,1.28,1.8499999999999999,1.52,8.86,12.73,10.45
36.96,17.169999999999998,23.45,6.67,3.06,4.2,21.740000000000002,10.100000000000001,13.79
3.6999999999999997,7.41,4.9399999999999995,0.0,0.0,0.0,3.6999999999999997,7.41,4.9399999999999995
37.29,11.52,17.599999999999998,3.45,1.05,1.6099999999999999,20.34,6.279999999999999,9.6
11.540000000000001,25.71,15.93,0.0,0.0,0.0,8.97,20.0,12.389999999999999
24.05,20.65,22.220000000000002,2.56,2.1999999999999997,2.37,10.13,8.7,9.36
19.439999999999998,22.58,20.9,0.0,0.0,0.0,11.110000000000001,12.9,11.940000000000001
18.42,5.0,7.870000000000001,0.0,0.0,0.0,13.16,3.5700000000000003,5.62
22.95,30.43,26.169999999999998,1.67,2.22,1.9,8.200000000000001,10.870000000000001,9.35
6.819999999999999,15.0,9.370000000000001,0.0,0.0,0.0,4.55,10.0,6.25
4.55,15.379999999999999,7.02,0.0,0.0,0.0,2.27,7.6899999999999995,3.51
7.55,11.110000000000001,8.99,0.0,0.0,0.0,7.55,11.110000000000001,8.99
15.379999999999999,34.48,21.279999999999998,1.5599999999999998,3.5700000000000003,2.17,10.77,24.14,14.89
7.8100000000000005,12.82,9.71,1.59,2.63,1.9800000000000002,7.8100000000000005,12.82,9.71
5.13,16.0,7.7700000000000005,0.0,0.0,0.0,2.56,8.0,3.88
19.7,23.21,21.310000000000002,0.0,0.0,0.0,15.15,17.86,16.39
7.46,14.71,9.9,0.0,0.0,0.0,7.46,14.71,9.9
7.140000000000001,10.26,8.42,0.0,0.0,0.0,5.36,7.6899999999999995,6.32
1.69,3.85,2.35,0.0,0.0,0.0,1.69,3.85,2.35
31.509999999999998,16.55,21.7,0.0,0.0,0.0,12.33,6.47,8.49
25.3,14.89,18.75,1.22,0.7100000000000001,0.8999999999999999,12.049999999999999,7.090000000000001,8.93
29.09,9.94,14.81,1.8499999999999999,0.62,0.9299999999999999,18.18,6.21,9.26
43.75,22.95,30.11,0.0,0.0,0.0,28.12,14.75,19.35
40.43,19.189999999999998,26.029999999999998,10.870000000000001,5.1,6.94,19.15,9.09,12.33
13.33,28.57,18.18,0.0,0.0,0.0,8.0,17.14,10.91
14.860000000000001,13.750000000000002,14.29,0.0,0.0,0.0,9.46,8.75,9.09
23.810000000000002,16.48,19.48,1.6099999999999999,1.11,1.32,14.29,9.89,11.690000000000001
44.0,10.82,17.37,4.05,0.9900000000000001,1.59,21.33,5.25,8.42
18.52,24.59,21.13,1.25,1.67,1.43,9.879999999999999,13.11,11.27
54.290000000000006,9.21,15.75,11.540000000000001,1.94,3.32,27.62,4.68,8.01
29.73,21.78,25.14,8.219999999999999,6.0,6.94,17.57,12.870000000000001,14.860000000000001
21.05,18.459999999999997,19.67,1.79,1.5599999999999998,1.67,14.04,12.31,13.11
20.24,10.37,13.71,0.0,0.0,0.0,13.100000000000001,6.710000000000001,8.870000000000001
15.52,15.25,15.379999999999999,1.7500000000000002,1.72,1.7399999999999998,13.79,13.56,13.68
20.51,9.41,12.9,2.63,1.1900000000000002,1.6400000000000001,10.26,4.71,6.45
11.899999999999999,7.35,9.09,0.0,0.0,0.0,9.520000000000001,5.88,7.2700000000000005
20.59,9.4,12.9,2.9899999999999998,1.35,1.8599999999999999,11.76,5.37,7.37
25.0,20.630000000000003,22.61,3.92,3.2300000000000004,3.54,15.379999999999999,12.7,13.91
34.849999999999994,13.450000000000001,19.41,1.54,0.59,0.8500000000000001,18.18,7.02,10.13
10.530000000000001,25.81,14.95,1.3299999999999998,3.3300000000000005,1.9,7.89,19.35,11.21
34.48,7.19,11.899999999999999,3.5700000000000003,0.72,1.2,27.589999999999996,5.76,9.520000000000001
2.74,11.76,4.44,0.0,0.0,0.0,2.74,11.76,4.44
26.47,21.43,23.68,9.09,7.32,8.110000000000001,14.71,11.899999999999999,13.16
27.400000000000002,10.75,15.440000000000001,1.39,0.54,0.7799999999999999,13.700000000000001,5.38,7.720000000000001
44.230000000000004,5.18,9.27,7.84,0.8999999999999999,1.6199999999999999,28.849999999999998,3.38,6.05
10.870000000000001,13.51,12.049999999999999,0.0,0.0,0.0,6.52,8.110000000000001,7.23
33.77,23.849999999999998,27.96,3.95,2.78,3.26,15.58,11.01,12.9
17.39,21.05,19.05,0.0,0.0,0.0,7.249999999999999,8.77,7.9399999999999995
35.480000000000004,22.919999999999998,27.85,3.2800000000000002,2.11,2.56,20.97,13.54,16.46
43.9,12.950000000000001,20.0,7.5,2.17,3.37,26.83,7.91,12.22
16.36,5.84,8.61,0.0,0.0,0.0,14.549999999999999,5.19,7.66
27.400000000000002,19.05,22.470000000000002,2.78,1.92,2.27,15.07,10.48,12.36
11.86,11.110000000000001,11.48,1.72,1.6099999999999999,1.67,5.08,4.760000000000001,4.92
7.79,27.27,12.120000000000001,0.0,0.0,0.0,3.9,13.639999999999999,6.0600000000000005
4.9399999999999995,12.5,7.08,1.25,3.2300000000000004,1.7999999999999998,4.9399999999999995,12.5,7.08
1.79,4.17,2.5,0.0,0.0,0.0,1.79,4.17,2.5
53.66,3.58,6.710000000000001,22.5,1.47,2.75,36.59,2.44,4.569999999999999
7.140000000000001,27.779999999999998,11.360000000000001,0.0,0.0,0.0,4.29,16.669999999999998,6.819999999999999
42.86,16.439999999999998,23.76,16.36,6.21,9.0,32.14,12.33,17.82
12.82,9.62,10.99,0.0,0.0,0.0,10.26,7.6899999999999995,8.790000000000001
26.25,18.099999999999998,21.43,2.53,1.7399999999999998,2.06,17.5,12.07,14.29
29.49,14.02,19.009999999999998,1.3,0.61,0.83,14.099999999999998,6.710000000000001,9.09
14.860000000000001,16.18,15.49,2.74,2.9899999999999998,2.86,6.76,7.35,7.04
18.95,26.47,22.09,1.06,1.49,1.24,8.42,11.76,9.82
33.33,7.140000000000001,11.76,0.0,0.0,0.0,18.75,4.02,6.619999999999999
35.42,7.199999999999999,11.97,2.13,0.43,0.7100000000000001,22.919999999999998,4.66,7.75
33.33,14.69,20.39,3.9,1.7000000000000002,2.37,19.23,8.469999999999999,11.76
24.62,9.520000000000001,13.73,3.1199999999999997,1.2,1.73,9.229999999999999,3.5700000000000003,5.1499999999999995
12.5,26.669999999999998,17.02,0.0,0.0,0.0,7.8100000000000005,16.669999999999998,10.639999999999999
8.25,25.0,12.4,0.0,0.0,0.0,3.09,9.379999999999999,4.65
28.92,18.32,22.43,3.66,2.31,2.83,16.869999999999997,10.69,13.08
25.0,17.48,20.57,5.63,3.92,4.62,15.28,10.68,12.57
36.36,10.08,15.790000000000001,4.62,1.27,1.9900000000000002,19.7,5.46,8.55
8.77,4.8500000000000005,6.25,0.0,0.0,0.0,8.77,4.8500000000000005,6.25
29.409999999999997,12.120000000000001,17.169999999999998,1.49,0.61,0.8699999999999999,13.239999999999998,5.45,7.7299999999999995
30.43,29.79,30.11,11.110000000000001,10.870000000000001,10.99,21.740000000000002,21.279999999999998,21.51
40.0,7.829999999999999,13.100000000000001,3.1199999999999997,0.6,1.01,26.150000000000002,5.12,8.559999999999999
14.08,13.16,13.61,0.0,0.0,0.0,9.86,9.21,9.520000000000001
45.57,10.34,16.86,11.540000000000001,2.59,4.24,25.319999999999997,5.75,9.370000000000001
20.93,7.26,10.780000000000001,2.3800000000000003,0.8099999999999999,1.21,16.28,5.65,8.38
36.36,13.19,19.35,0.0,0.0,0.0,16.669999999999998,6.04,8.870000000000001
31.819999999999997,13.209999999999999,18.67,4.62,1.9,2.69,19.7,8.18,11.559999999999999
33.33,14.879999999999999,20.57,9.43,4.17,5.779999999999999,22.220000000000002,9.92,13.71
35.709999999999994,10.27,15.959999999999999,2.44,0.69,1.08,26.19,7.53,11.700000000000001
13.889999999999999,12.82,13.33,0.9299999999999999,0.86,0.8999999999999999,9.26,8.55,8.89
29.580000000000002,30.0,29.79,4.29,4.35,4.32,14.08,14.29,14.180000000000001
53.12,18.279999999999998,27.200000000000003,17.46,5.949999999999999,8.870000000000001,25.0,8.6,12.8
34.25,12.379999999999999,18.18,4.17,1.49,2.1999999999999997,16.439999999999998,5.94,8.73
10.84,13.850000000000001,12.16,0.0,0.0,0.0,6.02,7.6899999999999995,6.76
8.93,11.899999999999999,10.2,0.0,0.0,0.0,8.93,11.899999999999999,10.2
14.71,12.2,13.33,0.0,0.0,0.0,11.76,9.76,10.67
35.589999999999996,10.61,16.34,1.72,0.51,0.7799999999999999,23.73,7.07,10.89
24.529999999999998,9.030000000000001,13.200000000000001,0.0,0.0,0.0,15.09,5.56,8.12
5.0,9.09,6.45,0.0,0.0,0.0,5.0,9.09,6.45
24.32,5.96,9.569999999999999,0.0,0.0,0.0,10.81,2.65,4.26
