bs_p,bs_r,bs_f
62.35000000000001,59.5,60.89
64.64,66.2,65.41
68.06,62.12,64.95
62.61,62.39,62.5
63.18,53.949999999999996,58.199999999999996
62.57,64.29,63.42
66.97999999999999,64.01,65.46
64.84,70.85000000000001,67.71000000000001
63.91,63.92,63.92
69.58,62.739999999999995,65.99000000000001
59.870000000000005,61.08,60.47
66.99000000000001,63.22,65.05
64.92,60.18,62.46000000000001
67.86,66.58,67.22
60.809999999999995,57.4,59.06
63.080000000000005,60.57,61.8
68.47,66.38,67.41
62.980000000000004,59.830000000000005,61.36000000000001
66.46,58.57,62.260000000000005
62.07,62.51,62.29
65.31,64.7,65.0
61.58,59.36,60.45
66.85,67.14,66.99000000000001
67.05,61.45,64.13
67.05,58.10999999999999,62.260000000000005
67.25999999999999,61.57,64.29
64.03,67.73,65.83
66.8,65.31,66.05
65.74,62.67,64.17
67.96,61.260000000000005,64.44
64.4,60.24,62.25000000000001
66.3,67.34,66.82000000000001
64.41,59.11,61.650000000000006
55.93,57.36,56.64
65.89,60.11,62.870000000000005
65.58,58.9,62.06
65.39,72.39,68.71000000000001
69.56,62.82,66.02
58.84,56.55,57.67
68.67,70.82000000000001,69.73
64.95,68.12,66.5
61.09,65.14,63.05
68.10000000000001,60.6,64.13
68.17,69.12,68.64
70.61,69.87,70.24000000000001
70.6,67.56,69.05
66.79,64.98,65.86999999999999
66.36,62.01,64.11
66.66,64.44,65.53
62.83,63.77,63.29
56.599999999999994,61.69,59.040000000000006
69.59,65.07,67.25
65.22,61.96,63.55
63.75999999999999,58.379999999999995,60.95
64.61,63.04,63.82
68.4,62.78,65.47
66.67,58.76,62.470000000000006
61.839999999999996,56.879999999999995,59.260000000000005
70.86,69.08,69.96
67.10000000000001,64.01,65.52
70.93,71.95,71.44
65.68,60.480000000000004,62.980000000000004
65.88000000000001,63.93,64.89
69.07,51.72,59.150000000000006
64.89,64.25,64.56
69.75,63.72,66.60000000000001
61.260000000000005,65.94,63.51
67.02,56.79,61.480000000000004
66.86999999999999,68.89,67.86
66.4,60.940000000000005,63.55
64.67,67.41,66.02
59.550000000000004,55.559999999999995,57.489999999999995
66.2,64.56,65.36999999999999
65.41,67.25,66.32000000000001
62.99,70.49,66.53
64.68,58.08,61.199999999999996
59.660000000000004,61.07,60.36
64.56,63.83,64.19
67.78,67.22,67.5
60.419999999999995,63.83,62.08
64.13,66.10000000000001,65.10000000000001
59.88,61.06,60.47
57.02,57.53,57.28
63.580000000000005,57.31,60.28
66.97,63.739999999999995,65.32
67.78,62.339999999999996,64.95
66.01,62.260000000000005,64.08
83.06,61.47,70.65
65.59,68.97999999999999,67.24
65.9,61.0,63.349999999999994
60.42999999999999,58.230000000000004,59.309999999999995
56.97,47.64,51.89
62.13999999999999,60.62,61.370000000000005
63.93,56.76,60.129999999999995
65.89,62.839999999999996,64.33
67.33,63.99,65.61
66.39,60.83,63.49
62.849999999999994,64.62,63.72
65.91,63.22,64.53999999999999
62.41,59.550000000000004,60.940000000000005
61.95,55.379999999999995,58.48
69.38,64.13,66.64999999999999
67.22,62.13999999999999,64.58
62.36000000000001,65.60000000000001,63.94
61.9,58.24,60.01
64.72,64.3,64.51
65.35,68.88,67.07
64.39,60.68,62.480000000000004
64.69,59.519999999999996,62.0
68.87,66.42,67.62
69.82000000000001,64.77000000000001,67.2
67.73,62.660000000000004,65.10000000000001
66.38,64.87,65.62
60.11,56.8,58.41
65.5,56.05,60.41
59.519999999999996,58.809999999999995,59.160000000000004
62.980000000000004,61.57,62.27
65.42,72.28999999999999,68.67999999999999
65.78,67.64,66.7
59.260000000000005,57.46,58.35
67.9,57.4,62.21
62.18,66.9,64.45
63.470000000000006,56.05,59.53000000000001
61.08,61.77,61.419999999999995
61.01,60.870000000000005,60.940000000000005
64.08,52.959999999999994,57.989999999999995
63.81,64.16,63.99
67.21000000000001,66.05,66.63
71.44,62.49,66.67
64.07000000000001,56.84,60.24
64.63,59.489999999999995,61.95
68.82000000000001,63.24999999999999,65.92
62.370000000000005,67.14,64.67
64.41,67.51,65.92
71.71,63.800000000000004,67.53
67.25999999999999,62.88,65.0
68.89999999999999,62.17,65.36
64.86,63.449999999999996,64.14999999999999
68.78,62.41,65.44
64.61,59.62,62.01
63.04,59.660000000000004,61.309999999999995
68.34,64.7,66.47
70.37,62.1,65.98
62.11,55.97,58.879999999999995
66.82000000000001,59.809999999999995,63.12
65.64999999999999,58.06,61.62
67.15,61.6,64.25
63.51,56.46,59.78
61.06,60.260000000000005,60.660000000000004
63.28,61.8,62.529999999999994
64.75,57.34,60.81999999999999
66.92,60.47,63.53
66.08000000000001,63.3,64.66
65.4,65.91,65.64999999999999
66.86,67.94,67.39
65.57,57.87,61.480000000000004
63.870000000000005,57.24,60.38
59.870000000000005,58.51,59.18
65.67,60.4,62.92
67.14,65.31,66.21000000000001
67.75,60.709999999999994,64.03
63.46000000000001,56.86,59.98
57.4,64.63,60.8
60.029999999999994,56.86,58.41
66.53,61.07,63.68000000000001
64.41,53.949999999999996,58.720000000000006
62.45,58.95,60.650000000000006
66.64,65.34,65.98
68.78,65.39,67.04
