bleu,p,bp,lr,rl,pl
0.0,,0.5553063730019506,0.6296296296296297,135,85
0.0,,1.0,1.825,40,73
0.0,,0.1267907243708277,0.3262411347517731,141,46
0.0,,1.0,1.6470588235294117,51,84
0.0,,0.1353352832366127,0.3333333333333333,45,15
0.0,,1.0,1.4153846153846155,65,92
0.0,,0.7847231940537559,0.8048780487804879,82,66
0.0,,1.0,4.238095238095238,21,89
0.0,,1.0,3.142857142857143,28,88
0.0,,0.2852933618957345,0.44360902255639095,133,59
0.0,,0.6822542151017184,0.723404255319149,94,68
0.0,,0.7068486033780922,0.7424242424242424,66,49
0.0,,0.3985190410845142,0.5208333333333334,96,50
0.0,,1.0,1.2826086956521738,46,59
0.0,,0.676633846161729,0.7191011235955056,89,64
0.0,,0.6703200460356393,0.7142857142857143,63,45
0.0,,1.0,1.5909090909090908,44,70
0.0,,0.8412726230733021,0.8526315789473684,95,81
0.0,,0.006645011282741398,0.16628175519630484,433,72
0.0,,1.0,1.3191489361702127,47,62
0.0,,1.0,1.4482758620689655,58,84
0.0,,1.0,1.4838709677419355,31,46
0.0,,1.0,1.8958333333333333,48,91
0.0,,0.13963128628139898,0.3368421052631579,285,96
0.0,,0.0018402159678352012,0.13702623906705538,343,47
0.0,,0.16086971039448716,0.3537117903930131,229,81
0.0,,1.0,1.8333333333333333,36,66
0.0,,1.0,1.7826086956521738,23,41
0.0,,0.16586017423064006,0.3575757575757576,165,59
0.0,,0.20339760045860628,0.38571428571428573,140,54
0.0,,0.5488116360940264,0.625,64,40
0.0,,1.0,1.2333333333333334,60,74
0.0,,0.420012889236166,0.535483870967742,155,83
0.0,,1.0,1.2156862745098038,51,62
0.0,,0.1353352832366127,0.3333333333333333,273,91
0.0,,0.23552317895163635,0.4088397790055249,181,74
0.0,,1.0,2.5,34,85
0.0,,0.2704434370620157,0.43333333333333335,120,52
0.0,,0.9240885594051769,0.926829268292683,82,76
0.0,,1.0,1.320754716981132,53,70
0.0,,1.0,2.5555555555555554,36,92
0.0,,1.0,1.7142857142857142,35,60
0.0,,0.0016545018389011214,0.13505747126436782,348,47
0.0,,1.0,1.25,56,70
0.0,,0.8142568256998957,0.8295454545454546,88,73
0.0,,0.8490507114646861,0.859375,64,55
0.0,,0.9174044037758284,0.9206349206349206,63,58
0.0,,0.5728434234331229,0.6422018348623854,109,70
0.0,,1.0,1.0212765957446808,47,48
0.0,,1.0,2.0,55,110
0.0,,1.0,1.0338983050847457,59,61
0.0,,0.7530812994959276,0.7790697674418605,86,67
0.0,,0.2911133545301908,0.44761904761904764,105,47
0.0,,0.047318806710871575,0.24686192468619247,239,59
0.0,,1.0,1.1967213114754098,61,73
0.0,,0.35689879303155075,0.4925373134328358,67,33
0.0,,0.00795994384870645,0.17142857142857143,175,30
0.0,,0.4431027970353064,0.5512820512820513,78,43
0.0,,0.863862675318009,0.8723404255319149,47,41
0.0,,0.22013516971323896,0.3978494623655914,93,37
0.0,,1.0,2.074074074074074,27,56
0.0,,0.6065306597126334,0.6666666666666666,75,50
0.0,,0.9615432950878906,0.9622641509433962,53,51
0.0,,8.649684525303496e-08,0.057926829268292686,328,19
0.0,,0.9834714538216176,0.9836065573770492,61,60
0.0,,0.4150690675251384,0.5321100917431193,109,58
0.0,,1.0,2.6666666666666665,33,88
0.0,,0.0017973739941672996,0.13658536585365855,205,28
0.0,,1.0,1.625,40,65
0.0,,0.6390572765040908,0.6907216494845361,97,67
0.0,,1.0,2.1794871794871793,39,85
0.0,,0.19527756283568573,0.379746835443038,158,60
0.0,,0.8588389044645256,0.8679245283018868,53,46
0.0,,1.0,2.1724137931034484,29,63
0.0,,1.0,3.3333333333333335,18,60
0.0,,0.7303103382513573,0.7608695652173914,46,35
0.0,,0.8824969025845955,0.8888888888888888,36,32
0.0,,1.0,1.9038461538461537,52,99
0.0,,1.0,1.0810810810810811,37,40
0.0,,0.9591894571091382,0.96,75,72
0.0,,1.0,1.6097560975609757,41,66
0.0,,1.0,1.446808510638298,47,68
0.0,,1.0,1.3461538461538463,26,35
0.0,,0.1328521373422412,0.3312883435582822,163,54
0.0,,0.33287108369807955,0.47619047619047616,147,70
0.0,,0.2612949944016282,0.42696629213483145,178,76
0.0,,0.42806302118317596,0.5409836065573771,61,33
0.0,,0.0026386179570919216,0.14414414414414414,111,16
0.0,,1.0,2.048780487804878,41,84
0.0,,0.4394540041764551,0.5487804878048781,82,45
0.0,,0.5983894316362455,0.6607142857142857,112,74
0.0,,9.106648415403522e-07,0.06707317073170732,328,22
0.0,,1.0,1.1369863013698631,73,83
0.0,,0.00027291526205927417,0.10862068965517241,580,63
0.0,,0.5938510429193995,0.6574074074074074,108,71
0.0,,0.8161762130223398,0.8311688311688312,77,64
0.0,,0.35286608145884896,0.4897959183673469,196,96
0.0,,0.8824969025845955,0.8888888888888888,63,56
0.0,,0.79091252813096,0.81,100,81
0.0,,0.8545819669589085,0.8641975308641975,81,70
0.0,,0.1353352832366127,0.3333333333333333,153,51
0.0,,0.6334832378691003,0.6865671641791045,67,46
0.0,,0.2813114999364468,0.44086021505376344,186,82
0.0,,1.0,2.3947368421052633,38,91
0.0,,0.40656965974059905,0.5263157894736842,133,70
0.0,,1.0,3.107142857142857,28,87
0.0,,1.0,1.297872340425532,47,61
0.0,,0.2362090703805977,0.40932642487046633,193,79
0.0,,0.010709914627383335,0.18061674008810572,454,82
0.0,,1.0,1.1956521739130435,46,55
0.0,,0.2704434370620157,0.43333333333333335,120,52
0.0,,0.591555364366815,0.6557377049180327,61,40
0.0,,0.4965853037914095,0.5882352941176471,102,60
0.0,,0.32575112102350295,0.4713375796178344,157,74
0.0,,0.027180291163623974,0.21714285714285714,175,38
0.0,,1.0,1.0333333333333334,120,124
0.0,,0.9394130628134758,0.9411764705882353,85,80
0.0,,1.0,2.2857142857142856,28,64
0.0,,1.0,1.6888888888888889,45,76
0.0,,1.0,2.657142857142857,35,93
0.0,,0.00019025140445313378,0.10452418096723869,641,67
0.0,,1.0,3.5833333333333335,24,86
0.0,,0.28206295169381546,0.4413793103448276,145,64
0.0,,1.0,1.3709677419354838,62,85
0.0,,0.8586611094326663,0.8677685950413223,121,105
0.0,,0.2532206652063738,0.4213197969543147,197,83
0.0,,1.0,1.492537313432836,67,100
0.0,,1.0,1.2222222222222223,72,88
0.0123,,0.11789851882642269,0.31868131868131866,273,87
0.0,,0.13016387584638417,0.32905982905982906,234,77
0.0,,0.4214400802945722,0.5364583333333334,192,103
0.0,,0.17919185246787114,0.36774193548387096,155,57
0.0,,1.0,2.7666666666666666,30,83
0.0,,1.0,2.4523809523809526,42,103
0.0,,0.13830956664506258,0.3357664233576642,137,46
0.0,,0.6282678238084075,0.6826923076923077,104,71
0.0,,0.08611645295951091,0.2896825396825397,252,73
0.0,,0.3212315037393239,0.46825396825396826,126,59
0.0,,0.11731916609425078,0.3181818181818182,176,56
0.0,,0.5488116360940264,0.625,64,40
0.0,,0.05496278818982585,0.2563380281690141,355,91
0.0,,0.9231163463866358,0.9259259259259259,81,75
0.0,,0.019979600953452182,0.20353982300884957,339,69
0.0,,0.07302004572213733,0.27647058823529413,170,47
0.0,,0.1871816626482129,0.37373737373737376,198,74
0.0,,0.10586251711232521,0.3081081081081081,185,57
0.0,,0.3837567161471448,0.5107913669064749,139,71
0.0,,0.09109673333855074,0.294478527607362,163,48
0.0,,0.37854187754140095,0.5072463768115942,138,70
0.0,,1.0,1.0375,80,83
0.0,,0.09469038101854274,0.2978723404255319,188,56
0.0,,0.11808345764159187,0.3188405797101449,207,66
0.0,,1.0,1.4242424242424243,66,94
0.0,,1.0,1.5416666666666667,48,74
0.0,,1.0,1.148936170212766,47,54
0.0,,0.0610165482085659,0.26339285714285715,224,59
0.0,,0.4353613307141713,0.5459770114942529,174,95
0.0,,1.0,1.6428571428571428,28,46
0.0,,0.22490808034186824,0.4012738853503185,157,63
0.0,,0.9439403459411809,0.9454545454545454,55,52
0.0,,0.3061520302926307,0.45794392523364486,107,49
0.0,,0.4425835360044902,0.5509259259259259,216,119
0.0,,1.0,3.2413793103448274,29,94
0.0,,1.0,1.5,58,87
0.0,,0.32252360637329724,0.4691358024691358,81,38
0.0,,0.05376799253902105,0.2549019607843137,204,52
0.0,,0.7788007830714049,0.8,95,76
0.0,,0.8187307530779819,0.8333333333333334,102,85
0.0,,0.846481724890614,0.8571428571428571,42,36
0.0,,0.08620902640178027,0.2897727272727273,176,51
0.0,,1.0,1.1159420289855073,69,77
0.0,,0.0012620725858446145,0.13029315960912052,307,40
0.0,,0.09126942851595804,0.29464285714285715,112,33
0.0,,1.0,1.6363636363636365,44,72
0.0,,0.01125233645305169,0.1822429906542056,214,39
0.0,,0.9459594689067654,0.9473684210526315,57,54
0.0,,0.42296530850947595,0.5375,80,43
0.0005,,0.0029151388195168314,0.14624505928853754,253,37
0.0,,1.0,1.3088235294117647,68,89
0.0,,1.0,1.3111111111111111,45,59
0.0,,0.09435832859137669,0.2975609756097561,205,61
0.0,,0.18784631055349937,0.37423312883435583,163,61
0.0,,1.0,1.05,40,42
0.0,,0.00010446414383170532,0.09836065573770492,183,18
0.0,,0.5275377333775612,0.6099290780141844,141,86
0.0,,1.0,2.7333333333333334,30,82
0.0,,1.0,2.3157894736842106,38,88
0.0,,1.0,1.5454545454545454,33,51
0.0,,0.54674455140074,0.6235294117647059,85,53
0.0,,0.3947204584329522,0.5182481751824818,137,71
0.0,,0.5434834098395639,0.6212121212121212,66,41
0.0,,0.6498365022331483,0.6987951807228916,83,58
0.0,,0.027875698255247015,0.2183406113537118,229,50
0.0,,0.6755981294711625,0.7183098591549296,71,51
0.0,,0.28972995770432786,0.44666666666666666,150,67
0.0,,1.0,1.3670886075949367,79,108
0.0,,0.2893842179390507,0.44642857142857145,56,25
0.0,,0.3493349279871261,0.48739495798319327,119,58
0.0,,1.0,1.3380281690140845,71,95
0.0,,1.0,1.2318840579710144,69,85
0.0,,0.15611804531597107,0.35,160,56
