r1_p,r1_r,r1_f,r2_p,r2_r,r2_f,rL_p,rL_r,rL_f
14.860000000000001,9.73,11.76,0.0,0.0,0.0,6.76,4.42,5.35
12.7,25.81,17.02,3.2300000000000004,6.67,4.35,7.9399999999999995,16.13,10.639999999999999
35.0,10.07,15.64,0.0,0.0,0.0,22.5,6.47,10.059999999999999
5.63,10.0,7.21,0.0,0.0,0.0,4.2299999999999995,7.5,5.41
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.879999999999999,13.56,11.43,0.0,0.0,0.0,7.41,10.17,8.57
29.310000000000002,22.37,25.369999999999997,3.51,2.67,3.0300000000000002,18.970000000000002,14.469999999999999,16.42
4.2299999999999995,25.0,7.23,1.43,9.09,2.4699999999999998,4.2299999999999995,25.0,7.23
9.46,26.919999999999998,14.000000000000002,0.0,0.0,0.0,6.76,19.23,10.0
18.37,7.6899999999999995,10.84,0.0,0.0,0.0,12.24,5.13,7.23
10.13,9.64,9.879999999999999,1.28,1.22,1.25,7.59,7.23,7.41
18.6,15.09,16.669999999999998,0.0,0.0,0.0,9.3,7.55,8.33
19.15,9.68,12.86,0.0,0.0,0.0,10.639999999999999,5.38,7.140000000000001
15.379999999999999,22.86,18.39,0.0,0.0,0.0,7.6899999999999995,11.43,9.2
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.32,6.12,6.67,0.0,0.0,0.0,4.88,4.08,4.44
17.86,28.57,21.98,1.82,2.94,2.25,8.93,14.29,10.99
13.33,11.63,12.42,1.35,1.18,1.26,9.33,8.14,8.7
55.559999999999995,8.43,14.64,9.68,1.4500000000000002,2.52,30.159999999999997,4.58,7.95
7.41,10.81,8.790000000000001,0.0,0.0,0.0,3.6999999999999997,5.41,4.3999999999999995
20.830000000000002,28.299999999999997,24.0,2.82,3.85,3.25,15.28,20.75,17.599999999999998
5.45,16.669999999999998,8.219999999999999,0.0,0.0,0.0,5.45,16.669999999999998,8.219999999999999
13.51,23.26,17.09,0.0,0.0,0.0,5.41,9.3,6.84
48.84,15.67,23.73,9.41,3.0,4.55,23.26,7.46,11.3
56.10000000000001,6.819999999999999,12.17,10.0,1.1900000000000002,2.13,26.83,3.26,5.82
31.879999999999995,9.950000000000001,15.17,5.88,1.82,2.78,26.090000000000003,8.14,12.41
17.86,34.48,23.53,3.64,7.140000000000001,4.82,14.29,27.589999999999996,18.82
9.379999999999999,20.0,12.770000000000001,0.0,0.0,0.0,9.379999999999999,20.0,12.770000000000001
26.0,8.5,12.809999999999999,0.0,0.0,0.0,14.000000000000002,4.58,6.9
35.709999999999994,11.19,17.05,4.88,1.5,2.3,21.43,6.72,10.23
11.110000000000001,9.3,10.13,0.0,0.0,0.0,8.33,6.98,7.59
13.43,16.36,14.75,0.0,0.0,0.0,8.959999999999999,10.91,9.84
27.139999999999997,12.18,16.81,0.0,0.0,0.0,14.29,6.41,8.85
3.3300000000000005,3.64,3.4799999999999995,0.0,0.0,0.0,1.67,1.82,1.7399999999999998
46.150000000000006,13.900000000000002,21.36,5.19,1.55,2.39,19.23,5.79,8.9
23.330000000000002,8.0,11.91,0.0,0.0,0.0,13.33,4.569999999999999,6.81
13.16,38.46,19.61,1.3299999999999998,4.0,2.0,9.21,26.919999999999998,13.73
27.500000000000004,9.4,14.01,0.0,0.0,0.0,12.5,4.2700000000000005,6.370000000000001
19.57,12.33,15.129999999999999,2.22,1.39,1.71,17.39,10.96,13.450000000000001
8.93,11.63,10.100000000000001,0.0,0.0,0.0,7.140000000000001,9.3,8.08
12.35,32.26,17.86,1.25,3.3300000000000005,1.82,7.41,19.35,10.71
7.140000000000001,16.0,9.879999999999999,0.0,0.0,0.0,5.36,12.0,7.41
56.52,8.07,14.13,17.78,2.4899999999999998,4.37,32.61,4.66,8.15
14.29,18.37,16.07,1.6099999999999999,2.08,1.82,11.110000000000001,14.29,12.5
24.59,19.23,21.58,6.67,5.19,5.84,16.39,12.82,14.39
27.27,21.43,24.0,6.98,5.45,6.12,11.360000000000001,8.93,10.0
19.15,15.25,16.98,4.35,3.45,3.85,10.639999999999999,8.469999999999999,9.43
22.220000000000002,13.86,17.07,1.6099999999999999,1.0,1.23,12.7,7.920000000000001,9.76
14.63,15.0,14.81,0.0,0.0,0.0,9.76,10.0,9.879999999999999
17.02,33.33,22.54,2.15,4.26,2.86,9.569999999999999,18.75,12.68
9.68,11.76,10.620000000000001,0.0,0.0,0.0,6.45,7.84,7.08
29.09,20.25,23.880000000000003,3.6999999999999997,2.56,3.0300000000000002,14.549999999999999,10.13,11.940000000000001
28.57,11.110000000000001,16.0,0.0,0.0,0.0,17.14,6.67,9.6
30.0,6.7,10.95,6.12,1.35,2.21,22.0,4.91,8.03
9.520000000000001,11.540000000000001,10.43,1.6099999999999999,1.96,1.77,7.9399999999999995,9.62,8.7
34.62,15.52,21.43,0.0,0.0,0.0,26.919999999999998,12.07,16.669999999999998
31.03,5.33,9.09,0.0,0.0,0.0,24.14,4.14,7.07
24.32,13.04,16.98,0.0,0.0,0.0,13.51,7.249999999999999,9.43
8.33,7.5,7.89,0.0,0.0,0.0,5.56,5.0,5.26
18.18,6.9,10.0,3.1199999999999997,1.16,1.69,12.120000000000001,4.6,6.67
12.24,27.27,16.900000000000002,2.08,4.760000000000001,2.9000000000000004,12.24,27.27,16.900000000000002
20.41,16.39,18.18,8.33,6.67,7.41,12.24,9.84,10.91
4.17,4.44,4.3,0.0,0.0,0.0,4.17,4.44,4.3
64.29,2.81,5.390000000000001,7.6899999999999995,0.31,0.6,50.0,2.19,4.19
25.0,25.45,25.230000000000004,1.82,1.8499999999999999,1.83,17.86,18.18,18.02
31.819999999999997,14.14,19.580000000000002,0.0,0.0,0.0,18.18,8.08,11.19
5.26,14.81,7.7700000000000005,0.0,0.0,0.0,5.26,14.81,7.7700000000000005
25.0,3.1399999999999997,5.58,4.35,0.53,0.9400000000000001,16.669999999999998,2.09,3.7199999999999998
14.29,22.86,17.580000000000002,3.64,5.88,4.49,10.71,17.14,13.19
17.86,10.870000000000001,13.51,0.0,0.0,0.0,8.93,5.43,6.76
11.690000000000001,29.03,16.669999999999998,0.0,0.0,0.0,6.49,16.13,9.26
10.0,2.86,4.44,2.56,0.72,1.1199999999999999,7.5,2.1399999999999997,3.3300000000000005
11.63,10.870000000000001,11.24,0.0,0.0,0.0,9.3,8.7,8.99
8.93,25.0,13.16,0.0,0.0,0.0,5.36,15.0,7.89
4.08,15.379999999999999,6.45,2.08,8.33,3.3300000000000005,4.08,15.379999999999999,6.45
6.9,5.56,6.15,0.0,0.0,0.0,6.9,5.56,6.15
12.9,13.79,13.33,3.3300000000000005,3.5700000000000003,3.45,9.68,10.34,10.0
11.540000000000001,23.080000000000002,15.379999999999999,0.0,0.0,0.0,7.6899999999999995,15.379999999999999,10.26
3.0300000000000002,4.0,3.45,0.0,0.0,0.0,3.0300000000000002,4.0,3.45
20.630000000000003,23.21,21.85,0.0,0.0,0.0,12.7,14.29,13.450000000000001
11.29,20.59,14.580000000000002,0.0,0.0,0.0,9.68,17.65,12.5
13.11,20.51,16.0,0.0,0.0,0.0,8.200000000000001,12.82,10.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21.279999999999998,7.19,10.75,0.0,0.0,0.0,10.639999999999999,3.5999999999999996,5.38
30.159999999999997,13.48,18.63,1.6099999999999999,0.7100000000000001,0.9900000000000001,15.870000000000001,7.090000000000001,9.8
20.9,8.7,12.280000000000001,1.52,0.62,0.88,17.91,7.449999999999999,10.530000000000001
21.88,11.48,15.049999999999999,0.0,0.0,0.0,12.5,6.5600000000000005,8.6
85.71,12.120000000000001,21.240000000000002,61.53999999999999,8.16,14.41,78.57,11.110000000000001,19.470000000000002
14.29,28.57,19.05,1.4500000000000002,2.94,1.94,10.0,20.0,13.33
13.51,6.25,8.55,2.78,1.27,1.7399999999999998,10.81,5.0,6.84
14.81,8.790000000000001,11.03,0.0,0.0,0.0,11.110000000000001,6.59,8.28
37.5,1.97,3.74,0.0,0.0,0.0,25.0,1.31,2.4899999999999998
15.709999999999999,18.029999999999998,16.79,1.4500000000000002,1.67,1.55,8.57,9.84,9.16
59.650000000000006,5.489999999999999,10.059999999999999,14.29,1.29,2.37,40.35,3.7199999999999998,6.800000000000001
32.26,19.8,24.54,4.92,3.0,3.73,17.740000000000002,10.89,13.5
22.220000000000002,18.459999999999997,20.169999999999998,1.8900000000000001,1.5599999999999998,1.71,11.110000000000001,9.229999999999999,10.08
25.929999999999996,12.8,17.14,1.25,0.61,0.8200000000000001,14.81,7.32,9.8
4.55,3.39,3.88,0.0,0.0,0.0,4.55,3.39,3.88
15.709999999999999,12.94,14.19,0.0,0.0,0.0,11.43,9.41,10.32
10.94,10.290000000000001,10.61,0.0,0.0,0.0,7.8100000000000005,7.35,7.580000000000001
19.57,6.04,9.229999999999999,4.44,1.35,2.07,17.39,5.37,8.21
44.74,26.979999999999997,33.660000000000004,21.62,12.9,16.16,34.21,20.630000000000003,25.740000000000002
31.94,13.450000000000001,18.93,2.82,1.18,1.66,16.669999999999998,7.02,9.879999999999999
10.71,29.03,15.65,2.41,6.67,3.54,7.140000000000001,19.35,10.43
23.73,10.07,14.14,0.0,0.0,0.0,15.25,6.47,9.09
3.85,17.65,6.32,0.0,0.0,0.0,3.85,17.65,6.32
21.15,26.19,23.400000000000002,3.92,4.88,4.35,13.459999999999999,16.669999999999998,14.89
23.189999999999998,8.6,12.55,0.0,0.0,0.0,13.04,4.84,7.06
48.61,7.88,13.569999999999999,7.04,1.13,1.95,29.17,4.73,8.14
7.84,10.81,9.09,0.0,0.0,0.0,3.92,5.41,4.55
31.819999999999997,12.839999999999998,18.3,4.65,1.8499999999999999,2.65,22.73,9.17,13.07
15.620000000000001,8.77,11.24,0.0,0.0,0.0,12.5,7.02,8.99
22.0,11.459999999999999,15.07,0.0,0.0,0.0,14.000000000000002,7.290000000000001,9.59
15.379999999999999,7.19,9.8,0.0,0.0,0.0,9.229999999999999,4.32,5.88
12.120000000000001,2.6,4.279999999999999,0.0,0.0,0.0,9.09,1.95,3.2099999999999995
19.74,14.29,16.57,2.67,1.92,2.23,10.530000000000001,7.62,8.84
16.88,20.630000000000003,18.57,0.0,0.0,0.0,10.39,12.7,11.43
8.33,22.73,12.2,0.0,0.0,0.0,6.67,18.18,9.76
17.19,34.38,22.919999999999998,3.17,6.45,4.26,9.379999999999999,18.75,12.5
1.39,4.17,2.08,0.0,0.0,0.0,1.39,4.17,2.08
63.63999999999999,5.6899999999999995,10.45,12.959999999999999,1.1400000000000001,2.1,40.0,3.58,6.569999999999999
8.450000000000001,33.33,13.48,2.86,11.76,4.6,5.63,22.220000000000002,8.99
30.0,12.33,17.48,6.78,2.76,3.92,20.0,8.219999999999999,11.65
12.86,17.31,14.75,1.4500000000000002,1.96,1.67,11.43,15.379999999999999,13.11
22.220000000000002,17.24,19.42,5.62,4.35,4.9,13.33,10.34,11.65
30.0,12.8,17.95,0.0,0.0,0.0,15.709999999999999,6.710000000000001,9.4
10.639999999999999,14.71,12.35,1.08,1.49,1.25,5.319999999999999,7.35,6.17
19.72,20.59,20.14,1.43,1.49,1.46,11.27,11.76,11.51
46.150000000000006,16.07,23.84,12.989999999999998,4.4799999999999995,6.67,23.080000000000002,8.04,11.92
19.12,5.510000000000001,8.55,1.49,0.43,0.66,14.71,4.24,6.58
29.21,14.69,19.55,2.27,1.1400000000000001,1.52,16.85,8.469999999999999,11.28
43.64,14.29,21.52,5.56,1.7999999999999998,2.71,18.18,5.949999999999999,8.97
8.77,16.669999999999998,11.49,1.79,3.45,2.35,7.02,13.33,9.2
11.63,31.25,16.950000000000003,1.18,3.2300000000000004,1.72,8.14,21.88,11.86
39.53,12.98,19.54,4.760000000000001,1.54,2.33,23.26,7.630000000000001,11.49
29.23,18.45,22.62,1.5599999999999998,0.98,1.2,15.379999999999999,9.71,11.899999999999999
35.38,9.66,15.18,3.1199999999999997,0.84,1.3299999999999998,23.080000000000002,6.3,9.9
21.82,11.65,15.190000000000001,0.0,0.0,0.0,14.549999999999999,7.7700000000000005,10.13
38.0,11.52,17.669999999999998,6.12,1.83,2.82,20.0,6.0600000000000005,9.3
21.62,17.02,19.05,0.0,0.0,0.0,13.51,10.639999999999999,11.899999999999999
40.239999999999995,9.94,15.939999999999998,3.6999999999999997,0.91,1.46,19.509999999999998,4.82,7.7299999999999995
23.44,19.74,21.43,0.0,0.0,0.0,10.94,9.21,10.0
47.46,8.05,13.76,5.17,0.86,1.48,23.73,4.02,6.88
20.0,6.45,9.76,0.0,0.0,0.0,15.0,4.84,7.32
30.65,10.440000000000001,15.57,0.0,0.0,0.0,16.13,5.489999999999999,8.200000000000001
26.0,8.18,12.44,2.04,0.63,0.97,12.0,3.7699999999999996,5.74
28.57,14.879999999999999,19.57,3.2300000000000004,1.67,2.1999999999999997,17.46,9.09,11.959999999999999
29.549999999999997,8.9,13.68,2.33,0.69,1.06,18.18,5.48,8.42
23.94,14.530000000000001,18.09,4.29,2.59,3.2300000000000004,14.08,8.55,10.639999999999999
14.29,14.29,14.29,1.4500000000000002,1.4500000000000002,1.4500000000000002,10.0,10.0,10.0
41.67,10.75,17.09,4.26,1.08,1.72,22.919999999999998,5.91,9.4
32.76,9.41,14.62,5.26,1.49,2.33,20.69,5.94,9.229999999999999
12.64,16.919999999999998,14.469999999999999,1.16,1.5599999999999998,1.3299999999999998,8.05,10.77,9.21
7.9399999999999995,11.899999999999999,9.520000000000001,1.6099999999999999,2.44,1.94,7.9399999999999995,11.899999999999999,9.520000000000001
8.33,9.76,8.99,0.0,0.0,0.0,6.25,7.32,6.74
37.74,10.100000000000001,15.939999999999998,1.92,0.51,0.8,26.419999999999998,7.07,11.16
26.25,14.580000000000002,18.75,0.0,0.0,0.0,13.750000000000002,7.64,9.82
8.33,13.639999999999999,10.34,0.0,0.0,0.0,5.56,9.09,6.9
29.630000000000003,10.6,15.61,1.8900000000000001,0.67,0.9900000000000001,18.52,6.619999999999999,9.76
