bs_p,bs_r,bs_f
67.15,63.01,65.01
62.56,64.49000000000001,63.51
67.11,60.58,63.68000000000001
62.660000000000004,65.08,63.849999999999994
64.12,65.77,64.94
68.42,69.39999999999999,68.91000000000001
61.029999999999994,63.71,62.339999999999996
63.029999999999994,70.25,66.44
64.3,66.49000000000001,65.38000000000001
68.41000000000001,60.72,64.33
64.95,61.72,63.29
69.17999999999999,65.91,67.5
71.28,68.27,69.74000000000001
68.76,67.16,67.95
61.46,60.56,61.01
72.49,61.58,66.59
68.36,66.75999999999999,67.55
65.94,61.980000000000004,63.9
61.56,55.22,58.220000000000006
64.46,64.9,64.68
65.18,63.019999999999996,64.09
62.029999999999994,59.45,60.72
67.97,67.0,67.47999999999999
72.0,63.55,67.51
65.78,54.56999999999999,59.650000000000006
64.01,57.58,60.62
72.69,73.71,73.2
63.3,65.69,64.47
64.67,59.3,61.870000000000005
62.77,57.38999999999999,59.96
61.91,57.17,59.45
67.12,67.36999999999999,67.25
67.05,62.370000000000005,64.63
60.92999999999999,57.28,59.050000000000004
71.24000000000001,61.73,66.14999999999999
67.75,60.209999999999994,63.75999999999999
63.080000000000005,69.61,66.18
71.11,64.7,67.75999999999999
67.30000000000001,64.22,65.72
69.89999999999999,64.83,67.27
66.51,67.0,66.75
67.97999999999999,70.52000000000001,69.23
67.86,59.72,63.53
64.18,64.58,64.38000000000001
63.99,62.77,63.38
71.65,67.0,69.24
69.78999999999999,65.22,67.43
67.0,61.77,64.28
67.12,64.17,65.61
62.01,63.29,62.63999999999999
60.440000000000005,64.98,62.629999999999995
67.74,62.970000000000006,65.27
65.36,61.419999999999995,63.33
68.86,60.22,64.25
65.19,62.9,64.03
64.59,63.78,64.18
65.08,45.92,53.849999999999994
67.99,60.81999999999999,64.21
71.89,69.56,70.7
66.8,65.75999999999999,66.27
65.11,67.97,66.51
64.5,60.86,62.629999999999995
65.28,64.14999999999999,64.71000000000001
65.03,58.550000000000004,61.62
67.54,70.25,68.87
68.42,62.7,65.44
62.050000000000004,64.66,63.32
63.1,57.269999999999996,60.050000000000004
62.239999999999995,64.03,63.12
64.75,61.82,63.24999999999999
67.31,68.01,67.66
64.02,55.50000000000001,59.46
68.25,66.3,67.25999999999999
64.27000000000001,66.67,65.45
63.849999999999994,71.57,67.49000000000001
62.18,63.07000000000001,62.62
62.01,62.09,62.050000000000004
62.970000000000006,63.79,63.38
67.88,68.44,68.16
66.19,64.03,65.09
63.51,70.00999999999999,66.60000000000001
59.88,62.07,60.96
65.97,62.83,64.36
62.39,59.050000000000004,60.67
66.64,63.94,65.25999999999999
65.88000000000001,60.17,62.9
67.29,63.6,65.39
70.96000000000001,63.79,67.19000000000001
62.91,64.81,63.849999999999994
64.21,62.5,63.339999999999996
63.51,59.74,61.56
61.309999999999995,55.36,58.18
67.17999999999999,65.36,66.25999999999999
62.35000000000001,56.989999999999995,59.550000000000004
63.470000000000006,60.540000000000006,61.970000000000006
70.64,64.53999999999999,67.45
67.30000000000001,61.0,64.0
58.69,59.08,58.879999999999995
68.08999999999999,67.60000000000001,67.85
64.61,63.85999999999999,64.23
63.92,60.0,61.9
74.52,73.74000000000001,74.13
66.52,61.31999999999999,63.81
64.49000000000001,66.07,65.27
60.089999999999996,57.36,58.69
62.580000000000005,63.93,63.24999999999999
65.97,62.480000000000004,64.18
62.32,56.95,59.51
65.75999999999999,59.13,62.27
66.33,65.91,66.12
65.57,61.41,63.42
64.5,62.55,63.51
63.629999999999995,54.910000000000004,58.95
63.81,60.35,62.03999999999999
57.97,51.78,54.7
58.3,58.51,58.41
72.97,59.08,65.3
63.13999999999999,68.64,65.77
68.33,68.14,68.23
62.4,59.040000000000006,60.67
60.709999999999994,55.400000000000006,57.93000000000001
63.160000000000004,63.77,63.46000000000001
70.78999999999999,58.650000000000006,64.14999999999999
60.91,59.69,60.29
64.2,59.160000000000004,61.58
64.35,57.68,60.83
64.7,64.67,64.68
63.160000000000004,61.44,62.29
66.25999999999999,60.589999999999996,63.3
62.79,57.989999999999995,60.3
64.48,59.699999999999996,62.0
68.55,65.18,66.82000000000001
58.099999999999994,66.13,61.86000000000001
64.42,67.03,65.7
65.47,60.74,63.019999999999996
67.86999999999999,64.14,65.96
64.36,60.49,62.370000000000005
51.76,51.690000000000005,51.73
66.61,61.35,63.870000000000005
65.32,62.63999999999999,63.949999999999996
64.92,60.73,62.760000000000005
65.36,59.099999999999994,62.08
66.63,60.4,63.36000000000001
65.62,53.59,59.0
66.14,58.85,62.28
65.19,60.99,63.019999999999996
67.19000000000001,59.28,62.99
63.81,57.95,60.74
59.809999999999995,58.47,59.13
66.46,66.11,66.28
64.11,57.489999999999995,60.62
65.36999999999999,60.36,62.77
67.97999999999999,65.66,66.8
67.57,65.48,66.51
68.60000000000001,68.15,68.38
64.36,57.220000000000006,60.58
67.04,58.589999999999996,62.529999999999994
66.49000000000001,59.8,62.970000000000006
66.32000000000001,58.77,62.32
68.56,68.22,68.39
57.26,56.82000000000001,57.04
64.46,58.34,61.25000000000001
63.89,65.13,64.5
58.56,57.269999999999996,57.91
69.07,65.67,67.33
62.62,57.010000000000005,59.68
59.37,57.16,58.25
66.23,64.45,65.33
67.36,63.04,65.13
66.75999999999999,59.3,62.81
59.03,61.970000000000006,60.46
65.97,58.330000000000005,61.91
72.76,62.949999999999996,67.5
66.36999999999999,66.03999999999999,66.2
63.4,58.95,61.1
68.66,59.74,63.89
63.160000000000004,58.60999999999999,60.8
71.41999999999999,60.17,65.31
63.92,62.68,63.29
64.88000000000001,64.22,64.55
66.06,57.99999999999999,61.77
65.99000000000001,57.68,61.550000000000004
60.01,61.94,60.96
65.61,60.97,63.21
59.89,57.16,58.489999999999995
62.99,63.01,63.0
65.86,65.47,65.66
66.33,69.98,68.10000000000001
68.26,67.03,67.64
66.07,61.040000000000006,63.449999999999996
64.13,63.959999999999994,64.03999999999999
65.84,63.080000000000005,64.42999999999999
66.71000000000001,58.379999999999995,62.27
68.87,64.99000000000001,66.86999999999999
63.5,58.87,61.1
64.4,65.33,64.86
66.82000000000001,67.75,67.28
59.36,57.440000000000005,58.379999999999995
66.59,63.01,64.75
64.5,65.12,64.81
66.16,55.37,60.29
63.07000000000001,60.040000000000006,61.519999999999996
65.14,57.03,60.81999999999999
65.22,63.55,64.37
60.019999999999996,60.99,60.5
65.45,59.29,62.22
65.63,56.279999999999994,60.589999999999996
65.38000000000001,61.78,63.53
65.62,62.88,64.22
66.96,62.4,64.60000000000001
62.980000000000004,56.120000000000005,59.36
62.53999999999999,64.46,63.480000000000004
70.24000000000001,61.6,65.64
66.75999999999999,59.28,62.8
69.69999999999999,67.78999999999999,68.73
62.56,64.21,63.38
64.92999999999999,60.309999999999995,62.53999999999999
65.48,60.25,62.760000000000005
56.31,56.92,56.620000000000005
68.57,62.68,65.49000000000001
58.379999999999995,53.05,55.589999999999996
65.22,63.78,64.49000000000001
65.96,63.82,64.88000000000001
63.68000000000001,57.489999999999995,60.42999999999999
64.17,56.88999999999999,60.309999999999995
63.160000000000004,58.91,60.96
64.60000000000001,66.53,65.55
58.220000000000006,56.66,57.43000000000001
67.7,61.25000000000001,64.32
61.19,54.6,57.709999999999994
61.44,67.84,64.48
60.24,62.23,61.22
62.629999999999995,57.28,59.84
66.47999999999999,60.34,63.260000000000005
65.69,65.95,65.82000000000001
65.38000000000001,62.760000000000005,64.03999999999999
61.51,63.42,62.45
64.73,69.3,66.94
66.4,56.96,61.31999999999999
67.0,63.01,64.95
66.41,79.96,72.56
63.190000000000005,58.599999999999994,60.809999999999995
67.52,63.019999999999996,65.19
68.67,60.57,64.37
62.3,58.199999999999996,60.18
64.74,58.489999999999995,61.46
63.55,60.58,62.029999999999994
70.65,59.519999999999996,64.60000000000001
58.81999999999999,53.28000000000001,55.910000000000004
64.56,58.720000000000006,61.5
63.73,54.11,58.53
62.9,66.32000000000001,64.56
65.14999999999999,57.730000000000004,61.21
64.23,65.88000000000001,65.03999999999999
66.14999999999999,61.309999999999995,63.63999999999999
60.19,60.49,60.34
64.24,59.61,61.839999999999996
67.97,58.46,62.86000000000001
63.4,60.57,61.95
61.980000000000004,55.910000000000004,58.79
62.91,54.93,58.650000000000006
68.37,61.53999999999999,64.78
64.09,57.76,60.760000000000005
66.75999999999999,58.650000000000006,62.45
64.82,61.06,62.89
57.599999999999994,51.480000000000004,54.37
65.33,66.93,66.12
66.34,67.42,66.86999999999999
63.73,58.379999999999995,60.940000000000005
65.73,55.98,60.47
63.949999999999996,64.60000000000001,64.27000000000001
65.11,62.28,63.67
68.32000000000001,60.870000000000005,64.38000000000001
66.77,63.23,64.95
65.71000000000001,72.3,68.85
66.29,61.22,63.660000000000004
67.69,64.01,65.8
68.52000000000001,62.69,65.47
63.959999999999994,67.07,65.48
66.01,61.41,63.629999999999995
67.67,64.39,65.99000000000001
69.1,65.48,67.24
69.35,69.34,69.34
65.42999999999999,65.57,65.5
70.03,67.63,68.81
62.09,69.78,65.71000000000001
63.470000000000006,52.980000000000004,57.75
64.75,62.0,63.339999999999996
64.86,59.84,62.25000000000001
61.69,59.88,60.77
67.33,67.41,67.36999999999999
65.03999999999999,62.38,63.68000000000001
60.69,63.54,62.08
69.3,69.1,69.19999999999999
72.25,63.41,67.54
67.73,63.63999999999999,65.62
66.36999999999999,60.68,63.4
68.69,54.09,60.519999999999996
69.87,65.73,67.73
65.94,62.949999999999996,64.41
63.68000000000001,57.269999999999996,60.3
65.38000000000001,57.84,61.38
64.07000000000001,65.71000000000001,64.88000000000001
68.15,75.25,71.52
65.32,59.0,62.0
66.47,61.4,63.83
69.77,66.67999999999999,68.19
67.27,57.91,62.239999999999995
64.85,65.78,65.31
63.46000000000001,61.3,62.36000000000001
69.55,69.23,69.39
68.78,63.85999999999999,66.23
67.05,61.21,64.0
73.21,58.620000000000005,65.11
64.48,57.84,60.980000000000004
69.06,63.7,66.27
65.88000000000001,58.8,62.13999999999999
62.18,53.03,57.24
63.480000000000004,60.25,61.83
68.52000000000001,67.75999999999999,68.14
62.56,59.48,60.980000000000004
65.55,59.17,62.2
70.42,66.84,68.58
65.89,66.4,66.14
63.91,56.879999999999995,60.19
55.52,60.29,57.809999999999995
63.59,61.09,62.31
65.73,63.07000000000001,64.37
67.84,45.08,54.169999999999995
67.47999999999999,63.07000000000001,65.2
69.05,58.4,63.28
62.99,61.019999999999996,61.99
66.36999999999999,69.93,68.10000000000001
61.38,54.559999999999995,57.769999999999996
66.08000000000001,60.209999999999994,63.01
68.7,65.38000000000001,67.0
62.07,69.07,65.38000000000001
68.71000000000001,60.42999999999999,64.3
62.78,60.47,61.6
63.99,72.36,67.92
64.64,61.85000000000001,63.21
66.24,63.239999999999995,64.7
63.480000000000004,62.9,63.190000000000005
66.75999999999999,62.050000000000004,64.32
67.32000000000001,59.13,62.96000000000001
68.75,60.27,64.23
62.77,63.370000000000005,63.07000000000001
68.54,60.67,64.37
61.72,63.839999999999996,62.760000000000005
66.67999999999999,63.44,65.02
65.75999999999999,65.97,65.86
61.919999999999995,54.800000000000004,58.14
64.61,63.77,64.19
66.9,62.13999999999999,64.42999999999999
66.16,66.97,66.57
61.71,63.349999999999994,62.519999999999996
68.56,64.22,66.32000000000001
66.8,69.69999999999999,68.22
67.9,72.89,70.30999999999999
61.8,57.89,59.78
65.45,68.51,66.94
68.04,63.01,65.42999999999999
66.5,65.68,66.09
65.14999999999999,65.55,65.35
65.5,60.650000000000006,62.980000000000004
67.36,66.73,67.04
66.4,66.02,66.21000000000001
67.64,60.19,63.7
64.24,60.11,62.11
64.05,58.74,61.28
63.89,49.75,55.94
67.86,66.22,67.03
66.39,59.84,62.949999999999996
65.22,56.989999999999995,60.81999999999999
65.14,61.870000000000005,63.46000000000001
63.849999999999994,66.23,65.02
60.91,67.46,64.02
67.35,59.37,63.11
59.03,62.68,60.8
69.84,64.53,67.08
65.53,69.59,67.5
66.42,62.339999999999996,64.32
65.03999999999999,56.220000000000006,60.309999999999995
63.870000000000005,61.24000000000001,62.529999999999994
65.81,65.14,65.48
66.60000000000001,65.78,66.19
63.39,58.18,60.67
71.1,64.68,67.74
63.72,55.300000000000004,59.209999999999994
60.69,61.17,60.92999999999999
68.19,62.19,65.05
66.47,65.85,66.16
69.12,64.2,66.57
66.75,66.32000000000001,66.53
66.79,60.95,63.73
61.88,60.25,61.06
64.33,65.89,65.10000000000001
68.52000000000001,69.65,69.08
64.95,60.41,62.6
66.28,57.48,61.57
66.55,61.08,63.7
65.8,66.08000000000001,65.94
68.14,61.660000000000004,64.74
61.25000000000001,64.18,62.68
64.25,59.019999999999996,61.519999999999996
64.08,67.15,65.58
61.91,58.06,59.919999999999995
68.36,68.5,68.43
62.36000000000001,58.550000000000004,60.39
69.87,63.629999999999995,66.60000000000001
53.56999999999999,57.78,55.60000000000001
64.8,59.67,62.129999999999995
66.2,65.31,65.75
68.63,63.190000000000005,65.8
67.36,66.31,66.83
68.27,62.35000000000001,65.16999999999999
73.03,58.96,65.25
65.33,67.72,66.5
61.22,64.92999999999999,63.029999999999994
59.919999999999995,52.16,55.769999999999996
64.51,59.89,62.12
66.10000000000001,67.13,66.61
60.91,61.839999999999996,61.370000000000005
67.12,64.7,65.89
65.77,62.629999999999995,64.16
64.01,59.03,61.419999999999995
64.71000000000001,63.349999999999994,64.03
66.33,60.47,63.27
66.09,65.07,65.57
65.44,61.42999999999999,63.370000000000005
66.4,61.550000000000004,63.88
68.17,62.029999999999994,64.95
65.91,65.28,65.59
69.17999999999999,67.27,68.22
64.72,70.92,67.67999999999999
65.31,61.44,63.32
64.75,59.57,62.050000000000004
62.339999999999996,55.76,58.86
69.42,53.23,60.25
65.60000000000001,64.33,64.96
64.46,59.95,62.12
62.61,56.989999999999995,59.67
65.9,64.55,65.22
68.58,66.25,67.4
63.029999999999994,59.75,61.35
71.2,59.45,64.8
64.75999999999999,57.92,61.150000000000006
66.31,65.08,65.69
72.16,66.71000000000001,69.33
66.7,65.21000000000001,65.95
69.13,66.19,67.63
70.78,56.44,62.8
69.63000000000001,61.09,65.08
68.06,65.25999999999999,66.63
62.81,55.06999999999999,58.69
66.06,69.63000000000001,67.80000000000001
68.78999999999999,66.12,67.43
72.86,66.84,69.72
64.64,63.3,63.970000000000006
67.44,72.04,69.66
59.78,58.230000000000004,59.0
60.629999999999995,56.05,58.25
62.71,62.18,62.44
66.44,58.89,62.43
54.010000000000005,50.3,52.09
62.949999999999996,58.91,60.86
68.58,60.84,64.48
63.849999999999994,62.480000000000004,63.160000000000004
67.01,64.59,65.78
70.34,65.99000000000001,68.10000000000001
66.42,61.9,64.08
66.78,63.800000000000004,65.25999999999999
65.98,67.58999999999999,66.77
64.34,57.989999999999995,61.0
66.29,65.60000000000001,65.94
59.519999999999996,60.650000000000006,60.08
66.75999999999999,63.51,65.09
64.84,46.46,54.14
62.68,65.42,64.02
66.14999999999999,61.89,63.949999999999996
67.61,60.33,63.75999999999999
66.51,68.42,67.46
58.489999999999995,53.879999999999995,56.089999999999996
64.25999999999999,62.74999999999999,63.49
63.339999999999996,65.3,64.31
59.489999999999995,59.830000000000005,59.660000000000004
62.5,58.36,60.36
63.160000000000004,57.8,60.36
61.980000000000004,67.33,64.53999999999999
61.39,58.089999999999996,59.699999999999996
65.41,63.190000000000005,64.28
64.28,62.18,63.21
64.35,64.37,64.36
65.01,62.28,63.61
64.52,56.93,60.49
61.839999999999996,57.440000000000005,59.56
62.69,54.74,58.440000000000005
69.89999999999999,64.84,67.27
66.07,60.260000000000005,63.029999999999994
65.99000000000001,66.43,66.21000000000001
67.2,59.47,63.1
62.980000000000004,61.7,62.33
67.52,59.77,63.41
65.06,64.25,64.64999999999999
66.10000000000001,63.18,64.60000000000001
63.68000000000001,61.31999999999999,62.470000000000006
71.41,64.53,67.80000000000001
63.43,56.82000000000001,59.940000000000005
64.19,56.46,60.08
69.39,60.129999999999995,64.42999999999999
67.02,59.31999999999999,62.94
64.4,59.309999999999995,61.75000000000001
64.96,60.3,62.53999999999999
59.260000000000005,54.67999999999999,56.879999999999995
64.47,65.58,65.02
66.24,61.77,63.93
68.30000000000001,64.74,66.47
64.35,60.31999999999999,62.27
65.01,70.89,67.82000000000001
61.47,68.75,64.91
63.949999999999996,61.33,62.61
61.61,65.21000000000001,63.36000000000001
66.06,64.05999999999999,65.05
65.21000000000001,62.86000000000001,64.02
70.36,65.61,67.9
66.31,60.35,63.190000000000005
61.040000000000006,65.84,63.349999999999994
60.67,53.13,56.65
72.91,74.5,73.7
66.62,66.59,66.61
67.32000000000001,64.49000000000001,65.86999999999999
67.27,61.519999999999996,64.27000000000001
60.709999999999994,61.88,61.29
63.09,60.760000000000005,61.9
65.68,65.58,65.63
69.54,68.13,68.83
60.650000000000006,61.519999999999996,61.08
69.08,62.96000000000001,65.88000000000001
71.45,65.8,68.5
63.980000000000004,65.74,64.85
65.51,62.69,64.07000000000001
75.69,61.51,67.86999999999999
66.25999999999999,61.629999999999995,63.85999999999999
64.64999999999999,59.209999999999994,61.809999999999995
60.81999999999999,66.14999999999999,63.38
66.95,62.82,64.82
68.92,64.17,66.46
56.510000000000005,56.53,56.52
71.00999999999999,56.75,63.080000000000005
68.44,65.0,66.67
67.89,60.41,63.93
66.57,66.39,66.47999999999999
69.08999999999999,63.519999999999996,66.18
63.22,55.64,59.19
67.19000000000001,65.08,66.12
65.55,62.480000000000004,63.980000000000004
65.41,60.089999999999996,62.63999999999999
60.78,57.720000000000006,59.209999999999994
64.61,63.82,64.22
68.46,60.3,64.12
67.92,62.660000000000004,65.18
67.56,66.64,67.10000000000001
63.5,64.18,63.839999999999996
68.14,63.480000000000004,65.72
68.06,62.55,65.19
62.17,58.95,60.519999999999996
66.16,59.85,62.839999999999996
71.69,76.98,74.24
70.32000000000001,69.57,69.95
64.5,62.92,63.7
63.129999999999995,63.370000000000005,63.24999999999999
66.59,67.47,67.02
66.03999999999999,61.18,63.51
62.470000000000006,49.36,55.14
59.150000000000006,64.48,61.7
60.49,60.19,60.34
61.23,56.03,58.51
67.56,64.92999999999999,66.22
65.39,59.48,62.29
