bleu,p,bp,lr,rl,pl
0.0,,0.30807274006843915,0.45925925925925926,135,62
0.0,,1.0,2.2,40,88
0.0,,0.0665017965570692,0.2695035460992908,141,38
0.0,,1.0,1.5098039215686274,51,77
0.0,,1.0,2.0444444444444443,45,92
0.0,,1.0,1.2153846153846153,65,79
0.0,,0.8564754905352794,0.8658536585365854,82,71
0.0,,1.0,4.238095238095238,21,89
0.0,,1.0,2.9642857142857144,28,83
0.0,,0.1701911037950285,0.3609022556390977,133,48
0.0,,0.6400852898263115,0.6914893617021277,94,65
0.0,,0.5434834098395639,0.6212121212121212,66,41
0.0556,,0.6206902728627276,0.6770833333333334,96,65
0.0,,1.0,1.391304347826087,46,64
0.0,,0.9422130996789303,0.9438202247191011,89,84
0.0,,0.21871188695221475,0.3968253968253968,63,25
0.0,,1.0,1.3181818181818181,44,58
0.0,,0.8533917415707174,0.8631578947368421,95,82
0.0,,0.0006575938431167944,0.12009237875288684,433,52
0.0,,1.0,2.148936170212766,47,101
0.0,,0.7490954336047507,0.7758620689655172,58,45
0.0,,1.0,1.7419354838709677,31,54
0.0,,1.0,1.375,48,66
0.0,,0.08770863359934146,0.2912280701754386,285,83
0.0,,1.9844449603237515e-05,0.08454810495626822,343,29
0.0,,0.2134304107426345,0.3930131004366812,229,90
0.1583,,1.0,1.4444444444444444,36,52
0.0,,1.0,3.0434782608695654,23,70
0.0,,0.06392786120670757,0.26666666666666666,165,44
0.0,,0.2842035659337988,0.44285714285714284,140,62
0.0,,1.0,1.015625,64,65
0.0,,1.0,1.45,60,87
0.0,,0.420012889236166,0.535483870967742,155,83
0.0,,0.8071177470053892,0.8235294117647058,51,42
0.0,,0.0973669651518094,0.30036630036630035,273,82
0.0,,0.11355833645881461,0.3149171270718232,181,57
0.0,,1.0,2.764705882352941,34,94
0.0388,,0.48954165955695317,0.5833333333333334,120,70
0.0,,0.6611377242318552,0.7073170731707317,82,58
0.0,,0.32627979462303947,0.4716981132075472,53,25
0.0,,1.0,1.5,36,54
0.0,,1.0,1.0857142857142856,35,38
0.0,,0.0005598705968176875,0.11781609195402298,348,41
0.0,,0.8668778997501817,0.875,56,49
0.0,,0.7019829564262411,0.7386363636363636,88,65
0.0,,0.6347364189402819,0.6875,64,44
0.0,,0.7903383629814982,0.8095238095238095,63,51
0.0,,0.38812471079490507,0.5137614678899083,109,56
0.0,,1.0,1.297872340425532,47,61
0.0,,1.0,2.3636363636363638,55,130
0.0,,1.0,1.1355932203389831,59,67
0.0,,0.6637590541774129,0.7093023255813954,86,61
0.0,,0.33287108369807955,0.47619047619047616,105,50
0.0,,0.0168213497154847,0.19665271966527198,239,47
0.0,,1.0,1.098360655737705,61,67
0.0,,1.0,1.0149253731343284,67,68
0.0,,5.852913329106603e-13,0.03428571428571429,175,6
0.0,,0.27413964557012743,0.4358974358974359,78,34
0.0,,1.0,1.0,47,47
0.0,,0.3283627411166252,0.4731182795698925,93,44
0.0,,1.0,2.2962962962962963,27,62
0.0,,0.9021800413348781,0.9066666666666666,75,68
0.0,,0.9216104472977248,0.9245283018867925,53,49
0.0,,0.014900668424247141,0.19207317073170732,328,63
0.0,,1.0,1.6721311475409837,61,102
0.0,,0.6106992389592893,0.6697247706422018,109,73
0.0,,1.0,2.4242424242424243,33,80
0.0,,0.020631167091639688,0.2048780487804878,205,42
0.0,,1.0,1.7,40,68
0.0,,0.9027833044627488,0.9072164948453608,97,88
0.0,,1.0,1.9230769230769231,39,75
0.0,,0.13022890900808254,0.3291139240506329,158,52
0.0,,1.0,1.1320754716981132,53,60
0.0,,1.0,2.0689655172413794,29,60
0.0,,1.0,3.2777777777777777,18,59
0.0,,1.0,1.7173913043478262,46,79
0.0,,1.0,1.6388888888888888,36,59
0.0,,1.0,1.5769230769230769,52,82
0.0,,1.0,2.2972972972972974,37,85
0.0,,0.9729746405665401,0.9733333333333334,75,73
0.0,,1.0,2.1219512195121952,41,87
0.0,,1.0,2.276595744680851,47,107
0.0,,1.0,1.4230769230769231,26,37
0.0,,0.31830767194648,0.4662576687116564,163,76
0.0,,0.4327911499579873,0.54421768707483,147,80
0.0,,0.14689565313423059,0.34269662921348315,178,61
0.0,,0.4757526784556506,0.5737704918032787,61,35
0.0564,,0.3612511637231152,0.4954954954954955,111,55
0.0,,1.0,1.975609756097561,41,81
0.0,,1.0,1.1951219512195121,82,98
0.0,,0.6703200460356393,0.7142857142857143,112,80
0.0,,0.05733617492545109,0.25914634146341464,328,85
0.0,,0.7721158390312759,0.7945205479452054,73,58
0.0,,0.0013180802627568197,0.1310344827586207,580,76
0.0,,0.8510449576692258,0.8611111111111112,108,93
0.0,,0.4723665527410147,0.5714285714285714,77,44
0.0,,0.36037196072630145,0.49489795918367346,196,97
0.0,,0.8093381520636311,0.8253968253968254,63,52
0.0,,0.6908289582597339,0.73,100,73
0.0,,0.9231163463866358,0.9259259259259259,81,75
0.0,,0.5338397522548968,0.6143790849673203,153,94
0.0,,1.0,1.2238805970149254,67,82
0.0,,0.11004162763586417,0.3118279569892473,186,58
0.0,,1.0,1.8157894736842106,38,69
0.0,,0.8113214757929423,0.8270676691729323,133,110
0.0,,1.0,2.5,28,70
0.0,,0.763173203433005,0.7872340425531915,47,37
0.0,,0.25829355350523764,0.42487046632124353,193,82
0.0,,0.005411775333502961,0.16079295154185022,454,73
0.0,,1.0,1.3043478260869565,46,60
0.0,,0.5015054295240181,0.5916666666666667,120,71
0.0,,0.8966489002565754,0.9016393442622951,61,55
0.0,,0.009403562551495213,0.17647058823529413,102,18
0.0,,0.23383840011408472,0.40764331210191085,157,64
0.0,,0.07642628699076812,0.28,175,49
0.0,,0.5252738063499883,0.6083333333333333,120,73
0.0,,0.01831563888873418,0.2,85,17
0.0,,1.0,2.3214285714285716,28,65
0.0,,1.0,1.0222222222222221,45,46
0.0,,1.0,1.457142857142857,35,51
0.0,,0.0001036383446406475,0.09828393135725429,641,63
0.0,,1.0,2.7916666666666665,24,67
0.0,,0.09328527355888382,0.296551724137931,145,43
0.0,,1.0,1.1451612903225807,62,71
0.0,,0.7503360977092312,0.7768595041322314,121,94
0.0,,0.5264143352802072,0.6091370558375635,197,120
0.0,,1.0,1.373134328358209,67,92
0.0,,1.0,1.0972222222222223,72,79
0.011,,0.13982113164480653,0.336996336996337,273,92
0.0,,0.21363672335175132,0.39316239316239315,234,92
0.0,,0.36021556625735535,0.4947916666666667,192,95
0.0,,0.36313267595861526,0.4967741935483871,155,77
0.0,,1.0,2.566666666666667,30,77
0.0,,1.0,1.8095238095238095,42,76
0.0,,0.36250903445882354,0.49635036496350365,137,68
0.0,,0.6539937172342277,0.7019230769230769,104,73
0.0,,0.16529888822158656,0.35714285714285715,252,90
0.0,,0.27502065063710324,0.4365079365079365,126,55
0.0,,0.20428579817889805,0.38636363636363635,176,68
0.0,,0.9187458341610336,0.921875,64,59
0.0,,0.04173268733758947,0.23943661971830985,355,85
0.0,,0.3406420441574411,0.48148148148148145,81,39
0.0,,0.03926192732595982,0.2359882005899705,339,80
0.0,,0.009403562551495213,0.17647058823529413,170,30
0.0,,0.14781929870560026,0.3434343434343434,198,68
0.0,,0.36390240507640703,0.4972972972972973,185,92
0.0,,0.30978554847668166,0.460431654676259,139,64
0.0,,0.05608132660510644,0.25766871165644173,163,42
0.0,,0.10977721055626811,0.3115942028985507,138,43
0.0,,1.0,1.225,80,98
0.0,,0.328782266728582,0.4734042553191489,188,89
0.0,,0.3430085174187066,0.4830917874396135,207,100
0.0,,1.0,1.0,66,66
0.0,,1.0,1.25,48,60
0.0,,0.9111723099960218,0.9148936170212766,47,43
0.0,,0.028115659748972045,0.21875,224,49
0.0,,0.07243975703425146,0.27586206896551724,174,48
0.0,,1.0,1.1428571428571428,28,32
0.0,,0.22490808034186824,0.4012738853503185,157,63
0.0,,0.9629672760127079,0.9636363636363636,55,53
0.0,,0.22573984004778114,0.40186915887850466,107,43
0.0,,0.1704640646087285,0.3611111111111111,216,78
0.0,,1.0,2.0,29,58
0.0,,1.0,1.6379310344827587,58,95
0.0,,0.23350647909091338,0.4074074074074074,81,33
0.0,,0.2960013380148583,0.45098039215686275,204,92
0.0,,0.791546831191154,0.8105263157894737,95,77
0.0,,0.6330898921891813,0.6862745098039216,102,70
0.0,,0.7613003866968737,0.7857142857142857,42,33
0.0,,0.09819944484167471,0.30113636363636365,176,53
0.0,,0.6838614092123559,0.7246376811594203,69,50
0.0,,0.010236267970384166,0.1791530944625407,307,55
0.0,,0.2893842179390507,0.44642857142857145,112,50
0.0,,1.0,1.5454545454545454,44,68
0.0,,0.14492964672379358,0.3411214953271028,214,73
0.0,,0.1353352832366127,0.3333333333333333,57,19
0.0,,0.5488116360940264,0.625,80,50
0.0,,0.0029151388195168314,0.14624505928853754,253,37
0.0,,1.0,1.0,68,68
0.0,,1.0,1.3555555555555556,45,61
0.0,,0.24371282199589897,0.4146341463414634,205,85
0.0,,0.44436405398476114,0.5521472392638037,163,90
0.0,,1.0,2.175,40,87
0.0,,0.3718999417115612,0.5027322404371585,183,92
0.0,,0.6636502501363194,0.7092198581560284,141,100
0.0,,1.0,2.6333333333333333,30,79
0.0,,1.0,2.0526315789473686,38,78
0.0,,1.0,2.090909090909091,33,69
0.0,,0.914165556647113,0.9176470588235294,85,78
0.0,,0.583141248820182,0.6496350364963503,137,89
0.0,,1.0,1.2424242424242424,66,82
0.0,,0.5844774744078344,0.6506024096385542,83,54
0.0,,0.09370093990137753,0.29694323144104806,229,68
0.0,,0.4196135742075637,0.5352112676056338,71,38
0.0,,0.40708463074176277,0.5266666666666666,150,79
0.0,,1.0,1.6455696202531647,79,130
0.0,,1.0,1.1428571428571428,56,64
0.0,,0.5561781253709418,0.6302521008403361,119,75
0.0,,0.9270409165125936,0.9295774647887324,71,66
0.0,,1.0,1.2753623188405796,69,88
0.0,,0.0319224918348957,0.225,160,36
0.0,,0.7136594454457686,0.7477477477477478,111,83
0.0,,0.052743871561314,0.25365853658536586,205,52
0.0,,0.7978725136602237,0.8157894736842105,38,31
0.0,,0.6751251871527363,0.717948717948718,39,28
0.0,,0.5464045713818089,0.6232876712328768,146,91
0.0,,0.00359773434450349,0.15088757396449703,338,51
0.0,,0.8364643072929833,0.8484848484848485,99,84
0.0,,0.7046880897187133,0.7407407407407407,81,60
0.0,,0.6761743325317475,0.71875,64,46
0.0,,0.08427380392170367,0.2878787878787879,198,57
0.0,,1.0,1.5675675675675675,37,58
0.0,,0.4723665527410147,0.5714285714285714,56,32
0.0,,0.07230473422709045,0.2757201646090535,243,67
0.0,,1.0,1.1571428571428573,70,81
0.0,,1.0,1.9696969696969697,33,65
0.0,,0.10539922456186433,0.3076923076923077,221,68
0.0,,0.22313016014842982,0.4,60,24
0.0,,1.0,1.8333333333333333,36,66
0.0,,0.7428231402192642,0.7708333333333334,48,37
0.0,,0.18200816983606136,0.3698630136986301,146,54
0.0,,0.8108457669377431,0.8266666666666667,75,62
0.0,,0.8601186522601911,0.8690476190476191,84,73
0.0,,0.16286806635073492,0.35526315789473684,228,81
0.0005,,0.006642374896629297,0.166270783847981,421,70
0.0,,0.43368230113619816,0.5448275862068965,145,79
0.0,,1.0,3.0,31,93
0.0,,0.2755768094985949,0.4368932038834951,103,45
0.0,,0.36787944117144233,0.5,114,57
0.0,,0.035160707398491885,0.23,300,69
0.0,,1.0,5.466666666666667,15,82
0.0,,1.0,4.136363636363637,22,91
0.0,,0.3968319354828011,0.5196850393700787,127,66
0.0,,0.5503382321516492,0.6260869565217392,115,72
0.0,,1.0,1.0,97,97
0.0,,0.6910347152078063,0.7301587301587301,63,46
0.0,,1.0,1.8863636363636365,44,83
0.0,,1.0,2.933333333333333,30,88
0.0,,0.003924404964896961,0.15289256198347106,242,37
0.0,,0.9473808953395987,0.9487179487179487,78,74
0.0,,1.0,4.4,10,44
0.0,,0.8382234324229999,0.85,100,85
0.0,,0.5769498103804866,0.6451612903225806,62,40
0.0,,0.1316277023877386,0.3302752293577982,109,36
0.0,,0.06263119493957374,0.26521739130434785,230,61
0.0,,0.07540319277434775,0.2789473684210526,190,53
0.0,,0.49774149722499034,0.589041095890411,73,43
0.0,,0.13236100245958896,0.33088235294117646,136,45
0.0,,0.20236118181278795,0.38495575221238937,226,87
0.0,,0.23851255385430237,0.410958904109589,146,60
0.0,,0.009803655035821828,0.17777777777777778,180,32
0.0,,1.0,1.7727272727272727,22,39
0.0,,0.4698606352770226,0.5696969696969697,165,94
0.0,,1.0,1.027027027027027,37,38
0.0,,0.5421324699199651,0.620253164556962,79,49
0.0,,1.0,1.6153846153846154,65,105
0.0,,0.8449979711518455,0.8558558558558559,111,95
0.0,,0.11943296826671962,0.32,175,56
0.0,,1.0,1.0178571428571428,56,57
0.0,,1.0,1.2258064516129032,31,38
0.0,,6.020091115666524e-06,0.0768025078369906,638,49
0.0,,0.4658512560249792,0.5669291338582677,127,72
0.0,,0.2612949944016282,0.42696629213483145,178,76
0.0,,0.41111229050718745,0.5294117647058824,51,27
0.0,,0.09155598849604298,0.29491525423728815,295,87
0.0,,0.0022483448052153677,0.140893470790378,291,41
