r1_p,r1_r,r1_f,r2_p,r2_r,r2_f,rL_p,rL_r,rL_f
29.09,14.16,19.05,0.0,0.0,0.0,16.36,7.960000000000001,10.71
10.84,29.03,15.790000000000001,2.44,6.67,3.5700000000000003,8.43,22.58,12.280000000000001
29.03,6.47,10.59,3.3300000000000005,0.72,1.1900000000000002,22.58,5.04,8.24
19.439999999999998,35.0,25.0,1.41,2.56,1.82,9.719999999999999,17.5,12.5
10.96,25.0,15.24,0.0,0.0,0.0,10.96,25.0,15.24
14.93,16.950000000000003,15.870000000000001,0.0,0.0,0.0,8.959999999999999,10.17,9.520000000000001
12.31,10.530000000000001,11.35,3.1199999999999997,2.67,2.88,6.15,5.26,5.67
4.55,25.0,7.6899999999999995,1.54,9.09,2.63,3.0300000000000002,16.669999999999998,5.13
10.0,26.919999999999998,14.580000000000002,2.9000000000000004,8.0,4.26,8.57,23.080000000000002,12.5
25.0,8.55,12.740000000000002,5.13,1.72,2.58,10.0,3.42,5.1
17.65,10.84,13.43,2.0,1.22,1.52,7.84,4.82,5.970000000000001
19.439999999999998,13.209999999999999,15.73,0.0,0.0,0.0,13.889999999999999,9.43,11.24
51.61,34.410000000000004,41.29,21.310000000000002,14.13,16.99,27.42,18.279999999999998,21.94
18.52,28.57,22.470000000000002,0.0,0.0,0.0,5.56,8.57,6.74
16.950000000000003,12.82,14.6,0.0,0.0,0.0,10.17,7.6899999999999995,8.76
26.32,10.2,14.71,0.0,0.0,0.0,15.790000000000001,6.12,8.82
23.080000000000002,34.29,27.589999999999996,1.96,2.94,2.35,11.540000000000001,17.14,13.79
18.57,15.120000000000001,16.669999999999998,0.0,0.0,0.0,11.43,9.3,10.26
45.45,3.61,6.7,0.0,0.0,0.0,30.3,2.41,4.46
11.49,27.029999999999998,16.13,0.0,0.0,0.0,5.75,13.51,8.06
23.080000000000002,16.98,19.57,0.0,0.0,0.0,15.379999999999999,11.32,13.04
8.89,22.220000000000002,12.7,0.0,0.0,0.0,8.89,22.220000000000002,12.7
17.86,23.26,20.200000000000003,0.0,0.0,0.0,8.93,11.63,10.100000000000001
35.82,8.959999999999999,14.330000000000002,1.52,0.37,0.6,16.42,4.1000000000000005,6.569999999999999
69.57,4.75,8.89,22.73,1.49,2.79,43.480000000000004,2.97,5.56
35.709999999999994,13.569999999999999,19.67,9.64,3.64,5.28,20.24,7.6899999999999995,11.15
29.17,48.28,36.36,14.89,25.0,18.67,14.580000000000002,24.14,18.18
5.08,20.0,8.110000000000001,0.0,0.0,0.0,5.08,20.0,8.110000000000001
17.07,4.58,7.22,0.0,0.0,0.0,9.76,2.6100000000000003,4.12
27.779999999999998,11.19,15.959999999999999,1.8900000000000001,0.75,1.08,18.52,7.46,10.639999999999999
15.790000000000001,20.93,18.0,1.79,2.3800000000000003,2.04,10.530000000000001,13.950000000000001,12.0
18.67,25.45,21.54,1.35,1.8499999999999999,1.5599999999999998,9.33,12.73,10.77
27.400000000000002,12.82,17.47,1.39,0.65,0.88,10.96,5.13,6.99
16.669999999999998,10.91,13.19,0.0,0.0,0.0,8.33,5.45,6.59
45.95,13.13,20.419999999999998,1.37,0.38999999999999996,0.6,22.97,6.5600000000000005,10.209999999999999
26.669999999999998,6.859999999999999,10.91,6.819999999999999,1.72,2.75,17.78,4.569999999999999,7.2700000000000005
9.09,26.919999999999998,13.59,0.0,0.0,0.0,3.9,11.540000000000001,5.83
44.440000000000005,23.93,31.11,9.68,5.17,6.74,22.220000000000002,11.97,15.559999999999999
17.78,10.96,13.56,4.55,2.78,3.45,15.559999999999999,9.59,11.86
18.75,6.98,10.17,0.0,0.0,0.0,12.5,4.65,6.78
15.22,22.58,18.18,2.22,3.3300000000000005,2.67,10.870000000000001,16.13,12.989999999999998
16.669999999999998,20.0,18.18,6.9,8.33,7.55,13.33,16.0,14.549999999999999
54.05,6.21,11.14,11.110000000000001,1.25,2.2399999999999998,37.84,4.35,7.8
14.89,14.29,14.580000000000002,2.17,2.08,2.13,12.770000000000001,12.24,12.5
21.05,15.379999999999999,17.78,3.5700000000000003,2.6,3.01,12.280000000000001,8.97,10.37
31.580000000000002,21.43,25.53,10.81,7.2700000000000005,8.7,13.16,8.93,10.639999999999999
22.73,16.950000000000003,19.42,4.65,3.45,3.9600000000000004,13.639999999999999,10.17,11.65
25.0,12.870000000000001,16.99,5.88,3.0,3.9699999999999998,15.379999999999999,7.920000000000001,10.459999999999999
18.0,22.5,20.0,2.04,2.56,2.27,12.0,15.0,13.33
10.870000000000001,20.830000000000002,14.29,2.1999999999999997,4.26,2.9000000000000004,6.52,12.5,8.57
10.290000000000001,13.73,11.76,0.0,0.0,0.0,7.35,9.8,8.4
28.299999999999997,18.990000000000002,22.73,7.6899999999999995,5.13,6.15,20.75,13.919999999999998,16.669999999999998
15.559999999999999,7.779999999999999,10.37,0.0,0.0,0.0,11.110000000000001,5.56,7.41
53.49,10.27,17.23,14.29,2.69,4.53,30.23,5.800000000000001,9.74
10.91,11.540000000000001,11.21,3.6999999999999997,3.92,3.81,9.09,9.62,9.35
20.0,20.69,20.34,0.0,0.0,0.0,13.33,13.79,13.56
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48.15,18.84,27.08,7.6899999999999995,2.94,4.26,25.929999999999996,10.14,14.580000000000002
9.3,10.0,9.64,0.0,0.0,0.0,6.98,7.5,7.23
23.68,10.34,14.399999999999999,2.7,1.16,1.63,15.790000000000001,6.9,9.6
7.02,18.18,10.13,0.0,0.0,0.0,7.02,18.18,10.13
20.0,19.67,19.830000000000002,6.78,6.67,6.72,11.67,11.48,11.57
8.33,6.67,7.41,0.0,0.0,0.0,8.33,6.67,7.41
52.83,8.75,15.010000000000002,11.540000000000001,1.8800000000000001,3.2300000000000004,28.299999999999997,4.6899999999999995,8.04
25.840000000000003,41.82,31.94,2.27,3.6999999999999997,2.82,17.98,29.09,22.220000000000002
31.580000000000002,18.18,23.080000000000002,0.0,0.0,0.0,17.54,10.100000000000001,12.82
7.6899999999999995,18.52,10.870000000000001,0.0,0.0,0.0,6.15,14.81,8.7
40.54,7.85,13.16,2.78,0.53,0.88,21.62,4.19,7.02
9.84,17.14,12.5,0.0,0.0,0.0,6.5600000000000005,11.43,8.33
24.05,20.65,22.220000000000002,2.56,2.1999999999999997,2.37,11.39,9.78,10.530000000000001
18.64,35.480000000000004,24.44,1.72,3.3300000000000005,2.27,10.17,19.35,13.33
13.950000000000001,4.29,6.5600000000000005,0.0,0.0,0.0,11.63,3.5700000000000003,5.46
16.0,17.39,16.669999999999998,0.0,0.0,0.0,12.0,13.04,12.5
10.639999999999999,25.0,14.93,0.0,0.0,0.0,6.38,15.0,8.959999999999999
6.25,23.080000000000002,9.84,0.0,0.0,0.0,4.17,15.379999999999999,6.5600000000000005
12.31,22.220000000000002,15.840000000000002,1.5599999999999998,2.86,2.02,10.77,19.439999999999998,13.86
11.110000000000001,20.69,14.46,0.0,0.0,0.0,7.41,13.79,9.64
10.81,20.51,14.16,0.0,0.0,0.0,8.110000000000001,15.379999999999999,10.620000000000001
9.46,28.000000000000004,14.14,0.0,0.0,0.0,6.76,20.0,10.100000000000001
