bs_p,bs_r,bs_f
66.0,65.16,65.58
63.71,67.07,65.35
70.45,63.13999999999999,66.59
66.38,65.13,65.75
66.75,67.96,67.35
63.44,63.949999999999996,63.690000000000005
66.89,62.57,64.66
64.29,69.23,66.67
63.870000000000005,63.94,63.9
68.26,61.47,64.69
65.53999999999999,61.650000000000006,63.54
70.04,65.58,67.73
73.79,67.73,70.63000000000001
68.84,67.65,68.24
70.94,62.09,66.22
67.7,63.42,65.49000000000001
67.58,61.71,64.51
64.35,60.370000000000005,62.3
64.53,56.11000000000001,60.029999999999994
64.24,67.11,65.64
64.37,61.150000000000006,62.72
68.25,61.72,64.82
57.699999999999996,60.260000000000005,58.95
71.7,63.3,67.24
63.73,57.06,60.209999999999994
65.53,60.709999999999994,63.029999999999994
83.98,67.9,75.09
60.419999999999995,62.5,61.44
65.16999999999999,60.260000000000005,62.62
65.77,59.45,62.45
62.980000000000004,59.19,61.029999999999994
64.42999999999999,63.870000000000005,64.14999999999999
64.25,59.34,61.69
63.38,66.85,65.07
65.21000000000001,57.66,61.199999999999996
70.95,63.849999999999994,67.21000000000001
66.84,70.1,68.43
75.98,64.47,69.75
62.77,60.95,61.85000000000001
62.629999999999995,64.78,63.690000000000005
66.02,67.19000000000001,66.60000000000001
60.019999999999996,61.69,60.84
68.72,59.17,63.59
64.23,66.60000000000001,65.39
66.23,64.60000000000001,65.4
64.28,64.64999999999999,64.46
71.38,67.0,69.12
66.14,61.92999999999999,63.970000000000006
68.0,64.4,66.14999999999999
64.63,61.650000000000006,63.1
63.23,63.7,63.470000000000006
67.77,57.010000000000005,61.919999999999995
68.08999999999999,60.75000000000001,64.21
67.51,58.89,62.91
65.48,64.92999999999999,65.2
64.75,61.629999999999995,63.14999999999999
71.19,62.99,66.84
63.42,58.37,60.79
66.49000000000001,68.88,67.66
66.52,64.28,65.38000000000001
66.3,71.64,68.86
63.959999999999994,60.540000000000006,62.2
65.16,64.1,64.63
74.42999999999999,59.330000000000005,66.03
66.35,60.77,63.44
70.28999999999999,64.66,67.36
61.8,63.870000000000005,62.82
63.739999999999995,57.86,60.660000000000004
64.66,66.61,65.62
66.72,61.08,63.77
65.08,63.18,64.12
61.18,54.15,57.45
66.12,68.72,67.4
68.30000000000001,67.97,68.13
65.59,70.50999999999999,67.96
65.51,68.06,66.75999999999999
64.64999999999999,62.949999999999996,63.79
64.87,63.46000000000001,64.16
67.95,67.10000000000001,67.52
64.12,62.260000000000005,63.18
67.89,70.26,69.05
64.64999999999999,64.42999999999999,64.53999999999999
65.11,66.31,65.71000000000001
65.25,59.199999999999996,62.08
69.06,64.22,66.55
63.14999999999999,56.38999999999999,59.58
68.78,63.78,66.19
73.76,60.67,66.58
63.93,66.3,65.10000000000001
64.64,59.309999999999995,61.86000000000001
63.51,59.24,61.3
58.95,48.51,53.22
66.43,64.35,65.36999999999999
63.519999999999996,57.96,60.61
67.71000000000001,62.25000000000001,64.86
72.37,67.49000000000001,69.84
68.0,58.06,62.63999999999999
70.36,71.78,71.06
73.24000000000001,68.01,70.53
67.07,61.809999999999995,64.33
64.98,59.28,62.0
73.91,67.35,70.48
67.9,62.4,65.03
66.51,63.06,64.74
70.58,60.64000000000001,65.23
67.80000000000001,65.86,66.82000000000001
56.230000000000004,53.580000000000005,54.87
64.03999999999999,56.989999999999995,60.309999999999995
66.93,58.199999999999996,62.260000000000005
72.06,69.42,70.71
70.11,62.22,65.93
65.58,65.35,65.46
71.44,65.96,68.58999999999999
68.02,63.029999999999994,65.42999999999999
65.8,53.400000000000006,58.96
63.89,58.550000000000004,61.1
64.9,58.75,61.67
65.06,71.45,68.10000000000001
62.519999999999996,65.07,63.77
61.21,60.92999999999999,61.07
68.19,58.25,62.83
