bleu,p,bp,lr,rl,pl
0.0,,0.6758713191679951,0.7185185185185186,135,97
0.0,,1.0,2.275,40,91
0.0,,0.26942225475191234,0.4326241134751773,141,61
0.0,,1.0,1.1764705882352942,51,60
0.0,,1.0,1.488888888888889,45,67
0.0,,1.0,1.0307692307692307,65,67
0.0,,1.0,1.0853658536585367,82,89
0.0,,1.0,3.4761904761904763,21,73
0.0,,1.0,2.5714285714285716,28,72
0.0,,0.10604386613373155,0.3082706766917293,133,41
0.0,,0.8145428811424836,0.8297872340425532,94,78
0.0,,0.522045776761016,0.6060606060606061,66,40
0.0,,0.7557837414557255,0.78125,96,75
0.0,,1.0,1.2391304347826086,46,57
0.0,,0.06664779385646828,0.2696629213483146,89,24
0.0,,1.0,1.2222222222222223,63,77
0.0,,1.0,1.1363636363636365,44,50
0.0,,0.8772595476606083,0.8842105263157894,95,84
0.0,,0.000769467900154158,0.12240184757505773,433,53
0.0,,1.0,1.553191489361702,47,73
0.0,,0.5907775139012316,0.6551724137931034,58,38
0.0,,1.0,1.032258064516129,31,32
0.0,,1.0,1.875,48,90
0.0,,0.07711171996831671,0.2807017543859649,285,80
0.0,,0.006620768291501743,0.1661807580174927,343,57
0.0,,0.31975924814638795,0.4672489082969432,229,107
0.1401,,0.2865047968601901,0.4444444444444444,36,16
0.0,,1.0,3.6956521739130435,23,85
0.0,,0.2147111723416972,0.3939393939393939,165,65
0.0,,0.3154212746389477,0.4642857142857143,140,65
0.0,,1.0,1.015625,64,65
0.0,,1.0,1.45,60,87
0.0,,0.4294550948239563,0.5419354838709678,155,84
0.0,,1.0,1.607843137254902,51,82
0.0,,0.014264233908999256,0.19047619047619047,273,52
0.0,,0.27495736202833015,0.43646408839779005,181,79
0.0,,1.0,2.0294117647058822,34,69
0.0,,0.20014850716070098,0.38333333333333336,120,46
0.0,,1.0,1.1829268292682926,82,97
0.0,,1.0,1.150943396226415,53,61
0.0,,1.0,1.8611111111111112,36,67
0.0,,1.0,1.8,35,63
0.0,,0.00013066717156165315,0.10057471264367816,348,35
0.0,,1.0,1.8035714285714286,56,101
0.0,,0.5327890937629327,0.6136363636363636,88,54
0.0,,0.9842522965387105,0.984375,64,63
0.0,,0.5847415256680417,0.6507936507936508,63,41
0.0,,0.45526061403746315,0.5596330275229358,109,61
0.0,,1.0,1.127659574468085,47,53
0.0,,1.0,1.2,55,66
0.0,,1.0,1.6271186440677967,59,96
0.0,,0.3166367693790533,0.46511627906976744,86,40
0.0,,0.40289032152913307,0.5238095238095238,105,55
0.0,,0.04104926057068418,0.2384937238493724,239,57
0.0,,1.0,1.0819672131147542,61,66
0.0,,0.5929013373120886,0.6567164179104478,67,44
0.0,,0.07642628699076812,0.28,175,49
0.0,,0.5352614285189903,0.6153846153846154,78,48
0.0,,1.0,1.127659574468085,47,53
0.0,,0.2351883912625589,0.40860215053763443,93,38
0.0,,1.0,2.259259259259259,27,61
0.0,,0.4557940183280172,0.56,75,42
0.0,,0.9417645335842486,0.9433962264150944,53,50
0.0,,0.006987472587144861,0.1676829268292683,328,55
0.0,,0.7007840105925329,0.7377049180327869,61,45
0.0,,0.5342637374222422,0.6146788990825688,109,67
0.0,,1.0,2.515151515151515,33,83
0.0,,0.15147662692432526,0.3463414634146341,205,71
0.0,,1.0,1.85,40,74
0.0,,0.45099623109135434,0.5567010309278351,97,54
0.0,,1.0,1.2820512820512822,39,50
0.0,,0.0576330819589307,0.25949367088607594,158,41
0.0,,1.0,1.2075471698113207,53,64
0.0,,1.0,1.896551724137931,29,55
0.0,,1.0,3.1666666666666665,18,57
0.0,,1.0,1.3043478260869565,46,60
0.0,,1.0,1.2222222222222223,36,44
0.0,,1.0,1.1923076923076923,52,62
0.0,,1.0,1.3243243243243243,37,49
0.0,,1.0,1.1066666666666667,75,83
0.0,,1.0,1.5121951219512195,41,62
0.0,,1.0,1.574468085106383,47,74
0.0,,1.0,2.3461538461538463,26,61
0.0,,0.0785925584003403,0.2822085889570552,163,46
0.0,,0.4228408154100041,0.5374149659863946,147,79
0.0,,0.022130228252395297,0.20786516853932585,178,37
0.0,,0.37993999923303906,0.5081967213114754,61,31
0.0,,0.11401462248184759,0.3153153153153153,111,35
0.0,,1.0,1.6829268292682926,41,69
0.0,,0.36787944117144233,0.5,82,41
0.0,,0.6585455953358114,0.7053571428571429,112,79
0.0,,3.398267819495071e-09,0.04878048780487805,328,16
0.0,,1.0,1.0136986301369864,73,74
0.0,,0.00036228588397514667,0.11206896551724138,580,65
0.0,,0.20774818714360088,0.3888888888888889,108,42
0.0,,0.6006133345877123,0.6623376623376623,77,51
0.0,,0.09261442750954355,0.29591836734693877,196,58
0.0,,1.0,1.1111111111111112,63,70
0.0,,0.36787944117144233,0.5,100,50
0.0,,0.4493289641172217,0.5555555555555556,81,45
0.0,,0.6505698928068017,0.6993464052287581,153,107
0.0,,0.5722727675712236,0.6417910447761194,67,43
0.0,,0.15543331814711045,0.34946236559139787,186,65
0.0,,1.0,1.1578947368421053,38,44
0.0,,0.15087488710606647,0.3458646616541353,133,46
0.0,,1.0,1.5,28,42
0.0,,0.9565287391030294,0.9574468085106383,47,45
0.0,,0.21449396328350703,0.39378238341968913,193,76
0.0,,0.000819232315239791,0.12334801762114538,454,56
0.0,,0.8851915475249605,0.8913043478260869,46,41
0.0,,0.441233167759984,0.55,120,66
0.0,,1.0,1.0,61,61
0.0,,0.32465246735834974,0.47058823529411764,102,48
0.0,,0.2701376785450698,0.43312101910828027,157,68
0.0,,0.023999321263304833,0.21142857142857144,175,37
0.0,,0.8574039191604413,0.8666666666666667,120,104
0.0,,0.41111229050718745,0.5294117647058824,85,45
0.0,,1.0,2.642857142857143,28,74
0.0,,1.0,2.088888888888889,45,94
0.0,,1.0,2.4285714285714284,35,85
0.0,,8.795285044952135e-05,0.0967238689547582,641,62
0.0,,1.0,2.4583333333333335,24,59
0.0234,,0.46380425363777744,0.5655172413793104,145,82
0.0,,0.4856717852477124,0.5806451612903226,62,36
0.0,,0.4825979234827318,0.5785123966942148,121,70
0.0,,0.09103131378420805,0.29441624365482233,197,58
0.0,,1.0,1.1343283582089552,67,76
0.0,,1.0,1.1805555555555556,72,85
0.0099,,0.08580343807115537,0.2893772893772894,273,79
0.0,,0.0301973834223185,0.2222222222222222,234,52
0.0,,0.0776490817034759,0.28125,192,54
0.0,,0.3821181914779446,0.5096774193548387,155,79
0.0,,1.0,1.1333333333333333,30,34
0.0,,1.0,2.2857142857142856,42,96
0.0,,0.15658337446621542,0.35036496350364965,137,48
0.0,,0.5622787386729876,0.6346153846153846,104,66
0.0,,0.20231322892632697,0.38492063492063494,252,97
0.0,,0.34453011682997364,0.48412698412698413,126,61
0.0,,0.14466517663899503,0.3409090909090909,176,60
0.073,,1.0,1.015625,64,65
0.0,,0.0008517803937431157,0.12394366197183099,355,44
0.0,,0.9493781839091318,0.9506172839506173,81,77
0.0,,0.02615184290859501,0.2153392330383481,339,73
0.0,,0.2988563643533593,0.45294117647058824,170,77
0.0,,0.2865047968601901,0.4444444444444444,198,88
0.0,,0.22313016014842982,0.4,185,74
0.0,,0.25770694715322856,0.4244604316546763,139,59
0.0,,0.09109673333855074,0.294478527607362,163,48
0.0,,0.41048702478673266,0.5289855072463768,138,73
0.0,,0.5663021830238759,0.6375,80,51
0.0,,0.2822222942853951,0.44148936170212766,188,83
0.0,,0.204436063562474,0.3864734299516908,207,80
0.0,,1.0,1.3181818181818181,66,87
0.0,,0.6347364189402819,0.6875,48,33
0.0,,0.863862675318009,0.8723404255319149,47,41
0.0,,0.0820849986238988,0.2857142857142857,224,64
0.0,,0.23440515590203215,0.40804597701149425,174,71
0.0,,1.0,1.7857142857142858,28,50
0.0,,0.02011579402674089,0.20382165605095542,157,32
0.0,,0.9439403459411809,0.9454545454545454,55,52
0.0,,0.7135519747065023,0.7476635514018691,107,80
0.0,,0.29322820287406226,0.44907407407407407,216,97
0.0,,1.0,2.206896551724138,29,64
0.0,,1.0,1.5344827586206897,58,89
0.0,,1.0,1.123456790123457,81,91
0.0,,0.12357474406161391,0.3235294117647059,204,66
0.0,,0.558035145770047,0.631578947368421,95,60
0.0,,0.7351414805916845,0.7647058823529411,102,78
0.0,,0.573753420737433,0.6428571428571429,42,27
0.0,,0.1812836571814468,0.3693181818181818,176,65
0.0,,1.0,1.289855072463768,69,89
0.0,,0.020795557994967285,0.20521172638436483,307,63
0.0,,0.2635971381157267,0.42857142857142855,112,48
0.0,,1.0,1.5,44,66
