r1_p,r1_r,r1_f,r2_p,r2_r,r2_f,rL_p,rL_r,rL_f
21.95,15.93,18.459999999999997,1.23,0.89,1.04,12.2,8.85,10.26
12.659999999999998,32.26,18.18,1.28,3.3300000000000005,1.8499999999999999,7.59,19.35,10.91
40.0,12.950000000000001,19.57,2.27,0.72,1.0999999999999999,20.0,6.47,9.78
14.81,20.0,17.02,0.0,0.0,0.0,9.26,12.5,10.639999999999999
12.5,21.88,15.909999999999998,0.0,0.0,0.0,8.93,15.620000000000001,11.360000000000001
14.29,13.56,13.91,0.0,0.0,0.0,10.71,10.17,10.43
22.37,22.37,22.37,1.3299999999999998,1.3299999999999998,1.3299999999999998,13.16,13.16,13.16
1.72,8.33,2.86,0.0,0.0,0.0,1.72,8.33,2.86
9.84,23.080000000000002,13.79,0.0,0.0,0.0,6.5600000000000005,15.379999999999999,9.2
20.0,5.9799999999999995,9.21,0.0,0.0,0.0,17.14,5.13,7.89
18.18,14.46,16.11,3.08,2.44,2.7199999999999998,12.120000000000001,9.64,10.74
13.889999999999999,9.43,11.24,2.86,1.92,2.3,8.33,5.66,6.74
42.620000000000005,27.96,33.77,16.669999999999998,10.870000000000001,13.16,29.509999999999998,19.35,23.380000000000003
17.39,22.86,19.75,0.0,0.0,0.0,8.7,11.43,9.879999999999999
27.779999999999998,6.41,10.42,5.88,1.3,2.13,27.779999999999998,6.41,10.42
10.94,14.29,12.389999999999999,0.0,0.0,0.0,9.379999999999999,12.24,10.620000000000001
13.639999999999999,17.14,15.190000000000001,0.0,0.0,0.0,6.819999999999999,8.57,7.59
17.14,13.950000000000001,15.379999999999999,1.4500000000000002,1.18,1.3,12.86,10.47,11.540000000000001
52.94,6.510000000000001,11.59,6.0,0.72,1.29,27.450000000000003,3.37,6.01
16.42,29.73,21.15,1.52,2.78,1.96,7.46,13.51,9.62
15.620000000000001,9.43,11.76,0.0,0.0,0.0,6.25,3.7699999999999996,4.71
18.52,27.779999999999998,22.220000000000002,3.85,5.88,4.65,11.110000000000001,16.669999999999998,13.33
6.25,11.63,8.129999999999999,0.0,0.0,0.0,3.75,6.98,4.88
48.68,13.81,21.51,6.67,1.87,2.92,21.05,5.970000000000001,9.3
41.18,6.23,10.82,6.0,0.89,1.55,29.409999999999997,4.45,7.7299999999999995
32.29,14.030000000000001,19.56,4.21,1.82,2.54,15.620000000000001,6.79,9.46
80.0,27.589999999999996,41.03,55.559999999999995,17.86,27.029999999999998,70.0,24.14,35.9
6.67,33.33,11.110000000000001,0.0,0.0,0.0,5.33,26.669999999999998,8.89
21.82,7.84,11.540000000000001,0.0,0.0,0.0,14.549999999999999,5.2299999999999995,7.6899999999999995
38.46,14.93,21.51,0.0,0.0,0.0,17.31,6.72,9.68
9.26,11.63,10.31,1.8900000000000001,2.3800000000000003,2.11,7.41,9.3,8.25
9.86,12.73,11.110000000000001,0.0,0.0,0.0,7.04,9.09,7.9399999999999995
27.779999999999998,12.82,17.54,2.82,1.29,1.77,16.669999999999998,7.6899999999999995,10.530000000000001
8.77,9.09,8.93,0.0,0.0,0.0,7.02,7.2700000000000005,7.140000000000001
42.22,7.340000000000001,12.5,2.27,0.38999999999999996,0.66,20.0,3.47,5.92
42.42,16.0,23.24,10.77,4.02,5.86,21.21,8.0,11.62
11.48,26.919999999999998,16.09,0.0,0.0,0.0,6.5600000000000005,15.379999999999999,9.2
56.10000000000001,19.66,29.110000000000003,17.5,6.03,8.97,41.46,14.530000000000001,21.52
12.5,12.33,12.41,4.2299999999999995,4.17,4.2,8.33,8.219999999999999,8.28
11.110000000000001,11.63,11.360000000000001,0.0,0.0,0.0,6.67,6.98,6.819999999999999
20.0,38.71,26.369999999999997,3.39,6.67,4.49,10.0,19.35,13.19
5.08,12.0,7.140000000000001,0.0,0.0,0.0,5.08,12.0,7.140000000000001
67.74,6.52,11.899999999999999,16.669999999999998,1.5599999999999998,2.85,45.16,4.35,7.93
13.950000000000001,24.490000000000002,17.78,2.35,4.17,3.01,8.14,14.29,10.37
16.0,10.26,12.5,0.0,0.0,0.0,10.0,6.41,7.8100000000000005
17.65,21.43,19.35,2.9899999999999998,3.64,3.2800000000000002,7.35,8.93,8.06
27.27,15.25,19.57,3.1199999999999997,1.72,2.22,12.120000000000001,6.78,8.7
26.32,14.85,18.990000000000002,1.79,1.0,1.28,14.04,7.920000000000001,10.13
18.18,20.0,19.05,4.65,5.13,4.88,15.909999999999998,17.5,16.669999999999998
10.71,12.5,11.540000000000001,0.0,0.0,0.0,7.140000000000001,8.33,7.6899999999999995
12.5,19.61,15.27,0.0,0.0,0.0,10.0,15.690000000000001,12.21
29.03,11.39,16.36,6.67,2.56,3.6999999999999997,22.58,8.86,12.73
