bs_p,bs_r,bs_f
65.57,63.74999999999999,64.64999999999999
64.14999999999999,66.82000000000001,65.46
71.44,64.44,67.75999999999999
65.67,68.54,67.08
63.959999999999994,67.08,65.48
68.91000000000001,67.89,68.4
68.31,63.42,65.77
60.07,67.47999999999999,63.56
64.0,63.63999999999999,63.82
66.4,60.56,63.339999999999996
63.449999999999996,62.08,62.760000000000005
68.01,66.3,67.14
67.64,63.92,65.73
65.61,65.08,65.34
68.77,64.69,66.67
63.36000000000001,59.81999999999999,61.53999999999999
67.88,68.67,68.27
66.9,62.49,64.62
63.56,53.56999999999999,58.14
63.239999999999995,67.19000000000001,65.16
69.96,69.78,69.87
62.3,61.42999999999999,61.86000000000001
69.69999999999999,67.05,68.35
68.13,62.019999999999996,64.92999999999999
68.21000000000001,57.21000000000001,62.23
69.31,61.160000000000004,64.98
62.150000000000006,64.23,63.17
60.35,62.59,61.45
65.45,60.74,63.01
68.16,62.470000000000006,65.19
62.72,60.629999999999995,61.650000000000006
65.93,67.25,66.58
65.96,59.050000000000004,62.31
61.41,59.96,60.68
67.24,59.24,62.99
68.87,61.85000000000001,65.16999999999999
65.21000000000001,71.24000000000001,68.08999999999999
70.21,61.3,65.46
62.980000000000004,60.73,61.839999999999996
68.05,67.93,67.99
58.52,64.03,61.150000000000006
70.54,68.41000000000001,69.46
66.91,61.160000000000004,63.91
60.57,62.43,61.49
66.25999999999999,67.04,66.64999999999999
70.26,64.66,67.35
65.82000000000001,64.61,65.21000000000001
67.36999999999999,62.4,64.79
65.59,64.86,65.23
65.12,63.38,64.24
66.12,66.33,66.23
67.08,59.31999999999999,62.96000000000001
66.49000000000001,61.61,63.959999999999994
69.31,63.13999999999999,66.08000000000001
65.31,64.4,64.85
65.64999999999999,65.07,65.36
67.75,64.75999999999999,66.22
63.41,60.83,62.09
70.09,70.81,70.45
66.92,63.31,65.06
64.72,70.76,67.60000000000001
61.339999999999996,57.599999999999994,59.41
68.82000000000001,68.89,68.85
65.08,58.660000000000004,61.7
65.01,63.51,64.25
68.88,63.68000000000001,66.17
64.03999999999999,69.52000000000001,66.67
65.25,59.74,62.38
66.49000000000001,64.36,65.41
66.34,60.919999999999995,63.519999999999996
58.08,65.16999999999999,61.419999999999995
59.75,56.04,57.830000000000005
65.35,64.72,65.03999999999999
64.75999999999999,66.95,65.84
72.68,76.97,74.76
67.03,62.83,64.86
60.85,63.63999999999999,62.21
70.04,65.10000000000001,67.47999999999999
68.35,69.39999999999999,68.87
68.34,64.38000000000001,66.3
63.24999999999999,68.23,65.64999999999999
60.81999999999999,60.14000000000001,60.480000000000004
64.36,65.49000000000001,64.92
64.59,59.13,61.739999999999995
66.16,61.22,63.59
67.29,62.17,64.63
67.61,62.39,64.89
73.50999999999999,54.67999999999999,62.71
66.27,69.97,68.07
67.46,66.29,66.86999999999999
66.07,60.91,63.38
60.629999999999995,54.1,57.18
68.67999999999999,63.980000000000004,66.25
57.410000000000004,53.16,55.2
52.31,53.47,52.89
68.07,60.57,64.1
66.18,58.3,61.99
62.41,63.31,62.86000000000001
65.73,61.029999999999994,63.29
66.07,65.31,65.69
63.42,56.53,59.78
67.74,66.91,67.32000000000001
70.97,62.82,66.64999999999999
63.01,64.05,63.53
63.61,56.71000000000001,59.96
65.05,66.22,65.63
63.68000000000001,68.01,65.77
64.89,61.029999999999994,62.9
64.25999999999999,58.58,61.29
65.82000000000001,67.46,66.63
69.12,66.03,67.54
65.03,62.849999999999994,63.92
67.69,66.25,66.96
68.19,63.39,65.7
68.24,59.46,63.55
66.64999999999999,60.25,63.29
65.9,63.79,64.83
64.31,67.14,65.7
63.190000000000005,61.89,62.529999999999994
63.6,60.650000000000006,62.09
64.67,56.510000000000005,60.309999999999995
63.42,72.43,67.63
75.25,63.79,69.05
63.9,61.31999999999999,62.580000000000005
64.05999999999999,60.29,62.12
64.9,57.85,61.17
63.57000000000001,63.65,63.61
64.25,65.79,65.01
67.91,54.53,60.49
65.25999999999999,60.150000000000006,62.6
63.629999999999995,56.31,59.75
67.5,61.339999999999996,64.28
65.34,65.64999999999999,65.49000000000001
65.85,67.72,66.77
66.33,60.5,63.28
70.61,65.09,67.74
64.9,57.91,61.21
67.45,63.89,65.62
68.56,61.68,64.94
