bleu,p,bp,lr,rl,pl
0.0,,0.3515319957864631,0.4888888888888889,135,66
0.0,,1.0,1.65,40,66
0.0,,0.10237939908346327,0.3049645390070922,141,43
0.0,,1.0,1.9411764705882353,51,99
0.0,,1.0,1.7333333333333334,45,78
0.0,,1.0,1.4153846153846155,65,92
0.0,,1.0,1.0,82,82
0.0,,1.0,2.761904761904762,21,58
0.0,,1.0,2.5,28,70
0.0,,0.20031920950188095,0.38345864661654133,133,51
0.0,,1.0,1.053191489361702,94,99
0.0,,1.0,1.0757575757575757,66,71
0.0,,0.7939226578179512,0.8125,96,78
0.0,,1.0,1.6304347826086956,46,75
0.0,,0.29375770032353277,0.449438202247191,89,40
0.0,,1.0,1.1746031746031746,63,74
0.0,,1.0,1.5454545454545454,44,68
0.0,,0.7788007830714049,0.8,95,76
0.0,,2.334432036811151e-06,0.07159353348729793,433,31
0.0,,1.0,2.021276595744681,47,95
0.0,,1.0,1.3448275862068966,58,78
0.0,,1.0,2.4193548387096775,31,75
0.0,,1.0,1.5416666666666667,48,74
0.0,,0.1353352832366127,0.3333333333333333,285,95
0.0001,,0.0007718914190992308,0.12244897959183673,343,42
0.0,,0.1231201471108717,0.3231441048034934,229,74
0.0,,1.0,2.3333333333333335,36,84
0.0,,1.0,2.608695652173913,23,60
0.0147,,0.3277891818894528,0.4727272727272727,165,78
0.0,,0.3573693253207666,0.4928571428571429,140,69
0.0,,1.0,1.171875,64,75
0.0,,1.0,1.2833333333333334,60,77
0.0,,0.1459445824066642,0.3419354838709677,155,53
0.0,,1.0,1.1372549019607843,51,58
0.0,,0.06131893048501018,0.26373626373626374,273,72
0.0,,0.16071462536804407,0.35359116022099446,181,64
0.0,,1.0,2.7058823529411766,34,92
0.0,,0.23480976769331768,0.4083333333333333,120,49
0.0,,0.8703247258333906,0.8780487804878049,82,72
0.0,,0.9216104472977248,0.9245283018867925,53,49
0.0,,1.0,1.7222222222222223,36,62
0.0,,0.5934874977560278,0.6571428571428571,35,23
0.0,,0.03320471845102518,0.22701149425287356,348,79
0.0,,1.0,1.375,56,77
0.0,,1.0,1.1590909090909092,88,102
0.0,,0.5488116360940264,0.625,64,40
0.0,,0.8646291905075962,0.873015873015873,63,55
0.0,,0.48183250267030264,0.5779816513761468,109,63
0.0,,1.0,1.4042553191489362,47,66
0.0,,1.0,1.4363636363636363,55,79
0.0,,1.0,1.3559322033898304,59,80
0.0,,0.20067660317969205,0.38372093023255816,86,33
0.0,,0.6323366621862498,0.6857142857142857,105,72
0.006,,0.068774442597969,0.2719665271966527,239,65
0.0,,0.914584226461939,0.9180327868852459,61,56
0.0,,1.0,1.0746268656716418,67,72
0.0,,0.34686364525689223,0.4857142857142857,175,85
0.0,,0.8777137332821822,0.8846153846153846,78,69
0.0,,1.0,1.0851063829787233,47,51
0.0,,0.5164822867855053,0.6021505376344086,93,56
0.0,,1.0,2.3703703703703702,27,64
0.0,,1.0,1.0533333333333332,75,79
0.0,,1.0,1.3962264150943395,53,74
0.0,,0.021850545069815454,0.2073170731707317,328,68
0.0,,0.8025187979624785,0.819672131147541,61,50
0.0,,0.623146912758521,0.6788990825688074,109,74
0.0,,1.0,2.6363636363636362,33,87
0.0,,0.21634861856214546,0.3951219512195122,205,81
0.0,,1.0,1.575,40,63
0.0,,0.5686352262779077,0.6391752577319587,97,62
0.0,,1.0,2.0256410256410255,39,79
0.0,,0.13022890900808254,0.3291139240506329,158,52
0.0,,1.0,1.5471698113207548,53,82
0.0,,1.0,3.0,29,87
0.0,,1.0,1.7222222222222223,18,31
0.0,,0.5564338982454285,0.6304347826086957,46,29
0.0,,1.0,1.5,36,54
0.0,,0.5352614285189903,0.6153846153846154,52,32
0.0,,1.0,1.3513513513513513,37,50
0.0,,0.5323602896864803,0.6133333333333333,75,46
0.0,,1.0,2.3658536585365852,41,97
0.0,,1.0,1.1914893617021276,47,56
0.0,,1.0,2.3076923076923075,26,60
0.0,,0.22999517013396645,0.4049079754601227,163,66
0.0,,0.2345702880937977,0.40816326530612246,147,60
0.0,,0.1907643432047662,0.37640449438202245,178,67
0.0,,0.4519798647936632,0.5573770491803278,61,34
0.0,,0.0009793990109285594,0.12612612612612611,111,14
0.0,,1.0,2.1951219512195124,41,90
0.0,,0.9108898197456122,0.9146341463414634,82,75
0.0,,0.5108691484982968,0.5982142857142857,112,67
0.0,,0.006987472587144861,0.1676829268292683,328,55
0.0,,0.8532265636477704,0.863013698630137,73,63
0.0,,0.006462967724082934,0.16551724137931034,580,96
0.0,,0.0301973834223185,0.2222222222222222,108,24
0.0,,0.2450605392455259,0.4155844155844156,77,32
0.0,,0.10935948955990073,0.3112244897959184,196,61
0.0,,0.8824969025845955,0.8888888888888888,63,56
0.0,,0.4266241552421305,0.54,100,54
0.0,,1.0,1.0864197530864197,81,88
0.0,,0.46831192922221326,0.5686274509803921,153,87
0.0,,1.0,1.1940298507462686,67,80
0.0,,0.09813329499921794,0.3010752688172043,186,56
0.0,,1.0,2.1052631578947367,38,80
0.0,,0.3181725954910721,0.46616541353383456,133,62
0.0,,1.0,2.9285714285714284,28,82
0.0,,1.0,1.2765957446808511,47,60
0.0,,0.32599308128945564,0.47150259067357514,193,91
0.0,,0.00342562758267763,0.14977973568281938,454,68
0.0,,1.0,1.2173913043478262,46,56
0.0,,0.7271072278787641,0.7583333333333333,120,91
0.0,,1.0,1.098360655737705,61,67
0.0,,0.38230427289208063,0.5098039215686274,102,52
0.0,,0.21604726743590727,0.39490445859872614,157,62
0.0,,0.4888565068913261,0.5828571428571429,175,102
0.0,,0.7376042638218265,0.7666666666666667,120,92
0.0,,0.5795782787848095,0.6470588235294118,85,55
0.0,,1.0,1.8214285714285714,28,51
0.0,,1.0,1.1333333333333333,45,51
0.0,,1.0,1.4857142857142858,35,52
0.0,,4.311135502352558e-05,0.0904836193447738,641,58
0.0,,1.0,3.8333333333333335,24,92
0.0076,,0.07913615999649345,0.2827586206896552,145,41
0.0,,0.9837401985812029,0.9838709677419355,62,61
0.0,,0.7296302417570699,0.7603305785123967,121,92
0.0,,0.16295426273207936,0.3553299492385787,197,70
0.0,,1.0,1.507462686567164,67,101
0.0,,1.0,1.1666666666666667,72,84
0.0,,0.06793600029022952,0.27106227106227104,273,74
0.0,,0.18458316238656206,0.3717948717948718,234,87
0.0,,0.028115659748972045,0.21875,192,42
0.0,,0.3157584432596001,0.4645161290322581,155,72
0.0,,1.0,1.5,30,45
