r1_p,r1_r,r1_f,r2_p,r2_r,r2_f,rL_p,rL_r,rL_f
27.12,14.16,18.6,1.72,0.89,1.18,18.64,9.73,12.790000000000001
18.64,35.480000000000004,24.44,6.9,13.33,9.09,13.56,25.81,17.78
36.84,10.07,15.82,2.7,0.72,1.1400000000000001,26.32,7.19,11.3
16.669999999999998,35.0,22.58,7.23,15.379999999999999,9.84,11.899999999999999,25.0,16.13
9.84,18.75,12.9,0.0,0.0,0.0,9.84,18.75,12.9
11.25,15.25,12.950000000000001,0.0,0.0,0.0,7.5,10.17,8.63
22.73,19.74,21.13,3.08,2.67,2.86,10.61,9.21,9.86
2.13,8.33,3.39,0.0,0.0,0.0,2.13,8.33,3.39
7.02,15.379999999999999,9.64,0.0,0.0,0.0,7.02,15.379999999999999,9.64
14.29,5.9799999999999995,8.43,0.0,0.0,0.0,8.16,3.42,4.82
18.82,19.28,19.05,2.3800000000000003,2.44,2.41,10.59,10.84,10.71
13.79,15.09,14.41,0.0,0.0,0.0,8.62,9.43,9.01
30.669999999999998,24.73,27.38,8.110000000000001,6.52,7.23,21.33,17.2,19.05
14.06,25.71,18.18,0.0,0.0,0.0,7.8100000000000005,14.29,10.100000000000001
22.220000000000002,10.26,14.04,2.86,1.3,1.79,19.439999999999998,8.97,12.280000000000001
10.94,14.29,12.389999999999999,1.59,2.08,1.7999999999999998,9.379999999999999,12.24,10.620000000000001
18.64,31.430000000000003,23.400000000000002,1.72,2.94,2.17,10.17,17.14,12.770000000000001
21.740000000000002,17.44,19.35,1.47,1.18,1.31,10.14,8.14,9.030000000000001
31.25,2.41,4.47,3.2300000000000004,0.24,0.44999999999999996,28.12,2.17,4.03
13.41,29.73,18.490000000000002,1.23,2.78,1.71,8.540000000000001,18.92,11.76
20.630000000000003,24.529999999999998,22.41,1.6099999999999999,1.92,1.7500000000000002,14.29,16.98,15.52
7.9399999999999995,27.779999999999998,12.35,0.0,0.0,0.0,4.760000000000001,16.669999999999998,7.41
10.0,13.950000000000001,11.65,0.0,0.0,0.0,6.67,9.3,7.7700000000000005
42.86,13.43,20.45,4.82,1.5,2.29,17.86,5.6000000000000005,8.52
64.52,5.93,10.870000000000001,26.669999999999998,2.3800000000000003,4.37,41.94,3.8600000000000003,7.07
60.61,18.099999999999998,27.87,20.0,5.91,9.120000000000001,36.36,10.86,16.72
11.27,27.589999999999996,16.0,1.43,3.5700000000000003,2.04,7.04,17.24,10.0
1.92,6.67,2.9899999999999998,0.0,0.0,0.0,1.92,6.67,2.9899999999999998
24.32,11.76,15.86,0.0,0.0,0.0,14.860000000000001,7.19,9.69
37.5,15.67,22.11,1.82,0.75,1.06,21.43,8.959999999999999,12.629999999999999
10.61,16.28,12.839999999999998,0.0,0.0,0.0,6.0600000000000005,9.3,7.340000000000001
15.49,20.0,17.46,0.0,0.0,0.0,12.68,16.36,14.29
31.91,9.62,14.78,4.35,1.29,1.9900000000000002,12.770000000000001,3.85,5.91
9.09,9.09,9.09,1.8499999999999999,1.8499999999999999,1.8499999999999999,7.2700000000000005,7.2700000000000005,7.2700000000000005
52.38,12.740000000000002,20.5,8.06,1.94,3.1199999999999997,26.979999999999997,6.5600000000000005,10.56
42.42,16.0,23.24,6.15,2.3,3.35,24.240000000000002,9.139999999999999,13.28
11.540000000000001,34.62,17.31,0.0,0.0,0.0,7.6899999999999995,23.080000000000002,11.540000000000001
37.78,14.530000000000001,20.990000000000002,15.909999999999998,6.03,8.75,22.220000000000002,8.55,12.35
22.0,15.07,17.89,6.12,4.17,4.96,14.000000000000002,9.59,11.379999999999999
8.33,6.98,7.59,0.0,0.0,0.0,8.33,6.98,7.59
11.76,25.81,16.16,1.49,3.3300000000000005,2.06,4.41,9.68,6.0600000000000005
9.520000000000001,8.0,8.7,5.0,4.17,4.55,9.520000000000001,8.0,8.7
50.74999999999999,10.56,17.48,18.18,3.74,6.2,34.33,7.140000000000001,11.83
14.49,20.41,16.950000000000003,1.47,2.08,1.72,11.59,16.33,13.56
26.83,28.21,27.500000000000004,3.6999999999999997,3.9,3.8,15.85,16.669999999999998,16.25
38.71,21.43,27.589999999999996,6.67,3.64,4.71,25.81,14.29,18.39
21.57,18.64,20.0,2.0,1.72,1.8499999999999999,11.76,10.17,10.91
25.86,14.85,18.87,3.51,2.0,2.55,15.52,8.91,11.32
10.42,12.5,11.360000000000001,0.0,0.0,0.0,8.33,10.0,9.09
14.29,18.75,16.220000000000002,1.6099999999999999,2.13,1.83,11.110000000000001,14.580000000000002,12.61
21.21,27.450000000000003,23.93,0.0,0.0,0.0,7.580000000000001,9.8,8.55
26.919999999999998,8.86,13.33,4.0,1.28,1.94,19.23,6.329999999999999,9.520000000000001
19.67,13.33,15.89,1.67,1.1199999999999999,1.34,11.48,7.779999999999999,9.27
57.89,14.729999999999999,23.49,8.93,2.2399999999999998,3.58,24.560000000000002,6.25,9.959999999999999
10.0,9.62,9.8,0.0,0.0,0.0,8.0,7.6899999999999995,7.84
24.59,25.86,25.21,3.3300000000000005,3.51,3.42,16.39,17.24,16.81
32.5,15.379999999999999,20.880000000000003,3.8,1.79,2.4299999999999997,18.75,8.88,12.049999999999999
23.810000000000002,21.740000000000002,22.73,4.84,4.41,4.62,15.870000000000001,14.49,15.15
18.18,20.0,19.05,0.0,0.0,0.0,11.360000000000001,12.5,11.899999999999999
19.15,10.34,13.43,0.0,0.0,0.0,14.89,8.05,10.45
8.469999999999999,22.73,12.35,0.0,0.0,0.0,5.08,13.639999999999999,7.41
9.33,11.48,10.290000000000001,5.41,6.67,5.970000000000001,6.67,8.200000000000001,7.35
14.29,20.0,16.669999999999998,1.6099999999999999,2.27,1.8900000000000001,6.35,8.89,7.41
49.120000000000005,8.75,14.85,10.71,1.8800000000000001,3.2,29.82,5.3100000000000005,9.02
17.07,12.73,14.580000000000002,0.0,0.0,0.0,9.76,7.2700000000000005,8.33
20.97,13.13,16.150000000000002,0.0,0.0,0.0,11.29,7.07,8.7
13.33,37.04,19.61,0.0,0.0,0.0,8.0,22.220000000000002,11.76
39.39,13.61,20.23,7.6899999999999995,2.63,3.92,21.21,7.33,10.89
10.0,14.29,11.76,0.0,0.0,0.0,6.0,8.57,7.06
18.87,10.870000000000001,13.79,1.92,1.0999999999999999,1.4000000000000001,13.209999999999999,7.61,9.66
8.7,19.35,12.0,1.47,3.3300000000000005,2.04,7.249999999999999,16.13,10.0
7.89,2.1399999999999997,3.37,2.7,0.72,1.1400000000000001,5.26,1.43,2.25
19.439999999999998,30.43,23.73,2.82,4.44,3.45,8.33,13.04,10.17
9.59,35.0,15.049999999999999,1.39,5.26,2.1999999999999997,5.48,20.0,8.6
13.639999999999999,23.080000000000002,17.14,4.760000000000001,8.33,6.0600000000000005,13.639999999999999,23.080000000000002,17.14
9.09,5.56,6.9,0.0,0.0,0.0,9.09,5.56,6.9
10.0,17.24,12.659999999999998,0.0,0.0,0.0,6.0,10.34,7.59
25.0,17.95,20.9,7.41,5.26,6.15,21.43,15.379999999999999,17.91
9.520000000000001,16.0,11.940000000000001,0.0,0.0,0.0,9.520000000000001,16.0,11.940000000000001
25.0,17.86,20.830000000000002,7.6899999999999995,5.45,6.38,17.5,12.5,14.580000000000002
8.14,20.59,11.67,0.0,0.0,0.0,6.98,17.65,10.0
15.09,20.51,17.39,1.92,2.63,2.22,13.209999999999999,17.95,15.22
9.09,15.379999999999999,11.43,2.33,4.0,2.94,9.09,15.379999999999999,11.43
41.18,15.110000000000001,22.11,2.0,0.72,1.06,19.61,7.19,10.530000000000001
37.74,14.180000000000001,20.62,5.7700000000000005,2.1399999999999997,3.1300000000000003,20.75,7.8,11.34
29.310000000000002,10.56,15.53,7.02,2.5,3.6900000000000004,20.69,7.449999999999999,10.96
32.0,13.11,18.6,8.33,3.3300000000000005,4.760000000000001,20.0,8.200000000000001,11.63
50.0,5.050000000000001,9.17,0.0,0.0,0.0,50.0,5.050000000000001,9.17
12.790000000000001,31.430000000000003,18.18,0.0,0.0,0.0,4.65,11.43,6.61
24.59,18.75,21.279999999999998,1.67,1.27,1.44,14.75,11.25,12.770000000000001
17.86,10.99,13.61,1.82,1.11,1.38,10.71,6.59,8.16
43.18,6.23,10.89,0.0,0.0,0.0,20.45,2.9499999999999997,5.16
21.43,19.67,20.51,1.82,1.67,1.7399999999999998,14.29,13.11,13.68
38.2,5.489999999999999,9.6,7.95,1.13,1.9800000000000002,24.72,3.55,6.21
18.18,3.9600000000000004,6.5,4.760000000000001,1.0,1.6500000000000001,13.639999999999999,2.97,4.88
23.330000000000002,10.77,14.74,3.45,1.5599999999999998,2.15,13.33,6.15,8.42
22.64,7.32,11.06,3.85,1.23,1.8599999999999999,15.09,4.88,7.37
14.29,11.86,12.959999999999999,0.0,0.0,0.0,10.2,8.469999999999999,9.26
14.89,8.24,10.61,0.0,0.0,0.0,12.770000000000001,7.06,9.09
18.75,22.06,20.27,1.27,1.49,1.37,12.5,14.71,13.51
24.68,12.75,16.81,0.0,0.0,0.0,12.989999999999998,6.710000000000001,8.85
33.800000000000004,38.1,35.82,12.86,14.52,13.639999999999999,21.13,23.810000000000002,22.39
44.0,12.870000000000001,19.91,4.08,1.18,1.83,22.0,6.43,9.950000000000001
14.49,32.26,20.0,4.41,10.0,6.12,8.7,19.35,12.0
25.0,9.35,13.61,7.84,2.9000000000000004,4.2299999999999995,17.31,6.47,9.42
5.88,23.53,9.41,0.0,0.0,0.0,4.41,17.65,7.06
11.76,14.29,12.9,4.0,4.88,4.3999999999999995,9.8,11.899999999999999,10.75
