bs_p,bs_r,bs_f
70.46,65.13,67.69
62.23,64.23,63.22
69.31,55.43,61.6
64.13,64.07000000000001,64.1
53.56999999999999,56.92,55.19
64.48,64.87,64.68
67.39,64.34,65.83
66.8,70.50999999999999,68.61
65.63,66.95,66.29
69.98,63.31,66.47999999999999
68.42,64.14999999999999,66.22
68.42,65.19,66.75999999999999
67.88,62.949999999999996,65.32
65.5,65.46,65.48
67.94,63.99,65.9
63.0,60.51,61.73
67.44,67.21000000000001,67.32000000000001
69.08999999999999,63.63999999999999,66.25999999999999
60.68,54.31,57.32000000000001
65.72,67.19000000000001,66.45
70.38,71.37,70.88
64.95,61.45,63.14999999999999
71.27,67.80000000000001,69.49
62.160000000000004,53.790000000000006,57.68
68.15,57.089999999999996,62.129999999999995
64.86,57.410000000000004,60.91
63.49,64.1,63.79
60.3,61.0,60.650000000000006
66.25,62.21,64.17
68.0,62.46000000000001,65.11
61.4,57.489999999999995,59.38
66.91,65.46,66.18
66.7,62.21,64.38000000000001
67.78999999999999,68.88,68.33
65.2,57.50999999999999,61.11
65.91,56.97,61.11
65.69,67.21000000000001,66.44
69.51,64.29,66.8
60.699999999999996,59.08,59.88
69.48,66.5,67.95
63.88,66.09,64.97
63.67,65.59,64.62
73.7,58.81999999999999,65.42999999999999
69.41000000000001,51.080000000000005,58.85
62.89,61.28,62.08
74.33999999999999,69.44,71.81
66.83,64.09,65.42999999999999
64.59,60.089999999999996,62.260000000000005
66.33,65.24,65.78
65.0,64.52,64.75999999999999
65.42,65.21000000000001,65.32
65.51,62.61,64.03
65.61,61.35,63.41
61.68,49.9,55.169999999999995
69.23,58.919999999999995,63.660000000000004
66.05,61.29,63.580000000000005
68.04,61.18,64.42999999999999
59.919999999999995,57.35,58.599999999999994
66.13,69.62,67.83
69.0,65.75,67.33
71.1,72.75,71.92
68.96,56.2,61.92999999999999
63.23,63.980000000000004,63.61
72.57000000000001,58.60999999999999,64.85
68.73,67.21000000000001,67.96
67.89,64.5,66.14999999999999
65.18,68.32000000000001,66.72
64.34,56.97,60.42999999999999
67.56,67.72,67.64
65.52,61.7,63.55
69.6,71.74000000000001,70.65
66.51,57.709999999999994,61.8
66.08000000000001,69.44,67.72
66.56,65.33,65.94
61.68,68.10000000000001,64.73
65.62,64.03,64.81
63.99,63.980000000000004,63.99
