r1_p,r1_r,r1_f,r2_p,r2_r,r2_f,rL_p,rL_r,rL_f
24.59,13.270000000000001,17.24,1.67,0.89,1.16,14.75,7.960000000000001,10.34
13.79,25.81,17.98,0.0,0.0,0.0,10.34,19.35,13.48
28.57,2.88,5.2299999999999995,0.0,0.0,0.0,21.43,2.16,3.92
14.89,17.5,16.09,0.0,0.0,0.0,12.770000000000001,15.0,13.79
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18.64,18.64,18.64,3.45,3.45,3.45,10.17,10.17,10.17
30.61,19.74,24.0,8.33,5.33,6.5,18.37,11.84,14.399999999999999
2.33,8.33,3.64,0.0,0.0,0.0,2.33,8.33,3.64
10.42,19.23,13.51,4.26,8.0,5.56,8.33,15.379999999999999,10.81
23.810000000000002,8.55,12.58,0.0,0.0,0.0,14.29,5.13,7.55
33.33,15.659999999999998,21.310000000000002,5.26,2.44,3.3300000000000005,20.51,9.64,13.11
11.110000000000001,9.43,10.2,2.27,1.92,2.08,8.89,7.55,8.16
32.35,11.83,17.32,12.120000000000001,4.35,6.4,23.53,8.6,12.6
14.63,34.29,20.51,2.4699999999999998,5.88,3.4799999999999995,10.979999999999999,25.71,15.379999999999999
25.0,12.82,16.950000000000003,7.6899999999999995,3.9,5.17,12.5,6.41,8.469999999999999
11.110000000000001,8.16,9.41,0.0,0.0,0.0,8.33,6.12,7.06
25.0,31.430000000000003,27.85,4.65,5.88,5.19,13.639999999999999,17.14,15.190000000000001
22.919999999999998,12.790000000000001,16.42,0.0,0.0,0.0,14.580000000000002,8.14,10.45
30.19,3.8600000000000003,6.84,3.85,0.48,0.86,20.75,2.65,4.7
11.63,13.51,12.5,0.0,0.0,0.0,6.98,8.110000000000001,7.5
17.24,28.299999999999997,21.43,1.16,1.92,1.4500000000000002,10.34,16.98,12.86
4.35,11.110000000000001,6.25,0.0,0.0,0.0,4.35,11.110000000000001,6.25
16.36,20.93,18.37,0.0,0.0,0.0,9.09,11.63,10.2
40.82,7.46,12.620000000000001,8.33,1.5,2.54,20.41,3.73,6.3100000000000005
58.330000000000005,6.23,11.26,22.86,2.3800000000000003,4.31,44.440000000000005,4.75,8.58
37.14,5.88,10.16,2.94,0.44999999999999996,0.79,20.0,3.17,5.47
8.93,17.24,11.76,0.0,0.0,0.0,3.5700000000000003,6.9,4.71
6.38,20.0,9.68,0.0,0.0,0.0,6.38,20.0,9.68
25.0,8.5,12.68,0.0,0.0,0.0,17.31,5.88,8.780000000000001
26.790000000000003,11.19,15.790000000000001,7.2700000000000005,3.01,4.26,12.5,5.220000000000001,7.37
13.56,18.6,15.690000000000001,0.0,0.0,0.0,6.78,9.3,7.84
