bs_p,bs_r,bs_f
66.69,63.53,65.07
66.55,64.0,65.25
65.46,63.080000000000005,64.25
70.13000000000001,62.68,66.2
64.7,62.6,63.629999999999995
64.55,62.94,63.73
65.2,66.99000000000001,66.08000000000001
64.38000000000001,64.59,64.48
66.25,64.08,65.14
67.86,64.96,66.38
63.470000000000006,62.57,63.01
67.36,64.21,65.74
66.34,65.03999999999999,65.68
62.970000000000006,64.75,63.849999999999994
69.75,69.43,69.59
60.45,58.599999999999994,59.51
63.980000000000004,65.21000000000001,64.59
60.209999999999994,60.36,60.29
64.23,63.24999999999999,63.73
64.59,63.78,64.18
62.760000000000005,60.38,61.550000000000004
62.629999999999995,63.980000000000004,63.3
61.41,63.14999999999999,62.27
63.1,63.739999999999995,63.42
64.33,66.25999999999999,65.28
61.75000000000001,62.33,62.03999999999999
73.44000000000001,60.919999999999995,66.60000000000001
62.56,61.63999999999999,62.09
63.12,62.11,62.61
63.68000000000001,63.870000000000005,63.78
64.53999999999999,61.39,62.92
63.82,66.32000000000001,65.05
62.91,59.13,60.96
67.86999999999999,67.91,67.89
65.69,63.970000000000006,64.82
63.82,63.04,63.43
68.19,66.19,67.17999999999999
66.73,67.74,67.23
62.59,57.49999999999999,59.940000000000005
64.62,64.08,64.35
62.81,63.9,63.349999999999994
61.19,61.21,61.199999999999996
65.16999999999999,63.81,64.48
67.02,62.7,64.79
61.61,57.269999999999996,59.36
65.53999999999999,65.12,65.33
72.04,71.61,71.83
68.17999999999999,69.58,68.87
63.870000000000005,63.029999999999994,63.449999999999996
64.24,60.050000000000004,62.07
64.37,63.61,63.99
71.1,68.61,69.83
64.25,62.35000000000001,63.29
62.970000000000006,64.14999999999999,63.56
63.41,63.77,63.59
63.660000000000004,62.77,63.22
69.14,66.33,67.7
62.260000000000005,61.59,61.92999999999999
63.849999999999994,66.99000000000001,65.38000000000001
57.89,56.93,57.4
63.31,63.65,63.480000000000004
65.36,59.84,62.480000000000004
65.08,64.07000000000001,64.57000000000001
67.23,62.79,64.92999999999999
64.74,64.47,64.60000000000001
61.839999999999996,63.32,62.57
63.67,61.870000000000005,62.760000000000005
68.36,64.82,66.53999999999999
64.60000000000001,64.51,64.56
63.260000000000005,63.72,63.49
65.61,59.599999999999994,62.46000000000001
65.2,59.35,62.13999999999999
59.489999999999995,63.83,61.58
66.01,63.49,64.73
62.43,60.370000000000005,61.38
67.44,66.61,67.02
70.38,64.83,67.49000000000001
60.18,60.39,60.28
63.59,65.45,64.5
67.06,65.41,66.23
61.58,58.28,59.89
61.4,61.86000000000001,61.629999999999995
62.32,62.3,62.31
66.46,65.46,65.96
64.51,64.82,64.66
66.13,64.78,65.45
64.83,64.53999999999999,64.68
60.809999999999995,62.739999999999995,61.760000000000005
64.01,65.46,64.73
65.4,63.82,64.60000000000001
61.629999999999995,62.45,62.03999999999999
58.07,59.650000000000006,58.85
63.190000000000005,65.0,64.08
65.05,63.21,64.12
63.629999999999995,62.45,63.029999999999994
62.68,63.49,63.080000000000005
59.599999999999994,59.5,59.550000000000004
65.96,64.08,65.01
62.27,62.94,62.6
66.36999999999999,67.16,66.75999999999999
68.92,61.480000000000004,64.99000000000001
62.25000000000001,60.31999999999999,61.27
59.67,62.5,61.050000000000004
59.13,55.71,57.37
66.56,65.01,65.78
66.95,63.55,65.21000000000001
60.83,58.940000000000005,59.870000000000005
72.5,64.64,68.35
63.54,64.59,64.05999999999999
67.11,64.35,65.7
66.57,61.650000000000006,64.01
60.050000000000004,53.690000000000005,56.69
61.28,60.85,61.07
61.63999999999999,58.4,59.98
67.35,62.74999999999999,64.96
71.49,67.06,69.21000000000001
63.06,61.24000000000001,62.13999999999999
66.06,66.53999999999999,66.3
65.28,63.18,64.21
66.79,65.61,66.19
73.65,64.2,68.60000000000001
59.540000000000006,58.86,59.199999999999996
60.31999999999999,59.84,60.08
66.43,66.07,66.25
67.34,62.57,64.86
62.8,62.57,62.68
64.53,64.46,64.49000000000001
64.28,60.72,62.45
64.75,62.99,63.85999999999999
63.07000000000001,63.839999999999996,63.449999999999996
62.83,58.4,60.529999999999994
69.8,60.25,64.67
59.36,60.5,59.919999999999995
65.01,62.06,63.5
65.56,64.56,65.06
70.24000000000001,60.92999999999999,65.25999999999999
66.18,60.07,62.970000000000006
73.67,64.51,68.78999999999999
60.69,59.14,59.91
62.870000000000005,61.96,62.41
68.97,64.53,66.67999999999999
62.57,64.07000000000001,63.31
60.980000000000004,61.86000000000001,61.419999999999995
63.99,64.02,64.01
59.699999999999996,60.19,59.95
70.65,65.94,68.21000000000001
65.05,64.84,64.95
64.25,62.56,63.4
66.13,64.78,65.45
63.849999999999994,64.42,64.14
67.17999999999999,60.22,63.51
62.03999999999999,61.22,61.629999999999995
61.980000000000004,61.5,61.739999999999995
64.7,63.349999999999994,64.02
63.849999999999994,62.86000000000001,63.349999999999994
61.25000000000001,62.8,62.019999999999996
64.57000000000001,62.96000000000001,63.75999999999999
66.51,64.57000000000001,65.53
64.92,65.11,65.01
66.38,61.75000000000001,63.980000000000004
66.12,63.77,64.92
61.27,60.92999999999999,61.1
60.86,61.59,61.22
65.2,64.27000000000001,64.73
62.239999999999995,63.339999999999996,62.79
70.44,70.05,70.25
62.89,62.8,62.839999999999996
65.94,62.38,64.11
63.78,60.56,62.129999999999995
67.4,62.73,64.98
62.77,63.080000000000005,62.93
64.41,63.88,64.14999999999999
64.42999999999999,63.05,63.739999999999995
65.53,57.37,61.18
58.650000000000006,56.45,57.53
63.849999999999994,61.550000000000004,62.68
64.92999999999999,63.7,64.31
68.74,62.89,65.69
67.05,66.60000000000001,66.82000000000001
65.81,63.870000000000005,64.83
64.71000000000001,64.31,64.51
70.03,70.06,70.05
62.72,58.879999999999995,60.74
65.19,63.370000000000005,64.27000000000001
63.75999999999999,64.62,64.19
62.27,60.919999999999995,61.59
64.23,59.64,61.85000000000001
66.33,61.29,63.71
66.05,63.82,64.92
65.53999999999999,65.33,65.44
66.29,63.81,65.03
64.69,62.38,63.51
64.60000000000001,63.62,64.11
65.56,65.29,65.42999999999999
61.41,57.92,59.61
61.27,59.95,60.6
63.78,63.019999999999996,63.4
63.580000000000005,63.99,63.78
66.71000000000001,61.71,64.11
58.39,63.74999999999999,60.95
62.949999999999996,62.9,62.92
64.33,62.5,63.4
65.88000000000001,62.43,64.11
63.42,59.67,61.49
62.150000000000006,63.470000000000006,62.8
64.49000000000001,63.39,63.94
58.37,59.27,58.81999999999999
59.150000000000006,62.019999999999996,60.550000000000004
65.35,64.24,64.79
60.550000000000004,60.0,60.27
59.43000000000001,57.709999999999994,58.56
56.410000000000004,60.260000000000005,58.269999999999996
73.54,62.760000000000005,67.72
62.760000000000005,62.44,62.6
63.3,63.55,63.42
61.75000000000001,63.839999999999996,62.78
61.370000000000005,61.07,61.22
65.95,64.37,65.14999999999999
65.42999999999999,65.19,65.31
62.73,62.22,62.470000000000006
61.339999999999996,61.4,61.370000000000005
64.07000000000001,64.72,64.39
66.69,64.51,65.58
67.66,65.23,66.42
66.24,66.67999999999999,66.46
65.06,63.46000000000001,64.25
66.64,67.36,67.0
64.53999999999999,59.260000000000005,61.79
67.88,62.63999999999999,65.16
63.41,62.370000000000005,62.89
67.41,61.91,64.53999999999999
64.03999999999999,64.24,64.14
63.01,64.28,63.63999999999999
65.53,61.839999999999996,63.629999999999995
62.99,63.9,63.449999999999996
64.2,63.949999999999996,64.08
65.06,63.519999999999996,64.28
68.43,65.57,66.97
65.25,61.370000000000005,63.24999999999999
59.98,56.730000000000004,58.309999999999995
62.870000000000005,61.53999999999999,62.2
70.98,63.41,66.97999999999999
60.97,61.22,61.1
64.72,61.77,63.21
64.03999999999999,61.71,62.849999999999994
67.0,64.75999999999999,65.86
61.25000000000001,61.5,61.38
62.260000000000005,64.02,63.129999999999995
55.489999999999995,58.79,57.089999999999996
67.47999999999999,63.660000000000004,65.51
61.62,57.50999999999999,59.5
60.49,62.32,61.39
64.55,62.74999999999999,63.63999999999999
64.13,61.49,62.78
64.23,64.7,64.46
59.0,58.86,58.93000000000001
62.72,65.31,63.99
63.32,62.57,62.949999999999996
61.96,60.67,61.309999999999995
64.27000000000001,64.24,64.25999999999999
63.31,63.82,63.56
66.12,60.150000000000006,62.99
66.82000000000001,62.160000000000004,64.41
55.400000000000006,56.49999999999999,55.94
63.56,65.14,64.34
74.17,65.27,69.44
69.46,71.43,70.43
63.480000000000004,61.150000000000006,62.29
64.42999999999999,63.370000000000005,63.9
61.79,62.03999999999999,61.91
63.61,62.8,63.2
70.53,62.7,66.39
63.449999999999996,61.75000000000001,62.59
69.27,61.99,65.42
65.74,61.11,63.339999999999996
70.05,67.2,68.58999999999999
62.839999999999996,60.9,61.86000000000001
61.45,58.660000000000004,60.019999999999996
61.480000000000004,59.74,60.6
68.02,66.86,67.44
67.34,66.69,67.01
69.65,66.75,68.17
66.60000000000001,65.03,65.8
66.08000000000001,65.07,65.57
66.14999999999999,66.0,66.08000000000001
64.71000000000001,61.06,62.83
64.05,62.71,63.370000000000005
62.419999999999995,61.69,62.050000000000004
61.14000000000001,59.84,60.480000000000004
66.66,60.370000000000005,63.36000000000001
66.2,64.84,65.51
65.05,64.09,64.57000000000001
66.27,61.339999999999996,63.71
67.34,61.53999999999999,64.31
59.53000000000001,58.540000000000006,59.03
69.48,61.45,65.22
62.9,61.7,62.29
67.96,57.24,62.13999999999999
65.88000000000001,63.94,64.9
62.77,63.56,63.160000000000004
68.8,64.14,66.39
63.91,58.95,61.33
57.26,61.370000000000005,59.24
69.03,66.13,67.55
64.79,61.63999999999999,63.17
58.86,59.330000000000005,59.089999999999996
63.04,62.11,62.57
61.760000000000005,62.370000000000005,62.06
64.45,59.660000000000004,61.970000000000006
67.72,68.03,67.86999999999999
65.68,65.74,65.71000000000001
61.45,61.5,61.47
62.4,62.629999999999995,62.519999999999996
64.55,64.14999999999999,64.35
67.75,63.5,65.55
61.01,61.480000000000004,61.25000000000001
62.870000000000005,60.8,61.82
61.970000000000006,62.63999999999999,62.3
61.809999999999995,61.38,61.6
63.83,65.19,64.51
61.7,63.22,62.45
64.59,66.12,65.34
61.660000000000004,61.58,61.62
67.41,63.690000000000005,65.5
60.040000000000006,63.39,61.67
73.4,62.129999999999995,67.30000000000001
61.040000000000006,59.36,60.19
67.02,67.53,67.28
61.519999999999996,57.64,59.519999999999996
64.21,61.92999999999999,63.05
66.86999999999999,61.39,64.01
61.629999999999995,59.9,60.75000000000001
62.980000000000004,62.0,62.480000000000004
63.9,63.11,63.5
60.81999999999999,60.089999999999996,60.45
69.12,68.30000000000001,68.71000000000001
64.4,62.64999999999999,63.51
65.77,63.74999999999999,64.75
63.1,65.9,64.47
70.50999999999999,64.77000000000001,67.52
58.10999999999999,57.35,57.720000000000006
66.24,64.88000000000001,65.55
67.75999999999999,62.63999999999999,65.10000000000001
61.62,61.56,61.59
76.66,59.06,66.72
68.42,61.25000000000001,64.63
69.34,62.18,65.57
68.81,62.0,65.23
72.37,62.849999999999994,67.27
60.28,63.33,61.77
67.35,67.54,67.45
59.37,59.97,59.67
63.51,61.61,62.55
65.32,61.85000000000001,63.54
65.42999999999999,59.519999999999996,62.339999999999996
62.470000000000006,61.839999999999996,62.150000000000006
63.39,63.18,63.29
61.77,63.31,62.529999999999994
58.56,57.57,58.06
66.13,62.69,64.36
60.419999999999995,62.01,61.199999999999996
62.970000000000006,61.18,62.06
64.21,65.55,64.87
65.19,63.06,64.11
61.7,59.68,60.68
62.08,60.01,61.029999999999994
63.53,63.65,63.59
64.23,64.73,64.48
63.9,63.800000000000004,63.849999999999994
65.86,63.62,64.72
60.11,60.57,60.34
66.12,64.39,65.25
68.49,64.8,66.60000000000001
67.17999999999999,63.67,65.38000000000001
65.60000000000001,64.38000000000001,64.98
61.83,61.019999999999996,61.419999999999995
62.12,63.62,62.86000000000001
64.32,63.74999999999999,64.03
64.48,64.07000000000001,64.28
66.72,63.42,65.03
60.160000000000004,57.85,58.98
67.86,66.46,67.15
66.8,67.44,67.12
56.940000000000005,56.010000000000005,56.47
62.4,60.24,61.3
62.57,64.28,63.41
61.57,61.17,61.370000000000005
60.129999999999995,57.50999999999999,58.79
65.42,64.09,64.74
65.86,67.01,66.43
69.42,65.22,67.25999999999999
61.31999999999999,58.58,59.919999999999995
60.64000000000001,55.879999999999995,58.17
60.38,61.94,61.150000000000006
62.88,61.67,62.27
63.63999999999999,62.39,63.01
59.199999999999996,58.91,59.06
60.24,60.99,60.61
65.47,63.85999999999999,64.66
62.29,57.67,59.89
61.31999999999999,61.57,61.44
63.22,65.16999999999999,64.18
63.82,63.83,63.82
68.17999999999999,60.89,64.33
63.129999999999995,62.5,62.81
66.24,62.28,64.2
64.73,64.34,64.53
66.24,60.25,63.1
62.82,62.73,62.77
64.91,62.0,63.43
62.949999999999996,61.23,62.08
62.61,61.339999999999996,61.970000000000006
68.99,66.94,67.95
61.160000000000004,60.6,60.88
62.55,61.96,62.25000000000001
63.580000000000005,63.49,63.54
58.8,59.37,59.08
61.970000000000006,59.550000000000004,60.73
67.07,65.84,66.45
62.739999999999995,60.96,61.839999999999996
58.93000000000001,62.86000000000001,60.83
64.61,62.68,63.629999999999995
64.28,64.22,64.25
64.58,62.050000000000004,63.29
66.33,64.28,65.29
64.09,61.12,62.57
69.74000000000001,65.44,67.52
63.41,60.42999999999999,61.88
64.73,65.48,65.10000000000001
63.4,63.39,63.39
65.12,61.29,63.14999999999999
69.22,64.99000000000001,67.04
59.41,58.97,59.19
63.949999999999996,61.99,62.96000000000001
62.62,60.41,61.5
64.88000000000001,61.839999999999996,63.32
63.81,64.01,63.91
67.39,63.14999999999999,65.2
68.84,63.79,66.22
62.2,63.92,63.05
63.24999999999999,60.150000000000006,61.660000000000004
63.65,64.11,63.88
69.95,63.49,66.56
64.19,62.3,63.23
65.74,60.099999999999994,62.79
65.73,62.39,64.02
69.04,67.13,68.07
58.5,60.480000000000004,59.47
62.970000000000006,65.23,64.08
61.51,61.660000000000004,61.58
66.73,62.27,64.42
64.41,64.12,64.25999999999999
61.33,61.38,61.35
59.099999999999994,57.17,58.120000000000005
61.199999999999996,62.18,61.68
63.83,63.79,63.81
64.77000000000001,63.85999999999999,64.31
66.69,66.86999999999999,66.78
64.44,60.480000000000004,62.4
64.46,60.480000000000004,62.41
64.13,64.51,64.32
60.870000000000005,61.07,60.97
60.540000000000006,59.51,60.019999999999996
62.019999999999996,60.550000000000004,61.27
61.42999999999999,61.45,61.44
65.52,62.71,64.08
64.53,64.87,64.7
61.28,60.0,60.629999999999995
60.9,59.36,60.12
66.86,65.57,66.21000000000001
63.43,62.839999999999996,63.129999999999995
63.129999999999995,63.91,63.51
64.96,62.94,63.94
70.45,62.980000000000004,66.51
61.69,62.07,61.88
62.93,61.69,62.3
64.42,63.41,63.91
62.8,60.9,61.83
64.34,64.52,64.42999999999999
68.26,70.1,69.17
64.44,63.01,63.72
62.660000000000004,61.78,62.22
62.38,57.96,60.089999999999996
63.18,62.88,63.029999999999994
61.150000000000006,58.099999999999994,59.589999999999996
66.85,66.0,66.42
69.5,68.32000000000001,68.89999999999999
69.89,67.35,68.60000000000001
65.36,64.66,65.01
61.42999999999999,61.51,61.47
60.9,61.83,61.36000000000001
65.75999999999999,60.160000000000004,62.839999999999996
58.940000000000005,60.01,59.47
62.99,60.06,61.49
57.9,55.83,56.85
66.61,65.33,65.96
61.760000000000005,62.38,62.07
62.2,63.68000000000001,62.93
63.91,61.59,62.73
70.37,63.85999999999999,66.96
59.199999999999996,59.84,59.519999999999996
60.73,61.85000000000001,61.28
59.89,61.309999999999995,60.589999999999996
66.57,61.99,64.2
62.019999999999996,62.150000000000006,62.08
64.88000000000001,59.699999999999996,62.18
70.15,65.9,67.96
70.62,64.9,67.64
62.82,62.08,62.45
61.96,62.46000000000001,62.21
60.25,61.88,61.06
68.25,66.45,67.34
64.58,61.17,62.83
60.11,58.199999999999996,59.14
60.77,62.39,61.57
67.31,65.36999999999999,66.33
62.73,59.88,61.27
66.2,63.68000000000001,64.91
65.77,63.67,64.7
62.519999999999996,61.970000000000006,62.239999999999995
60.540000000000006,58.77,59.64
64.5,62.019999999999996,63.239999999999995
62.6,63.17,62.88
70.84,67.15,68.95
62.57,59.5,61.0
66.29,62.96000000000001,64.58
66.32000000000001,64.39,65.34
63.39,64.14999999999999,63.75999999999999
65.56,64.0,64.77000000000001
68.12,63.260000000000005,65.60000000000001
65.0,63.6,64.29
65.33,60.95,63.06
59.08,59.69,59.38
62.839999999999996,62.629999999999995,62.739999999999995
66.5,63.78,65.11
62.12,61.339999999999996,61.72
69.06,69.16,69.11
64.73,60.089999999999996,62.33
62.949999999999996,63.0,62.980000000000004
65.58,63.160000000000004,64.35
65.10000000000001,65.2,65.14999999999999
63.959999999999994,63.94,63.949999999999996
68.72,66.64999999999999,67.67
64.09,63.660000000000004,63.88
64.19,62.029999999999994,63.09
61.6,60.74,61.17
75.14,62.5,68.24
60.58,58.84,59.699999999999996
63.28,64.2,63.739999999999995
66.86,64.09,65.45
63.370000000000005,62.5,62.93
66.99000000000001,66.4,66.7
63.690000000000005,62.19,62.93
70.82000000000001,61.839999999999996,66.03
68.74,67.14,67.93
66.9,62.62,64.69
59.919999999999995,63.160000000000004,61.5
63.23,58.330000000000005,60.68
63.3,62.970000000000006,63.129999999999995
60.96,61.61,61.28
65.52,64.12,64.81
66.79,65.81,66.3
63.07000000000001,64.39,63.73
63.93,63.46000000000001,63.690000000000005
63.17,65.86999999999999,64.49000000000001
61.3,61.53999999999999,61.419999999999995
63.01,63.89,63.449999999999996
62.43,63.89,63.14999999999999
67.89,63.04,65.38000000000001
62.79,62.7,62.739999999999995
63.83,63.29,63.56
62.41,61.56,61.980000000000004
62.62,63.470000000000006,63.04
62.91,61.88,62.39
61.27,57.809999999999995,59.489999999999995
68.51,66.9,67.69
63.28,63.2,63.239999999999995
65.11,64.03999999999999,64.57000000000001
63.72,64.3,64.01
62.83,60.74,61.77
64.07000000000001,57.8,60.77
67.17,64.88000000000001,66.01
63.18,61.78,62.470000000000006
