bleu,p,bp,lr,rl,pl
0.0,,0.571209063848815,0.6410256410256411,78,50
0.0,,0.2980403747876627,0.4523809523809524,84,38
0.0,,0.6187833918061408,0.6756756756756757,74,50
0.0098,,0.0871608514619813,0.29069767441860467,86,25
0.0,,0.020145750527577663,0.20388349514563106,103,21
0.0,,0.15987974607969396,0.35294117647058826,85,30
0.0,,0.5852511043074123,0.6511627906976745,86,56
0.0,,0.6885727317867689,0.7282608695652174,92,67
0.0,,0.4667764816516813,0.5675675675675675,74,42
0.0475,,0.48954165955695317,0.5833333333333334,84,49
0.0,,0.8212155182543464,0.8354430379746836,79,66
0.0,,0.15902248408504557,0.3522727272727273,88,31
0.0,,0.6976763260710311,0.7352941176470589,68,50
0.0,,0.8684670430264547,0.8764044943820225,89,78
0.0,,0.6120697141735014,0.6707317073170732,82,55
0.0,,0.11245690637286511,0.313953488372093,86,27
0.0,,0.8356986649599262,0.8478260869565217,92,78
0.0,,0.9048374180359595,0.9090909090909091,88,80
0.0,,0.5427474811642219,0.6206896551724138,87,54
0.0,,0.9493781839091318,0.9506172839506173,81,77
0.0,,0.19298143424568087,0.3780487804878049,82,31
0.0,,0.617458847057057,0.6746987951807228,83,56
0.0,,0.6496168515669168,0.6986301369863014,73,51
0.0,,0.47711391552103427,0.5747126436781609,87,50
0.0,,0.8777137332821822,0.8846153846153846,78,69
0.0,,0.4723665527410147,0.5714285714285714,84,48
0.0,,0.028565500784550377,0.21951219512195122,82,18
0.0,,0.2122479738267431,0.39215686274509803,102,40
0.0,,0.3406420441574411,0.48148148148148145,81,39
0.0,,0.4020772232755631,0.5232558139534884,86,45
0.0,,0.18887560283756186,0.375,88,33
0.0,,0.4823107482912781,0.5783132530120482,83,48
0.0,,0.023174427241061245,0.20987654320987653,81,17
0.0,,0.5421324699199651,0.620253164556962,79,49
0.0,,0.4965853037914095,0.5882352941176471,68,40
0.0,,0.7309334699014967,0.7613636363636364,88,67
0.0,,0.4076134837115909,0.527027027027027,74,39
0.0,,0.4796522688300442,0.5764705882352941,85,49
0.0,,0.06081006262521795,0.2631578947368421,76,20
0.0,,0.7335502658876475,0.7634408602150538,93,71
0.0,,0.9240885594051769,0.926829268292683,82,76
0.0,,0.8240299628128845,0.8378378378378378,74,62
0.0,,0.7419247450776166,0.7701149425287356,87,67
0.0,,0.0058409773431952515,0.16279069767441862,86,14
0.0,,0.049787068367863944,0.25,88,22
0.0,,0.7005201115142766,0.7375,80,59
0.0,,0.906112734834199,0.9102564102564102,78,71
0.0,,0.846481724890614,0.8571428571428571,77,66
0.0,,0.4297960674895162,0.5421686746987951,83,45
0.0,,0.049787068367863944,0.25,84,21
0.0,,0.6592406302004439,0.7058823529411765,85,60
0.0,,0.6807123983233854,0.7222222222222222,90,65
0.0,,0.18458316238656206,0.3717948717948718,78,29
0.0,,0.40656965974059905,0.5263157894736842,76,40
0.0,,0.7703813975921459,0.7931034482758621,87,69
0.0,,0.5301393488606666,0.611764705882353,85,52
0.0,,0.4283451055361891,0.5411764705882353,85,46
0.0,,0.6337248870127924,0.6867469879518072,83,57
0.0,,0.9420456992885599,0.9436619718309859,71,67
0.0,,0.2197748831002536,0.39759036144578314,83,33
0.0,,0.5432587835109418,0.6210526315789474,95,59
0.0,,0.033373269960326066,0.22727272727272727,88,20
0.0,,0.513417119032592,0.6,85,51
0.0,,0.06856315415427791,0.2717391304347826,92,25
0.0,,0.7725453888611077,0.7948717948717948,78,62
0.0,,0.48954165955695317,0.5833333333333334,84,49
0.0,,0.9863947691297537,0.9864864864864865,74,73
0.0,,0.4377589088697929,0.5476190476190477,84,46
0.0,,0.8388900116582023,0.8505747126436781,87,74
0.0,,0.40374299914035855,0.524390243902439,82,43
0.0,,0.24809602902877054,0.4177215189873418,79,33
0.0,,0.0801536770551255,0.28378378378378377,74,21
0.0,,0.8259868129103021,0.8395061728395061,81,68
0.0,,0.3765350333342476,0.5058823529411764,85,43
0.0,,0.12981217685543794,0.3287671232876712,73,24
0.0,,0.720105025431319,0.7528089887640449,89,67
0.0,,0.3419226518405891,0.4823529411764706,85,41
0.0,,0.7019829564262411,0.7386363636363636,88,65
0.0,,0.6771716396262055,0.7195121951219512,82,59
0.0,,0.1690133154060661,0.36,100,36
0.0,,0.0820849986238988,0.2857142857142857,91,26
0.0,,0.2902995072708592,0.4470588235294118,85,38
0.0,,0.5878696731223464,0.6530612244897959,98,64
0.0,,0.7729230693174647,0.7951807228915663,83,66
0.0,,0.5257880244257798,0.6086956521739131,92,56
0.0,,0.6722944777355109,0.7157894736842105,95,68
0.0,,0.48408721313117264,0.5795454545454546,88,51
0.0,,0.6411803884299546,0.6923076923076923,78,54
0.0,,0.8890097654027757,0.8947368421052632,76,68
0.0,,0.884195644895183,0.8904109589041096,73,65
0.0,,0.7316156289466418,0.7619047619047619,84,64
0.0,,0.636600548054484,0.6888888888888889,90,62
0.0,,0.7562284509112456,0.7816091954022989,87,68
0.0,,0.22313016014842982,0.4,75,30
0.0,,0.41111229050718745,0.5294117647058824,85,45
0.0,,0.9097416739108254,0.9135802469135802,81,74
0.0,,0.7206611626353246,0.7532467532467533,77,58
0.0,,0.8874500995480715,0.8933333333333333,75,67
