r1_p,r1_r,r1_f,r2_p,r2_r,r2_f,rL_p,rL_r,rL_f
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.71,2.63,3.5999999999999996,0.0,0.0,0.0,5.71,2.63,3.5999999999999996
10.17,8.82,9.45,1.72,1.49,1.6,8.469999999999999,7.35,7.870000000000001
26.32,6.41,10.31,0.0,0.0,0.0,21.05,5.13,8.25
5.26,1.05,1.7500000000000002,0.0,0.0,0.0,5.26,1.05,1.7500000000000002
3.85,1.28,1.92,0.0,0.0,0.0,3.85,1.28,1.92
19.61,12.989999999999998,15.620000000000001,6.0,3.95,4.760000000000001,15.690000000000001,10.39,12.5
4.35,3.4099999999999997,3.82,1.47,1.15,1.29,4.35,3.4099999999999997,3.82
4.760000000000001,2.94,3.64,2.44,1.49,1.8499999999999999,4.760000000000001,2.94,3.64
23.810000000000002,12.35,16.259999999999998,12.2,6.25,8.260000000000002,19.05,9.879999999999999,13.01
2.94,2.9899999999999998,2.96,0.0,0.0,0.0,2.94,2.9899999999999998,2.96
3.1199999999999997,1.3,1.83,0.0,0.0,0.0,3.1199999999999997,1.3,1.83
8.7,6.25,7.2700000000000005,2.22,1.59,1.8499999999999999,6.52,4.6899999999999995,5.45
1.3,1.2,1.25,0.0,0.0,0.0,1.3,1.2,1.25
7.02,5.48,6.15,1.79,1.39,1.5599999999999998,7.02,5.48,6.15
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.37,1.1400000000000001,1.24,0.0,0.0,0.0,1.37,1.1400000000000001,1.24
2.82,2.3800000000000003,2.58,0.0,0.0,0.0,2.82,2.3800000000000003,2.58
3.6999999999999997,2.5,2.9899999999999998,0.0,0.0,0.0,1.8499999999999999,1.25,1.49
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,4.05,5.7700000000000005,0.0,0.0,0.0,6.67,2.7,3.85
2.13,1.3,1.6099999999999999,0.0,0.0,0.0,2.13,1.3,1.6099999999999999
2.13,1.41,1.69,0.0,0.0,0.0,2.13,1.41,1.69
8.51,5.0,6.3,0.0,0.0,0.0,8.51,5.0,6.3
5.970000000000001,5.56,5.76,3.0300000000000002,2.82,2.92,5.970000000000001,5.56,5.76
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18.75,4.0,6.59,6.67,1.35,2.25,18.75,4.0,6.59
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.25,2.63,3.6999999999999997,0.0,0.0,0.0,6.25,2.63,3.6999999999999997
2.27,1.32,1.67,0.0,0.0,0.0,2.27,1.32,1.67
11.43,5.06,7.02,2.94,1.28,1.79,11.43,5.06,7.02
8.16,5.41,6.5,0.0,0.0,0.0,6.12,4.05,4.88
12.5,2.5,4.17,6.67,1.27,2.13,12.5,2.5,4.17
10.639999999999999,6.94,8.4,0.0,0.0,0.0,6.38,4.17,5.04
2.63,1.5599999999999998,1.96,0.0,0.0,0.0,2.63,1.5599999999999998,1.96
3.39,2.3800000000000003,2.8000000000000003,1.72,1.2,1.4200000000000002,3.39,2.3800000000000003,2.8000000000000003
11.76,6.0600000000000005,8.0,0.0,0.0,0.0,8.82,4.55,6.0
