bs_p,bs_r,bs_f
72.78999999999999,62.870000000000005,67.47
65.32,65.75,65.53999999999999
70.84,64.84,67.71000000000001
64.78,59.309999999999995,61.919999999999995
64.94,62.68,63.79
65.36,63.029999999999994,64.18
64.74,63.32,64.02
63.99,63.81,63.9
60.0,60.019999999999996,60.01
65.84,62.7,64.23
63.7,62.39,63.04
64.25,62.8,63.519999999999996
67.67999999999999,65.8,66.72
61.760000000000005,63.85999999999999,62.79
67.58999999999999,68.66,68.12
60.85,60.699999999999996,60.78
64.18,64.87,64.52
69.92,64.4,67.04
67.97999999999999,63.9,65.88000000000001
64.88000000000001,65.03,64.96
63.260000000000005,63.65,63.46000000000001
61.61,63.36000000000001,62.470000000000006
63.63999999999999,61.660000000000004,62.629999999999995
63.57000000000001,64.73,64.14
69.51,68.89999999999999,69.21000000000001
64.84,63.49,64.16
67.65,64.8,66.19
63.51,64.63,64.05999999999999
61.53999999999999,62.41,61.970000000000006
63.79,64.22,64.01
67.64,63.629999999999995,65.58
64.29,63.88,64.08
63.11,59.37,61.18
68.38,68.78,68.58
65.45,64.53,64.99000000000001
65.21000000000001,64.41,64.81
67.94,63.28,65.52
60.519999999999996,63.21,61.839999999999996
59.550000000000004,58.589999999999996,59.06
66.47999999999999,65.82000000000001,66.14999999999999
63.11,63.970000000000006,63.53
59.419999999999995,59.56,59.489999999999995
63.839999999999996,62.22,63.019999999999996
63.080000000000005,62.57,62.82
59.41,58.9,59.160000000000004
63.99,62.88,63.43
66.24,66.2,66.22
60.72,65.06,62.81
62.55,62.61,62.580000000000005
70.16,64.09,66.99000000000001
64.95,61.47,63.160000000000004
64.55,62.83,63.68000000000001
69.61,63.980000000000004,66.67999999999999
66.96,60.57,63.6
62.480000000000004,62.79,62.63999999999999
63.99,62.839999999999996,63.41
66.45,65.38000000000001,65.91
62.73,62.529999999999994,62.629999999999995
71.83,66.63,69.13
61.83,61.33,61.58
65.21000000000001,65.23,65.22
63.2,57.089999999999996,59.99
63.92,64.32,64.12
63.53,62.71,63.12
63.480000000000004,62.980000000000004,63.23
63.32,62.88,63.1
64.14,62.23,63.17
67.75,64.52,66.09
67.06,67.62,67.34
64.03999999999999,66.14999999999999,65.08
58.95,55.74,57.3
68.71000000000001,64.72,66.66
62.62,64.33,63.470000000000006
63.449999999999996,61.46,62.44
62.150000000000006,62.29,62.22
61.09,62.23,61.660000000000004
69.57,65.75999999999999,67.61
67.13,62.19,64.56
62.67,62.21,62.44
62.45,63.42,62.93
61.029999999999994,58.5,59.74
64.0,65.35,64.67
60.99,60.35,60.67
67.2,61.42999999999999,64.19
61.12,61.83,61.47
66.06,66.33,66.19
64.02,61.8,62.89
63.13999999999999,63.27,63.21
59.51,60.56,60.029999999999994
65.02,64.19,64.60000000000001
67.05,65.51,66.27
66.35,61.75000000000001,63.970000000000006
66.72,64.92,65.81
70.56,62.150000000000006,66.09
61.1,62.839999999999996,61.96
57.589999999999996,59.89,58.720000000000006
61.88,61.29,61.58
59.64,61.75000000000001,60.68
67.17,61.21,64.05
64.67,65.03999999999999,64.85
62.2,61.68,61.94
62.019999999999996,62.150000000000006,62.09
63.49,61.83,62.64999999999999
58.28,58.93000000000001,58.599999999999994
64.05,63.190000000000005,63.62
67.16,63.63999999999999,65.36
60.38,61.07,60.72
56.87,59.489999999999995,58.15
67.58999999999999,65.22,66.38
69.01,67.10000000000001,68.04
68.12,61.31999999999999,64.53999999999999
59.99,58.919999999999995,59.45
60.84,60.25,60.540000000000006
62.74999999999999,58.5,60.550000000000004
67.17999999999999,65.16,66.14999999999999
74.03999999999999,68.99,71.43
66.34,65.52,65.92
66.25,64.86,65.55
62.949999999999996,62.11,62.529999999999994
63.580000000000005,64.09,63.839999999999996
67.46,64.0,65.68
60.83,59.78,60.3
63.28,64.25999999999999,63.77
58.93000000000001,58.989999999999995,58.96
63.349999999999994,61.75000000000001,62.53999999999999
63.0,62.59,62.79
63.46000000000001,63.74999999999999,63.61
65.96,62.51,64.19
61.160000000000004,59.67,60.41
62.39,63.23,62.8
64.79,62.81,63.78
65.16,62.63999999999999,63.870000000000005
62.88,63.59,63.23
65.18,65.51,65.34
67.65,64.75999999999999,66.17
67.64,58.87,62.949999999999996
65.47,60.660000000000004,62.980000000000004
72.3,64.55,68.21000000000001
63.32,61.47,62.38
62.01,62.019999999999996,62.019999999999996
64.52,62.89,63.690000000000005
60.75000000000001,62.17,61.45
63.46000000000001,60.589999999999996,61.99
64.05,62.82,63.43
66.64,61.61,64.02
67.13,64.67,65.88000000000001
67.21000000000001,62.660000000000004,64.85
64.31,63.62,63.970000000000006
66.06,66.33,66.19
65.57,64.89,65.23
66.84,63.83,65.3
63.04,64.86,63.94
63.28,60.01,61.6
63.959999999999994,63.029999999999994,63.49
64.3,62.88,63.580000000000005
65.03999999999999,62.5,63.739999999999995
67.74,61.58,64.51
66.14999999999999,62.92,64.49000000000001
68.12,64.73,66.38
66.62,60.14000000000001,63.21
66.58,60.9,63.61
62.62,59.709999999999994,61.129999999999995
62.78,62.8,62.79
68.11,65.94,67.01
64.08,62.71,63.39
73.75,70.52000000000001,72.1
59.96,59.01,59.48
65.83,61.63999999999999,63.660000000000004
60.51,58.39,59.43000000000001
67.35,65.21000000000001,66.25999999999999
61.62,60.540000000000006,61.08
67.75999999999999,66.96,67.36
62.96000000000001,61.260000000000005,62.1
68.94,59.47,63.849999999999994
60.28,59.67,59.97
63.2,59.51,61.3
67.06,66.47,66.75999999999999
63.88,61.419999999999995,62.629999999999995
64.08,63.370000000000005,63.72
63.849999999999994,61.8,62.81
60.309999999999995,63.660000000000004,61.94
68.97,65.33,67.10000000000001
62.91,64.02,63.46000000000001
64.95,63.46000000000001,64.2
65.91,65.09,65.5
61.029999999999994,60.84,60.92999999999999
67.15,63.14999999999999,65.09
63.71,61.3,62.480000000000004
63.970000000000006,62.57,63.27
63.74999999999999,63.83,63.79
64.09,62.51,63.29
67.92,66.55,67.23
65.48,64.44,64.96
63.42,59.48,61.39
62.260000000000005,60.51,61.370000000000005
61.39,60.089999999999996,60.74
69.49,62.44,65.78
62.419999999999995,59.17,60.75000000000001
70.24000000000001,65.12,67.58
63.88,66.46,65.14999999999999
62.6,60.11,61.33
64.07000000000001,62.91,63.480000000000004
66.97,65.02,65.98
65.63,64.11,64.86
60.68,60.35,60.519999999999996
63.56,65.8,64.66
62.91,62.1,62.51
63.1,64.7,63.89
62.94,59.940000000000005,61.4
67.35,65.14,66.23
61.529999999999994,58.050000000000004,59.74
60.12,63.38,61.71
68.65,62.760000000000005,65.57
65.14,63.55,64.33
63.17,63.82,63.49
64.17,64.92999999999999,64.55
62.6,62.41,62.5
64.28,61.71,62.970000000000006
66.44,66.29,66.36999999999999
61.61,63.06,62.33
60.89,60.06,60.47
65.86999999999999,62.62,64.21
66.67,65.07,65.86
62.94,62.239999999999995,62.59
65.53999999999999,63.05,64.27000000000001
66.78,65.33,66.05
66.9,67.17,67.03
60.38,57.95,59.14
63.019999999999996,60.73,61.86000000000001
65.5,57.82000000000001,61.419999999999995
66.45,64.03,65.22
68.07,64.31,66.13
60.91,61.39,61.150000000000006
63.870000000000005,62.6,63.23
64.82,64.95,64.88000000000001
65.42999999999999,65.59,65.51
63.449999999999996,62.64999999999999,63.05
67.06,61.28,64.03999999999999
64.61,61.78,63.160000000000004
60.89,59.89,60.39
61.21,60.85,61.029999999999994
68.08999999999999,61.21,64.47
64.28,62.36000000000001,63.31
65.25,64.0,64.62
60.88,59.760000000000005,60.309999999999995
66.59,64.74,65.64999999999999
62.5,60.6,61.529999999999994
59.870000000000005,56.620000000000005,58.199999999999996
56.79,58.230000000000004,57.49999999999999
65.21000000000001,65.31,65.25999999999999
59.28,58.32000000000001,58.79
60.49,61.19,60.84
69.45,61.650000000000006,65.32
66.36,63.59,64.94
64.84,64.68,64.75999999999999
63.11,60.45,61.75000000000001
60.72,60.440000000000005,60.58
61.38,61.339999999999996,61.36000000000001
64.34,57.720000000000006,60.85
64.23,59.589999999999996,61.83
65.8,65.62,65.71000000000001
61.18,60.86,61.019999999999996
67.58,63.29,65.36999999999999
63.94,61.88,62.89
61.44,61.760000000000005,61.6
62.56,63.3,62.93
68.33,70.82000000000001,69.55
65.99000000000001,58.37,61.95
67.32000000000001,64.14,65.69
65.58,60.72,63.06
64.58,62.25000000000001,63.39
62.129999999999995,60.99,61.550000000000004
62.22,61.58,61.9
63.32,61.650000000000006,62.470000000000006
62.43,61.94,62.18
68.39,61.18,64.59
60.68,58.879999999999995,59.77
65.29,59.519999999999996,62.27
59.89,60.040000000000006,59.97
65.60000000000001,67.9,66.73
71.3,64.75999999999999,67.86999999999999
65.61,66.05,65.83
67.75999999999999,62.41,64.98
61.58,61.42999999999999,61.51
65.32,63.43,64.36
63.959999999999994,62.86000000000001,63.4
61.56,62.4,61.970000000000006
61.7,61.970000000000006,61.839999999999996
63.46000000000001,60.75000000000001,62.08
65.27,64.07000000000001,64.66
66.12,64.72,65.41
61.53999999999999,60.23,60.88
67.34,63.67,65.45
64.91,64.29,64.60000000000001
58.879999999999995,57.50999999999999,58.19
68.07,63.38,65.64
60.550000000000004,60.78,60.660000000000004
63.33,62.370000000000005,62.849999999999994
63.88,61.809999999999995,62.83
62.36000000000001,60.29,61.3
70.69,67.28,68.94
61.71,61.19,61.45
57.24,60.17,58.67
66.49000000000001,65.10000000000001,65.79
65.14999999999999,62.72,63.91
70.89999999999999,65.79,68.25
64.35,63.77,64.05999999999999
61.050000000000004,61.08,61.06
59.99,58.01,58.989999999999995
63.92,63.949999999999996,63.93
66.94,67.2,67.07
61.21,60.56,60.88
62.419999999999995,60.370000000000005,61.38
66.36,64.64,65.49000000000001
63.06,63.57000000000001,63.31
61.83,60.83,61.31999999999999
60.14000000000001,60.46,60.3
67.36999999999999,66.58,66.97
63.27,61.92999999999999,62.59
62.44,64.03,63.22
61.22,62.13999999999999,61.68
64.12,66.03999999999999,65.07
61.5,61.27,61.38
65.03,57.589999999999996,61.08
59.46,64.25,61.77
66.97999999999999,61.68,64.22
63.29,60.97,62.11
64.56,64.64999999999999,64.60000000000001
60.67,58.050000000000004,59.330000000000005
61.83,60.79,61.309999999999995
64.42999999999999,62.09,63.239999999999995
63.660000000000004,59.89,61.72
61.35,60.660000000000004,61.01
68.92,62.73,65.68
60.419999999999995,60.309999999999995,60.370000000000005
70.23,70.87,70.55
65.16999999999999,64.13,64.64999999999999
63.6,61.4,62.480000000000004
65.86,62.480000000000004,64.13
75.88000000000001,64.67,69.83
59.41,55.57,57.43000000000001
64.03,64.09,64.05999999999999
66.46,61.95,64.13
66.36999999999999,61.739999999999995,63.970000000000006
74.33,58.63,65.55
68.33,63.11,65.62
66.28,59.75,62.839999999999996
67.58999999999999,59.13,63.080000000000005
67.25999999999999,65.88000000000001,66.56
62.94,62.59,62.77
68.81,67.9,68.35
60.51,60.41,60.46
64.66,62.62,63.62
66.91,65.01,65.94
61.51,59.64,60.56
63.019999999999996,62.73,62.870000000000005
65.27,61.019999999999996,63.07000000000001
61.42999999999999,65.42,63.36000000000001
56.87,55.379999999999995,56.11000000000001
61.260000000000005,61.31999999999999,61.29
64.33,62.68,63.49
67.07,60.92999999999999,63.849999999999994
66.17,65.9,66.03
60.07,61.7,60.870000000000005
60.550000000000004,60.42999999999999,60.49
67.07,59.64,63.13999999999999
65.72,64.33,65.02
64.53,63.239999999999995,63.88
64.14999999999999,63.870000000000005,64.01
62.129999999999995,61.870000000000005,62.0
63.7,61.839999999999996,62.760000000000005
59.29,63.65,61.4
70.97,61.89,66.12
66.07,65.22,65.64
62.519999999999996,59.95,61.21
63.73,63.51,63.62
66.16,63.959999999999994,65.03999999999999
64.13,63.370000000000005,63.74999999999999
66.25999999999999,64.23,65.23
68.10000000000001,64.11,66.03999999999999
60.74,57.29,58.96
75.31,66.66,70.72
59.85,61.1,60.46
61.31999999999999,57.37,59.28
65.36999999999999,64.05999999999999,64.71000000000001
61.46,61.58,61.519999999999996
62.33,62.029999999999994,62.18
62.69,62.49,62.59
66.3,62.74999999999999,64.48
66.27,66.27,66.27
63.449999999999996,62.64999999999999,63.05
61.650000000000006,60.41,61.019999999999996
59.51,58.47,58.989999999999995
61.39,61.980000000000004,61.69
63.29,61.199999999999996,62.23
66.35,63.63999999999999,64.97
61.339999999999996,62.08,61.71
67.62,65.05,66.31
62.870000000000005,62.56,62.72
60.64000000000001,58.96,59.79
62.239999999999995,60.940000000000005,61.58
61.44,61.46,61.45
65.29,66.78,66.03
64.79,61.77,63.239999999999995
62.46000000000001,62.35000000000001,62.41
65.10000000000001,64.37,64.73
65.63,63.73,64.66
67.92,63.44,65.60000000000001
65.79,64.22,64.99000000000001
63.33,62.8,63.07000000000001
63.470000000000006,62.63999999999999,63.05
61.82,61.14000000000001,61.480000000000004
60.36,62.7,61.51
63.5,63.46000000000001,63.480000000000004
62.839999999999996,62.49,62.660000000000004
63.53,61.28,62.38
62.760000000000005,63.970000000000006,63.36000000000001
64.05,61.260000000000005,62.62
64.69,62.23,63.44
62.43,61.25000000000001,61.839999999999996
62.050000000000004,63.72,62.870000000000005
66.75,65.97,66.36
65.03,62.150000000000006,63.56
57.06,61.650000000000006,59.27
62.160000000000004,61.550000000000004,61.86000000000001
61.89,57.32000000000001,59.519999999999996
65.07,65.38000000000001,65.23
64.03999999999999,62.03999999999999,63.019999999999996
66.05,63.05,64.51
64.07000000000001,63.55,63.81
64.22,63.75999999999999,63.99
60.69,60.8,60.74
63.49,59.209999999999994,61.28
64.25,62.38,63.3
60.309999999999995,59.14,59.72
68.66,62.99,65.71000000000001
66.78,64.81,65.78
70.07,64.82,67.34
65.42999999999999,63.4,64.4
63.29,61.73,62.5
59.14,61.38,60.23
60.589999999999996,61.09,60.84
66.91,61.5,64.09
68.26,66.42,67.33
62.660000000000004,58.91,60.73
64.01,63.349999999999994,63.67
64.32,63.91,64.11
66.17,62.849999999999994,64.46
62.72,61.53999999999999,62.12
61.519999999999996,62.580000000000005,62.050000000000004
67.89,61.72,64.66
63.580000000000005,62.99,63.28
64.23,60.370000000000005,62.239999999999995
59.43000000000001,56.510000000000005,57.93000000000001
57.330000000000005,58.14,57.730000000000004
62.019999999999996,58.08,59.99
65.06,63.56,64.3
67.41,64.82,66.09
64.16,62.39,63.260000000000005
64.97,63.3,64.12
61.6,61.24000000000001,61.419999999999995
64.32,64.14999999999999,64.24
63.0,62.77,62.89
64.59,63.55,64.07000000000001
60.089999999999996,60.6,60.34
68.22,61.96,64.94
64.17,62.45,63.3
71.16,68.77,69.94
64.42999999999999,58.75,61.46
72.36,70.39999999999999,71.37
65.10000000000001,63.5,64.29
64.82,65.97,65.39
70.47,67.58999999999999,69.0
63.1,62.519999999999996,62.81
63.690000000000005,61.89,62.78
68.26,65.03999999999999,66.61
63.62,63.14999999999999,63.38
66.81,65.16,65.97
64.48,64.21,64.35
67.62,69.43,68.51
65.09,65.14999999999999,65.12
65.69,62.12,63.849999999999994
59.74,58.60999999999999,59.17
64.11,61.44,62.74999999999999
67.7,67.0,67.35
63.55,64.5,64.02
69.17,67.63,68.39
67.35,68.52000000000001,67.93
62.86000000000001,60.550000000000004,61.68
66.8,63.89,65.31
63.12,64.8,63.949999999999996
61.870000000000005,61.019999999999996,61.45
63.54,63.68000000000001,63.61
61.31999999999999,60.39,60.85
64.61,65.16999999999999,64.89
69.53,65.56,67.49000000000001
64.61,62.68,63.629999999999995
