bleu,p,bp,lr,rl,pl
0.0,,0.020754337873699742,0.20512820512820512,78,16
0.0,,0.7465387963855761,0.7738095238095238,84,65
0.0,,0.140858420921045,0.33783783783783783,74,25
0.0,,0.036883167401240015,0.23255813953488372,86,20
0.0,,0.11988622377030095,0.32038834951456313,103,33
0.0,,0.06749834675561249,0.27058823529411763,85,23
0.0,,0.2996535799248734,0.45348837209302323,86,39
0.0,,0.3040764312848333,0.45652173913043476,92,42
0.0,,0.5440600500081386,0.6216216216216216,74,46
0.0,,0.18092414583249508,0.36904761904761907,84,31
0.0,,0.8650849781567743,0.8734177215189873,79,69
0.0,,0.5805033835826242,0.6477272727272727,88,57
0.0,,0.5795782787848095,0.6470588235294118,68,44
0.0,,0.7343103427711739,0.7640449438202247,89,68
0.0,,0.6285839333986253,0.6829268292682927,82,56
0.0,,0.3849870989234837,0.5116279069767442,86,44
0.0,,0.4790985044865515,0.5760869565217391,92,53
0.1157,,0.9294421312368021,0.9318181818181818,88,82
0.0,,0.4269604769868339,0.5402298850574713,87,47
0.0,,0.5379444375946745,0.6172839506172839,81,50
0.0,,0.8564754905352794,0.8658536585365854,82,71
0.0,,0.6657908738249417,0.7108433734939759,83,59
0.0,,0.2193160630518313,0.3972602739726027,73,29
0.0,,0.6065306597126334,0.6666666666666666,87,58
0.0,,0.3867410234545011,0.5128205128205128,78,40
0.0,,0.36787944117144233,0.5,84,42
0.0,,0.7396432515060437,0.7682926829268293,82,63
0.0,,0.7595721232249686,0.7843137254901961,102,80
0.0,,0.8259868129103021,0.8395061728395061,81,68
0.0,,0.7956694616416928,0.813953488372093,86,70
0.0,,0.2682624534699609,0.4318181818181818,88,38
0.0,,0.6498365022331483,0.6987951807228916,83,58
0.0,,0.1353352832366127,0.3333333333333333,81,27
0.0,,0.432916979627099,0.5443037974683544,79,43
0.0,,0.5795782787848095,0.6470588235294118,68,44
0.0,,0.6872892787909722,0.7272727272727273,88,64
0.0,,0.4274149319487267,0.5405405405405406,74,40
0.0,,0.5301393488606666,0.611764705882353,85,52
0.0,,0.844314039201216,0.8552631578947368,76,65
0.0,,0.7470175003104325,0.7741935483870968,93,72
0.0,,0.6449409664697823,0.6951219512195121,82,57
0.0,,0.8080634033085272,0.8243243243243243,74,61
0.0,,0.4101204639912304,0.5287356321839081,87,46
0.0,,0.6170787554426814,0.6744186046511628,86,58
0.0,,0.36787944117144233,0.5,88,44
0.0,,0.441233167759984,0.55,80,44
0.0,,0.6065306597126334,0.6666666666666666,78,52
0.0,,0.6006133345877123,0.6623376623376623,77,51
0.0,,0.2197748831002536,0.39759036144578314,83,33
0.0,,0.10744574776375677,0.30952380952380953,84,26
0.0,,0.07873506526686186,0.2823529411764706,85,24
0.0,,0.19261559277384013,0.37777777777777777,90,34
0.0,,0.06625225915226167,0.2692307692307692,78,21
0.0,,0.0859022330378763,0.2894736842105263,76,22
0.0,,0.7128661967922724,0.7471264367816092,87,65
0.0,,0.25637575668641227,0.4235294117647059,85,36
0.0414,,0.8348063012807894,0.8470588235294118,85,72
0.0,,0.844497008978201,0.8554216867469879,83,71
0.0,,0.23497506847332436,0.4084507042253521,71,29
0.0,,0.4823107482912781,0.5783132530120482,83,48
0.0,,0.5872773611592584,0.6526315789473685,95,62
0.0,,0.007698985849401577,0.17045454545454544,88,15
0.0,,0.8348063012807894,0.8470588235294118,85,72
0.0,,0.256924153818043,0.42391304347826086,92,39
0.0,,0.7725453888611077,0.7948717948717948,78,62
0.0,,0.573753420737433,0.6428571428571429,84,54
0.0,,0.9586267176373937,0.9594594594594594,74,71
0.0,,0.2465969639416065,0.4166666666666667,84,35
0.0,,0.8652499605112198,0.8735632183908046,87,76
0.0,,0.7242775199742143,0.7560975609756098,82,62
0.0,,0.009630143587403526,0.17721518987341772,79,14
0.0,,0.38776010329632493,0.5135135135135135,74,38
0.0,,0.8824969025845955,0.8888888888888888,81,72
0.0,,0.32465246735834974,0.47058823529411764,85,40
0.0,,0.7552535529531296,0.7808219178082192,73,57
0.0,,0.7483720194325066,0.7752808988764045,89,69
0.0,,0.3938369917489348,0.5176470588235295,85,44
0.0,,0.11731916609425078,0.3181818181818182,88,28
0.0,,0.6285839333986253,0.6829268292682927,82,56
0.0,,0.729212952525235,0.76,100,76
0.0,,0.17246244823922177,0.3626373626373626,91,33
