r1_p,r1_r,r1_f,r2_p,r2_r,r2_f,rL_p,rL_r,rL_f
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.33,6.58,7.35,0.0,0.0,0.0,6.67,5.26,5.88
16.0,5.88,8.6,4.17,1.49,2.1999999999999997,12.0,4.41,6.45
17.65,3.85,6.32,6.25,1.3,2.15,17.65,3.85,6.32
11.110000000000001,3.16,4.92,0.0,0.0,0.0,11.110000000000001,3.16,4.92
4.55,1.28,2.0,0.0,0.0,0.0,4.55,1.28,2.0
15.15,6.49,9.09,3.1199999999999997,1.32,1.8499999999999999,12.120000000000001,5.19,7.2700000000000005
8.33,3.4099999999999997,4.84,2.86,1.15,1.6400000000000001,8.33,3.4099999999999997,4.84
2.56,1.47,1.87,0.0,0.0,0.0,2.56,1.47,1.87
2.78,1.23,1.71,0.0,0.0,0.0,2.78,1.23,1.71
4.92,4.4799999999999995,4.6899999999999995,0.0,0.0,0.0,3.2800000000000002,2.9899999999999998,3.1199999999999997
8.51,5.19,6.45,4.35,2.63,3.2800000000000002,8.51,5.19,6.45
9.3,6.25,7.48,0.0,0.0,0.0,6.98,4.6899999999999995,5.609999999999999
1.6099999999999999,1.2,1.38,0.0,0.0,0.0,1.6099999999999999,1.2,1.38
14.04,10.96,12.31,5.36,4.17,4.6899999999999995,10.530000000000001,8.219999999999999,9.229999999999999
2.17,1.23,1.5699999999999998,0.0,0.0,0.0,2.17,1.23,1.5699999999999998
4.26,2.27,2.96,0.0,0.0,0.0,4.26,2.27,2.96
23.810000000000002,17.86,20.41,12.9,9.64,11.03,22.220000000000002,16.669999999999998,19.05
6.25,3.75,4.6899999999999995,0.0,0.0,0.0,4.17,2.5,3.1199999999999997
8.7,5.63,6.84,4.44,2.86,3.4799999999999995,6.52,4.2299999999999995,5.13
9.229999999999999,8.110000000000001,8.63,1.5599999999999998,1.37,1.46,4.62,4.05,4.32
9.8,6.49,7.8100000000000005,4.0,2.63,3.17,7.84,5.19,6.25
3.2300000000000004,1.41,1.96,0.0,0.0,0.0,3.2300000000000004,1.41,1.96
8.62,6.25,7.249999999999999,0.0,0.0,0.0,6.9,5.0,5.800000000000001
17.14,8.33,11.21,5.88,2.82,3.81,11.43,5.56,7.48
4.88,2.56,3.36,0.0,0.0,0.0,4.88,2.56,3.36
5.56,4.0,4.65,1.8900000000000001,1.35,1.5699999999999998,5.56,4.0,4.65
2.74,2.15,2.41,0.0,0.0,0.0,2.74,2.15,2.41
