bs_p,bs_r,bs_f
66.52,62.86000000000001,64.64
68.5,65.60000000000001,67.02
67.58999999999999,63.5,65.48
63.519999999999996,60.92999999999999,62.2
62.92,62.150000000000006,62.529999999999994
66.69,64.44,65.55
67.39,66.88,67.13
62.03999999999999,62.150000000000006,62.1
72.32,64.64,68.26
71.99,65.25999999999999,68.46
64.34,63.62,63.980000000000004
65.19,66.77,65.97
71.91,65.75,68.69
59.660000000000004,59.209999999999994,59.43000000000001
63.970000000000006,65.25,64.60000000000001
60.24,61.160000000000004,60.699999999999996
59.75,57.989999999999995,58.86
60.31999999999999,60.040000000000006,60.18
67.47,67.95,67.71000000000001
68.54,63.07000000000001,65.69
62.6,59.699999999999996,61.12
61.88,62.45,62.160000000000004
60.68,62.0,61.33
64.16,59.67,61.83
64.44,65.14,64.78
64.11,63.970000000000006,64.03999999999999
67.33,61.160000000000004,64.09
64.77000000000001,64.66,64.72
64.17,63.22,63.690000000000005
62.8,63.9,63.349999999999994
63.92,62.2,63.05
60.6,62.51,61.53999999999999
66.05,63.61,64.81
65.34,63.43,64.37
60.18,61.419999999999995,60.79
67.36999999999999,62.92,65.07
71.46000000000001,63.28,67.12
64.38000000000001,64.81,64.59
59.199999999999996,58.089999999999996,58.64
66.72,66.45,66.58
63.339999999999996,62.99,63.160000000000004
63.580000000000005,62.88,63.23
59.419999999999995,59.29,59.36
61.550000000000004,59.11,60.3
61.529999999999994,60.96,61.25000000000001
60.97,63.519999999999996,62.22
68.83,69.02000000000001,68.93
61.92999999999999,65.66,63.739999999999995
62.62,62.9,62.760000000000005
66.45,59.41,62.73
64.77000000000001,62.53999999999999,63.63999999999999
62.39,63.13999999999999,62.760000000000005
64.72,64.03,64.37
62.0,62.29,62.150000000000006
63.38,64.64999999999999,64.01
61.58,61.45,61.519999999999996
64.03,62.8,63.41
61.980000000000004,62.0,61.99
71.71,64.82,68.08999999999999
58.4,58.69,58.540000000000006
63.370000000000005,62.01,62.68
63.99,60.41,62.150000000000006
70.49,63.41,66.77
62.64999999999999,61.99,62.32
63.85999999999999,64.8,64.32
65.9,64.92,65.41
62.660000000000004,62.5,62.580000000000005
66.55,63.29,64.88000000000001
63.81,65.08,64.44
64.25999999999999,65.02,64.64
64.5,59.85,62.09
67.92,65.55,66.72
58.940000000000005,61.01,59.96
66.88,65.60000000000001,66.23
63.480000000000004,62.86000000000001,63.160000000000004
