r1_p,r1_r,r1_f,r2_p,r2_r,r2_f,rL_p,rL_r,rL_f
2.27,1.35,1.69,0.0,0.0,0.0,2.27,1.35,1.69
10.26,5.26,6.959999999999999,7.89,4.0,5.3100000000000005,10.26,5.26,6.959999999999999
15.15,7.35,9.9,3.1199999999999997,1.49,2.02,15.15,7.35,9.9
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.3300000000000005,1.05,1.6,0.0,0.0,0.0,3.3300000000000005,1.05,1.6
15.790000000000001,3.85,6.1899999999999995,0.0,0.0,0.0,10.530000000000001,2.56,4.12
17.57,16.88,17.22,4.109999999999999,3.95,4.03,12.16,11.690000000000001,11.92
7.2700000000000005,4.55,5.59,1.8499999999999999,1.15,1.4200000000000002,7.2700000000000005,4.55,5.59
22.220000000000002,8.82,12.629999999999999,11.540000000000001,4.4799999999999995,6.45,22.220000000000002,8.82,12.629999999999999
34.150000000000006,17.28,22.95,20.0,10.0,13.33,31.71,16.05,21.310000000000002
3.1199999999999997,2.9899999999999998,3.05,0.0,0.0,0.0,3.1199999999999997,2.9899999999999998,3.05
11.76,10.39,11.03,4.4799999999999995,3.95,4.2,10.290000000000001,9.09,9.66
15.379999999999999,6.25,8.89,0.0,0.0,0.0,11.540000000000001,4.6899999999999995,6.67
8.06,6.02,6.9,0.0,0.0,0.0,6.45,4.82,5.52
12.9,5.48,7.6899999999999995,3.3300000000000005,1.39,1.96,12.9,5.48,7.6899999999999995
4.9399999999999995,4.9399999999999995,4.9399999999999995,0.0,0.0,0.0,2.4699999999999998,2.4699999999999998,2.4699999999999998
8.7,2.27,3.5999999999999996,0.0,0.0,0.0,8.7,2.27,3.5999999999999996
4.41,3.5700000000000003,3.95,0.0,0.0,0.0,4.41,3.5700000000000003,3.95
10.71,7.5,8.82,1.82,1.27,1.49,8.93,6.25,7.35
8.7,2.82,4.26,4.55,1.43,2.17,8.7,2.82,4.26
9.379999999999999,4.05,5.66,0.0,0.0,0.0,9.379999999999999,4.05,5.66
6.41,6.49,6.45,2.6,2.63,2.6100000000000003,5.13,5.19,5.16
3.08,2.82,2.94,0.0,0.0,0.0,3.08,2.82,2.94
6.25,1.25,2.08,0.0,0.0,0.0,6.25,1.25,2.08
7.140000000000001,5.56,6.25,1.82,1.41,1.59,5.36,4.17,4.6899999999999995
6.67,2.56,3.6999999999999997,0.0,0.0,0.0,6.67,2.56,3.6999999999999997
6.9,5.33,6.02,1.7500000000000002,1.35,1.53,6.9,5.33,6.02
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.800000000000001,5.26,5.52,1.47,1.3299999999999998,1.4000000000000001,4.35,3.95,4.14
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.82,7.59,8.16,0.0,0.0,0.0,7.35,6.329999999999999,6.800000000000001
2.56,1.35,1.77,0.0,0.0,0.0,2.56,1.35,1.77
6.98,3.75,4.88,2.3800000000000003,1.27,1.6500000000000001,6.98,3.75,4.88
10.26,5.56,7.21,2.63,1.41,1.83,7.6899999999999995,4.17,5.41
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.88,2.3800000000000003,3.39,3.0300000000000002,1.2,1.72,5.88,2.3800000000000003,3.39
13.04,4.55,6.74,0.0,0.0,0.0,8.7,3.0300000000000002,4.49
8.450000000000001,8.0,8.219999999999999,2.86,2.7,2.78,5.63,5.33,5.48
2.04,1.37,1.6400000000000001,0.0,0.0,0.0,2.04,1.37,1.6400000000000001
9.09,6.17,7.35,1.8499999999999999,1.25,1.49,9.09,6.17,7.35
9.09,5.13,6.5600000000000005,2.33,1.3,1.67,6.819999999999999,3.85,4.92
3.2300000000000004,3.0300000000000002,3.1199999999999997,0.0,0.0,0.0,3.2300000000000004,3.0300000000000002,3.1199999999999997
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.760000000000001,1.28,2.02,0.0,0.0,0.0,4.760000000000001,1.28,2.02
3.7699999999999996,2.4699999999999998,2.9899999999999998,0.0,0.0,0.0,3.7699999999999996,2.4699999999999998,2.9899999999999998
3.0300000000000002,2.7,2.86,0.0,0.0,0.0,3.0300000000000002,2.7,2.86
12.5,9.719999999999999,10.94,7.2700000000000005,5.63,6.35,12.5,9.719999999999999,10.94
7.8100000000000005,7.04,7.41,0.0,0.0,0.0,6.25,5.63,5.93
3.1199999999999997,2.63,2.86,0.0,0.0,0.0,3.1199999999999997,2.63,2.86
20.0,3.85,6.45,7.140000000000001,1.3,2.1999999999999997,20.0,3.85,6.45
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.44,2.56,3.25,0.0,0.0,0.0,4.44,2.56,3.25
4.2299999999999995,3.9,4.05,0.0,0.0,0.0,2.82,2.6,2.7
10.26,5.56,7.21,5.26,2.82,3.6700000000000004,10.26,5.56,7.21
3.64,2.5,2.96,0.0,0.0,0.0,3.64,2.5,2.96
3.45,1.32,1.9,0.0,0.0,0.0,3.45,1.32,1.9
5.66,3.75,4.51,1.92,1.27,1.53,5.66,3.75,4.51
3.3300000000000005,1.27,1.83,0.0,0.0,0.0,3.3300000000000005,1.27,1.83
5.88,1.47,2.35,0.0,0.0,0.0,5.88,1.47,2.35
6.67,2.53,3.6700000000000004,0.0,0.0,0.0,6.67,2.53,3.6700000000000004
4.88,2.25,3.08,0.0,0.0,0.0,4.88,2.25,3.08
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28.000000000000004,8.97,13.59,8.33,2.6,3.9600000000000004,24.0,7.6899999999999995,11.65
10.34,3.49,5.220000000000001,7.140000000000001,2.35,3.54,10.34,3.49,5.220000000000001
7.02,5.56,6.2,0.0,0.0,0.0,5.26,4.17,4.65
11.110000000000001,8.86,9.86,6.45,5.13,5.71,11.110000000000001,8.86,9.86
2.04,1.43,1.68,0.0,0.0,0.0,2.04,1.43,1.68
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.109999999999999,3.61,3.85,0.0,0.0,0.0,4.109999999999999,3.61,3.85
5.970000000000001,5.41,5.67,1.52,1.37,1.44,4.4799999999999995,4.05,4.26
4.55,1.4500000000000002,2.1999999999999997,0.0,0.0,0.0,4.55,1.4500000000000002,2.1999999999999997
7.6899999999999995,7.46,7.580000000000001,3.1199999999999997,3.0300000000000002,3.08,7.6899999999999995,7.46,7.580000000000001
3.51,2.78,3.1,0.0,0.0,0.0,3.51,2.78,3.1
25.0,23.080000000000002,24.0,15.49,14.29,14.860000000000001,22.220000000000002,20.51,21.33
1.72,1.54,1.63,0.0,0.0,0.0,1.72,1.54,1.63
17.65,3.5700000000000003,5.94,0.0,0.0,0.0,17.65,3.5700000000000003,5.94
15.790000000000001,7.6899999999999995,10.34,0.0,0.0,0.0,13.16,6.41,8.62
1.5599999999999998,1.28,1.41,0.0,0.0,0.0,1.5599999999999998,1.28,1.41
8.06,6.25,7.04,3.2800000000000002,2.53,2.86,6.45,5.0,5.63
2.9000000000000004,2.15,2.4699999999999998,1.47,1.09,1.25,2.9000000000000004,2.15,2.4699999999999998
6.25,5.06,5.59,0.0,0.0,0.0,4.6899999999999995,3.8,4.2
3.17,2.44,2.76,0.0,0.0,0.0,3.17,2.44,2.76
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16.98,12.16,14.17,3.85,2.74,3.2,13.209999999999999,9.46,11.020000000000001
3.45,2.41,2.8400000000000003,0.0,0.0,0.0,3.45,2.41,2.8400000000000003
17.39,4.71,7.41,4.55,1.1900000000000002,1.8900000000000001,17.39,4.71,7.41
4.35,1.32,2.02,0.0,0.0,0.0,4.35,1.32,2.02
3.5700000000000003,2.86,3.17,0.0,0.0,0.0,1.79,1.43,1.59
4.05,4.05,4.05,1.37,1.37,1.37,4.05,4.05,4.05
1.6400000000000001,1.52,1.5699999999999998,0.0,0.0,0.0,1.6400000000000001,1.52,1.5699999999999998
7.140000000000001,5.13,5.970000000000001,1.82,1.3,1.52,7.140000000000001,5.13,5.970000000000001
13.79,4.71,7.02,0.0,0.0,0.0,13.79,4.71,7.02
7.02,5.06,5.88,0.0,0.0,0.0,7.02,5.06,5.88
27.27,4.41,7.59,10.0,1.49,2.6,27.27,4.41,7.59
2.94,2.82,2.88,0.0,0.0,0.0,2.94,2.82,2.88
3.7699999999999996,2.74,3.17,0.0,0.0,0.0,3.7699999999999996,2.74,3.17
2.56,1.25,1.68,0.0,0.0,0.0,2.56,1.25,1.68
7.02,6.45,6.72,0.0,0.0,0.0,5.26,4.84,5.04
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.23,1.41,1.32,0.0,0.0,0.0,1.23,1.41,1.32
25.71,11.110000000000001,15.52,14.71,6.25,8.77,22.86,9.879999999999999,13.79
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10.0,2.82,4.3999999999999995,5.26,1.43,2.25,10.0,2.82,4.3999999999999995
2.94,2.13,2.4699999999999998,0.0,0.0,0.0,1.47,1.06,1.23
8.200000000000001,6.8500000000000005,7.46,0.0,0.0,0.0,3.2800000000000002,2.74,2.9899999999999998
8.469999999999999,5.81,6.9,1.72,1.18,1.4000000000000001,6.78,4.65,5.52
3.8,3.61,3.6999999999999997,1.28,1.22,1.25,3.8,3.61,3.6999999999999997
11.63,7.35,9.01,4.760000000000001,2.9899999999999998,3.6700000000000004,11.63,7.35,9.01
9.43,6.94,8.0,1.92,1.41,1.63,7.55,5.56,6.4
17.39,10.13,12.8,6.67,3.85,4.88,17.39,10.13,12.8
25.0,6.59,10.43,8.7,2.22,3.54,25.0,6.59,10.43
6.12,3.53,4.4799999999999995,0.0,0.0,0.0,4.08,2.35,2.9899999999999998
11.110000000000001,10.530000000000001,10.81,1.41,1.3299999999999998,1.37,6.94,6.58,6.76
4.0,1.1900000000000002,1.83,0.0,0.0,0.0,4.0,1.1900000000000002,1.83
10.290000000000001,8.33,9.21,4.4799999999999995,3.61,4.0,5.88,4.760000000000001,5.26
9.09,6.49,7.580000000000001,5.56,3.95,4.62,9.09,6.49,7.580000000000001
7.140000000000001,2.74,3.9600000000000004,0.0,0.0,0.0,7.140000000000001,2.74,3.9600000000000004
12.770000000000001,8.219999999999999,10.0,0.0,0.0,0.0,6.38,4.109999999999999,5.0
3.2300000000000004,2.82,3.01,0.0,0.0,0.0,3.2300000000000004,2.82,3.01
14.29,4.9399999999999995,7.340000000000001,11.110000000000001,3.75,5.609999999999999,14.29,4.9399999999999995,7.340000000000001
3.45,1.1400000000000001,1.71,0.0,0.0,0.0,3.45,1.1400000000000001,1.71
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.82,2.6,2.7,0.0,0.0,0.0,2.82,2.6,2.7
1.79,1.41,1.5699999999999998,0.0,0.0,0.0,1.79,1.41,1.5699999999999998
5.800000000000001,4.65,5.16,0.0,0.0,0.0,5.800000000000001,4.65,5.16
3.9,3.45,3.66,0.0,0.0,0.0,3.9,3.45,3.66
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.88,3.2300000000000004,3.88,0.0,0.0,0.0,4.88,3.2300000000000004,3.88
4.0,1.23,1.8900000000000001,0.0,0.0,0.0,4.0,1.23,1.8900000000000001
2.94,2.3800000000000003,2.63,0.0,0.0,0.0,2.94,2.3800000000000003,2.63
14.29,4.88,7.2700000000000005,0.0,0.0,0.0,14.29,4.88,7.2700000000000005
9.84,7.5,8.51,3.3300000000000005,2.53,2.88,9.84,7.5,8.51
7.8100000000000005,6.49,7.090000000000001,1.59,1.32,1.44,6.25,5.19,5.67
3.51,2.74,3.08,0.0,0.0,0.0,3.51,2.74,3.08
6.45,4.71,5.4399999999999995,1.6400000000000001,1.1900000000000002,1.38,6.45,4.71,5.4399999999999995
5.26,2.7,3.5700000000000003,5.41,2.74,3.64,5.26,2.7,3.5700000000000003
5.26,1.59,2.44,0.0,0.0,0.0,5.26,1.59,2.44
13.79,5.800000000000001,8.16,3.5700000000000003,1.47,2.08,13.79,5.800000000000001,8.16
2.17,1.16,1.52,0.0,0.0,0.0,2.17,1.16,1.52
15.0,4.4799999999999995,6.9,5.26,1.52,2.35,10.0,2.9899999999999998,4.6
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.62,6.17,7.5200000000000005,3.92,2.5,3.05,5.7700000000000005,3.6999999999999997,4.51
5.41,6.5600000000000005,5.93,1.37,1.67,1.5,4.05,4.92,4.44
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.959999999999999,9.59,11.020000000000001,5.66,4.17,4.8,11.110000000000001,8.219999999999999,9.45
4.41,4.29,4.35,0.0,0.0,0.0,4.41,4.29,4.35
11.43,5.71,7.62,8.82,4.35,5.83,11.43,5.71,7.62
17.39,4.71,7.41,4.55,1.1900000000000002,1.8900000000000001,17.39,4.71,7.41
3.51,2.25,2.74,0.0,0.0,0.0,3.51,2.25,2.74
5.26,1.22,1.9800000000000002,0.0,0.0,0.0,5.26,1.22,1.9800000000000002
