bs_p,bs_r,bs_f
60.07,62.22,61.12
68.07,65.44,66.73
67.57,64.85,66.18
63.53,62.7,63.12
62.870000000000005,63.79,63.33
66.79,67.12,66.96
67.36999999999999,64.35,65.83
63.07000000000001,62.1,62.580000000000005
64.73,61.73,63.190000000000005
64.78,62.129999999999995,63.43
67.67999999999999,64.78,66.2
63.93,64.9,64.41
62.93,63.660000000000004,63.29
59.699999999999996,62.660000000000004,61.14000000000001
72.69,70.07,71.35000000000001
61.33,61.970000000000006,61.650000000000006
63.849999999999994,64.45,64.14999999999999
65.92,66.17,66.05
64.45,63.3,63.870000000000005
61.63999999999999,60.91,61.27
62.49,62.28,62.38
61.14000000000001,61.78,61.46
62.2,59.81999999999999,60.99
67.38,62.629999999999995,64.92
68.67,67.81,68.23
62.99,62.760000000000005,62.870000000000005
67.73,66.53,67.13
63.24999999999999,59.86,61.51
59.650000000000006,60.95,60.29
61.839999999999996,61.760000000000005,61.8
64.77000000000001,62.0,63.349999999999994
62.64999999999999,61.629999999999995,62.129999999999995
60.92999999999999,60.41,60.67
74.92,66.53,70.48
63.849999999999994,63.13999999999999,63.49
63.89,63.18,63.53
68.0,65.62,66.79
61.529999999999994,62.29,61.9
60.73,59.699999999999996,60.209999999999994
63.449999999999996,66.58,64.98
62.45,60.72,61.57
63.36000000000001,60.699999999999996,62.0
59.67,59.4,59.53000000000001
64.92,60.68,62.73
63.05,60.67,61.839999999999996
64.66,61.550000000000004,63.07000000000001
71.81,72.53,72.17
66.89,66.8,66.85
63.56,61.760000000000005,62.64999999999999
67.58999999999999,63.980000000000004,65.74
65.72,62.92,64.29
63.800000000000004,62.74999999999999,63.27
62.839999999999996,62.980000000000004,62.91
62.73,62.739999999999995,62.73
64.41,64.64999999999999,64.53
66.21000000000001,64.3,65.24
64.49000000000001,63.83,64.16
62.68,62.06,62.370000000000005
74.3,66.85,70.38
57.53,58.48,58.01
63.22,63.32,63.27
63.94,61.419999999999995,62.64999999999999
65.06,63.239999999999995,64.13
62.339999999999996,60.629999999999995,61.47
62.580000000000005,61.57,62.07
64.67,64.75,64.71000000000001
66.72,66.02,66.36999999999999
65.09,61.82,63.41
67.44,64.22,65.79
65.0,65.67,65.33
63.88,62.53999999999999,63.21
64.16,64.85,64.5
61.35,63.739999999999995,62.519999999999996
71.98,68.65,70.28
63.54,61.809999999999995,62.660000000000004
65.23,62.21,63.690000000000005
66.36,65.73,66.05
62.31,62.57,62.44
61.59,61.11,61.35
63.2,64.14999999999999,63.67
62.49,60.309999999999995,61.38
62.78,62.96000000000001,62.870000000000005
60.519999999999996,59.11,59.809999999999995
65.64,63.05,64.32
64.62,63.55,64.08
67.80000000000001,63.82,65.75
66.49000000000001,62.529999999999994,64.45
61.650000000000006,60.050000000000004,60.84
61.629999999999995,60.96,61.29
63.839999999999996,62.68,63.24999999999999
67.84,66.75999999999999,67.30000000000001
59.68,61.18,60.419999999999995
60.0,61.28,60.629999999999995
69.03,64.86,66.88
61.62,65.36999999999999,63.44
61.24000000000001,61.419999999999995,61.33
64.01,60.150000000000006,62.019999999999996
59.8,61.62,60.699999999999996
66.43,63.9,65.14
61.629999999999995,62.129999999999995,61.88
65.03999999999999,63.81,64.42
63.78,59.760000000000005,61.7
64.72,65.74,65.22
58.45,58.989999999999995,58.720000000000006
63.67,61.11,62.36000000000001
65.69,65.19,65.42999999999999
62.260000000000005,62.739999999999995,62.5
61.44,62.91,62.17
64.64,67.33,65.96
66.10000000000001,63.4,64.72
64.82,61.980000000000004,63.370000000000005
63.080000000000005,58.34,60.62
65.69,62.74999999999999,64.19
60.309999999999995,57.08,58.650000000000006
63.92,64.19,64.05999999999999
68.26,68.30000000000001,68.28
62.0,62.239999999999995,62.12
68.72,64.53,66.56
