bleu,p,bp,lr,rl,pl
0.0,,0.7083424709523612,0.7435897435897436,78,58
0.0,,0.2980403747876627,0.4523809523809524,84,38
0.0,,0.6187833918061408,0.6756756756756757,74,50
0.0,,0.5034481708771359,0.5930232558139535,86,51
0.0,,0.5708629814214475,0.6407766990291263,103,66
0.0,,0.23965103644177574,0.4117647058823529,85,35
0.0211,,0.20067660317969205,0.38372093023255816,86,33
0.0,,0.3518872580056468,0.4891304347826087,92,45
0.0,,0.48629967369974275,0.581081081081081,74,43
0.0,,0.3154212746389477,0.4642857142857143,84,39
0.0,,0.5421324699199651,0.620253164556962,79,49
0.0,,0.7732577404831906,0.7954545454545454,88,70
0.0,,0.824496438862029,0.8382352941176471,68,57
0.0,,0.720105025431319,0.7528089887640449,89,67
0.0,,0.5272924240430485,0.6097560975609756,82,50
0.0,,1.0,1.0348837209302326,86,89
0.0,,0.6743949274217548,0.717391304347826,92,66
0.1369,,1.0,1.0,88,88
0.0,,0.7128661967922724,0.7471264367816092,87,65
0.0,,0.8686238768035502,0.8765432098765432,81,71
0.0,,0.8564754905352794,0.8658536585365854,82,71
0.0,,0.9120091435297542,0.9156626506024096,83,76
0.0,,0.2193160630518313,0.3972602739726027,73,29
0.0,,0.011825465259096618,0.1839080459770115,87,16
0.0,,0.6239418442909949,0.6794871794871795,78,53
0.0,,0.36787944117144233,0.5,84,42
0.0,,0.5616237838971456,0.6341463414634146,82,52
0.0,,0.026347980814448748,0.21568627450980393,102,22
0.0,,0.8403699701308981,0.8518518518518519,81,69
0.0,,0.8635817900415641,0.872093023255814,86,75
0.0,,0.35116059381808523,0.48863636363636365,88,43
0.0,,0.30598765336756445,0.4578313253012048,83,38
0.0,,0.46725993731190474,0.5679012345679012,81,46
0.0,,0.019496896108597995,0.20253164556962025,79,16
0.0,,0.5384570096736782,0.6176470588235294,68,42
0.0,,0.7870711565527492,0.8068181818181818,88,71
0.0281,,0.36787944117144233,0.5,74,37
0.0,,0.2732693617130788,0.43529411764705883,85,37
0.0,,0.9035270092600377,0.9078947368421053,76,69
0.0,,0.4856717852477124,0.5806451612903226,93,54
0.0,,0.1304145524677699,0.32926829268292684,82,27
0.0,,0.1753904336472861,0.36486486486486486,74,27
0.0,,0.5264971113371607,0.6091954022988506,87,53
0.0,,0.01726932402073139,0.19767441860465115,86,17
0.0,,0.10442781004559987,0.3068181818181818,88,27
0.0,,0.024578520866883655,0.2125,80,17
0.0611,,0.8035225736890608,0.8205128205128205,78,64
0.0,,0.973685749353145,0.974025974025974,77,75
0.0,,0.11165877697151852,0.3132530120481928,83,26
0.0,,0.28075573159595335,0.44047619047619047,84,37
0.0,,0.30743635785317797,0.4588235294117647,85,39
0.0342,,0.513417119032592,0.6,90,54
0.0,,0.8920030614530944,0.8974358974358975,78,70
0.0,,0.7165313105737893,0.75,76,57
0.0,,0.29206782369141415,0.4482758620689655,87,39
0.0,,0.41111229050718745,0.5294117647058824,85,45
0.0366,,0.8484165394203861,0.8588235294117647,85,73
0.0,,0.8988252314716089,0.9036144578313253,83,75
0.0188,,0.1960021540757468,0.38028169014084506,71,27
0.0,,0.975610980064846,0.9759036144578314,83,81
0.0,,0.8166606384980957,0.8315789473684211,95,79
0.0,,0.10442781004559987,0.3068181818181818,88,27
0.0,,0.23965103644177574,0.4117647058823529,85,35
0.0,,0.09004845114906668,0.29347826086956524,92,27
0.0,,0.8632431969112069,0.8717948717948718,78,68
0.0,,0.7165313105737893,0.75,84,63
0.051,,0.7251124219221319,0.7567567567567568,74,56
0.0,,0.33287108369807955,0.47619047619047616,84,40
0.0,,0.29206782369141415,0.4482758620689655,87,39
0.0,,0.7242775199742143,0.7560975609756098,82,62
0.0,,0.5949780474073957,0.6582278481012658,79,52
0.0,,0.7251124219221319,0.7567567567567568,74,56
0.0,,0.7046880897187133,0.7407407407407407,81,60
0.0623,,0.7351414805916845,0.7647058823529411,85,65
0.0,,0.9436773000056001,0.9452054794520548,73,69
0.0,,0.42563774145031136,0.5393258426966292,89,48
0.0,,0.8751733190429475,0.8823529411764706,85,75
0.0,,0.8142568256998957,0.8295454545454546,88,73
0.0,,0.8975305608544599,0.9024390243902439,82,74
