r1_p,r1_r,r1_f,r2_p,r2_r,r2_f,rL_p,rL_r,rL_f
3.6999999999999997,2.7,3.1199999999999997,0.0,0.0,0.0,3.6999999999999997,2.7,3.1199999999999997
15.15,6.58,9.17,6.25,2.67,3.74,9.09,3.95,5.5
9.3,5.88,7.21,2.3800000000000003,1.49,1.83,6.98,4.41,5.41
18.52,12.82,15.15,7.55,5.19,6.15,12.959999999999999,8.97,10.61
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.26,2.56,3.45,0.0,0.0,0.0,5.26,2.56,3.45
26.669999999999998,10.39,14.95,13.79,5.26,7.62,23.330000000000002,9.09,13.08
2.17,1.1400000000000001,1.49,0.0,0.0,0.0,2.17,1.1400000000000001,1.49
7.32,4.41,5.5,2.5,1.49,1.87,7.32,4.41,5.5
8.110000000000001,3.6999999999999997,5.08,2.78,1.25,1.72,8.110000000000001,3.6999999999999997,5.08
4.17,2.9899999999999998,3.4799999999999995,0.0,0.0,0.0,4.17,2.9899999999999998,3.4799999999999995
5.800000000000001,5.19,5.48,0.0,0.0,0.0,4.35,3.9,4.109999999999999
4.35,3.1199999999999997,3.64,0.0,0.0,0.0,2.17,1.5599999999999998,1.82
1.69,1.2,1.41,0.0,0.0,0.0,1.69,1.2,1.41
16.36,12.33,14.06,3.6999999999999997,2.78,3.17,14.549999999999999,10.96,12.5
5.21,6.17,5.65,0.0,0.0,0.0,3.1199999999999997,3.6999999999999997,3.39
1.82,1.1400000000000001,1.4000000000000001,0.0,0.0,0.0,1.82,1.1400000000000001,1.4000000000000001
22.86,19.05,20.78,17.39,14.46,15.790000000000001,21.43,17.86,19.48
4.6899999999999995,3.75,4.17,0.0,0.0,0.0,3.1199999999999997,2.5,2.78
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.2299999999999995,4.05,4.14,0.0,0.0,0.0,2.82,2.7,2.76
4.0,3.9,3.95,0.0,0.0,0.0,4.0,3.9,3.95
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13.33,2.5,4.21,0.0,0.0,0.0,13.33,2.5,4.21
12.5,8.33,10.0,4.26,2.82,3.39,10.42,6.94,8.33
2.5,1.28,1.69,0.0,0.0,0.0,2.5,1.28,1.69
9.43,6.67,7.8100000000000005,1.92,1.35,1.59,9.43,6.67,7.8100000000000005
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.06,6.58,7.249999999999999,0.0,0.0,0.0,8.06,6.58,7.249999999999999
1.43,1.32,1.37,0.0,0.0,0.0,1.43,1.32,1.37
4.65,2.53,3.2800000000000002,0.0,0.0,0.0,4.65,2.53,3.2800000000000002
2.63,1.35,1.79,0.0,0.0,0.0,2.63,1.35,1.79
2.22,1.25,1.6,0.0,0.0,0.0,2.22,1.25,1.6
18.75,4.17,6.819999999999999,0.0,0.0,0.0,18.75,4.17,6.819999999999999
2.22,1.5599999999999998,1.83,0.0,0.0,0.0,2.22,1.5599999999999998,1.83
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14.63,9.09,11.21,5.0,3.08,3.81,12.2,7.580000000000001,9.35
5.71,2.67,3.64,0.0,0.0,0.0,5.71,2.67,3.64
3.08,2.74,2.9000000000000004,0.0,0.0,0.0,3.08,2.74,2.9000000000000004
