bs_p,bs_r,bs_f
62.43,62.44,62.43
77.09,63.88,69.87
64.0,55.04,59.18
66.32000000000001,63.01,64.62
63.449999999999996,59.3,61.309999999999995
49.71,53.68000000000001,51.62
67.04,61.44,64.12
55.69,49.78,52.56999999999999
55.82,56.120000000000005,55.97
45.86,47.53,46.68
65.96,55.230000000000004,60.12
65.61,60.47,62.93
70.62,59.160000000000004,64.39
61.870000000000005,60.160000000000004,61.01
62.03999999999999,62.06,62.050000000000004
59.209999999999994,58.69,58.95
61.18,62.49,61.83
67.04,60.4,63.55
59.12,52.39,55.55
67.58999999999999,60.480000000000004,63.839999999999996
48.04,54.339999999999996,51.0
56.03,59.550000000000004,57.74
63.480000000000004,59.91,61.650000000000006
67.75999999999999,63.85999999999999,65.75
70.09,64.91,67.4
61.58,58.3,59.89
72.8,59.88,65.71000000000001
63.22,60.92999999999999,62.06
61.480000000000004,60.209999999999994,60.84
55.26,61.33,58.14
54.2,55.410000000000004,54.800000000000004
47.349999999999994,49.2,48.25
63.2,59.540000000000006,61.309999999999995
68.4,62.94,65.55
74.53,63.79,68.75
65.4,61.44,63.36000000000001
70.02000000000001,63.660000000000004,66.69
49.53,56.55,52.800000000000004
48.949999999999996,48.99,48.97
71.28999999999999,65.35,68.19
59.260000000000005,58.69,58.97
56.81,56.82000000000001,56.82000000000001
43.54,55.300000000000004,48.72
51.24999999999999,58.17,54.49
64.13,53.879999999999995,58.56
54.059999999999995,52.73,53.38
71.76,65.73,68.61
64.27000000000001,61.79,63.01
57.720000000000006,57.28,57.49999999999999
67.35,59.74,63.32
56.79,61.019999999999996,58.830000000000005
70.3,65.34,67.73
63.690000000000005,54.35,58.650000000000006
64.99000000000001,62.150000000000006,63.54
66.63,61.8,64.13
64.57000000000001,60.38,62.41
72.17,65.53,68.69
63.4,64.1,63.74999999999999
71.26,63.22,67.0
60.760000000000005,60.18,60.47
64.14,59.809999999999995,61.9
60.89,58.97,59.919999999999995
69.6,61.71,65.42
60.309999999999995,56.769999999999996,58.489999999999995
55.410000000000004,60.8,57.98
64.53,62.82,63.660000000000004
47.82,49.61,48.699999999999996
73.92,61.970000000000006,67.42
74.89,60.99,67.23
67.75,62.339999999999996,64.92999999999999
71.19,63.81,67.30000000000001
65.3,57.29,61.040000000000006
50.660000000000004,53.11,51.849999999999994
59.46,54.93,57.11000000000001
69.67,61.309999999999995,65.22
71.86,60.69,65.8
60.67,57.74,59.17
57.089999999999996,55.25,56.15
56.26,61.94,58.96
63.53,58.98,61.17
54.39000000000001,51.93,53.13
50.89,57.410000000000004,53.949999999999996
49.0,51.93,50.42
70.64,61.28,65.63
62.36000000000001,60.050000000000004,61.18
48.370000000000005,50.760000000000005,49.54
47.65,49.8,48.699999999999996
63.74999999999999,57.879999999999995,60.67
67.10000000000001,59.64,63.14999999999999
68.96,61.260000000000005,64.89
55.879999999999995,59.88,57.809999999999995
64.28,59.98,62.06
55.61000000000001,54.02,54.800000000000004
70.61,64.16,67.23
60.79,56.47,58.550000000000004
67.36,62.09,64.62
63.480000000000004,58.52,60.9
71.15,59.13,64.59
47.08,54.47,50.51
62.79,60.050000000000004,61.39
65.86999999999999,61.63999999999999,63.68000000000001
63.83,61.050000000000004,62.41
65.02,60.760000000000005,62.82
65.22,57.49999999999999,61.11
62.55,59.86,61.18
72.61,62.83,67.36999999999999
63.870000000000005,59.86,61.8
77.21000000000001,61.99,68.77
48.64,56.779999999999994,52.39
68.83,61.370000000000005,64.89
50.17,51.519999999999996,50.839999999999996
56.21000000000001,57.21000000000001,56.71000000000001
49.74,50.99,50.36000000000001
63.12,60.96,62.019999999999996
49.309999999999995,56.99999999999999,52.88
72.57000000000001,63.55,67.75999999999999
65.42,60.919999999999995,63.09
66.14,64.05999999999999,65.08
65.42999999999999,60.29,62.760000000000005
51.54,55.269999999999996,53.339999999999996
63.61,54.15,58.5
60.74,57.4,59.019999999999996
56.03,58.830000000000005,57.4
63.1,60.27,61.650000000000006
56.230000000000004,58.29,57.24
59.34,61.59,60.440000000000005
56.63,59.14,57.86
55.489999999999995,55.489999999999995,55.489999999999995
63.89,63.31,63.6
63.24999999999999,61.18,62.2
52.080000000000005,51.9,51.99
55.47,54.39000000000001,54.93
63.14999999999999,60.06,61.57
67.80000000000001,63.07000000000001,65.35
66.55,61.45,63.9
65.9,61.47,63.61
65.82000000000001,56.06,60.550000000000004
74.26,59.760000000000005,66.22
60.85,58.720000000000006,59.77
76.59,64.02,69.74000000000001
60.67,60.760000000000005,60.709999999999994
60.089999999999996,60.050000000000004,60.07
61.61,61.550000000000004,61.58
65.05,58.709999999999994,61.72
44.080000000000005,49.669999999999995,46.71
64.53999999999999,60.23,62.31
65.52,60.57,62.949999999999996
66.33,59.93000000000001,62.970000000000006
48.370000000000005,50.760000000000005,49.54
63.53,60.209999999999994,61.82
64.17,59.550000000000004,61.77
69.85,59.08,64.02
67.01,62.4,64.62
61.57,59.550000000000004,60.540000000000006
62.17,59.650000000000006,60.89
58.089999999999996,60.88,59.45
58.34,50.91,54.37
65.48,62.73,64.08
56.52,59.28,57.87
59.37,58.050000000000004,58.699999999999996
68.8,64.02,66.32000000000001
53.790000000000006,55.85,54.800000000000004
60.529999999999994,60.11,60.31999999999999
69.38,57.64,62.970000000000006
64.27000000000001,53.33,58.29
71.76,67.95,69.8
59.9,59.93000000000001,59.919999999999995
53.5,51.89,52.68000000000001
49.71,52.42,51.03
72.08,58.58,64.63
46.06,48.28,47.14
51.39,59.74,55.25
62.45,60.58,61.5
70.03,63.36000000000001,66.53
53.04,52.88,52.959999999999994
55.720000000000006,56.37,56.05
63.29,65.01,64.14
67.35,62.67,64.92999999999999
61.85000000000001,64.64,63.22
54.290000000000006,52.72,53.49
68.49,62.93,65.59
69.06,63.77,66.31
68.01,64.31,66.10000000000001
70.30999999999999,64.29,67.17
65.53,59.67,62.470000000000006
58.47,60.19,59.31999999999999
64.03,59.730000000000004,61.8
62.6,58.29,60.370000000000005
52.470000000000006,52.739999999999995,52.6
51.519999999999996,55.94,53.64
68.38,59.41,63.580000000000005
60.940000000000005,59.0,59.95
60.699999999999996,55.45,57.95
63.3,60.33,61.78
45.32,52.739999999999995,48.75
57.489999999999995,58.919999999999995,58.19
67.88,60.529999999999994,63.99
64.55,60.46,62.44
69.28,62.33,65.62
68.67,64.72,66.64
60.019999999999996,58.95,59.48
66.3,63.239999999999995,64.74
62.470000000000006,61.370000000000005,61.91
63.68000000000001,57.06,60.19
60.64000000000001,60.92999999999999,60.79
65.58,59.4,62.33
50.260000000000005,52.23,51.22
54.56999999999999,57.699999999999996,56.089999999999996
67.55,59.79,63.43
60.19,52.129999999999995,55.87
62.029999999999994,54.949999999999996,58.28
67.16,59.43000000000001,63.06
60.95,56.19,58.48
52.1,58.37,55.059999999999995
59.160000000000004,59.199999999999996,59.18
58.620000000000005,59.040000000000006,58.830000000000005
59.230000000000004,59.46,59.35
64.95,59.35,62.029999999999994
64.36,60.940000000000005,62.6
64.53999999999999,59.230000000000004,61.77
62.92,60.51,61.69
64.09,58.35,61.09
68.56,60.940000000000005,64.53
66.41,60.25,63.18
46.35,52.52,49.24
67.36999999999999,63.349999999999994,65.3
55.84,55.779999999999994,55.81
49.519999999999996,46.94,48.199999999999996
72.5,62.129999999999995,66.92
66.63,59.050000000000004,62.61
69.44,59.93000000000001,64.33
67.80000000000001,61.28,64.37
66.36999999999999,53.76,59.4
64.13,60.06,62.029999999999994
59.61,57.440000000000005,58.51
66.19,62.580000000000005,64.34
68.78999999999999,65.10000000000001,66.9
71.23,59.8,65.02
60.83,59.019999999999996,59.91
63.99,60.589999999999996,62.239999999999995
54.61,55.879999999999995,55.24
56.44,61.25000000000001,58.75
63.09,59.84,61.419999999999995
56.47,59.260000000000005,57.830000000000005
63.970000000000006,62.71,63.33
53.47,57.709999999999994,55.510000000000005
65.88000000000001,61.17,63.44
54.04,54.06999999999999,54.059999999999995
57.089999999999996,54.47,55.75
63.89,58.77,61.22
47.03,50.23,48.58
55.15,53.99,54.559999999999995
59.01,60.129999999999995,59.56
57.38999999999999,57.699999999999996,57.54
51.29,53.76,52.5
48.730000000000004,50.1,49.41
51.470000000000006,53.849999999999994,52.629999999999995
57.75,58.37,58.06
60.08,58.15,59.099999999999994
66.61,59.95,63.1
52.33,55.730000000000004,53.98
69.34,65.91,67.58
61.08,58.25,59.63
53.64,54.059999999999995,53.849999999999994
59.5,58.78,59.13
65.14,61.480000000000004,63.260000000000005
66.73,62.5,64.53999999999999
66.14,59.19,62.470000000000006
60.79,61.3,61.050000000000004
67.17,62.260000000000005,64.62
63.9,61.029999999999994,62.43
57.830000000000005,51.31,54.379999999999995
61.36000000000001,57.379999999999995,59.3
59.260000000000005,59.330000000000005,59.3
49.85,52.05,50.93
65.67,58.79,62.03999999999999
64.36,55.05,59.34
63.78,60.089999999999996,61.88
59.0,57.37,58.17
64.36,55.44,59.57
71.97,62.6,66.96
64.99000000000001,53.13,58.47
66.29,58.730000000000004,62.28
58.68,61.88,60.24
67.43,60.9,64.0
63.65,60.4,61.980000000000004
63.339999999999996,60.97,62.13999999999999
62.49,60.519999999999996,61.49
