bleu,p,bp,lr,rl,pl
0.0,,0.7552535529531296,0.7808219178082192,73,57
0.0,,0.022092877665062443,0.2077922077922078,77,16
0.0,,0.8390889185954231,0.8507462686567164,67,57
0.0129,,0.10988363537639657,0.3116883116883117,77,24
0.0,,0.40826723414688393,0.5274725274725275,91,48
0.0,,0.4431027970353064,0.5512820512820513,78,43
0.0,,0.06187687870456449,0.26436781609195403,87,23
0.0,,0.22653666181295534,0.4024390243902439,82,33
0.0,,1.0,1.0724637681159421,69,74
0.0,,0.76672659607082,0.7901234567901234,81,64
0.0,,0.48322508118982543,0.5789473684210527,76,44
0.0,,0.5598983665654022,0.6329113924050633,79,50
0.0,,0.003345965457471272,0.14925373134328357,67,10
0.0,,0.1546382645492548,0.3488372093023256,86,30
0.0508,,0.8532265636477704,0.863013698630137,73,63
0.0,,0.8890097654027757,0.8947368421052632,76,68
0.0,,0.8382234324229999,0.85,80,68
0.0557,,0.2450605392455259,0.4155844155844156,77,32
0.0,,0.24069073562342452,0.4125,80,33
0.0,,0.06081006262521795,0.2631578947368421,76,20
0.0,,0.8035225736890608,0.8205128205128205,78,64
0.0,,0.7421190425087646,0.7702702702702703,74,57
0.0,,0.21107208779109024,0.391304347826087,69,27
0.0,,0.07843739051713067,0.28205128205128205,78,22
0.0,,0.07287223191492677,0.27631578947368424,76,21
0.0,,0.042852126867040166,0.24096385542168675,83,20
0.0,,0.025034510149960148,0.21333333333333335,75,16
0.0,,0.02260749740328263,0.2087912087912088,91,19
0.0,,0.3583246752499035,0.4935064935064935,77,38
0.0,,0.8007374029168082,0.8181818181818182,77,63
0.0,,0.681585666193848,0.7228915662650602,83,60
0.0,,0.29756541014756527,0.4520547945205479,73,33
0.0,,0.15188746645291876,0.3466666666666667,75,26
0.0,,0.009165510554053324,0.17567567567567569,74,13
0.0,,0.1353352832366127,0.3333333333333333,63,21
0.0,,0.20584225390235997,0.3875,80,31
0.0174,,0.08816268936235745,0.2916666666666667,72,21
0.0,,0.791065110850296,0.810126582278481,79,64
0.0,,0.5384570096736782,0.6176470588235294,68,42
0.0,,0.0940775004400739,0.2972972972972973,74,22
0.0,,0.413242401248883,0.5308641975308642,81,43
0.0,,0.940316779013957,0.9420289855072463,69,65
0.0,,0.18092414583249508,0.36904761904761907,84,31
0.0,,0.8874500995480715,0.8933333333333333,75,67
0.0,,0.5214390995756883,0.6056338028169014,71,43
0.0,,0.48629967369974275,0.581081081081081,74,43
