r1_p,r1_r,r1_f,r2_p,r2_r,r2_f,rL_p,rL_r,rL_f
2.13,1.47,1.7399999999999998,0.0,0.0,0.0,2.13,1.47,1.7399999999999998
38.46,7.249999999999999,12.2,25.0,4.41,7.5,30.769999999999996,5.800000000000001,9.76
6.98,4.84,5.71,2.3800000000000003,1.6400000000000001,1.94,6.98,4.84,5.71
34.78,11.43,17.2,22.73,7.249999999999999,10.99,30.43,10.0,15.049999999999999
11.43,4.760000000000001,6.72,2.94,1.2,1.71,11.43,4.760000000000001,6.72
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36.84,8.97,14.430000000000001,5.56,1.3,2.11,26.32,6.41,10.31
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.74,3.1199999999999997,2.92,1.39,1.59,1.48,2.74,3.1199999999999997,2.92
1.5599999999999998,1.28,1.41,0.0,0.0,0.0,1.5599999999999998,1.28,1.41
6.67,3.08,4.21,3.45,1.5599999999999998,2.15,6.67,3.08,4.21
2.17,1.43,1.72,0.0,0.0,0.0,2.17,1.43,1.72
11.110000000000001,1.59,2.78,0.0,0.0,0.0,11.110000000000001,1.59,2.78
3.5700000000000003,1.25,1.8499999999999999,0.0,0.0,0.0,3.5700000000000003,1.25,1.8499999999999999
11.29,10.45,10.85,6.5600000000000005,6.0600000000000005,6.3,11.29,10.45,10.85
1.8499999999999999,1.43,1.6099999999999999,0.0,0.0,0.0,1.8499999999999999,1.43,1.6099999999999999
1.52,1.32,1.41,0.0,0.0,0.0,1.52,1.32,1.41
31.25,13.51,18.87,25.81,10.96,15.379999999999999,31.25,13.51,18.87
2.08,1.35,1.6400000000000001,0.0,0.0,0.0,2.08,1.35,1.6400000000000001
12.5,2.9899999999999998,4.82,0.0,0.0,0.0,12.5,2.9899999999999998,4.82
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13.51,7.35,9.520000000000001,5.56,2.9899999999999998,3.88,10.81,5.88,7.62
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16.669999999999998,5.63,8.42,4.35,1.43,2.15,12.5,4.2299999999999995,6.32
11.110000000000001,2.86,4.55,0.0,0.0,0.0,11.110000000000001,2.86,4.55
5.88,1.28,2.11,0.0,0.0,0.0,5.88,1.28,2.11
15.379999999999999,2.9000000000000004,4.88,8.33,1.47,2.5,15.379999999999999,2.9000000000000004,4.88
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.71,2.7,3.6700000000000004,0.0,0.0,0.0,5.71,2.7,3.6700000000000004
2.33,1.4500000000000002,1.79,0.0,0.0,0.0,2.33,1.4500000000000002,1.79
1.8900000000000001,1.35,1.5699999999999998,0.0,0.0,0.0,1.8900000000000001,1.35,1.5699999999999998
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13.639999999999999,4.05,6.25,0.0,0.0,0.0,9.09,2.7,4.17
9.09,1.47,2.53,0.0,0.0,0.0,9.09,1.47,2.53
5.88,1.67,2.6,0.0,0.0,0.0,5.88,1.67,2.6
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18.75,4.6899999999999995,7.5,13.33,3.17,5.13,18.75,4.6899999999999995,7.5
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.5,3.17,5.06,0.0,0.0,0.0,12.5,3.17,5.06
2.27,1.3,1.6500000000000001,0.0,0.0,0.0,2.27,1.3,1.6500000000000001
5.56,4.84,5.17,1.8900000000000001,1.6400000000000001,1.7500000000000002,3.6999999999999997,3.2300000000000004,3.45
10.0,3.9,5.609999999999999,3.45,1.32,1.9,10.0,3.9,5.609999999999999
4.6899999999999995,4.35,4.51,0.0,0.0,0.0,3.1199999999999997,2.9000000000000004,3.01
6.9,3.08,4.26,3.5700000000000003,1.5599999999999998,2.17,6.9,3.08,4.26
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21.740000000000002,7.140000000000001,10.75,18.18,5.800000000000001,8.790000000000001,21.740000000000002,7.140000000000001,10.75
4.17,4.29,4.2299999999999995,0.0,0.0,0.0,4.17,4.29,4.2299999999999995
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23.53,5.41,8.790000000000001,6.25,1.37,2.25,23.53,5.41,8.790000000000001
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24.0,9.09,13.19,8.33,3.08,4.49,20.0,7.580000000000001,10.99
16.950000000000003,12.989999999999998,14.71,5.17,3.95,4.4799999999999995,15.25,11.690000000000001,13.239999999999998
16.220000000000002,8.7,11.32,8.33,4.41,5.7700000000000005,10.81,5.800000000000001,7.55
5.0,1.35,2.13,0.0,0.0,0.0,5.0,1.35,2.13
6.25,1.41,2.3,0.0,0.0,0.0,6.25,1.41,2.3
34.78,11.43,17.2,18.18,5.800000000000001,8.790000000000001,34.78,11.43,17.2
19.05,16.220000000000002,17.52,11.29,9.59,10.37,17.46,14.860000000000001,16.06
6.98,4.62,5.56,0.0,0.0,0.0,6.98,4.62,5.56
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,2.7,4.04,0.0,0.0,0.0,8.0,2.7,4.04
1.8499999999999999,1.3,1.53,0.0,0.0,0.0,1.8499999999999999,1.3,1.53
26.669999999999998,5.41,8.99,14.29,2.74,4.6,26.669999999999998,5.41,8.99
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.55,2.9000000000000004,3.54,0.0,0.0,0.0,4.55,2.9000000000000004,3.54
8.110000000000001,3.8,5.17,0.0,0.0,0.0,5.41,2.53,3.45
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18.18,2.82,4.88,10.0,1.43,2.5,18.18,2.82,4.88
28.57,7.59,12.0,25.0,6.41,10.2,28.57,7.59,12.0
14.29,4.109999999999999,6.38,10.0,2.78,4.35,14.29,4.109999999999999,6.38
15.790000000000001,4.760000000000001,7.32,5.56,1.6099999999999999,2.5,15.790000000000001,4.760000000000001,7.32
21.43,4.62,7.59,7.6899999999999995,1.5599999999999998,2.6,21.43,4.62,7.59
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.5,3.95,5.17,5.13,2.67,3.51,7.5,3.95,5.17
7.6899999999999995,1.54,2.56,0.0,0.0,0.0,7.6899999999999995,1.54,2.56
21.05,5.0,8.08,11.110000000000001,2.53,4.12,21.05,5.0,8.08
13.209999999999999,9.86,11.29,5.7700000000000005,4.29,4.92,13.209999999999999,9.86,11.29
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.76,5.41,6.959999999999999,5.0,2.74,3.54,7.32,4.05,5.220000000000001
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.26,1.41,2.22,0.0,0.0,0.0,5.26,1.41,2.22
8.57,8.0,8.28,0.0,0.0,0.0,7.140000000000001,6.67,6.9
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
