bs_p,bs_r,bs_f
61.370000000000005,62.03999999999999,61.71
74.18,62.53999999999999,67.86
71.32,62.970000000000006,66.89
69.61,63.370000000000005,66.35
65.22,62.86000000000001,64.02
60.660000000000004,61.09,60.870000000000005
60.56,59.550000000000004,60.050000000000004
61.94,63.89,62.9
59.89,60.760000000000005,60.31999999999999
63.339999999999996,59.599999999999994,61.41
74.11,61.75000000000001,67.36999999999999
63.28,63.61,63.44
67.31,61.150000000000006,64.09
62.07,59.46,60.74
70.56,62.93,66.53
62.17,59.38,60.74
54.09,58.440000000000005,56.18
68.41000000000001,59.06,63.39
70.74000000000001,63.9,67.15
63.080000000000005,59.39,61.18
65.58,63.480000000000004,64.52
56.989999999999995,58.89,57.92
51.61,52.11,51.85999999999999
68.10000000000001,62.93,65.41
57.410000000000004,61.970000000000006,59.599999999999994
66.09,60.089999999999996,62.949999999999996
71.2,59.440000000000005,64.79
55.769999999999996,59.519999999999996,57.58
54.56999999999999,56.07,55.31
62.81,64.52,63.65
57.220000000000006,54.43,55.78999999999999
47.349999999999994,49.2,48.25
62.41,57.06,59.62
68.37,64.03,66.13
56.220000000000006,56.14,56.18
67.93,60.540000000000006,64.02
72.94,68.56,70.67999999999999
62.660000000000004,60.209999999999994,61.41
66.08000000000001,58.97,62.32
69.47,67.81,68.63
66.38,62.3,64.28
63.12,62.519999999999996,62.82
61.82,58.489999999999995,60.11
55.900000000000006,61.79,58.699999999999996
66.92,60.199999999999996,63.38
63.05,60.3,61.650000000000006
74.17,65.03,69.3
63.129999999999995,61.91,62.51
51.03,50.82,50.92
67.2,59.45,63.09
64.72,62.13999999999999,63.4
72.11,65.68,68.74
62.99,58.03,60.41
58.87,63.18,60.95
65.85,61.72,63.72
67.75,65.05,66.36999999999999
61.339999999999996,57.489999999999995,59.35
57.49999999999999,58.699999999999996,58.099999999999994
74.6,61.739999999999995,67.56
64.14,61.89,63.0
64.69,62.839999999999996,63.74999999999999
61.419999999999995,59.309999999999995,60.34
67.47,61.260000000000005,64.21
58.25,55.669999999999995,56.93
66.28,58.81999999999999,62.33
58.089999999999996,58.85,58.47
