bleu,p,bp,lr,rl,pl
0.0,,0.884195644895183,0.8904109589041096,73,65
0.0,,0.03771196813377261,0.23376623376623376,77,18
0.0,,0.05280357033430053,0.2537313432835821,67,17
0.0413,,0.3201745737772765,0.4675324675324675,77,36
0.0,,0.611522653538844,0.6703296703296703,91,61
0.0,,0.10539922456186433,0.3076923076923077,78,24
0.0,,0.2103834355879918,0.39080459770114945,87,34
0.0,,0.6285839333986253,0.6829268292682927,82,56
0.025,,0.37854187754140095,0.5072463768115942,69,35
0.0,,0.023174427241061245,0.20987654320987653,81,17
0.0,,0.06081006262521795,0.2631578947368421,76,20
0.0,,0.5598983665654022,0.6329113924050633,79,50
0.0,,0.1666821344779465,0.3582089552238806,67,24
0.0,,0.036883167401240015,0.23255813953488372,86,20
0.0327,,0.27768997095378994,0.4383561643835616,73,32
0.0,,0.3485219543540323,0.4868421052631579,76,37
0.0,,0.6347364189402819,0.6875,80,55
0.0712,,0.3201745737772765,0.4675324675324675,77,36
0.0,,0.15611804531597107,0.35,80,28
0.0,,0.11455884399268769,0.3157894736842105,76,24
0.0,,0.23752081909545814,0.41025641025641024,78,32
0.0,,0.8080634033085272,0.8243243243243243,74,61
0.0,,0.3359109812391624,0.4782608695652174,69,33
0.0115,,0.10539922456186433,0.3076923076923077,78,24
0.0,,0.8743029329197535,0.881578947368421,76,67
0.0,,0.08557746127787037,0.2891566265060241,83,24
0.0,,0.03298294379320916,0.22666666666666666,75,17
0.0,,0.611522653538844,0.6703296703296703,91,61
0.0,,0.7370609089559301,0.7662337662337663,77,59
0.0,,0.7532686564546569,0.7792207792207793,77,60
0.0,,0.617458847057057,0.6746987951807228,83,56
0.0,,0.29756541014756527,0.4520547945205479,73,33
0.0,,0.025034510149960148,0.21333333333333335,75,16
0.0,,0.05531357938467046,0.25675675675675674,74,19
0.0,,0.8093381520636311,0.8253968253968254,63,52
0.0,,0.07162123746450355,0.275,80,22
0.0,,0.2865047968601901,0.4444444444444444,72,32
0.0,,0.06317132735251982,0.26582278481012656,79,21
0.0,,0.06217652402211632,0.2647058823529412,68,18
0.0,,0.4076134837115909,0.527027027027027,74,39
0.0,,0.15064079112962864,0.345679012345679,81,28
0.0,,0.5462649509478217,0.6231884057971014,69,43
0.0,,0.12110333239232977,0.32142857142857145,84,27
0.0,,0.9310627797040228,0.9333333333333333,75,70
0.0,,0.14109338070134148,0.3380281690140845,71,24
0.0,,0.24979947719340548,0.4189189189189189,74,31
0.0,,0.026649097336355485,0.21621621621621623,74,16
0.0,,0.11455884399268769,0.3157894736842105,76,24
0.0,,0.27170718914656716,0.4342105263157895,76,33
0.0,,0.0319224918348957,0.225,80,18
0.0,,0.6358260949285794,0.6883116883116883,77,53
0.0695,,0.7370609089559301,0.7662337662337663,77,59
0.0,,0.014995576820477717,0.19230769230769232,78,15
0.036,,0.6440364210831414,0.6944444444444444,72,50
0.0,,0.06843860713287278,0.2716049382716049,81,22
0.0,,0.11080315836233387,0.3125,80,25
0.0,,0.13002871087842596,0.32894736842105265,76,25
0.0,,0.7040702133096365,0.7402597402597403,77,57
0.0,,0.029207395438494873,0.22058823529411764,68,15
0.0,,0.09151024481051159,0.2948717948717949,78,23
0.0,,0.7165313105737893,0.75,80,60
0.0,,0.5379444375946745,0.6172839506172839,81,50
0.0,,0.0301973834223185,0.2222222222222222,81,18
0.0,,0.01034317319661825,0.1794871794871795,78,14
0.0,,0.03109873190789176,0.2236842105263158,76,17
0.0,,0.7465387963855761,0.7738095238095238,84,65
0.0,,0.5722727675712236,0.6417910447761194,67,43
0.0,,0.10109782498721881,0.3037974683544304,79,24
0.0,,0.2197748831002536,0.39759036144578314,83,33
0.0,,0.1064585043792528,0.30864197530864196,81,25
0.0,,0.3779577080933165,0.5068493150684932,73,37
0.0,,0.15881742610692065,0.352112676056338,71,25
0.0,,0.38776010329632493,0.5135135135135135,74,38
0.0,,0.36787944117144233,0.5,82,41
0.0,,0.6624801353939264,0.7083333333333334,72,51
0.036,,0.7875676791878823,0.8072289156626506,83,67
0.0,,0.7532686564546569,0.7792207792207793,77,60
0.0,,0.6010417320977931,0.6626506024096386,83,55
0.0,,0.06948345122280151,0.2727272727272727,77,21
0.0,,0.69892701529613,0.7362637362637363,91,67
0.0,,0.7581128112377237,0.7831325301204819,83,65
0.0,,0.8574039191604413,0.8666666666666667,75,65
0.0,,0.5795782787848095,0.6470588235294118,85,55
0.0,,0.027647076357758676,0.21794871794871795,78,17
0.0237,,0.2884471948477728,0.4457831325301205,83,37
0.0,,0.09573667298404162,0.2988505747126437,87,26
0.0,,0.5339511196796008,0.6144578313253012,83,51
0.0,,0.8979038320326344,0.9027777777777778,72,65
0.0,,0.05830279394681834,0.2602739726027397,73,19
0.0,,0.1353352832366127,0.3333333333333333,72,24
0.0,,0.0007465858083766786,0.12195121951219512,82,10
0.0,,0.04735892439114093,0.24691358024691357,81,20
0.0,,0.09151024481051159,0.2948717948717949,78,23
