r1_p,r1_r,r1_f,r2_p,r2_r,r2_f,rL_p,rL_r,rL_f
2.78,1.47,1.92,0.0,0.0,0.0,2.78,1.47,1.92
35.709999999999994,7.249999999999999,12.049999999999999,7.6899999999999995,1.47,2.4699999999999998,28.57,5.800000000000001,9.64
23.080000000000002,4.84,8.0,8.33,1.6400000000000001,2.74,23.080000000000002,4.84,8.0
37.84,20.0,26.169999999999998,22.220000000000002,11.59,15.24,27.029999999999998,14.29,18.69
5.66,3.5700000000000003,4.38,1.92,1.2,1.48,5.66,3.5700000000000003,4.38
4.0,1.41,2.08,0.0,0.0,0.0,4.0,1.41,2.08
12.9,5.13,7.340000000000001,0.0,0.0,0.0,9.68,3.85,5.5
7.41,5.19,6.11,3.7699999999999996,2.63,3.1,7.41,5.19,6.11
11.43,6.25,8.08,8.82,4.760000000000001,6.1899999999999995,11.43,6.25,8.08
6.67,1.28,2.15,0.0,0.0,0.0,6.67,1.28,2.15
4.55,1.54,2.3,0.0,0.0,0.0,4.55,1.54,2.3
4.44,2.86,3.4799999999999995,0.0,0.0,0.0,2.22,1.43,1.7399999999999998
9.520000000000001,3.17,4.760000000000001,0.0,0.0,0.0,9.520000000000001,3.17,4.760000000000001
10.0,2.5,4.0,0.0,0.0,0.0,10.0,2.5,4.0
20.0,8.959999999999999,12.370000000000001,17.24,7.580000000000001,10.530000000000001,20.0,8.959999999999999,12.370000000000001
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.26,2.63,3.51,0.0,0.0,0.0,5.26,2.63,3.51
39.39,17.57,24.3,28.12,12.33,17.14,30.3,13.51,18.69
11.110000000000001,4.05,5.94,0.0,0.0,0.0,11.110000000000001,4.05,5.94
5.0,1.49,2.3,0.0,0.0,0.0,5.0,1.49,2.3
3.5700000000000003,1.41,2.02,0.0,0.0,0.0,3.5700000000000003,1.41,2.02
6.819999999999999,4.41,5.36,2.33,1.49,1.82,6.819999999999999,4.41,5.36
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14.29,4.2299999999999995,6.52,10.0,2.86,4.44,14.29,4.2299999999999995,6.52
1.82,1.43,1.6,0.0,0.0,0.0,1.82,1.43,1.6
14.29,3.85,6.0600000000000005,10.0,2.6,4.12,14.29,3.85,6.0600000000000005
15.379999999999999,2.9000000000000004,4.88,8.33,1.47,2.5,15.379999999999999,2.9000000000000004,4.88
3.17,2.41,2.74,0.0,0.0,0.0,3.17,2.41,2.74
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.7500000000000002,1.4500000000000002,1.59,0.0,0.0,0.0,1.7500000000000002,1.4500000000000002,1.59
3.6999999999999997,2.7,3.1199999999999997,0.0,0.0,0.0,3.6999999999999997,2.7,3.1199999999999997
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14.29,2.7,4.55,0.0,0.0,0.0,14.29,2.7,4.55
5.88,1.47,2.35,0.0,0.0,0.0,5.88,1.47,2.35
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11.110000000000001,2.63,4.26,5.88,1.3299999999999998,2.17,11.110000000000001,2.63,4.26
18.18,9.379999999999999,12.370000000000001,3.1199999999999997,1.59,2.11,9.09,4.6899999999999995,6.1899999999999995
4.760000000000001,1.4500000000000002,2.22,0.0,0.0,0.0,4.760000000000001,1.4500000000000002,2.22
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.86,1.59,2.04,0.0,0.0,0.0,2.86,1.59,2.04
14.81,5.19,7.6899999999999995,7.6899999999999995,2.63,3.92,14.81,5.19,7.6899999999999995
5.0,3.2300000000000004,3.92,0.0,0.0,0.0,5.0,3.2300000000000004,3.92
17.39,5.19,8.0,4.55,1.32,2.04,13.04,3.9,6.0
1.4500000000000002,1.4500000000000002,1.4500000000000002,0.0,0.0,0.0,1.4500000000000002,1.4500000000000002,1.4500000000000002
