bs_p,bs_r,bs_f
55.03,61.6,58.13
65.79,61.8,63.739999999999995
72.19,61.62,66.49000000000001
61.3,58.48,59.86
62.92,61.51,62.21
72.82,66.66,69.6
65.03,60.099999999999994,62.470000000000006
60.06,60.86,60.46
62.529999999999994,60.809999999999995,61.660000000000004
65.07,61.49,63.23
72.76,63.01,67.53
58.4,51.970000000000006,55.00000000000001
68.0,61.480000000000004,64.58
67.78999999999999,62.1,64.82
67.77,62.74999999999999,65.16999999999999
63.470000000000006,59.13,61.22
70.38,65.51,67.86
63.67,54.169999999999995,58.540000000000006
62.5,62.32,62.41
67.05,62.739999999999995,64.82
49.9,52.93,51.370000000000005
59.37,59.48,59.419999999999995
62.629999999999995,57.75,60.089999999999996
67.16,61.519999999999996,64.21
67.29,63.690000000000005,65.44
66.97,60.25,63.43
71.47,59.47,64.92
60.6,57.97,59.25
64.5,61.86000000000001,63.14999999999999
62.06,61.06,61.550000000000004
64.45,57.379999999999995,60.709999999999994
49.43,56.54,52.75
58.709999999999994,58.06,58.379999999999995
68.4,62.94,65.55
62.239999999999995,53.75,57.69
66.82000000000001,60.440000000000005,63.470000000000006
66.99000000000001,61.89,64.34
63.28,61.58,62.419999999999995
65.86,59.28,62.4
69.36,67.0,68.16
66.77,59.58,62.970000000000006
56.45,56.940000000000005,56.69
67.07,60.42999999999999,63.580000000000005
56.410000000000004,52.410000000000004,54.33
65.18,58.3,61.550000000000004
61.1,61.3,61.199999999999996
70.32000000000001,66.0,68.08999999999999
53.31,55.93,54.59
61.73,57.84,59.72
67.2,59.45,63.09
63.6,62.150000000000006,62.870000000000005
60.099999999999994,62.11,61.09
62.35000000000001,60.980000000000004,61.660000000000004
66.36,62.28,64.25
65.85,61.72,63.72
67.72,64.64999999999999,66.14999999999999
56.28999999999999,60.660000000000004,58.39
66.24,64.32,65.27
75.46000000000001,64.5,69.55
63.129999999999995,61.23,62.17
65.3,59.63,62.33
61.739999999999995,56.71000000000001,59.12
70.21,59.4,64.35
60.39,57.14,58.720000000000006
64.03,60.760000000000005,62.35000000000001
71.38,59.64,64.98
47.54,49.35,48.42
73.98,64.41,68.86
61.7,56.08,58.76
66.81,60.870000000000005,63.7
74.33999999999999,62.32,67.80000000000001
67.17,58.19,62.36000000000001
57.37,57.76,57.56
59.46,54.93,57.11000000000001
53.6,57.82000000000001,55.63
52.27,54.010000000000005,53.12
60.73,56.910000000000004,58.76
55.81,59.699999999999996,57.69
65.69,59.29,62.33
61.6,60.07,60.81999999999999
68.08999999999999,60.58,64.12
50.5,58.32000000000001,54.13
56.31,56.74,56.53
69.71000000000001,60.19,64.60000000000001
65.56,60.67,63.019999999999996
67.49000000000001,62.3,64.79
62.91,63.36000000000001,63.13999999999999
57.269999999999996,61.839999999999996,59.47
67.09,59.040000000000006,62.81
67.62,61.629999999999995,64.49000000000001
67.86999999999999,63.849999999999994,65.8
65.05,57.089999999999996,60.809999999999995
65.16,62.2,63.65
67.35,58.620000000000005,62.68
55.800000000000004,59.41,57.550000000000004
63.470000000000006,59.51,61.419999999999995
60.78,57.31,59.0
75.35,68.10000000000001,71.54
51.39,54.910000000000004,53.09
67.19000000000001,61.95,64.46
61.260000000000005,58.64,59.93000000000001
60.8,55.63,58.099999999999994
65.12,57.010000000000005,60.8
65.11,59.24,62.03999999999999
67.16,64.03999999999999,65.56
53.64,58.309999999999995,55.879999999999995
63.83,60.6,62.17
53.900000000000006,53.37,53.64
66.36999999999999,59.260000000000005,62.61
74.03999999999999,66.58,70.11
64.13,60.62,62.32
59.830000000000005,57.53,58.650000000000006
63.980000000000004,57.48,60.56
61.529999999999994,58.52,59.99
65.92,63.51,64.69
70.50999999999999,63.480000000000004,66.81
68.49,62.36000000000001,65.28
65.0,62.67,63.81
69.39,60.34,64.55
53.82,54.61,54.22
68.26,61.83,64.88000000000001
55.00000000000001,57.18,56.07
57.98,59.019999999999996,58.489999999999995
64.64,60.8,62.660000000000004
65.42999999999999,60.550000000000004,62.9
64.34,62.79,63.55
57.19,61.339999999999996,59.19
55.45,55.33,55.38999999999999
62.08,59.21999999999999,60.62
54.94,52.980000000000004,53.94
46.910000000000004,54.620000000000005,50.480000000000004
66.73,61.95,64.25
64.68,60.709999999999994,62.629999999999995
69.56,64.56,66.96
67.74,62.19,64.85
51.55,51.82,51.68000000000001
65.94,56.489999999999995,60.85
74.26,63.029999999999994,68.17999999999999
62.44,59.0,60.67
70.99,62.580000000000005,66.52
67.93,61.029999999999994,64.3
62.71,60.9,61.79
56.58,56.32,56.45
61.73,60.29,61.0
51.11,54.47,52.739999999999995
71.25,60.47,65.42
69.63000000000001,63.470000000000006,66.41
