r1_p,r1_r,r1_f,r2_p,r2_r,r2_f,rL_p,rL_r,rL_f
1.8900000000000001,1.47,1.6500000000000001,0.0,0.0,0.0,1.8900000000000001,1.47,1.6500000000000001
10.0,2.9000000000000004,4.49,0.0,0.0,0.0,10.0,2.9000000000000004,4.49
23.080000000000002,4.84,8.0,8.33,1.6400000000000001,2.74,23.080000000000002,4.84,8.0
9.68,4.29,5.94,0.0,0.0,0.0,9.68,4.29,5.94
9.09,4.760000000000001,6.25,2.33,1.2,1.59,9.09,4.760000000000001,6.25
30.0,8.450000000000001,13.19,10.530000000000001,2.86,4.49,30.0,8.450000000000001,13.19
29.409999999999997,6.41,10.530000000000001,0.0,0.0,0.0,23.53,5.13,8.42
2.0,1.3,1.5699999999999998,0.0,0.0,0.0,2.0,1.3,1.5699999999999998
6.52,4.6899999999999995,5.45,2.22,1.59,1.8499999999999999,6.52,4.6899999999999995,5.45
18.18,5.13,8.0,9.520000000000001,2.6,4.08,13.639999999999999,3.85,6.0
13.639999999999999,4.62,6.9,4.760000000000001,1.5599999999999998,2.35,9.09,3.08,4.6
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,1.59,2.41,0.0,0.0,0.0,5.0,1.59,2.41
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20.59,10.45,13.86,15.15,7.580000000000001,10.100000000000001,20.59,10.45,13.86
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.520000000000001,2.63,4.12,5.0,1.3299999999999998,2.11,9.520000000000001,2.63,4.12
15.709999999999999,14.860000000000001,15.28,10.14,9.59,9.86,15.709999999999999,14.860000000000001,15.28
6.67,2.7,3.85,0.0,0.0,0.0,6.67,2.7,3.85
7.6899999999999995,2.9899999999999998,4.3,0.0,0.0,0.0,7.6899999999999995,2.9899999999999998,4.3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,1.47,1.69,0.0,0.0,0.0,2.0,1.47,1.69
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20.69,8.450000000000001,12.0,7.140000000000001,2.86,4.08,17.24,7.04,10.0
5.0,1.43,2.22,0.0,0.0,0.0,5.0,1.43,2.22
14.29,3.85,6.0600000000000005,10.0,2.6,4.12,14.29,3.85,6.0600000000000005
14.29,2.9000000000000004,4.82,7.6899999999999995,1.47,2.4699999999999998,14.29,2.9000000000000004,4.82
14.29,2.41,4.12,0.0,0.0,0.0,14.29,2.41,4.12
10.26,5.41,7.08,0.0,0.0,0.0,10.26,5.41,7.08
1.69,1.4500000000000002,1.5599999999999998,0.0,0.0,0.0,1.69,1.4500000000000002,1.5599999999999998
9.09,1.35,2.35,0.0,0.0,0.0,9.09,1.35,2.35
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.64,2.7,3.1,0.0,0.0,0.0,3.64,2.7,3.1
9.09,1.47,2.53,0.0,0.0,0.0,9.09,1.47,2.53
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12.5,2.63,4.35,6.67,1.3299999999999998,2.22,12.5,2.63,4.35
23.810000000000002,7.8100000000000005,11.76,15.0,4.760000000000001,7.23,19.05,6.25,9.41
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.33,4.760000000000001,6.0600000000000005,2.86,1.6099999999999999,2.06,8.33,4.760000000000001,6.0600000000000005
26.669999999999998,5.19,8.7,14.29,2.63,4.44,26.669999999999998,5.19,8.7
3.7699999999999996,3.2300000000000004,3.4799999999999995,0.0,0.0,0.0,3.7699999999999996,3.2300000000000004,3.4799999999999995
22.73,6.49,10.100000000000001,9.520000000000001,2.63,4.12,13.639999999999999,3.9,6.0600000000000005
3.7699999999999996,2.9000000000000004,3.2800000000000002,1.92,1.47,1.67,3.7699999999999996,2.9000000000000004,3.2800000000000002
11.76,3.08,4.88,6.25,1.5599999999999998,2.5,11.76,3.08,4.88
3.5700000000000003,2.86,3.17,0.0,0.0,0.0,3.5700000000000003,2.86,3.17
19.23,7.140000000000001,10.42,16.0,5.800000000000001,8.51,19.23,7.140000000000001,10.42
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18.75,4.05,6.67,6.67,1.37,2.27,18.75,4.05,6.67
7.89,4.35,5.609999999999999,5.41,2.94,3.81,7.89,4.35,5.609999999999999
15.559999999999999,10.61,12.61,4.55,3.08,3.6700000000000004,15.559999999999999,10.61,12.61
1.79,1.3,1.5,0.0,0.0,0.0,1.79,1.3,1.5
20.0,5.800000000000001,8.99,10.530000000000001,2.94,4.6,20.0,5.800000000000001,8.99
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.9,2.82,4.0,0.0,0.0,0.0,6.9,2.82,4.0
4.0,2.86,3.3300000000000005,0.0,0.0,0.0,4.0,2.86,3.3300000000000005
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23.080000000000002,4.62,7.6899999999999995,0.0,0.0,0.0,23.080000000000002,4.62,7.6899999999999995
4.17,1.35,2.04,0.0,0.0,0.0,4.17,1.35,2.04
5.26,1.35,2.15,0.0,0.0,0.0,5.26,1.35,2.15
4.17,1.3,1.9800000000000002,0.0,0.0,0.0,4.17,1.3,1.9800000000000002
33.33,4.05,7.23,12.5,1.37,2.4699999999999998,33.33,4.05,7.23
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36.36,5.06,8.89,20.0,2.56,4.55,27.27,3.8,6.67
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15.790000000000001,4.2299999999999995,6.67,5.56,1.43,2.27,15.790000000000001,4.2299999999999995,6.67
13.950000000000001,7.59,9.84,11.899999999999999,6.41,8.33,13.950000000000001,7.59,9.84
29.409999999999997,6.8500000000000005,11.110000000000001,12.5,2.78,4.55,29.409999999999997,6.8500000000000005,11.110000000000001
23.080000000000002,4.760000000000001,7.89,8.33,1.6099999999999999,2.7,23.080000000000002,4.760000000000001,7.89
15.790000000000001,4.62,7.140000000000001,5.56,1.5599999999999998,2.44,15.790000000000001,4.62,7.140000000000001
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.5,3.95,5.17,5.13,2.67,3.51,7.5,3.95,5.17
3.5700000000000003,1.54,2.15,0.0,0.0,0.0,3.5700000000000003,1.54,2.15
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.580000000000001,7.04,7.3,0.0,0.0,0.0,7.580000000000001,7.04,7.3
1.43,1.37,1.4000000000000001,0.0,0.0,0.0,1.43,1.37,1.4000000000000001
23.53,5.41,8.790000000000001,12.5,2.74,4.49,17.65,4.05,6.59
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26.32,7.04,11.110000000000001,5.56,1.43,2.27,21.05,5.63,8.89
5.26,2.74,3.5999999999999996,0.0,0.0,0.0,5.26,2.74,3.5999999999999996
3.5700000000000003,2.63,3.0300000000000002,0.0,0.0,0.0,3.5700000000000003,2.63,3.0300000000000002
5.56,1.41,2.25,0.0,0.0,0.0,5.56,1.41,2.25
20.0,6.67,10.0,8.33,2.7,4.08,16.0,5.33,8.0
14.29,3.9,6.12,5.0,1.32,2.08,14.29,3.9,6.12
5.26,4.05,4.58,0.0,0.0,0.0,1.7500000000000002,1.35,1.53
4.65,3.1199999999999997,3.74,0.0,0.0,0.0,2.33,1.5599999999999998,1.87
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16.0,5.33,8.0,4.17,1.35,2.04,12.0,4.0,6.0
10.0,3.9,5.609999999999999,0.0,0.0,0.0,6.67,2.6,3.74
3.6999999999999997,1.39,2.02,0.0,0.0,0.0,3.6999999999999997,1.39,2.02
14.29,2.9899999999999998,4.9399999999999995,7.6899999999999995,1.52,2.53,14.29,2.9899999999999998,4.9399999999999995
3.2800000000000002,2.9000000000000004,3.08,0.0,0.0,0.0,3.2800000000000002,2.9000000000000004,3.08
5.56,1.39,2.22,0.0,0.0,0.0,5.56,1.39,2.22
3.5700000000000003,1.32,1.92,0.0,0.0,0.0,3.5700000000000003,1.32,1.92
10.0,3.6999999999999997,5.41,0.0,0.0,0.0,10.0,3.6999999999999997,5.41
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14.29,3.2300000000000004,5.26,7.6899999999999995,1.6400000000000001,2.7,14.29,3.2300000000000004,5.26
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7.41,2.44,3.6700000000000004,3.85,1.23,1.87,7.41,2.44,3.6700000000000004
6.25,4.109999999999999,4.96,2.13,1.39,1.68,4.17,2.74,3.3099999999999996
4.17,2.63,3.2300000000000004,2.13,1.3299999999999998,1.6400000000000001,4.17,2.63,3.2300000000000004
14.29,4.82,7.21,3.6999999999999997,1.22,1.83,14.29,4.82,7.21
20.0,1.54,2.86,0.0,0.0,0.0,20.0,1.54,2.86
20.0,4.4799999999999995,7.32,7.140000000000001,1.52,2.5,20.0,4.4799999999999995,7.32
37.5,15.790000000000001,22.220000000000002,22.58,9.33,13.209999999999999,37.5,15.790000000000001,22.220000000000002
12.9,4.760000000000001,6.959999999999999,6.67,2.41,3.54,12.9,4.760000000000001,6.959999999999999
10.71,3.85,5.66,0.0,0.0,0.0,10.71,3.85,5.66
11.110000000000001,2.67,4.3,0.0,0.0,0.0,11.110000000000001,2.67,4.3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9.62,6.25,7.580000000000001,5.88,3.8,4.62,9.62,6.25,7.580000000000001
12.2,6.76,8.7,7.5,4.109999999999999,5.3100000000000005,12.2,6.76,8.7
5.26,1.47,2.3,0.0,0.0,0.0,5.26,1.47,2.3
8.33,3.08,4.49,0.0,0.0,0.0,8.33,3.08,4.49
18.18,5.41,8.33,4.760000000000001,1.37,2.13,13.639999999999999,4.05,6.25
66.67,7.59,13.639999999999999,50.0,5.13,9.3,66.67,7.59,13.639999999999999
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.82,1.49,1.6400000000000001,0.0,0.0,0.0,1.82,1.49,1.6400000000000001
4.62,3.9,4.2299999999999995,0.0,0.0,0.0,4.62,3.9,4.2299999999999995
9.520000000000001,3.08,4.65,0.0,0.0,0.0,9.520000000000001,3.08,4.65
