reference,system
"the exceptionally diverse species flocks of cichlid fishes in east africa are prime examples of parallel adaptive radiations. about 80 % of east africa's more than 1 800 endemic cichlid species, and all species of the flocks of lakes victoria and malawi, belong to a particularly rapidly evolving lineage, the haplochromines. one characteristic feature of the haplochromines is their possession of egg-dummies on the males'anal fins.","die haplochromine ( auch : haplochromine ) sind eine gruppe von fischarten, die in der biologie, der biologie, der biologie, der biologie, der biologie, der biologie, der biologie, der biologie, der biologie, der biologie, der biologie, der biologie, der biologie, der biologie, der biologie, der biologie, der biologie, der biologie, der biologie, der biologie und der"
biological control methods are once again being given much research focus for malaria vector control. this is largely due to the emerging threat of strong resistance to pesticides. larvivorous fish have been used for over 100 years in mosquito control and many species have proved effective. in the western kenyan highlands the larvivorous fish oreochromis niloticus l. ( perciformes : cichlidae ) ( formerly tilapia nilotica ) is commonly farmed and eaten but has,der larvivorous-fisch ( o. niloticus ) ist ein fisch aus der familie der ornithoideae. er gehört zur familie der ornithoideae.
"staphylococcus aureus, a leading cause of chronic or acute infections, is traditionally considered an extracellular pathogen despite repeated reports of s. aureus internalization by a variety of non-myeloid cells in vitro. this property potentially contributes to bacterial persistence, protection from antibiotics and evasion of immune defenses. mechanisms contributing to internalization have been partly elucidated, but bacterial processes triggered intracellularly are largely","staphylococcus aureus, auch staphylococcus aureus, ist eine infektionskrankheit, die durch staphylococcus aureus entsteht."
"changes of dermal collagen and elastin content are characteristic for skin aging as well as for pathological skin conditions. to evaluate these changes, we used in vivo multiphoton laser tomography to measure two-photon excited autofluorescence ( af ) and second harmonic generation ( shg ). we tested 18 patients of all ages and calculated the shg-to-af aging index of dermis ( saaid ). we observed a negative relationship between the saaid and age","die optical society of america ( optical society of america ) ist eine gesellschaft der optical society of america, die sich mit der untersuchung der eigenschaften der haut und der haut beschäftigt."
"background there are a number of interventions available to help people stop smoking. one of them is using telephone calls to give smokers information, advice, and help to stop smoking. people can use these services by calling quitlines or by signing up to get calls from counsellors. we wanted to find out whether telephone counselling can help people quit smoking. our most recent search for evidence was in may 2018. study characteristics we found 104 studies ( including 111,653 participants ) testing the effect of","der begriff telephone counselling ( auch : telephone counselling ) bezeichnet in der medizin und der medizin die möglichkeit, menschen mit hilfe von gesprächsgesprächen zu unterstützen. der begriff stammt aus dem englischen wort telephone counselling, der sich mit dem begriff telephone counselling befasst."
"dendritic cells ( dcs ) are central to the initiation and regulation of the adaptive immune response during infection. modulation of dc function may therefore allow evasion of the immune system by pathogens. significant depression of the host's systemic immune response to both concurrent infections and heterologous vaccines has been observed during malaria infection, but the mechanisms underlying this immune hyporesponsiveness are controversial. here, we demonstrate that the blood stages of mal","der begriff dendritische zellen ( englisch dendritic cells, dcs ) bezeichnet die initiation und regulation der immunantwort während einer malaria-infektion."
"new zealand introduced a smokefree bars and restaurants policy in december 2004. we reviewed the data available at december 2005 on the main public health, societal and political impacts and responses within new zealand to the new law. data were collected from publicly available survey reports, and from government departments and interviews. this included data on smoking in bars, attitudes to smokefree bars, bar patronage, socially cued smoking, and perceived rights to smokefree workplaces. the proportion of survey",die smokefree bar policy ( englisch : smokefree bar policy ) ist eine richtlinie der neuseeländischen regierungsregierung in neuseeland.
"it has been shown in our previous work that breast asymmetry is related to several of the known risk factors for breast cancer, and that patients with diagnosed breast cancer have more breast volume asymmetry, as measured from mammograms, than age-matched healthy women. in the present study, we compared the breast asymmetry of women who were free of breast disease at time of mammography, but who had subsequently developed breast cancer, with that of age-match","der begriff schwangerschaftsasymmetrie ( auch schwangerschaftsasymmetrie ) bezeichnet in der medizin die asymmetrie der weiblichen weiblichen weiblichen weiblichen weiblichen körperteile, die während der menopause, während der menopause, während der schwangerschaft, während der schwangerschaft, während der schwangerschaft, während der schwangerschaft, während der schwangerschaft, währ"
"habitat variation strongly influences the evolution of developmentally flexible traits, and may drive speciation and diversification. the plethodontid salamander eurycea tynerensis is endemic to the geologically diverse ozark plateau of south-central north america, and comprises both strictly aquatic paedomorphic populations ( achieving reproductive maturity while remaining in the larval form ) and more terrestrial metamorphic populations. the switch between developmental modes has occurred many times","eurycea tynerensis ist ein taxon, das sich mit der entwicklungs- und lebensgeschichte beschäftigt. es handelt sich um einen spezialfall der entwicklungs- und lebensgeschichte. eurycea tynerensis ist endemisch in der ozeanischen ozeanischen ozeanischen ozeanischen ozeanischen ozeanischen ozeanischen ozeanischen ozeanischen ozeanischen ozeanischen ozeanischen ozeanischen ozeanischen ozeanischen ozeanen"
"recent reports suggest that alcohol use may have a protective effect on obesity. this study explores association between obesity and alcohol consumption in the non-smoking u.s. adult population. we analyzed data on a total of 8,236 respondents who participated in the third national health and nutrition examination survey. body mass index ( weight-kg/height-m ) was derived from measured height and weight data and categorized into : normal weight, overweight, and obese. alcohol consumption was measured","der begriff körpergewichtsindex ( englisch : body mass index ) bezeichnet in der gesundheitsforschung einen zeitraum von 8237 menschen, der sich mit alkoholkonsum befasst."
