bs_p,bs_r,bs_f
55.410000000000004,62.260000000000005,58.64
68.95,62.870000000000005,65.77
59.699999999999996,60.61,60.150000000000006
64.42999999999999,59.330000000000005,61.77
64.55,62.949999999999996,63.739999999999995
51.73,58.98,55.120000000000005
65.64,64.81,65.22
53.790000000000006,50.2,51.93
71.33,64.84,67.93
62.980000000000004,58.87,60.85
65.66,62.029999999999994,63.800000000000004
63.690000000000005,60.88,62.25000000000001
70.62,59.160000000000004,64.39
62.82,59.99,61.370000000000005
64.52,63.580000000000005,64.05
60.099999999999994,58.48,59.28
61.46,62.029999999999994,61.739999999999995
67.55,58.34,62.61
63.71,61.480000000000004,62.580000000000005
57.76,60.69,59.19
60.72,63.260000000000005,61.96
58.940000000000005,59.9,59.419999999999995
61.17,59.709999999999994,60.42999999999999
68.42,63.7,65.98
68.67999999999999,63.959999999999994,66.23
59.81999999999999,60.040000000000006,59.93000000000001
71.41,58.96,64.59
58.60999999999999,62.31,60.4
55.54,57.410000000000004,56.46
61.46,66.01,63.660000000000004
64.53,58.58,61.41
52.059999999999995,57.940000000000005,54.84
59.9,59.91,59.9
68.4,62.94,65.55
68.55,58.75,63.27
61.21,52.68000000000001,56.63
74.18,65.0,69.28999999999999
64.19,62.46000000000001,63.31
56.730000000000004,60.099999999999994,58.36
68.62,66.53999999999999,67.56
58.050000000000004,54.96,56.46
60.0,59.45,59.72
42.58,55.910000000000004,48.339999999999996
51.07000000000001,49.769999999999996,50.41
52.42,56.010000000000005,54.16
54.059999999999995,52.73,53.38
73.69,65.89,69.57
60.22,58.51,59.35
56.10000000000001,58.620000000000005,57.34
67.51,59.419999999999995,63.2
61.660000000000004,61.739999999999995,61.7
70.98,66.55,68.7
63.71,61.35,62.51
69.38,63.13999999999999,66.12
67.58,64.91,66.22
65.44,63.29,64.35
63.99,62.86000000000001,63.42
57.089999999999996,59.91,58.46
72.43,64.83,68.42
61.199999999999996,59.08,60.12
66.61,58.97,62.56
61.29,57.989999999999995,59.589999999999996
61.480000000000004,61.12,61.3
56.46,54.559999999999995,55.489999999999995
50.449999999999996,55.400000000000006,52.81
58.730000000000004,58.47,58.599999999999994
72.5,61.73,66.67999999999999
69.07,63.23,66.02
71.32,61.08,65.8
57.46,60.49,58.940000000000005
61.92999999999999,60.45,61.18
65.02,57.24,60.88
64.0,63.14999999999999,63.57000000000001
60.18,55.08,57.52
56.05,55.83,55.94
65.91,57.24,61.27
54.89000000000001,57.8,56.31
