bleu,p,bp,lr,rl,pl
0.0,,1.0,1.0273972602739727,73,75
0.0,,0.3583246752499035,0.4935064935064935,77,38
0.0,,0.6133074684824951,0.6716417910447762,67,45
0.0343,,0.2450605392455259,0.4155844155844156,77,32
0.0,,0.6411803884299546,0.6923076923076923,91,63
0.0,,0.7246736247059216,0.7564102564102564,78,59
0.0,,0.32564377183316673,0.47126436781609193,87,41
0.0,,0.22653666181295534,0.4024390243902439,82,33
0.068,,0.645648526427892,0.6956521739130435,69,48
0.0,,0.023174427241061245,0.20987654320987653,81,17
0.0348,,0.6996725373751302,0.7368421052631579,76,56
0.0,,0.46974957024142655,0.569620253164557,79,45
0.0,,0.003345965457471272,0.14925373134328357,67,10
0.0,,0.14008341093702958,0.3372093023255814,86,29
0.0495,,0.8214195216114528,0.8356164383561644,73,61
0.0,,0.6479367054657429,0.6973684210526315,76,53
0.0,,0.8088666471820897,0.825,80,66
0.0975,,0.6358260949285794,0.6883116883116883,77,53
0.0,,0.8948393168143697,0.9,80,72
0.0,,0.844314039201216,0.8552631578947368,76,65
0.0,,0.7567755834938589,0.782051282051282,78,61
0.0,,0.7421190425087646,0.7702702702702703,74,57
0.0,,0.23124310614803345,0.4057971014492754,69,28
0.0053,,0.03567399334725241,0.23076923076923078,78,18
0.0,,0.03109873190789176,0.2236842105263158,76,17
0.0,,0.7729230693174647,0.7951807228915663,83,66
0.0,,0.05247762340746634,0.25333333333333335,75,19
0.0,,0.5965055896949684,0.6593406593406593,91,60
0.0,,0.37743422104673674,0.5064935064935064,77,39
0.0,,0.7206611626353246,0.7532467532467533,77,58
0.0407,,0.3944619643633245,0.5180722891566265,83,43
0.0,,0.41820025936468097,0.5342465753424658,73,39
0.0,,0.9591894571091382,0.96,75,72
0.0,,0.009165510554053324,0.17567567567567569,74,13
0.0,,0.0820849986238988,0.2857142857142857,63,18
0.0,,0.42296530850947595,0.5375,80,43
0.0305,,0.1353352832366127,0.3333333333333333,72,24
0.0,,0.10109782498721881,0.3037974683544304,79,24
0.0,,0.8915853592544761,0.8970588235294118,68,61
0.0,,0.3479990407922553,0.4864864864864865,74,36
0.0,,0.30446802998320527,0.4567901234567901,81,37
0.0,,0.7752688127983692,0.7971014492753623,69,55
0.0,,0.1353352832366127,0.3333333333333333,84,28
0.0,,0.2800667608216488,0.44,75,33
0.0,,0.6939297035054266,0.7323943661971831,71,52
0.0,,0.48629967369974275,0.581081081081081,74,43
0.011,,0.05531357938467046,0.25675675675675674,74,19
0.0,,0.7819991390908588,0.8026315789473685,76,61
0.0,,0.6826191544966574,0.7236842105263158,76,55
0.0,,0.07162123746450355,0.275,80,22
0.0,,0.8161762130223398,0.8311688311688312,77,64
