r1_p,r1_r,r1_f,r2_p,r2_r,r2_f,rL_p,rL_r,rL_f
1.8499999999999999,1.47,1.6400000000000001,0.0,0.0,0.0,1.8499999999999999,1.47,1.6400000000000001
13.33,5.800000000000001,8.08,3.45,1.47,2.06,13.33,5.800000000000001,8.08
10.71,4.84,6.67,3.6999999999999997,1.6400000000000001,2.27,10.71,4.84,6.67
36.11,18.57,24.529999999999998,17.14,8.7,11.540000000000001,25.0,12.86,16.98
6.67,4.760000000000001,5.56,1.69,1.2,1.41,6.67,4.760000000000001,5.56
1.82,1.41,1.59,0.0,0.0,0.0,1.82,1.41,1.59
10.26,5.13,6.84,0.0,0.0,0.0,10.26,5.13,6.84
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19.15,14.06,16.220000000000002,13.04,9.520000000000001,11.01,19.15,14.06,16.220000000000002
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.78,6.15,6.45,1.72,1.5599999999999998,1.6400000000000001,5.08,4.62,4.84
4.65,2.86,3.54,0.0,0.0,0.0,2.33,1.43,1.77
11.110000000000001,1.59,2.78,0.0,0.0,0.0,11.110000000000001,1.59,2.78
3.85,1.25,1.8900000000000001,0.0,0.0,0.0,3.85,1.25,1.8900000000000001
10.17,8.959999999999999,9.520000000000001,8.62,7.580000000000001,8.06,10.17,8.959999999999999,9.520000000000001
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.3299999999999998,1.32,1.32,0.0,0.0,0.0,1.3299999999999998,1.32,1.32
29.17,18.92,22.95,19.15,12.33,15.0,22.919999999999998,14.860000000000001,18.029999999999998
6.15,5.41,5.76,0.0,0.0,0.0,6.15,5.41,5.76
2.04,1.49,1.72,0.0,0.0,0.0,2.04,1.49,1.72
3.64,2.82,3.17,0.0,0.0,0.0,3.64,2.82,3.17
2.27,1.47,1.79,0.0,0.0,0.0,2.27,1.47,1.79
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25.0,5.63,9.2,13.33,2.86,4.71,25.0,5.63,9.2
5.88,1.43,2.3,0.0,0.0,0.0,5.88,1.43,2.3
