bs_p,bs_r,bs_f
70.19999999999999,71.06,70.63000000000001
71.50999999999999,70.67,71.09
71.46000000000001,67.49000000000001,69.42
68.42,68.63,68.52000000000001
63.67,66.53999999999999,65.07
63.83,64.78,64.3
74.56,72.23,73.38
85.85000000000001,97.56,91.33
69.04,71.63000000000001,70.30999999999999
71.82,73.02,72.42
67.85,65.7,66.75999999999999
68.32000000000001,68.61,68.46
80.58999999999999,76.17,78.32000000000001
71.03,67.34,69.14
72.91,63.53,67.9
68.69,66.25,67.45
71.22,66.08000000000001,68.56
75.44,61.75000000000001,67.91
74.91,66.03,70.19
69.53,69.69,69.61
80.96,70.99,75.64999999999999
80.32000000000001,81.65,80.97999999999999
69.48,70.45,69.96
66.11,63.05,64.55
67.51,62.949999999999996,65.14999999999999
70.0,71.47,70.73
88.61,81.76,85.05
81.47,88.72,84.94
71.84,66.55,69.1
71.25,69.84,70.54
72.84,65.91,69.19999999999999
66.53999999999999,67.0,66.77
70.42,69.14,69.78
85.00999999999999,62.61,72.11
62.17,63.629999999999995,62.89
63.75999999999999,62.529999999999994,63.13999999999999
65.91,69.14,67.49000000000001
72.6,64.29,68.19
74.15,64.16,68.78999999999999
70.24000000000001,68.03,69.12
77.42999999999999,76.78,77.10000000000001
70.05,72.38,71.2
82.19,65.28,72.77
64.55,65.73,65.14
67.32000000000001,66.82000000000001,67.07
81.5,76.59,78.97
81.45,60.529999999999994,69.45
66.75999999999999,67.60000000000001,67.17999999999999
65.78,65.72,65.75
70.49,68.24,69.35
63.44,66.19,64.79
69.35,67.07,68.19
69.11,67.51,68.30000000000001
75.37,74.5,74.92999999999999
68.83,65.58,67.17
79.22,70.43,74.56
71.39,68.87,70.11
73.34,67.19000000000001,70.13000000000001
66.73,70.02000000000001,68.33
71.31,71.31,71.31
68.31,73.28,70.7
71.61999999999999,62.17,66.56
65.94,66.2,66.07
82.08,81.47,81.77
66.14,64.51,65.31
75.51,73.21,74.33999999999999
66.09,68.7,67.36999999999999
72.28999999999999,68.75,70.48
68.04,69.05,68.54
64.84,63.629999999999995,64.23
79.32000000000001,69.69,74.2
77.21000000000001,68.75,72.74000000000001
75.09,79.58,77.27000000000001
86.46000000000001,84.16,85.28999999999999
98.66,89.49000000000001,93.85
81.53,72.45,76.73
64.92999999999999,65.13,65.03
84.83000000000001,74.16,79.13
67.89,71.86,69.82000000000001
70.61,64.77000000000001,67.56
69.65,72.21,70.91
63.54,65.96,64.73
66.05,63.019999999999996,64.5
70.75,66.05,68.32000000000001
71.0,68.89999999999999,69.94
67.33,68.46,67.89
73.06,72.61,72.83
81.96,75.2,78.44
67.47,69.97,68.7
67.72,67.47,67.60000000000001
72.48,70.06,71.25
63.239999999999995,62.22,62.73
64.73,62.419999999999995,63.55
64.73,60.97,62.79
71.11,68.28,69.66
81.06,63.17,71.00999999999999
