r1_p,r1_r,r1_f,r2_p,r2_r,r2_f,rL_p,rL_r,rL_f
23.29,25.369999999999997,24.29,1.39,1.52,1.4500000000000002,13.700000000000001,14.93,14.29
30.56,35.480000000000004,32.84,8.57,10.0,9.229999999999999,22.220000000000002,25.81,23.880000000000003
23.73,20.29,21.87,1.72,1.47,1.59,16.950000000000003,14.49,15.629999999999999
19.72,35.0,25.230000000000004,5.71,10.26,7.340000000000001,14.08,25.0,18.02
12.280000000000001,21.88,15.73,0.0,0.0,0.0,8.77,15.620000000000001,11.24
21.05,20.34,20.69,1.79,1.72,1.7500000000000002,14.04,13.56,13.79
34.25,33.33,33.78,11.110000000000001,10.81,10.96,17.810000000000002,17.330000000000002,17.57
45.0,75.0,56.25,36.84,63.63999999999999,46.67,45.0,75.0,56.25
30.769999999999996,46.150000000000006,36.919999999999995,10.530000000000001,16.0,12.7,28.21,42.309999999999995,33.85
10.14,12.5,11.200000000000001,0.0,0.0,0.0,8.7,10.71,9.6
32.0,21.33,25.6,4.08,2.7,3.25,18.0,12.0,14.399999999999999
17.740000000000002,20.75,19.13,1.6400000000000001,1.92,1.77,12.9,15.09,13.91
68.42,47.56,56.120000000000005,37.5,25.929999999999996,30.659999999999997,40.35,28.050000000000004,33.09
57.14,22.86,32.65,7.6899999999999995,2.94,4.26,42.86,17.14,24.490000000000002
22.220000000000002,5.63,8.99,0.0,0.0,0.0,16.669999999999998,4.2299999999999995,6.74
22.220000000000002,28.57,25.0,4.84,6.25,5.45,15.870000000000001,20.41,17.86
24.39,28.57,26.32,5.0,5.88,5.41,17.07,20.0,18.42
57.89,15.28,24.18,5.56,1.41,2.25,47.370000000000005,12.5,19.78
54.169999999999995,16.88,25.740000000000002,13.04,3.95,6.0600000000000005,45.83,14.29,21.78
28.12,24.32,26.090000000000003,0.0,0.0,0.0,15.620000000000001,13.51,14.49
55.559999999999995,18.87,28.17,23.53,7.6899999999999995,11.59,50.0,16.98,25.35
29.630000000000003,44.440000000000005,35.56,19.23,29.409999999999997,23.26,29.630000000000003,44.440000000000005,35.56
16.39,23.26,19.23,3.3300000000000005,4.760000000000001,3.92,11.48,16.28,13.459999999999999
16.669999999999998,5.71,8.51,0.0,0.0,0.0,16.669999999999998,5.71,8.51
28.57,12.31,17.2,3.6999999999999997,1.5599999999999998,2.1999999999999997,25.0,10.77,15.049999999999999
31.65,32.47,32.05,10.26,10.530000000000001,10.39,22.78,23.380000000000003,23.080000000000002
63.63999999999999,48.28,54.900000000000006,47.620000000000005,35.709999999999994,40.82,63.63999999999999,48.28,54.900000000000006
44.0,73.33,55.00000000000001,29.17,50.0,36.84,40.0,66.67,50.0
36.67,18.029999999999998,24.18,6.9,3.3300000000000005,4.49,30.0,14.75,19.78
28.07,22.54,25.0,8.93,7.140000000000001,7.9399999999999995,17.54,14.08,15.620000000000001
33.33,20.93,25.71,3.85,2.3800000000000003,2.94,29.630000000000003,18.6,22.86
20.0,23.64,21.67,3.1199999999999997,3.6999999999999997,3.39,15.379999999999999,18.18,16.669999999999998
20.29,18.92,19.580000000000002,2.94,2.74,2.8400000000000003,10.14,9.46,9.790000000000001
66.67,18.18,28.57,28.57,7.41,11.76,60.0,16.36,25.71
27.589999999999996,26.669999999999998,27.12,3.51,3.39,3.45,12.07,11.67,11.86
15.690000000000001,12.120000000000001,13.68,2.0,1.54,1.7399999999999998,11.76,9.09,10.26
10.0,19.23,13.16,0.0,0.0,0.0,4.0,7.6899999999999995,5.26
52.38,16.18,24.72,20.0,5.970000000000001,9.2,42.86,13.239999999999998,20.22
43.59,25.759999999999998,32.379999999999995,18.42,10.77,13.59,35.9,21.21,26.669999999999998
14.29,11.63,12.82,2.94,2.3800000000000003,2.63,14.29,11.63,12.82
36.36,38.71,37.5,12.5,13.33,12.9,27.27,29.03,28.12
28.57,32.0,30.19,18.52,20.830000000000002,19.61,28.57,32.0,30.19
64.29,12.5,20.93,38.46,7.04,11.899999999999999,64.29,12.5,20.93
18.970000000000002,22.45,20.560000000000002,3.51,4.17,3.81,12.07,14.29,13.08
14.099999999999998,14.67,14.38,0.0,0.0,0.0,6.41,6.67,6.54
58.620000000000005,30.36,40.0,21.43,10.91,14.46,48.28,25.0,32.940000000000005
83.33,8.469999999999999,15.379999999999999,20.0,1.72,3.17,83.33,8.469999999999999,15.379999999999999
23.53,23.189999999999998,23.36,0.0,0.0,0.0,11.76,11.59,11.68
13.700000000000001,25.0,17.7,2.78,5.13,3.5999999999999996,9.59,17.5,12.389999999999999
22.39,31.25,26.090000000000003,1.52,2.13,1.77,14.93,20.830000000000002,17.39
11.940000000000001,15.690000000000001,13.56,0.0,0.0,0.0,10.45,13.73,11.86
35.38,36.51,35.94,10.94,11.29,11.110000000000001,27.689999999999998,28.57,28.12
20.34,19.67,20.0,3.45,3.3300000000000005,3.39,15.25,14.75,15.0
50.0,50.64999999999999,50.32,27.27,27.63,27.450000000000003,38.46,38.96,38.71
28.000000000000004,13.459999999999999,18.18,12.5,5.88,8.0,20.0,9.62,12.989999999999998
41.38,20.69,27.589999999999996,17.86,8.77,11.76,37.93,18.970000000000002,25.290000000000003
19.67,17.65,18.6,1.67,1.49,1.5699999999999998,11.48,10.290000000000001,10.85
25.0,28.99,26.85,7.59,8.82,8.16,20.0,23.189999999999998,21.48
15.620000000000001,25.0,19.23,1.59,2.56,1.96,9.379999999999999,15.0,11.540000000000001
12.9,11.110000000000001,11.940000000000001,1.6400000000000001,1.41,1.52,11.29,9.719999999999999,10.45
16.28,31.819999999999997,21.54,2.3800000000000003,4.760000000000001,3.17,13.950000000000001,27.27,18.459999999999997
35.0,12.5,18.42,10.530000000000001,3.64,5.41,25.0,8.93,13.16
12.280000000000001,15.559999999999999,13.73,0.0,0.0,0.0,7.02,8.89,7.84
51.349999999999994,53.52,52.410000000000004,24.66,25.71,25.169999999999998,39.190000000000005,40.849999999999994,40.0
23.68,16.36,19.35,0.0,0.0,0.0,15.790000000000001,10.91,12.9
27.029999999999998,27.779999999999998,27.400000000000002,2.74,2.82,2.78,14.860000000000001,15.28,15.07
15.690000000000001,29.630000000000003,20.51,0.0,0.0,0.0,11.76,22.220000000000002,15.379999999999999
39.06,34.72,36.76,20.630000000000003,18.310000000000002,19.400000000000002,34.38,30.56,32.35
18.6,22.86,20.51,2.3800000000000003,2.94,2.63,13.950000000000001,17.14,15.379999999999999
16.669999999999998,14.93,15.75,3.39,3.0300000000000002,3.2,11.67,10.45,11.020000000000001
46.67,22.58,30.43,28.57,13.33,18.18,40.0,19.35,26.090000000000003
50.0,14.08,21.98,26.32,7.140000000000001,11.24,35.0,9.86,15.379999999999999
28.99,43.480000000000004,34.78,7.35,11.110000000000001,8.85,18.84,28.26,22.61
45.0,45.0,45.0,21.05,21.05,21.05,45.0,45.0,45.0
100.0,76.92,86.96000000000001,88.89,66.67,76.19,100.0,76.92,86.96000000000001
37.5,16.669999999999998,23.080000000000002,6.67,2.86,4.0,37.5,16.669999999999998,23.080000000000002
12.07,24.14,16.09,3.51,7.140000000000001,4.71,8.62,17.24,11.49
72.72999999999999,41.03,52.459999999999994,38.1,21.05,27.12,54.55,30.769999999999996,39.34
14.29,36.0,20.45,3.2300000000000004,8.33,4.65,11.110000000000001,28.000000000000004,15.909999999999998
40.0,14.29,21.05,0.0,0.0,0.0,30.0,10.71,15.790000000000001
