reference,system
"unter ionenwind versteht man einen gerichteten fluss von ionen, also eine art der ionenstrahlung. erzeugt wird er durch eine gasentladung, die von einer an positiver hochspannung liegenden elektrode ( meist spitz geformt, was eine sehr starke inhomogenität des elektrischen feldes mit sich bringt ) ausgeht. die ionisation erfolgt durch entzug von elektronen. die so erzeugten positiv geladenen ionen werden dann von dieser elektrode ( anode ) weg entlang des feldgradienten","ionenwolken sind elektrisch geladene wolken, die aus der erzeugung von ionenquelle durch stoßionen entstehen. die wichtigsten ursachen für diese wolken entstehen durch fokussierung : kernfusion von wassermolekülen ( z. b. argonionen ) auf der kante steigt durch die verschiebung der ionen zur kante zusammen mit der luft auf eine höhe von ca. 100 km. durch eine verschiebung der ionen auf eine höhe von ca. 10 km wirkt die erzeugung des windes"
"horror vacui ( lat. scheu vor der leere ) bezeichnet in der kunst den wunsch, alle leeren flächen, besonders in der malerei und im relief, mit darstellungen oder ornamenten zu füllen.","als horror vacui oder vaughan vacui ( engl. ) bezeichnet man eine in der kunst und der grafik häufig auftretende schaffensform, bei der sich durchgängige strukturen, ornamente und verhaltensweisen in einen horror-vakui-stil einprägen."
"bei der kryptosporidiose handelt es sich um eine durchfallerkrankung durch die zu den apicomplexa gehörenden kryptosporidien. bei menschen mit zellulärer immunschwäche ( z. b. aids ) tritt diese sonst seltene erkrankung gehäuft auf. die übertragung erfolgt als orale infektion durch die aufnahme infizierter speisen oder infizierten trinkwassers. eine infektion über infizierte haus- und nutztiere, sowie von mensch zu mensch ist möglich. die betroffenen leiden unter wä","unter der kryptosporidiose versteht man eine durch cryptosporidium verursachte infektionskrankheit, die weltweit vorkommt. die infektion verläuft primär über atemwege und lunge. auch im tierreich können cryptosporidien als parasitäre objekte auftreten. da cryptosporidium vorwiegend protozoen auftritt, wird die kryptosporidiose auch als kryptoparasit bezeichnet. der name wurde 1959 von dem amerikanischen arzt r. david cryptosporidiosis ( deutsch : „ kryptosporen-"
"wonder woman ist einer der ältesten superhelden ( und die erste superheldin ) des dc-comics-verlags. sie wurde von william moulton marston und seiner frau, elizabeth holloway marston ( sadie ), geschaffen und hatte ihren ersten auftritt 1941 in all star comics # 8.","wonder woman ist eine fiktive comicfigur, die in den 1980er jahren, beginnend mit der  erscheinenden comicserie the sentinel, im rahmen der gleichnamigen buchreihe des us-amerikanischen verlages dc comics geschaffen wurde. die figur des weiblichen superhelden wonder woman wurde erstmals in einem comic-verlag verlegt. die wonder woman tritt in mehreren comics auf, die einen starken stereotypen weiblichen charakter tragen. dieses phänomen machte wonder woman zu einer der beliebtesten figure"
"dieser artikel beschreibt die grammatik der georgischen sprache ( eigenbezeichnung : [ kartuli ena ] ქართული ენა ). die grammatik des georgischen und der anderen sogenannten kaukasischen sprachen ist so umfangreich, dass hier keineswegs alle einzelheiten aufgeführt sind.","die geltungssprache georgiens ist, wie aus dem lateinischen entstanden, einzelsprache, die in der praktischen linguistik umgangssprachlich als ergativ-akkusativ-sprache bezeichnet wird. dabei wird untersucht, ob akkusativ ( also nominativ, intransitiver und transitiver ) laute, die in einem satz mit einer anderen sprache ihren ausdruck finden, auch realisiert werden können. demnach werden die akkusativlaute zu den akkusativen gerechnet."
"ein zwiebelturm ist ein turm mit einer zwiebelhaube oder einem zwiebelhelm, z. b. ein kirchturm, dessen spitze in form einer zwiebel gearbeitet ist. der untere teil der spitze ist bauchig und läuft nach oben spitz zusammen, vergleichbar mit den kirchtürmen der moskauer basilius-kathedrale. neben runden bauformen werden auch türme mit eckigen turmhauben als zwiebelturm bezeichnet.","ein eisendom ( auch eisenkuppel, eisenhalbkuppel oder bienendom ) ist ein halbkugelförmiger, spitzbogenartiger doppeldom, dessen äußeres gewölbe durch ein eisenhaus ersetzt ist. er war vor allem in russland, halbinseln und in südosteuropa verbreitet. ab dem 13. jahrhundert wurden domestizierte bauformen überall in europa, darüber hinaus, und als kulttyp in teilen von asien und afrika."
"als partikelschwarmoptimierung ( pso ) wird ein naturanaloges optimierungsverfahren bezeichnet, das nach dem vorbild des biologischen schwarmverhaltens eine lösung für ein optimierungsproblem sucht. analog zum natürlichen phänomen wird eine population von lösungskandidaten durch den suchraum bewegt, um eine gute lösung für das problem zu erhalten. in jedem rechenschritt wird dazu die position jedes individuums neu berechnet. die pso ist eine metaheuristik, sie wurde 1995 von james kennedy und russell e","die progressive randomness strategy ( pso ) ist ein verfahren der kombinatorischen optimierung, das die lösungsmöglichkeiten für nichtlineare problemstellungen analytisch vereinfacht. in der informatik wird der algorithmus häufig für die lösung von linearen gleichungssystemen verwendet, wie beispielsweise das xpso. die pso-parameter für die suche nach einer lösung beziehen sich auf die teilmenge des suchraumes, also auf die position der gefundenen objekte, den sogenannten optimalen lösungskandidaten."
"james rumbaugh ( * 22. august 1947 in bethlehem, pennsylvania ) ist ein amerikanischer informatiker.","james rumbaugh ( * 11. september 1942 in bethlehem, pennsylvania ) ist ein amerikanischer informatiker, der sich mit software-modellierung und datenflusstechnologie befasst."
das archaeological institute of america ( aia ) ist eine us-amerikanische non-profit-organisation zur förderung der archäologie mit sitz in boston und new york.,"das american institute of archeology and anthropology ( aia ) ist eine amerikanische forschungseinrichtung, die zur archäologie und anthropologie der menschheitsgeschichte wissenschaftliche forschungen betreibt. es ist eines der zehn gründungsmitglieder des american institute of natural history and anthropology ( aia )."
"hirnventrikel sind mit hirnwasser ( liquor cerebrospinalis ) gefüllte hohlräume im gehirn. sie bilden, zusammen mit dem rückenmarkskanal ( canalis centralis medullaris ), den inneren liquorraum. das gehirn weist je einen seitenventrikel in jeder großhirnhemisphäre auf, einen dritten ventrikel im zwischenhirn und den vierten ventrikel im rhombencephalon. diese vier hirnventrikel stehen durch löcher ( foram","der fourte ventrikel ( lat. ventriculus vierter ventralis ) ist eine beim menschen etwa 2 mm lange und bis zu 6 mm breite schläfenförmige struktur, die den mittleren kleinhirn ( cerebellum ) umschließt. das fünfte ventrikel ist die fortsetzung des nervus vagus und wird auch als vagus-hirn bezeichnet. der fourte ventrikel teilt denhirn auf zwei bereiche : der untere und der obere. er wird durch das mediane sulcus centrei ("
"basic english oder einfaches englisch ist eine von charles kay ogden geschaffene vereinfachte form der englischen sprache mit stark verkleinertem vokabular. die englischvariante wird manchmal auch als plansprache bezeichnet, da diese form des englischen einst als welthilfssprache dienen sollte. es ist nicht mit dem formal ähnlichen, jedoch für ein sehr spezielles anwendungsgebiet geschaffenen simplified english zu verwechseln. basic ist die abkürzung für british american scientific international commercial ( language ), wobei auch auf das","basic english ist eine konstruierte sprache, die in den jahren zwischen dem 17. und 19. jahrhundert entwickelt wurde. sie ist nach john ogden benannt, der sie erstmals beschrieben hat. basic english gilt als „ grundlegende sprache “ und wird in vielen sprachen verwendet, wie z. b. im englischen, französischen oder deutschen."
"randori ( japanisch 乱取り, wörtlich : das chaos nehmen ) ist eine übungsform des kampfes im budō, den japanischen kampfkünsten. sinngemäß steht dabei der übungskampf randori dem shiai − dem eigentlichen wettkampf − gegenüber. beim randori geht es nicht um gewinnen oder verlieren, sondern darum die zuvor erlernten techniken im fluss des kampfes anwenden zu lernen.","randori ( jap. 多人数掛けия, dt. „ mehrfache dringlichkeit “ ) bezeichnet eine art der kampfführung, die in vielen kampfsportarten ( aikidō, judo, aikikai ) und dort insbesondere in der judo-bewegung ausgeübt wird. beim randori handelt es sich um eine vergleichsweise große, fast gewaltfreie übung, die sowohl den gegner als auch das eigene körper unversehrt distanziert. die randori wird heute hauptsächlich in den kampfsportarten"
"die manhattan bridge ist eine hängebrücke in new york city, die den east river überquert und die beiden stadtteile lower manhattan ( chinatown ) und brooklyn miteinander verbindet. die am 31. dezember 1909 eröffnete, aber erst einige monate später fertiggestellte brücke war nach der brooklyn bridge und der williamsburg bridge die letzte der drei über den east river gebauten hängebrücken. auf ihren zwei ebenen hat sie heute insgesamt vier gleise der new york city subway, sieben fa","die manhattan bridge ( auch manhattan expressway, früher new york city bridge ) ist eine hängebrücke über den lower east river in new york city, die die lower manhattan expressway überspannt. sie ist die einzige der drei kettenbrücken der stadt. deren fertigstellung war am 31. dezember 1909. die heute übliche bezeichnung lautet brooklyn bridge 278."
"über sinn und bedeutung ist ein 1892 erschienener aufsatz von gottlob frege. frege erläutert darin die grundbegriffe seiner sprachphilosophie. die abhandlung wurde auch in der linguistik, speziell in der semantik, rezipiert ( vgl. lyons 1980 ).","die bedeutungslehre ( auch : sinn-begriffslehre ) ist ein konzept, das von ludwig frege entwickelt wurde."
"leon schidlowsky ( * 21. juli 1931 in santiago de chile ) ist ein chilenisch-israelischer komponist und maler. er schreibt werke für orchester, kammerensemble, chor und für einzelne instrumente. außerdem komponierte er ca. 65 musikalische werke mit graphischer notation. seine musikalischen werke wurden in verschiedenen ländern aufgeführt. durch verschiedene musikalische gruppierungen, solisten und orchester sowie dirigenten wurden seine werke bekannt. seine graphisch-musikalischen arbeiten wurden in verschiedenen aus",pablo neruda ( * 25. november 1919 in santa cruz ; † 28. januar 2002 in buenos aires ) war ein chilenischer komponist.
"die begriffe mikrobiom und mikrobiota ( griechisch μικρός mikrós ‚klein ‘, griechisch βίος bios ‚leben ‘ ) bezeichnen im weitesten sinn die gesamtheit aller mikroorganismen der erde ( biom ), welche die erdkruste, die gewässer und die erdatmosphäre besiedeln. im engeren sinn ist die gesamtheit aller den menschen oder andere lebewesen besiedelnden mikroorganismen gemeint.","als mikrobiome bezeichnet man die gesamtheit aller mikroorganismen. es handelt sich dabei um organismen, die in direktem kontakt zu einem lebewesen stehen ( symbiotisch ). die beziehung zwischen mikroorganismen und lebewesen wird in der regel als symbiotik bezeichnet. da die organismen, aus denen die symbiotik hervorgeht, eine symbiotische beziehung zwischen lebewesen und organismen aufweisen, wird den begriffen mikrobielle gemeinschaft ( englisch microbiome ) vor allem in der"
"die aleph-funktion, benannt nach dem ersten buchstaben des hebräischen alphabets und auch als א { \displaystyle \aleph } geschrieben, ist eine in der mengenlehre, genauer in der theorie der kardinalzahlen, verwendete aufzählung aller unendlichen kardinalzahlen.","die alephfunktion ist in der mengenlehre eine familie von zahlen, die aus der menge aller natürlichen zahlen besteht. dabei ist die alephfunktion definiert als die menge aller natürlichen zahlen, die sich auf die menge der natürlichen zahlen auswirken."
"der rote kamm ist ein einschlagkrater mittlerer größe in der namib im süden namibias innerhalb des tsau-ǁkhaeb- ( sperrgebiet ) -nationalparks ( ehemals diamantensperrgebiet ), in der region ǁkaras. der krater hat einen durchmesser von etwa 2,5 kilometer und ist etwa 130 meter tief, wobei er mit einer etwa 100 meter dicken sandschicht bedeckt ist. das alter des kraters wird auf etwa 3,7 ( ± 0,3 ) millionen jahre geschätzt ; seine en","der roter kamm-krater ist ein großer einschlagkrater in sibirien, der durch den roter kamm-effekt entstanden ist."
"die floriana lines sind eine befestigungsanlage auf malta. ihr bau wurde 1635 durch pietro paolo floriana unter der herrschaft des großmeisters antoine de paule begonnen und erst im 18. jahrhundert abgeschlossen. nach dem sieg über die osmanischen belagerer in der großen belagerung wurde ab 1566 auf der halbinsel scibereas die befestigte stadt valletta errichtet. auf drei seiten von wasser umgeben, wurde die stadt nach süden von der valetta land front abgeschlossen. südlich dieser","die valletta-grenze ist eine befestigungsanlage auf malta. sie wurde 1566 erbaut und ist die älteste der derzeitigen vier städte, die valletta sind."
"umgekehrte diskriminierung ( engl. reverse discrimination ) bezeichnet die diskriminierung von mitgliedern einer als bevorteilt erachteten zugunsten einer als benachteiligt erachteten gruppe. sie ist nicht mit der positiven diskriminierung zu verwechseln, bei der eine benachteiligt geltende gruppe bevorteilt wird.","unter einer umburt, auch entburtszwang, versteht man eine sozialer diskriminierung oder benachteiligung aufgrund einer religion oder ethnie. der begriff wird insbesondere in der medizin benutzt, um diskriminierung aufgrund ihrer religionsgemeinschaft zu beschreiben."
die biografieforschung ist in der soziologie und erziehungswissenschaft ein forschungsansatz der qualitativen sozialforschung. biografieforschung befasst sich mit der rekonstruktion von lebensverläufen und sinnkonstruktionen auf der basis biografischer erzählungen oder persönlicher dokumente. das textmaterial kann auch aus interviewprotokollen in schriftlicher form bestehen. diese protokolle werden nach bestimmten regeln ausgewertet und interpretiert.,"die biographische methode ist ein forschungsgegenstand der soziologie, der sich mit der rekonstruktion komplexer narrativer prozesse beschäftigt."
"alexei alexandrowitsch starobinski ( russisch алексей александрович старобинский, englische transkription starobinsky ; * 19. april 1948 in moskau ) ist ein russischer astrophysiker und kosmologe.","gennadi andrejewitsch starobinski ( russisch геннадий андреевич староbinский ; * 16. märz 1950 in moskau ) ist ein russischer theoretischer physiker, der sich mit allgemeiner relativitätstheorie ( art ) und gravitation beschäftigt."
"unter makroevolution versteht man evolutionäre großübergänge, die über artgrenzen hinaus stattfinden und zur entstehung neuer taxa wie gattungen, familien, ordnungen, klassen oder stämme führen. diese dokumentierten abstammungsprozesse haben auf der ebene komplex gebauter organismen oder aquatischer einzeller stattgefunden.","makroevolution wird jene evolutionäre entwicklungsgeschichte genannt, die auf sehr langsamen veränderungen fast aller heutigen lebewesen ( prokaryoten, pflanzen, tiere, pilze ) und pflanzen folgt. dabei handelt es sich um auf chronologischer ebene umfassende veränderungen, die über eine gesamte lebensdauer andauern. diese veränderungen werden den evolutionären prozessen der stammesentwicklung ( morphologie ) zugeschrieben. der begriff makroevolution wurde von dem deutschen en"
"als cheftaste ( auch boss-key, when-the-boss-comes-by-key oder anti-boss-key genannt ) wird eine funktion ( meistens eine tastenkombination ) in einem computerprogramm bezeichnet, die verhindern soll, dass eine person, die neben dem monitor steht, erkennen kann, dass dieses programm ausgeführt wird. dazu wird das bildschirmbild des programms kurzzeitig durch ein anderes bild ( zum beispiel das bild einer tabellenkalkulation ) ersetzt, um den eindruck zu erwecken, dass an","der bossknopf ist eine grafische benutzeroberfläche, die dem benutzer erlaubt, sich auf dem arbeitsplatz zu befinden und darauf angezeigte tätigkeiten zu versteuern."
"kamland ( kamioka liquid scintillator antineutrino detector ) ist ein japanisches neutrino-experiment in einem ehemaligen bergwerk nahe kamioka und gehört dort wie kamiokande und dessen nachfolger super-kamiokande zum kamioka-observatorium. es dient der beobachtung von elektronen-antineutrinos und besteht aus einem ballon mit szintillator-flüssigkeit von 13 m durchmesser, der von photomultipliern umgeben ist die detektion der antineutrinos erfolgt über ν ̄ e + p → e + +",der kamland-detektor ( kurz kamland-zen ) ist ein experimenteller teilchendetektor in der forschungsstadt cambridge in großbritannien. das gerät wurde von der university of british columbia betrieben.
"die gemeinsame agrarpolitik ( gap ) ist ein politikbereich der europäischen union. sie gehört zu den ältesten und finanziell bedeutendsten politikfeldern der eu. die sechs gründungsmitglieder der europäischen gemeinschaften einigten sich mit unterzeichnung der römischen verträge 1957 auf die vergemeinschaftung der landwirtschaftspolitik, die 1962 in kraft trat. die gap unterstützte landwirte ursprünglich über preisgarantien. staatliche stellen kauften produkte, die für den garantierten preis ( interventionspreis ) nicht abgesetzt werden konnten, auf. in","die cap ( engl. cap für ‚caf ‘ ; franz. compensation pour la vie ‘ ) ist ein ursprünglich von der europäischen union entwickeltes konzept für die mitgliedstaaten der europäischen union, das meist auf agrarsubventionen beruht. ziel der cap ist es, den interessen einzelner mitgliedstaaten bei der produktion von gütern einzuschränken, wobei auf der baumwollförderung verzichtet wird. die cap-initiative sah eine abstützung der europäischen kommission für die landwirtschaft vor. in der folgezeit"
"jimmy donal „ jimbo “ wales ( * 7. august 1966 in huntsville, alabama ) ist ein us-amerikanischer internet-unternehmer, der vor allem als mitbegründer der online-enzyklopädie wikipedia bekannt wurde.","daniel paul wales ( * 7. august 1966 in huntsville, alabama ) ist ein us-amerikanischer unternehmer und wiki-entwickler. er entwickelte die erste wikipedia."
der japanische hundszahn ( erythronium japonicum ) ist eine pflanzenart aus der familie der liliengewächse ( liliaceae ).,"das katakuri-granat ( erythronium japonicum ), auch vogel-granat genannt, ist eine pflanzenart aus der gattung der granatsporne ( erythronium ) in der familie der spargelgewächse ( asparagaceae )."
"sterile-insekten-technik ( englisch sterile insect technology, sit ), auch autozidmethode oder selbstvernichtungsverfahren genannt, ist eine methode, um populationen von schadinsekten mittels einer großen anzahl steriler individuen zu dezimieren oder auszurotten. die künstlich produzierten und sterilisierten individuen werden im zielgebiet freigelassen, paaren sich mit fertilen weibchen und senken die wahrscheinlichkeit, dass erfolgreich nachkommen gezeugt werden. die wirkung ist, im gegensatz","sterile insektenbekämpfung ( englisch sterile insect control, sit ) ist ein verfahren zur bekämpfung steriler tiere. die methode wurde von raymond bushland und edward knipling in den 1950er jahren entwickelt."
"als stridulation wird eine spezielle form der lauterzeugung durch reiben zweier gegeneinander beweglicher körperteile bezeichnet, die vor allem bei insekten und spinnen zu beobachten ist. sie dient der innerartlichen kommunikation. bei anderen klassen ist stridulation nur selten anzutreffen. unter den säugetieren verständigen sich beispielsweise die streifentenreks im unübersichtlichen urwald durch aneinanderreiben spezieller stacheln. unter den höheren krebsen ist bei der westatlantischen reitkrabbe ein aneinanderreiben der beine","stridularium ( lat. stridus ‚schwellung ‘ ) bezeichnet die bildung von schallarten durch reibung eines zweiarmigen, meist kräftigen geräuschs durch verschiebung der flügel und ggf. des rückenmarkes. es ist eine spezielle form der kommunikation, die bei verschiedenen insekten und einigen arten der klauen- und kopfschwellung auftritt. die zur erzeugung von schall dienenden organe nennt man stridula."
"der hausbock ( hylotrupes bajulus, auch balkenbock oder großer holzwurm ) ist ein vertreter der bockkäfer ( cerambycidae ) der gattung hylotrupes. ( dieses wort ist zusammengesetzt aus ( gr. ) hyle → holz und einer latinisierten form von trypetes → bohr ( end ) er ; baiulus ( lat. ) ist ein träger. )",der altholzbohrer ( hylotrupes bajulus ) ist eine käferart aus der familie der bohrer ( hylidae ). er ist ursprünglich in mitteleuropa mit dem namen old-house borer bekannt.
ein analogsignal ist im rahmen der signaltheorie eine form eines signals mit stufenlosem und unterbrechungsfreiem verlauf. ein analogsignal wird als glatte funktion beschrieben und es lässt sich damit beispielsweise der zeitlich kontinuierliche verlauf einer physikalischen größe wie der schalldruck in form eines analogen audiosignals beschreiben. der wertebereich eines analogsignals wird als dynamikumfang bezeichnet.,"ein analogsignal ( von altgriechisch ἀνάλυσις análysis „ auflösung “ ) ist ein signal, welches auf eine physikalische größe bezogen ist. dabei kann es sich um signale handeln, die auf eine physikalische größe bezogen sind. in der regel benutzt man den begriff analogsignal, wenn sich die beziehung zwischen dem analogsignal und dem digitalsignal ändert. analoge physikalische größen sind z. b. spannung, volumen, zeit. bei gleichspan"
