bs_p,bs_r,bs_f
73.65,73.49,73.57000000000001
66.2,68.57,67.36
69.91000000000001,65.72,67.75
68.88,68.07,68.47
66.35,69.17999999999999,67.74
64.12,64.73,64.42999999999999
71.28,66.88,69.01
66.96,85.92999999999999,75.27000000000001
67.23,71.34,69.22
69.25,69.07,69.16
69.55,64.64999999999999,67.01
67.69,67.7,67.7
81.03,78.96,79.97999999999999
70.73,68.42,69.56
75.87,66.31,70.77
68.85,68.11,68.47999999999999
66.03999999999999,62.64999999999999,64.3
66.77,63.07000000000001,64.87
73.81,69.16,71.41
74.06,72.26,73.15
76.69,71.67,74.09
86.74,89.33,88.02
65.07,67.99,66.5
63.260000000000005,64.2,63.73
66.56,62.0,64.2
71.25,71.14,71.19
87.9,83.69,85.75
76.28,84.08,79.99000000000001
66.9,66.71000000000001,66.8
64.75999999999999,65.42999999999999,65.09
73.92999999999999,61.809999999999995,67.33
64.91,65.91,65.4
69.1,68.08999999999999,68.58999999999999
72.42,72.08,72.25
66.62,66.79,66.71000000000001
69.15,68.38,68.76
64.74,69.13,66.86999999999999
70.12,63.57000000000001,66.69
62.28,66.3,64.23
67.36999999999999,64.9,66.11
73.59,72.48,73.03
72.0,70.56,71.28
80.81,66.41,72.91
64.14,63.63999999999999,63.89
63.62,62.11,62.86000000000001
85.75,77.47,81.39999999999999
67.93,66.77,67.34
78.38000000000001,67.78,72.7
63.23,67.4,65.25
68.5,62.25000000000001,65.22
61.07,65.41,63.160000000000004
71.77,68.74,70.22
66.57,64.09,65.31
77.99000000000001,74.91,76.42
72.15,65.03999999999999,68.41000000000001
71.27,68.53,69.87
71.23,65.44,68.21000000000001
75.26,65.73,70.17
68.8,71.65,70.19999999999999
70.3,67.22,68.73
71.06,78.32000000000001,74.51
63.73,63.14999999999999,63.44
69.0,65.72,67.32000000000001
79.21000000000001,77.7,78.45
68.84,68.14,68.49
73.05,72.24000000000001,72.64
63.82,65.05,64.42999999999999
69.19,69.69,69.44
68.30000000000001,72.49,70.33
70.0,68.95,69.47
81.03,68.12,74.02
78.86,66.01,71.87
70.33,72.91,71.6
75.92,82.31,78.99000000000001
98.66,89.49000000000001,93.85
82.17,71.99,76.75
62.39,63.370000000000005,62.88
82.73,74.0,78.12
67.78,69.67,68.71000000000001
66.63,66.3,66.46
68.28,71.7,69.95
64.23,63.72,63.970000000000006
68.58,64.64,66.56
69.57,65.07,67.25
67.88,65.98,66.92
67.84,65.39,66.59
76.18,73.72999999999999,74.92999999999999
76.67,68.58999999999999,72.41
64.51,67.22,65.84
67.36999999999999,63.75999999999999,65.52
69.55,68.2,68.87
64.2,60.77,62.44
69.5,66.61,68.02
67.78999999999999,63.04,65.33
66.75,67.71000000000001,67.23
78.3,66.77,72.08
66.06,65.79,65.92
72.59,70.23,71.39
69.76,68.65,69.19999999999999
73.15,69.88,71.48
70.28999999999999,68.97,69.62
68.37,66.14999999999999,67.24
65.86,66.31,66.08000000000001
80.17999999999999,83.1,81.61
64.8,61.919999999999995,63.33
63.17,66.71000000000001,64.89
59.72,68.73,63.91
68.28,66.33,67.29
67.33,64.61,65.94
69.61,70.04,69.83
72.2,70.17,71.17
71.74000000000001,68.35,70.00999999999999
63.79,64.75,64.27000000000001
70.89999999999999,73.26,72.06
70.78999999999999,58.34,63.970000000000006
65.02,63.870000000000005,64.44
59.21999999999999,60.88,60.040000000000006
62.49,67.58999999999999,64.94
87.8,80.08,83.76
60.56,63.080000000000005,61.79
75.22999999999999,71.17999999999999,73.15
75.99000000000001,85.02,80.25
83.47,77.83,80.55
71.55,66.55,68.96
68.77,66.24,67.47999999999999
63.22,58.87,60.97
62.529999999999994,60.760000000000005,61.629999999999995
64.91,64.89,64.9
59.47,65.83,62.49
72.61999999999999,68.58,70.54
75.13,75.81,75.47
70.11,62.96000000000001,66.34
61.0,63.11,62.03999999999999
73.61,69.61,71.55
71.97,66.75,69.26
69.96,67.2,68.56
67.01,65.28,66.14
71.54,65.74,68.52000000000001
72.1,69.25,70.65
93.54,77.22,84.6
71.5,69.23,70.34
64.25999999999999,64.02,64.14
67.81,63.239999999999995,65.45
67.58,68.55,68.06
74.19,73.61999999999999,73.9
67.47999999999999,66.96,67.22
71.75,64.56,67.97
78.49000000000001,79.06,78.77
69.04,63.73,66.28
69.28,64.02,66.55
70.17,65.58,67.80000000000001
71.78999999999999,69.07,70.39999999999999
67.67,64.97,66.29
62.71,67.02,64.79
74.25,70.77,72.47
66.27,67.45,66.85
65.82000000000001,65.33,65.57
64.8,69.57,67.10000000000001
63.82,60.550000000000004,62.13999999999999
66.29,66.14999999999999,66.22
67.78999999999999,68.87,68.33
71.67999999999999,70.14,70.89999999999999
71.17,71.46000000000001,71.31
62.06,60.68,61.36000000000001
73.3,69.38,71.28999999999999
71.61999999999999,65.13,68.22
67.42,64.25,65.8
61.41,61.92999999999999,61.67
62.25000000000001,62.38,62.31
69.26,65.35,67.25
72.75,70.28,71.49
67.32000000000001,68.94,68.12
67.67,64.47,66.03
68.38,69.16,68.77
66.16,67.46,66.8
67.03,66.97,67.0
69.71000000000001,68.25,68.97
73.26,63.470000000000006,68.01
73.92999999999999,69.75,71.78
62.29,63.660000000000004,62.96000000000001
78.03,72.39999999999999,75.11
64.71000000000001,63.04,63.870000000000005
95.37,95.54,95.46
70.22,62.82,66.32000000000001
66.57,64.47,65.51
83.47,84.35000000000001,83.89999999999999
71.17,77.58,74.24
85.19,90.13,87.59
70.49,68.19,69.32000000000001
69.95,67.5,68.7
69.04,68.83,68.93
57.11000000000001,59.95,58.5
56.230000000000004,59.199999999999996,57.68
72.54,60.28,65.84
72.78999999999999,73.03,72.91
66.53,67.16,66.84
70.85000000000001,72.27,71.55
65.27,63.160000000000004,64.2
66.95,62.32,64.55
60.67,59.809999999999995,60.23
66.44,64.52,65.46
65.8,61.39,63.519999999999996
61.68,61.019999999999996,61.35
80.16,85.49,82.74000000000001
85.65,80.96,83.24000000000001
74.95,70.5,72.65
68.8,62.83,65.68
73.83999999999999,69.07,71.38
77.95,69.61,73.54
72.17,72.6,72.39
72.1,69.21000000000001,70.62
91.67999999999999,83.28999999999999,87.28
89.18,70.72,78.88
71.87,64.81,68.16
66.77,63.980000000000004,65.34
72.11,83.17,77.24
70.44,71.35000000000001,70.89
68.64,68.13,68.38
87.32,86.55000000000001,86.92999999999999
78.03,77.01,77.51
67.12,62.39,64.67
66.27,65.94,66.11
74.45,77.33,75.86
79.72,67.24,72.95
70.49,67.63,69.03
67.09,65.71000000000001,66.39
68.97999999999999,71.03,69.99
66.9,65.9,66.39
69.71000000000001,68.07,68.88
73.31,67.19000000000001,70.11
60.56,67.72,63.94
67.58999999999999,70.63000000000001,69.08
67.03,65.34,66.18
72.64,70.73,71.67
67.09,68.01,67.54
71.16,71.64,71.39999999999999
63.23,67.25999999999999,65.18
68.72,70.75,69.72
64.14999999999999,64.73,64.44
69.33,67.63,68.47
89.81,92.63,91.2
65.89,66.75,66.32000000000001
75.53,68.2,71.67999999999999
68.07,64.52,66.25
68.82000000000001,62.91,65.73
75.51,69.77,72.53
88.14999999999999,75.7,81.45
71.52,69.16,70.32000000000001
69.5,67.36,68.41000000000001
67.30000000000001,62.56,64.84
68.05,66.24,67.14
61.78,67.02,64.29
65.97,64.64999999999999,65.3
69.0,66.08000000000001,67.51
83.77,72.65,77.82
76.2,72.11,74.1
80.21000000000001,67.29,73.19
71.28,68.75,70.0
78.93,71.21,74.87
79.06,83.88,81.39999999999999
71.61,70.21,70.89999999999999
62.660000000000004,64.39,63.519999999999996
67.47999999999999,64.77000000000001,66.10000000000001
65.44,71.55,68.36
68.8,67.24,68.01
61.88,63.39,62.629999999999995
69.82000000000001,70.05,69.93
66.25,68.66,67.44
63.849999999999994,60.589999999999996,62.18
68.27,60.58,64.2
70.34,65.49000000000001,67.83
67.31,64.61,65.93
65.39,62.23,63.77
64.24,62.419999999999995,63.32
68.21000000000001,72.06,70.08
75.53999999999999,66.66,70.82000000000001
63.73,64.1,63.91
65.72,63.36000000000001,64.52
94.87,84.2,89.22
68.89999999999999,66.08000000000001,67.46
68.51,63.690000000000005,66.02
85.49,71.81,78.05
72.46000000000001,71.92,72.19
68.06,66.03999999999999,67.04
75.8,71.34,73.5
63.260000000000005,70.84,66.84
74.45,62.339999999999996,67.86
63.67,64.42999999999999,64.05
66.03999999999999,63.89,64.94
73.87,62.35000000000001,67.62
66.38,66.97,66.67
79.89,80.67999999999999,80.28
63.13999999999999,70.17,66.47
74.67,71.61,73.11
73.75,62.339999999999996,67.57
67.72,67.81,67.75999999999999
65.7,63.17,64.41
85.94000000000001,82.14,83.99
67.9,69.19999999999999,68.54
75.66000000000001,73.36,74.49
68.95,65.42,67.14
76.03999999999999,76.34,76.19
66.75999999999999,69.46,68.08
66.60000000000001,72.00999999999999,69.19999999999999
66.12,64.28,65.18
69.3,69.32000000000001,69.31
72.07000000000001,69.65,70.84
67.21000000000001,65.45,66.32000000000001
63.04,63.09,63.07000000000001
73.49,63.59,68.17999999999999
72.83,77.68,75.18
67.15,67.69,67.42
73.89,72.25,73.06
73.64,65.82000000000001,69.51
68.36,61.660000000000004,64.84
69.25,66.49000000000001,67.84
64.42,63.78,64.1
70.57,70.07,70.32000000000001
76.08,78.7,77.37
67.61,72.25,69.85
62.019999999999996,61.370000000000005,61.69
76.16000000000001,73.64,74.88
74.35000000000001,63.53,68.51
70.83,70.27,70.55
