bleu,p,bp,lr,rl,pl
0.0,,0.9867551618071956,0.9868421052631579,76,75
0.0,,1.0,1.8888888888888888,36,68
0.0,,0.6001124060641446,0.6619718309859155,71,47
0.0,,1.0,1.0,47,47
0.0,,1.0,1.1951219512195121,41,49
0.0,,1.0,1.0163934426229508,61,62
0.0,,0.27170718914656716,0.4342105263157895,76,33
0.0943,,1.0,4.411764705882353,17,75
0.0,,1.0,3.0,24,72
0.0683,,1.0,1.1475409836065573,61,70
0.0,,0.14044168033518067,0.3375,80,27
0.0,,1.0,1.032258064516129,62,64
0.1712,,0.8564754905352794,0.8658536585365854,82,71
0.0,,0.8735978499475631,0.8809523809523809,42,37
0.027,,0.2158150833986898,0.39473684210526316,76,30
0.0,,1.0,1.0338983050847457,59,61
0.0,,1.0,1.275,40,51
0.0,,0.4155930342986796,0.5324675324675324,77,41
0.0,,0.3867410234545011,0.5128205128205128,78,40
0.0,,0.5852511043074123,0.6511627906976745,43,28
0.0,,0.7282774645811022,0.7592592592592593,54,41
0.2662,,1.0,1.2222222222222223,27,33
0.0,,1.0,1.1363636363636365,44,50
0.0,,0.6303131865967199,0.6842105263157895,76,52
0.0,,0.15987974607969396,0.35294117647058826,68,24
0.0,,0.9221189220143738,0.925,80,74
0.441,,0.9017226623630116,0.90625,32,29
0.2271,,1.0,2.0526315789473686,19,39
0.0654,,0.7535055706393545,0.7794117647058824,68,53
0.0,,0.9714305430681085,0.971830985915493,71,69
0.0,,0.09697196786440505,0.3,60,18
0.0,,1.0,1.3392857142857142,56,75
0.0,,1.0,1.0133333333333334,75,76
0.1254,,1.0,1.2553191489361701,47,59
0.061,,0.9847331232494917,0.9848484848484849,66,65
0.0,,0.970590386975144,0.9710144927536232,69,67
0.0,,1.0,2.433333333333333,30,73
0.0,,0.019671754996539097,0.2028985507246377,69,14
0.0,,1.0,1.1159420289855073,69,77
0.0,,0.35286608145884896,0.4897959183673469,49,24
0.0,,1.0,1.125,32,36
0.1519,,0.6642538428642955,0.7096774193548387,31,22
0.0293,,0.07495187103951048,0.27848101265822783,79,22
0.0,,0.7165313105737893,0.75,52,39
0.0,,0.6347364189402819,0.6875,80,55
0.1857,,0.5836454781435741,0.65,60,39
0.0,,1.0,1.2542372881355932,59,74
0.0,,0.010220770217146315,0.1791044776119403,67,12
0.0,,1.0,1.441860465116279,43,62
0.0,,0.026347980814448748,0.21568627450980393,51,11
0.0,,1.0,1.290909090909091,55,71
0.1038,,0.6731188730678771,0.7164179104477612,67,48
0.0,,0.613017557134322,0.6714285714285714,70,47
0.2662,,1.0,1.0875,80,87
0.0261,,0.1572371663136276,0.3508771929824561,57,20
0.0,,1.0,1.0793650793650793,63,68
0.0,,0.41820025936468097,0.5342465753424658,73,39
0.0327,,0.38776010329632493,0.5135135135135135,74,38
0.0,,1.0,1.5813953488372092,43,68
0.0,,0.22313016014842982,0.4,70,28
0.0704,,1.0,2.0,23,46
0.0505,,1.0,1.0923076923076922,65,71
0.0,,0.9368637752000994,0.9387755102040817,49,46
0.2391,,1.0,1.0945945945945945,74,81
0.0,,0.6303131865967199,0.6842105263157895,57,39
0.0,,0.9048374180359595,0.9090909090909091,77,70
0.0,,1.0,1.9655172413793103,29,57
0.1635,,0.8948393168143697,0.9,80,72
0.0,,1.0,1.3611111111111112,36,49
0.0,,0.8915853592544761,0.8970588235294118,68,61
0.0917,,0.2635971381157267,0.42857142857142855,35,15
0.0174,,0.08031979860620057,0.2839506172839506,81,23
0.0,,1.0,1.489795918367347,49,73
0.0,,1.0,1.52,25,38
0.6057,,0.6703200460356393,0.7142857142857143,14,10
0.0694,,0.2980403747876627,0.4523809523809524,42,19
0.0,,1.0,2.21875,32,71
0.2089,,0.45942582403592663,0.5625,48,27
0.0,,1.0,1.8484848484848484,33,61
0.0,,0.5413786357843793,0.6197183098591549,71,44
0.0,,1.0,1.7297297297297298,37,64
0.0,,1.0,1.7674418604651163,43,76
0.0,,0.9534969548334766,0.9545454545454546,22,21
0.0,,0.732365619274587,0.7625,80,61
0.0,,0.8824969025845955,0.8888888888888888,63,56
0.0,,0.5379444375946745,0.6172839506172839,81,50
0.1086,,1.0,1.0,57,57
0.2021,,0.7822240777169769,0.8028169014084507,71,57
0.0,,1.0,1.2972972972972974,37,48
0.0,,0.36787944117144233,0.5,62,31
0.0,,1.0,1.0909090909090908,77,84
0.0486,,1.0,1.4827586206896552,58,86
0.0,,0.29352089445137713,0.4492753623188406,69,31
0.0,,0.20873982339007965,0.38961038961038963,77,30
0.0,,0.571209063848815,0.6410256410256411,78,50
0.0,,0.25401286329038647,0.421875,64,27
0.0491,,1.0,1.1076923076923078,65,72
0.0,,1.0,1.1864406779661016,59,70
0.0,,0.940316779013957,0.9420289855072463,69,65
0.0,,1.0,1.0952380952380953,63,69
0.0,,1.0,1.2741935483870968,62,79
0.0,,0.628062070470208,0.6825396825396826,63,43
0.0,,0.8809445777387952,0.8875,80,71
0.169,,1.0,1.3529411764705883,34,46
0.0,,1.0,1.1864406779661016,59,70
0.0,,1.0,3.1666666666666665,24,76
0.0,,1.0,1.6511627906976745,43,71
0.0,,0.9872613198683275,0.9873417721518988,79,78
0.0,,0.5807248229785978,0.647887323943662,71,46
0.0,,1.0,1.2619047619047619,42,53
0.0,,1.0,1.0434782608695652,69,72
0.0529,,1.0,1.1754385964912282,57,67
0.0,,0.3368103407595027,0.4788732394366197,71,34
0.0554,,0.9574533680683809,0.9583333333333334,72,69
0.0,,0.22763768838381274,0.4032258064516129,62,25
0.0,,0.7887639842935104,0.8082191780821918,73,59
0.0,,0.6183075876067514,0.6753246753246753,77,52
0.0,,1.0,3.0833333333333335,24,74
0.151,,0.5272924240430485,0.6097560975609756,41,25
0.0355,,1.0,2.5806451612903225,31,80
0.0428,,0.3419226518405891,0.4823529411764706,85,41
0.131,,1.0,2.35,20,47
0.1829,,0.9534969548334766,0.9545454545454546,66,63
0.0,,0.7490954336047507,0.7758620689655172,58,45
0.0,,0.6858823411481161,0.7261904761904762,84,61
0.0,,0.678578505408009,0.7205882352941176,68,49
0.0,,0.33287108369807955,0.47619047619047616,63,30
0.0,,1.0,1.0441176470588236,68,71
0.0,,1.0,1.0,77,77
0.0,,1.0,1.0634920634920635,63,67
0.1147,,1.0,1.0138888888888888,72,73
0.0,,0.2635971381157267,0.42857142857142855,56,24
0.0,,1.0,2.769230769230769,26,72
0.0,,0.7331940870813974,0.7631578947368421,38,29
0.0,,0.4138080991773701,0.53125,64,34
0.0,,1.0,1.2058823529411764,68,82
0.0,,1.0,1.0135135135135136,74,75
0.0357,,0.1664428206145948,0.35802469135802467,81,29
0.0,,0.9248488132162048,0.927536231884058,69,64
0.2237,,0.31890655732397044,0.4666666666666667,60,28
0.0,,0.9562115350803678,0.9571428571428572,70,67
0.0,,1.0,1.0909090909090908,66,72
0.0,,0.9310627797040228,0.9333333333333333,75,70
0.0,,0.7475836370778213,0.7746478873239436,71,55
0.0,,0.9329119603871474,0.935064935064935,77,72
0.0,,0.48629967369974275,0.581081081081081,74,43
0.0,,0.5824333384381947,0.6491228070175439,57,37
0.3016,,1.0,1.1475409836065573,61,70
0.0,,0.08921851740926008,0.2926829268292683,82,24
0.0334,,0.36787944117144233,0.5,76,38
0.0,,0.8131037598190377,0.8285714285714286,70,58
0.0,,0.6962343500239326,0.7341772151898734,79,58
0.0,,0.5544694381597404,0.6290322580645161,62,39
0.0,,1.0,1.7272727272727273,44,76
0.0,,0.41913374169932255,0.5348837209302325,43,23
0.0,,0.9270409165125936,0.9295774647887324,71,66
0.0,,0.973685749353145,0.974025974025974,77,75
0.0,,1.0,2.0416666666666665,24,49
0.0,,0.7710515858035663,0.7936507936507936,63,50
0.0,,1.0,1.5490196078431373,51,79
0.0,,1.0,1.0789473684210527,76,82
0.0621,,0.6790253796134038,0.7209302325581395,86,62
0.0,,1.0,1.28,25,32
0.0,,1.0,1.510204081632653,49,74
0.0,,0.22675821354279926,0.4025974025974026,77,31
0.0,,0.46725993731190474,0.5679012345679012,81,46
0.068,,1.0,1.162162162162162,74,86
0.0,,0.7341140293536103,0.7638888888888888,72,55
0.0,,1.0,1.9210526315789473,38,73
0.0,,0.26644680930115217,0.4305555555555556,72,31
0.1007,,1.0,1.1451612903225807,62,71
0.0,,0.9750013184817767,0.9753086419753086,81,79
0.0,,0.2865047968601901,0.4444444444444444,81,36
0.0,,1.0,1.825,40,73
0.0,,0.9131007162822622,0.9166666666666666,72,66
0.0,,1.0,1.1886792452830188,53,63
0.0,,1.0,1.109375,64,71
0.0161,,0.07243975703425146,0.27586206896551724,87,24
0.0,,0.36787944117144233,0.5,64,32
0.0,,1.0,1.8780487804878048,41,77
0.1319,,1.0,1.0273972602739727,73,75
0.0,,0.11532512103806256,0.31645569620253167,79,25
0.6269,,1.0,1.0277777777777777,36,37
0.0,,0.07065121306042957,0.273972602739726,73,20
0.0,,0.8594048608885094,0.868421052631579,76,66
0.375,,0.9200444146293233,0.9230769230769231,26,24
0.1211,,1.0,2.2058823529411766,34,75
0.4823,,1.0,1.1724137931034482,29,34
0.0,,0.9636404443012863,0.9642857142857143,56,54
0.0,,1.0,1.0533333333333332,75,79
0.0,,1.0,1.1864406779661016,59,70
0.0,,0.8777137332821822,0.8846153846153846,78,69
0.0,,1.0,1.3220338983050848,59,78
0.0,,0.024914440787632726,0.21311475409836064,61,13
0.0682,,1.0,1.0405405405405406,74,77
0.0,,0.9300994453050568,0.9324324324324325,74,69
0.0,,1.0,1.1538461538461537,52,60
0.0,,0.6334832378691003,0.6865671641791045,67,46
0.0,,0.46619191506357016,0.5671641791044776,67,38
0.0,,1.0,1.0769230769230769,65,70
0.0,,0.7351414805916845,0.7647058823529411,68,52
0.0,,0.47862297251123215,0.5757575757575758,66,38
0.0,,0.9858158423524047,0.9859154929577465,71,70
0.2743,,1.0,1.1176470588235294,34,38
0.1994,,0.846481724890614,0.8571428571428571,35,30
0.0543,,0.6726354843108723,0.7160493827160493,81,58
0.0,,0.23021307174736147,0.4050632911392405,79,32
0.0397,,0.4308026151974351,0.5428571428571428,70,38
0.061,,0.28232231990699064,0.44155844155844154,77,34
0.0,,0.7376042638218265,0.7666666666666667,60,46
0.0504,,0.5209121273117441,0.6052631578947368,76,46
0.2467,,0.6474053920839111,0.696969696969697,33,23
0.1162,,0.2557291599131006,0.4230769230769231,52,22
0.0,,0.3175694248747441,0.4657534246575342,73,34
0.0,,0.8539396656235351,0.8636363636363636,66,57
0.0861,,1.0,2.2758620689655173,29,66
0.0,,0.8686238768035502,0.8765432098765432,81,71
0.0,,0.6466840491033322,0.6964285714285714,56,39
0.3833,,1.0,1.0,32,32
0.1451,,0.9534969548334766,0.9545454545454546,44,42
0.0,,0.09845242738508421,0.3013698630136986,73,22
0.0,,0.6382791246654352,0.6901408450704225,71,49
0.0786,,1.0,1.0410958904109588,73,76
0.0424,,0.11532512103806256,0.31645569620253167,79,25
0.0,,0.9225209795279595,0.9253731343283582,67,62
0.0977,,1.0,1.0389610389610389,77,80
0.0,,1.0,1.8888888888888888,27,51
0.0,,0.925961078642316,0.9285714285714286,70,65
0.0,,0.9007949642325722,0.9054054054054054,74,67
0.0,,0.8022468037952936,0.8194444444444444,72,59
0.0,,1.0,5.909090909090909,11,65
0.0,,1.0,1.9444444444444444,18,35
0.0,,1.0,1.1304347826086956,69,78
0.0,,1.0,1.0819672131147542,61,66
0.0,,0.8896891767303647,0.8953488372093024,86,77
0.1304,,0.8929653084595646,0.8983050847457628,59,53
0.0686,,1.0,1.7,40,68
0.0,,1.0,2.6538461538461537,26,69
0.0,,0.8360185496124651,0.8481012658227848,79,67
0.0,,0.9682566771439106,0.96875,64,62
0.0,,1.0,1.3333333333333333,6,8
0.0,,0.9729746405665401,0.9733333333333334,75,73
0.0,,0.17171747122199255,0.3620689655172414,58,21
0.0,,0.7860453895188959,0.8059701492537313,67,54
0.0,,0.17090171280152483,0.3614457831325301,83,30
0.0528,,0.536750332785653,0.6164383561643836,73,45
0.1941,,0.35721702644162273,0.4927536231884058,69,34
0.0888,,0.6065306597126334,0.6666666666666666,63,42
0.0,,1.0,1.0303030303030303,66,68
0.0,,0.18887560283756186,0.375,72,27
0.0,,0.9862071167439163,0.9863013698630136,73,72
0.0,,1.0,4.0,18,72
0.0,,0.5317515301305707,0.6129032258064516,62,38
0.0,,0.6065306597126334,0.6666666666666666,33,22
0.0585,,0.22313016014842982,0.4,75,30
