r1_p,r1_r,r1_f,r2_p,r2_r,r2_f,rL_p,rL_r,rL_f
24.0,26.87,25.35,2.7,3.0300000000000002,2.86,13.33,14.93,14.08
16.18,35.480000000000004,22.220000000000002,4.4799999999999995,10.0,6.1899999999999995,13.239999999999998,29.03,18.18
18.42,10.14,13.08,0.0,0.0,0.0,13.16,7.249999999999999,9.35
25.0,27.500000000000004,26.19,6.98,7.6899999999999995,7.32,22.73,25.0,23.810000000000002
19.57,28.12,23.080000000000002,2.22,3.2300000000000004,2.63,15.22,21.88,17.95
20.69,20.34,20.51,0.0,0.0,0.0,10.34,10.17,10.26
41.18,18.67,25.69,6.0600000000000005,2.7,3.74,23.53,10.67,14.680000000000001
12.120000000000001,66.67,20.51,7.6899999999999995,45.45,13.16,12.120000000000001,66.67,20.51
16.18,42.309999999999995,23.400000000000002,2.9899999999999998,8.0,4.35,14.71,38.46,21.279999999999998
10.91,10.71,10.81,3.6999999999999997,3.64,3.6700000000000004,7.2700000000000005,7.140000000000001,7.21
50.0,16.0,24.240000000000002,8.7,2.7,4.12,33.33,10.67,16.16
17.86,18.87,18.35,1.82,1.92,1.87,16.07,16.98,16.509999999999998
63.01,56.10000000000001,59.35,30.56,27.16,28.76,42.47,37.8,40.0
29.409999999999997,28.57,28.99,6.0600000000000005,5.88,5.970000000000001,20.59,20.0,20.29
42.86,12.68,19.57,10.0,2.86,4.44,38.1,11.27,17.39
25.0,22.45,23.66,2.33,2.08,2.1999999999999997,15.909999999999998,14.29,15.049999999999999
17.02,22.86,19.509999999999998,2.17,2.94,2.5,12.770000000000001,17.14,14.63
34.150000000000006,19.439999999999998,24.779999999999998,7.5,4.2299999999999995,5.41,26.83,15.28,19.470000000000002
41.03,20.78,27.589999999999996,10.530000000000001,5.26,7.02,25.64,12.989999999999998,17.24
28.57,21.62,24.62,3.6999999999999997,2.78,3.17,25.0,18.92,21.54
41.18,26.419999999999998,32.18,15.15,9.62,11.76,32.35,20.75,25.290000000000003
41.67,55.559999999999995,47.620000000000005,26.090000000000003,35.29,30.0,41.67,55.559999999999995,47.620000000000005
13.16,11.63,12.35,0.0,0.0,0.0,10.530000000000001,9.3,9.879999999999999
8.51,5.71,6.84,0.0,0.0,0.0,6.38,4.29,5.13
19.23,7.6899999999999995,10.99,4.0,1.5599999999999998,2.25,19.23,7.6899999999999995,10.99
30.14,28.57,29.330000000000002,5.56,5.26,5.41,17.810000000000002,16.88,17.330000000000002
66.67,55.169999999999995,60.38,43.480000000000004,35.709999999999994,39.22,62.5,51.72,56.599999999999994
30.3,66.67,41.67,21.88,50.0,30.43,30.3,66.67,41.67
25.0,19.67,22.02,8.51,6.67,7.48,22.919999999999998,18.029999999999998,20.18
20.97,18.310000000000002,19.55,1.6400000000000001,1.43,1.53,14.52,12.68,13.530000000000001
43.75,16.28,23.73,6.67,2.3800000000000003,3.51,31.25,11.63,16.950000000000003
14.08,18.18,15.870000000000001,0.0,0.0,0.0,9.86,12.73,11.110000000000001
17.14,16.220000000000002,16.669999999999998,1.4500000000000002,1.37,1.41,10.0,9.46,9.719999999999999
22.41,23.64,23.01,5.26,5.56,5.41,20.69,21.82,21.240000000000002
23.21,21.67,22.41,5.45,5.08,5.26,8.93,8.33,8.62
19.67,18.18,18.9,3.3300000000000005,3.08,3.2,13.11,12.120000000000001,12.6
8.0,23.080000000000002,11.88,0.0,0.0,0.0,6.67,19.23,9.9
46.67,10.290000000000001,16.869999999999997,0.0,0.0,0.0,33.33,7.35,12.049999999999999
20.369999999999997,16.669999999999998,18.33,5.66,4.62,5.08,16.669999999999998,13.639999999999999,15.0
13.04,6.98,9.09,0.0,0.0,0.0,4.35,2.33,3.0300000000000002
