reference,system
"unter ionenwind versteht man einen gerichteten fluss von ionen, also eine art der ionenstrahlung. erzeugt wird er durch eine gasentladung, die von einer an positiver hochspannung liegenden elektrode ( meist spitz geformt, was eine sehr starke inhomogenität des elektrischen feldes mit sich bringt ) ausgeht. die ionisation erfolgt durch entzug von elektronen. die so erzeugten positiv geladenen ionen werden dann von dieser elektrode ( anode ) weg entlang des feldgradienten","ionenwind ist eine form des elektrischen windes, die durch fotosynthese von ionengebilden in der nähe von himmelskörpern hervorgerufen wird. es kommt dort zur konzentration von elektrisch geladenen teilchen ( ionen ) und in geringerem maße auch zur fließgeschwindigkeit der ionen. charakteristisch für den ionenwind ist, dass die von den atomen ausgesandte elektrische ladung der ionen wesentlich weniger häufig auftritt als die auf ladungen der anderen teilchen. durch die ähnliche stärke"
"horror vacui ( lat. scheu vor der leere ) bezeichnet in der kunst den wunsch, alle leeren flächen, besonders in der malerei und im relief, mit darstellungen oder ornamenten zu füllen.","der begriff horror-vakui ( englisch horror vacui ) bezeichnet eine stilrichtung der bildenden kunst, die sich durch eine ungewöhnliche, dramatisch-romantische oder epischen verknüpfung auszeichnet. horror-vakui-formen sind relativ selten in der bildenden kunst zu finden, da sie häufig durch geometrische gestaltungen, ornamente oder physikalische vorgänge ersetzt werden. sie werden in der bildenden kunst häufig durch akzente der geometrie oder der psychoanalyse ersetzt."
"bei der kryptosporidiose handelt es sich um eine durchfallerkrankung durch die zu den apicomplexa gehörenden kryptosporidien. bei menschen mit zellulärer immunschwäche ( z. b. aids ) tritt diese sonst seltene erkrankung gehäuft auf. die übertragung erfolgt als orale infektion durch die aufnahme infizierter speisen oder infizierten trinkwassers. eine infektion über infizierte haus- und nutztiere, sowie von mensch zu mensch ist möglich. die betroffenen leiden unter wä","die kryptosporidis, auch bekannt als schleierpest, ist eine durch cryptosporidium hervorgerufene infektionskrankheit. die infektionskrankheit wird durch ein parasitisch lebendes wirbeltier, das cryptosporidium, hervorgerufen. dieses wirbeltier, das cryptosporidium parvum, ist nach dem erstbeschreiber des erregers c. h. cryptosporidiosis benannt."
"wonder woman ist einer der ältesten superhelden ( und die erste superheldin ) des dc-comics-verlags. sie wurde von william moulton marston und seiner frau, elizabeth holloway marston ( sadie ), geschaffen und hatte ihren ersten auftritt 1941 in all star comics # 8.","die wonder woman ist eine comicfigur aus der us-amerikanischen verlage cgi, die von william marston entworfen wurde und in den 1940er jahren verfasst wurde. der name wonder woman hat dabei die anzahl aller figuren in der vergangenheit bezeichnet, die als wunderfrau dargestellt wurden."
"dieser artikel beschreibt die grammatik der georgischen sprache ( eigenbezeichnung : [ kartuli ena ] ქართული ენა ). die grammatik des georgischen und der anderen sogenannten kaukasischen sprachen ist so umfangreich, dass hier keineswegs alle einzelheiten aufgeführt sind.","die georgische grammatik ist eine morphosyntaktische sprache, in der die verschiedenen kasus ( kasus ) von pronomen auf ihre eigenschaftseigenschaft bezogen werden. dies wird insbesondere gelehrt zwischen der kasus-verb-struktur ( mit konsonanten außerhalb des kasus ) und der kasus-verb-struktur ( mit konsonanten außerhalb des kasus )."
"ein zwiebelturm ist ein turm mit einer zwiebelhaube oder einem zwiebelhelm, z. b. ein kirchturm, dessen spitze in form einer zwiebel gearbeitet ist. der untere teil der spitze ist bauchig und läuft nach oben spitz zusammen, vergleichbar mit den kirchtürmen der moskauer basilius-kathedrale. neben runden bauformen werden auch türme mit eckigen turmhauben als zwiebelturm bezeichnet.","mit dem begriff oniondom wird in der russischen architektur seit dem 13. jahrhundert eine darstellung von häusern oder kapellen mit aufionen bezeichnet. domes ( von lateinisch onion „ eimer “ ) sind kleine, gewölbte erdgeschosse mit scharnieren. sie wurden als symbolträchtiges element der architektur und ornamentalen elemente alle in der für kirchenbauten typischen form von kirchenbauten russlands angesehen."
"als partikelschwarmoptimierung ( pso ) wird ein naturanaloges optimierungsverfahren bezeichnet, das nach dem vorbild des biologischen schwarmverhaltens eine lösung für ein optimierungsproblem sucht. analog zum natürlichen phänomen wird eine population von lösungskandidaten durch den suchraum bewegt, um eine gute lösung für das problem zu erhalten. in jedem rechenschritt wird dazu die position jedes individuums neu berechnet. die pso ist eine metaheuristik, sie wurde 1995 von james kennedy und russell e",der pso-algorithmus ist ein algorithmus zur lösung nichtlinearer partiellen optimierungsprobleme. er wurde ende der 1990er jahre von kennedy und team optimo entwickelt und wird in der literatur auch als pso-algorithmus bezeichnet.
"james rumbaugh ( * 22. august 1947 in bethlehem, pennsylvania ) ist ein amerikanischer informatiker.","stephen rumbaugh ( * 13. juli 1934 in bethlehem, pennsylvania ) ist ein us-amerikanischer informatiker, der sich mit software-entwicklung, datenflusscomputern und speziell objektorientierter programmierung befasst. rumbaugh studierte physik am massachusetts institute of technology mit dem bachelor-abschluss 1963 und wurde 1965 bei jack dennis an der university of california, berkeley, promoviert ( parallel programming languages and data structures ). danach war er 1968 bis 1994 am general electric research"
das archaeological institute of america ( aia ) ist eine us-amerikanische non-profit-organisation zur förderung der archäologie mit sitz in boston und new york.,das american institute of archology and experimental archeology ( aia ; deutsch : internationales arche- und wissenschaftliches institut ) ist ein 1954 gegründetes forschungsinstitut für archäologie und erforschung der indianischen archäologie. das institut ist eines der hauptsponsoren der forschung des instituts. es erhält – neben dem smithsonian institute of archeology und dem california institute of oceanography and molecular archeology – die amerikanische national medal for archaeology and experimental archeology.
"hirnventrikel sind mit hirnwasser ( liquor cerebrospinalis ) gefüllte hohlräume im gehirn. sie bilden, zusammen mit dem rückenmarkskanal ( canalis centralis medullaris ), den inneren liquorraum. das gehirn weist je einen seitenventrikel in jeder großhirnhemisphäre auf, einen dritten ventrikel im zwischenhirn und den vierten ventrikel im rhombencephalon. diese vier hirnventrikel stehen durch löcher ( foram","die arteria ventralis ( lat. „ kammer des gehirns “ ) ist eine platte des gehirns, die sich hinter dem aufbau der schädelhöhle ( fovea ), der unteren schädelgrube ( fovea inferior ) und dem mittleren ventrikel ( canalis centralis medullaris ) erstreckt. die arteria ventralis ist teil des aufrechtes ( pedunculus lateralis ) hirnventrikels ( nervus opticus ). als brücke bezeichnet die arteria vent"
