bs_p,bs_r,bs_f
73.64,72.19,72.91
66.79,68.62,67.69
69.35,67.32000000000001,68.32000000000001
67.88,68.89999999999999,68.38
67.55,70.35,68.92
64.03999999999999,62.79,63.41
67.55,65.38000000000001,66.45
65.27,85.61999999999999,74.07000000000001
73.94,73.22999999999999,73.58
72.23,73.46000000000001,72.84
69.08999999999999,64.55,66.74
67.07,66.9,66.97999999999999
77.64999999999999,76.33,76.98
68.69,69.25,68.97
68.64,63.61,66.03
68.43,64.48,66.4
70.58,70.24000000000001,70.41
71.00999999999999,66.56,68.71000000000001
70.25,65.63,67.86
70.8,68.60000000000001,69.67999999999999
74.58,74.35000000000001,74.46000000000001
75.96000000000001,85.8,80.58
67.78999999999999,71.44,69.57
69.95,69.57,69.76
69.96,62.370000000000005,65.95
69.78999999999999,69.39,69.59
82.05,83.02000000000001,82.53
75.73,85.57000000000001,80.35
79.17,66.53999999999999,72.31
65.36999999999999,66.16,65.75999999999999
73.72,62.03999999999999,67.38
66.91,68.17,67.53
63.72,62.980000000000004,63.349999999999994
77.01,71.75,74.28
61.27,62.7,61.980000000000004
69.62,67.38,68.47999999999999
66.14999999999999,70.38,68.2
71.07,66.49000000000001,68.71000000000001
70.39999999999999,64.99000000000001,67.58999999999999
68.13,66.95,67.53
75.14999999999999,72.52,73.81
69.01,70.17,69.59
84.6,84.28,84.44
68.61,69.33,68.97
74.94,72.77,73.83999999999999
76.44999999999999,77.3,76.88000000000001
75.53,70.19999999999999,72.76
72.36,71.91,72.14
65.52,64.55,65.03
61.760000000000005,62.0,61.88
64.11,65.21000000000001,64.66
73.3,65.99000000000001,69.45
70.92,64.41,67.51
77.72,76.1,76.91
70.1,67.05,68.54
72.07000000000001,70.55,71.3
71.32,62.949999999999996,66.86999999999999
69.99,64.62,67.2
68.42,71.7,70.02000000000001
72.96000000000001,73.33,73.14
67.66,75.25,71.26
67.16,60.36,63.580000000000005
68.41000000000001,62.370000000000005,65.25
82.49,81.21000000000001,81.85
69.47,63.160000000000004,66.16
71.00999999999999,69.55,70.27
63.29,62.470000000000006,62.88
73.48,69.92,71.65
70.32000000000001,70.65,70.49
67.64,66.36999999999999,67.0
79.32000000000001,69.69,74.2
78.92,65.81,71.77
68.91000000000001,72.63,70.72
84.34,80.33,82.28999999999999
98.66,89.49000000000001,93.85
79.29,73.91,76.51
63.9,65.63,64.75999999999999
75.08,72.43,73.72999999999999
66.42,68.31,67.35
67.41,65.21000000000001,66.29
71.00999999999999,70.32000000000001,70.66
64.37,64.09,64.23
68.19,62.239999999999995,65.08
64.17,65.85,65.0
70.09,68.46,69.27
71.34,70.73,71.03
77.08,71.33,74.1
80.77,79.41,80.08
71.96000000000001,74.3,73.11
68.27,66.03,67.13
70.38,67.38,68.85
69.44,66.95,68.17
68.01,67.95,67.97999999999999
65.64,66.51,66.07
71.44,68.45,69.91000000000001
78.91,74.65,76.72
72.42,69.01,70.67
69.32000000000001,68.2,68.76
73.86,69.08999999999999,71.39
73.05,69.17999999999999,71.06
69.66,69.44,69.55
71.52,62.72,66.83
72.33000000000001,72.38,72.35000000000001
87.69,84.72,86.18
62.73,60.42999999999999,61.56
66.19,69.59,67.85
72.14,76.42999999999999,74.22
62.260000000000005,60.74,61.49
64.14,64.23,64.19
69.12,70.73,69.91000000000001
69.88,66.32000000000001,68.05
70.32000000000001,68.05,69.17
71.32,69.36,70.33
65.3,66.49000000000001,65.89
66.53999999999999,60.56,63.41
63.660000000000004,62.260000000000005,62.949999999999996
67.16,61.3,64.09
73.76,71.85000000000001,72.78999999999999
77.36,82.49,79.84
85.50999999999999,81.89999999999999,83.67
77.39,65.18,70.76
72.08,79.61,75.66000000000001
73.26,68.91000000000001,71.02000000000001
72.75,68.87,70.76
65.42,68.58,66.96
64.84,55.910000000000004,60.050000000000004
63.7,65.13,64.41
66.99000000000001,66.67,66.83
65.31,65.18,65.24
64.22,63.43,63.82
70.76,64.98,67.75
67.94,63.42,65.60000000000001
66.07,68.14,67.09
64.88000000000001,66.36999999999999,65.62
75.33999999999999,69.26,72.17
67.73,63.89,65.75
61.61,62.22,61.919999999999995
71.76,65.75,68.62
68.76,65.58,67.13
80.78,73.21,76.81
69.78,69.58,69.67999999999999
69.35,67.77,68.55
69.46,68.8,69.12
62.25000000000001,56.730000000000004,59.36
67.28,65.74,66.5
65.16,62.580000000000005,63.849999999999994
72.23,65.13,68.49
