bleu,p,bp,lr,rl,pl
0.0,,0.8743029329197535,0.881578947368421,76,67
0.0,,1.0,1.4166666666666667,36,51
0.0,,0.8807476526076742,0.8873239436619719,71,63
0.0,,1.0,1.6808510638297873,47,79
0.0,,1.0,1.7317073170731707,41,71
0.0,,0.33172522912172986,0.47540983606557374,61,29
0.0,,0.5763613863515786,0.6447368421052632,76,49
0.0991,,1.0,4.411764705882353,17,75
0.0,,1.0,1.0833333333333333,24,26
0.0,,1.0,1.2131147540983607,61,74
0.0,,0.6008355781872444,0.6625,80,53
0.0,,1.0,1.1290322580645162,62,70
0.1915,,1.0,1.0121951219512195,82,83
0.0,,1.0,1.0952380952380953,42,46
0.0,,0.19776226427407143,0.3815789473684211,76,29
0.0,,1.0,1.1355932203389831,59,67
0.1001,,1.0,1.05,40,42
0.066,,0.7370609089559301,0.7662337662337663,77,59
0.0,,0.3301830411614298,0.47435897435897434,78,37
0.0,,0.976471686652243,0.9767441860465116,43,42
0.0616,,1.0,1.1296296296296295,54,61
0.1568,,1.0,1.9259259259259258,27,52
0.0,,1.0,1.4545454545454546,44,64
0.0,,0.9733349348192527,0.9736842105263158,76,74
0.0,,0.0030275547453758153,0.14705882352941177,68,10
0.0,,0.8809445777387952,0.8875,80,71
0.3787,,1.0,1.15625,32,37
0.2333,,1.0,2.0,19,38
0.019,,0.07585380812713456,0.27941176470588236,68,19
0.0,,1.0,1.0140845070422535,71,72
0.0,,0.09697196786440505,0.3,60,18
0.0,,1.0,1.3035714285714286,56,73
0.0,,0.8108457669377431,0.8266666666666667,75,62
0.1565,,0.9565287391030294,0.9574468085106383,47,45
0.0,,0.7068486033780922,0.7424242424242424,66,49
0.0,,0.8272443414362913,0.8405797101449275,69,58
0.0,,1.0,2.3666666666666667,30,71
0.0,,0.11808345764159187,0.3188405797101449,69,22
0.0,,0.6648703197043959,0.7101449275362319,69,49
0.0,,0.5017490561548967,0.5918367346938775,49,29
0.0,,1.0,1.03125,32,33
0.1235,,1.0,1.3548387096774193,31,42
0.1991,,1.0,1.1265822784810127,79,89
0.0,,1.0,1.3653846153846154,52,71
0.0,,0.8526379285806472,0.8625,80,69
0.1028,,0.9661049965255963,0.9666666666666667,60,58
0.0,,0.62188505646502,0.6779661016949152,59,40
0.0,,1.0,1.1492537313432836,67,77
0.0,,1.0,1.1627906976744187,43,50
0.0,,1.0,1.588235294117647,51,81
0.0,,1.0,1.4181818181818182,55,78
0.0,,0.40080281159210923,0.5223880597014925,67,35
0.0,,0.4308026151974351,0.5428571428571428,70,38
0.3171,,0.9355069850316178,0.9375,80,75
0.0609,,0.7873121827816276,0.8070175438596491,57,46
0.0,,0.7903383629814982,0.8095238095238095,63,51
0.0,,0.2193160630518313,0.3972602739726027,73,29
0.0482,,0.8858460329277067,0.8918918918918919,74,66
0.0,,1.0,1.6511627906976745,43,71
0.0,,0.8299077923092969,0.8428571428571429,70,59
0.0407,,1.0,3.260869565217391,23,75
0.0,,0.3791979291581653,0.5076923076923077,65,33
0.0,,0.35286608145884896,0.4897959183673469,49,24
0.2114,,1.0,1.027027027027027,74,76
0.0,,0.07711171996831671,0.2807017543859649,57,16
0.0,,0.9602702338479381,0.961038961038961,77,74
0.0,,1.0,1.2413793103448276,29,36
0.1197,,0.8809445777387952,0.8875,80,71
0.0,,0.7855436050549208,0.8055555555555556,36,29
0.0,,0.6198604731563714,0.6764705882352942,68,46
0.1224,,0.3888955639892228,0.5142857142857142,35,18
0.0,,0.06843860713287278,0.2716049382716049,81,22
0.0,,1.0,1.469387755102041,49,72
0.0,,0.8725252928694237,0.88,25,22
0.6057,,0.6703200460356393,0.7142857142857143,14,10
0.0897,,0.573753420737433,0.6428571428571429,42,27
0.0,,1.0,1.84375,32,59
0.1118,,0.5193525113308977,0.6041666666666666,48,29
0.0,,1.0,2.121212121212121,33,70
0.0,,0.5807248229785978,0.647887323943662,71,46
0.0,,0.5817778142098083,0.6486486486486487,37,24
0.0,,1.0,1.8604651162790697,43,80
0.0,,0.5647181220077593,0.6363636363636364,22,14
0.0,,0.8809445777387952,0.8875,80,71
0.0,,0.7316156289466418,0.7619047619047619,63,48
0.0,,0.936327965220313,0.9382716049382716,81,76
0.0,,0.8290291181804004,0.8421052631578947,57,48
0.195,,0.6192992595476848,0.676056338028169,71,48
0.0,,0.8858460329277067,0.8918918918918919,37,33
0.0,,0.391605626676799,0.5161290322580645,62,32
0.0,,1.0,1.0909090909090908,77,84
0.0,,1.0,1.4482758620689655,58,84
0.0,,0.8607079764250577,0.8695652173913043,69,60
0.0,,0.7692839883795711,0.7922077922077922,77,61
0.0,,0.6582425370828381,0.7051282051282052,78,55
0.119,,0.6555883369077856,0.703125,64,45
0.0,,1.0,1.0615384615384615,65,69
0.0,,1.0,1.2203389830508475,59,72
0.0,,0.4843245689553625,0.5797101449275363,69,40
0.0,,1.0,1.0,63,63
0.0,,1.0,1.1129032258064515,62,69
0.0,,0.11648415777349691,0.31746031746031744,63,20
0.0441,,0.974684913708152,0.975,80,78
0.167,,0.8071177470053892,0.8235294117647058,34,28
0.0,,1.0,1.1864406779661016,59,70
0.0,,1.0,1.75,24,42
0.0,,1.0,1.1162790697674418,43,48
0.0,,0.46974957024142655,0.569620253164557,79,45
0.0,,1.0,1.0,71,71
0.0,,1.0,1.6666666666666667,42,70
0.0,,0.6065306597126334,0.6666666666666666,69,46
0.0,,1.0,1.2105263157894737,57,69
0.0,,0.6570468198150566,0.704225352112676,71,50
0.0,,1.0,1.0,72,72
0.0,,1.0,1.064516129032258,62,66
0.0,,0.2579889022095307,0.4246575342465753,73,31
0.0,,0.15694625582071361,0.35064935064935066,77,27
0.0,,0.6624801353939264,0.7083333333333334,24,17
0.1488,,1.0,1.146341463414634,41,47
0.2085,,0.8623033568332588,0.8709677419354839,31,27
0.0172,,0.07873506526686186,0.2823529411764706,85,24
0.0764,,1.0,1.85,20,37
0.0,,0.47862297251123215,0.5757575757575758,66,38
0.0,,0.7490954336047507,0.7758620689655172,58,45
0.0,,0.9386701501888537,0.9404761904761905,84,79
0.0,,0.03877420783172201,0.23529411764705882,68,16
0.0,,1.0,1.2857142857142858,63,81
0.0,,1.0,1.0147058823529411,68,69
0.0,,0.973685749353145,0.974025974025974,77,75
0.0,,1.0,1.0793650793650793,63,68
0.0,,0.8824969025845955,0.8888888888888888,72,64
0.0,,0.8046150583253528,0.8214285714285714,56,46
0.0,,1.0,2.4615384615384617,26,64
0.0,,1.0,1.7105263157894737,38,65
0.0,,0.5706520584674752,0.640625,64,41
0.0,,0.5795782787848095,0.6470588235294118,68,44
0.0,,1.0,1.0405405405405406,74,77
0.0494,,0.2686661591176363,0.43209876543209874,81,35
0.0,,0.6065306597126334,0.6666666666666666,69,46
0.2088,,0.6514390575310556,0.7,60,42
0.0,,0.9710165517924371,0.9714285714285714,70,68
0.0,,0.8187307530779819,0.8333333333333334,66,55
0.0,,0.8874500995480715,0.8933333333333333,75,67
0.0,,0.7650170614485746,0.7887323943661971,71,56
0.0,,0.5097101523861796,0.5974025974025974,77,46
0.0,,0.1753904336472861,0.36486486486486486,74,27
0.0,,0.2780373004531941,0.43859649122807015,57,25
0.2905,,1.0,1.1639344262295082,61,71
0.0,,0.08921851740926008,0.2926829268292683,82,24
0.0,,0.011931522535756143,0.18421052631578946,76,14
0.0,,0.9411939401248326,0.9428571428571428,70,66
0.0,,0.6797943776961672,0.7215189873417721,79,57
0.0,,1.0,1.0483870967741935,62,65
0.0,,0.7165313105737893,0.75,44,33
0.0,,0.6790253796134038,0.7209302325581395,43,31
0.0,,0.9420456992885599,0.9436619718309859,71,67
0.0,,0.37743422104673674,0.5064935064935064,77,39
0.0,,1.0,2.375,24,57
0.0,,1.0,1.0,63,63
0.0,,0.9600054412854777,0.9607843137254902,51,49
0.0,,1.0,1.0657894736842106,76,81
0.0,,0.28275968979620325,0.4418604651162791,86,38
0.0,,1.0,2.04,25,51
0.0,,1.0,1.4285714285714286,49,70
0.0,,1.0,1.0389610389610389,77,80
0.0821,,1.0,1.0,81,81
0.0,,0.9444591369948698,0.9459459459459459,74,70
0.0,,0.9131007162822622,0.9166666666666666,72,66
0.0,,1.0,1.1842105263157894,38,45
0.0,,0.9131007162822622,0.9166666666666666,72,66
0.0,,1.0,1.1290322580645162,62,70
0.0,,0.9493781839091318,0.9506172839506173,81,77
0.0,,0.4313182376556035,0.5432098765432098,81,44
0.0,,1.0,2.075,40,83
0.0728,,0.7341140293536103,0.7638888888888888,72,55
0.0,,0.3539988768967174,0.49056603773584906,53,26
0.0,,1.0,1.140625,64,73
0.0077,,0.0216373707194931,0.20689655172413793,87,18
0.0,,1.0,1.015625,64,65
0.0,,1.0,1.4634146341463414,41,60
0.0846,,0.41820025936468097,0.5342465753424658,73,39
0.0,,0.6797943776961672,0.7215189873417721,79,57
0.5691,,1.0,1.0277777777777777,36,37
0.0,,0.18200816983606136,0.3698630136986301,73,27
0.0,,1.0,1.0526315789473684,76,80
0.1561,,1.0,1.1923076923076923,26,31
0.1741,,1.0,1.7647058823529411,34,60
0.4651,,1.0,1.0689655172413792,29,31
0.0,,0.5235834657149969,0.6071428571428571,56,34
0.0,,0.22313016014842982,0.4,75,30
0.0,,1.0,1.1694915254237288,59,69
0.0,,0.8485900219960868,0.8589743589743589,78,67
0.0,,1.0,1.2203389830508475,59,72
0.0,,0.046576150222383435,0.2459016393442623,61,15
0.073,,1.0,1.0,74,74
0.0,,0.8080634033085272,0.8243243243243243,74,61
0.0694,,1.0,1.3269230769230769,52,69
0.0,,0.6133074684824951,0.6716417910447762,67,45
0.0,,0.9542066659691884,0.9552238805970149,67,64
0.0,,0.9844964370054085,0.9846153846153847,65,64
0.0,,0.21903614469412785,0.39705882352941174,68,27
0.0,,0.4124194827001578,0.5303030303030303,66,35
0.0,,0.7650170614485746,0.7887323943661971,71,56
0.3223,,0.8751733190429475,0.8823529411764706,34,30
0.2005,,0.7788007830714049,0.8,35,28
0.0,,0.1064585043792528,0.30864197530864196,81,25
0.0,,0.14574074922416907,0.34177215189873417,79,27
0.0477,,1.0,1.1,70,77
0.0138,,0.06948345122280151,0.2727272727272727,77,21
0.0,,0.7165313105737893,0.75,60,45
0.0866,,0.7496599365423304,0.7763157894736842,76,59
0.372,,0.6474053920839111,0.696969696969697,33,23
0.1146,,0.6152575700805323,0.6730769230769231,52,35
0.0,,0.8688150562628432,0.8767123287671232,73,64
0.0343,,0.3233460205641274,0.4696969696969697,66,31
0.1933,,1.0,1.3448275862068966,29,39
0.0,,0.8962023619688662,0.9012345679012346,81,73
0.0,,1.0,1.25,56,70
0.2714,,0.7165313105737893,0.75,32,24
0.0,,0.9534969548334766,0.9545454545454546,44,42
0.0,,0.7552535529531296,0.7808219178082192,73,57
0.0,,0.7992048916091277,0.8169014084507042,71,58
0.0,,1.0,1.0136986301369864,73,74
0.043,,0.11532512103806256,0.31645569620253167,79,25
0.0,,0.5091564206075492,0.5970149253731343,67,40
0.0,,0.4910982295021551,0.5844155844155844,77,45
0.0,,1.0,2.259259259259259,27,61
0.0,,0.925961078642316,0.9285714285714286,70,65
0.0,,0.28868353010276493,0.44594594594594594,74,33
0.0,,1.0,1.1527777777777777,72,83
0.0,,1.0,4.818181818181818,11,53
0.0,,1.0,1.0555555555555556,18,19
0.0,,0.9854017210216538,0.9855072463768116,69,68
0.0,,0.5688704425005227,0.639344262295082,61,39
0.0,,0.6637590541774129,0.7093023255813954,86,61
0.1012,,1.0,1.1355932203389831,59,67
0.0,,1.0,1.925,40,77
0.0,,1.0,1.2692307692307692,26,33
0.0,,0.46974957024142655,0.569620253164557,79,45
0.0,,0.7939226578179512,0.8125,64,52
0.0,,1.0,12.0,6,72
0.0,,0.4557940183280172,0.56,75,42
0.0,,0.5427474811642219,0.6206896551724138,58,36
0.0,,0.5091564206075492,0.5970149253731343,67,40
0.0,,0.0026941657785782246,0.14457831325301204,83,12
0.0,,0.23851255385430237,0.410958904109589,73,30
0.1692,,0.3359109812391624,0.4782608695652174,69,33
0.0,,0.8824969025845955,0.8888888888888888,63,56
0.0,,0.2147111723416972,0.3939393939393939,66,26
0.0,,0.18887560283756186,0.375,72,27
0.0,,1.0,1.0136986301369864,73,74
0.0,,1.0,2.388888888888889,18,43
0.0649,,0.8059881212318932,0.8225806451612904,62,51
0.0,,0.43459820850707814,0.5454545454545454,33,18
0.0831,,0.29942768202383446,0.4533333333333333,75,34
0.1014,,1.0,1.1967213114754098,61,73
0.0067,,0.013123728736940968,0.1875,80,15
0.0,,1.0,1.0793650793650793,63,68
0.0773,,0.42437284567694994,0.5384615384615384,52,28
0.2172,,1.0,1.1481481481481481,27,31
0.0597,,0.925961078642316,0.9285714285714286,70,65
0.0,,1.0,1.0694444444444444,72,77
0.0,,0.8963942066351505,0.9014084507042254,71,64
0.0,,1.0,1.574468085106383,47,74
0.0,,0.9436773000056001,0.9452054794520548,73,69
0.0,,0.7419247450776166,0.7701149425287356,87,67
0.0,,0.8020468668981864,0.8192771084337349,83,68
0.0,,1.0,3.526315789473684,19,67
0.0,,0.9574533680683809,0.9583333333333334,72,69
0.0,,0.27170718914656716,0.4342105263157895,76,33
0.0,,0.6474053920839111,0.696969696969697,33,23
0.0,,0.8807476526076742,0.8873239436619719,71,63
0.0,,0.8159600932796541,0.8309859154929577,71,59
0.0,,1.0,1.0125,80,81
0.0,,1.0,5.066666666666666,15,76
0.0227,,0.11373170793120879,0.3150684931506849,73,23
0.0,,1.0,1.2769230769230768,65,83
0.0,,0.049787068367863944,0.25,60,15
