r1_p,r1_r,r1_f,r2_p,r2_r,r2_f,rL_p,rL_r,rL_f
28.12,26.87,27.48,3.17,3.0300000000000002,3.1,17.19,16.42,16.79
14.000000000000002,22.58,17.28,2.04,3.3300000000000005,2.53,12.0,19.35,14.81
27.08,18.84,22.220000000000002,0.0,0.0,0.0,14.580000000000002,10.14,11.97
18.42,35.0,24.14,5.33,10.26,7.02,15.790000000000001,30.0,20.69
14.29,31.25,19.61,1.4500000000000002,3.2300000000000004,2.0,10.0,21.88,13.73
15.379999999999999,6.78,9.41,0.0,0.0,0.0,11.540000000000001,5.08,7.06
21.279999999999998,13.33,16.39,0.0,0.0,0.0,14.89,9.33,11.48
13.239999999999998,75.0,22.5,7.46,45.45,12.82,13.239999999999998,75.0,22.5
40.910000000000004,34.62,37.5,9.520000000000001,8.0,8.7,40.910000000000004,34.62,37.5
17.24,17.86,17.54,0.0,0.0,0.0,10.34,10.71,10.530000000000001
40.0,24.0,30.0,6.819999999999999,4.05,5.08,24.44,14.67,18.33
18.33,20.75,19.470000000000002,1.69,1.92,1.7999999999999998,11.67,13.209999999999999,12.389999999999999
56.63,57.32000000000001,56.97,31.71,32.1,31.900000000000002,33.73,34.150000000000006,33.94
22.73,28.57,25.319999999999997,4.65,5.88,5.19,18.18,22.86,20.25
23.810000000000002,7.04,10.870000000000001,0.0,0.0,0.0,14.29,4.2299999999999995,6.52
25.0,28.57,26.669999999999998,3.64,4.17,3.88,17.86,20.41,19.05
34.38,31.430000000000003,32.84,9.68,8.82,9.229999999999999,21.88,20.0,20.9
32.73,25.0,28.349999999999998,12.959999999999999,9.86,11.200000000000001,25.45,19.439999999999998,22.05
31.430000000000003,14.29,19.64,8.82,3.95,5.45,17.14,7.79,10.71
21.95,24.32,23.080000000000002,2.5,2.78,2.63,14.63,16.220000000000002,15.379999999999999
30.36,32.08,31.19,9.09,9.62,9.35,21.43,22.64,22.02
25.0,61.11,35.480000000000004,13.950000000000001,35.29,20.0,25.0,61.11,35.480000000000004
17.24,23.26,19.8,1.7500000000000002,2.3800000000000003,2.02,15.52,20.93,17.82
25.369999999999997,24.29,24.82,1.52,1.4500000000000002,1.48,14.93,14.29,14.6
41.67,7.6899999999999995,12.989999999999998,9.09,1.5599999999999998,2.67,33.33,6.15,10.39
28.17,25.97,27.029999999999998,4.29,3.95,4.109999999999999,15.49,14.29,14.860000000000001
42.86,51.72,46.88,29.409999999999997,35.709999999999994,32.26,42.86,51.72,46.88
32.26,66.67,43.480000000000004,23.330000000000002,50.0,31.819999999999997,32.26,66.67,43.480000000000004
64.71000000000001,18.029999999999998,28.21,25.0,6.67,10.530000000000001,52.94,14.75,23.080000000000002
22.73,21.13,21.9,1.54,1.43,1.48,16.669999999999998,15.49,16.06
42.86,13.950000000000001,21.05,7.6899999999999995,2.3800000000000003,3.64,35.709999999999994,11.63,17.54
29.509999999999998,32.73,31.03,1.67,1.8499999999999999,1.7500000000000002,16.39,18.18,17.24
15.379999999999999,10.81,12.7,1.96,1.37,1.6099999999999999,7.6899999999999995,5.41,6.35
28.21,20.0,23.400000000000002,7.89,5.56,6.52,25.64,18.18,21.279999999999998
13.639999999999999,10.0,11.540000000000001,2.33,1.69,1.96,6.819999999999999,5.0,5.7700000000000005
13.33,12.120000000000001,12.7,1.69,1.54,1.6099999999999999,10.0,9.09,9.520000000000001
13.43,34.62,19.35,0.0,0.0,0.0,8.959999999999999,23.080000000000002,12.9
40.910000000000004,13.239999999999998,20.0,19.05,5.970000000000001,9.09,31.819999999999997,10.290000000000001,15.559999999999999
30.19,24.240000000000002,26.889999999999997,13.459999999999999,10.77,11.97,24.529999999999998,19.7,21.85
14.29,9.3,11.27,0.0,0.0,0.0,7.140000000000001,4.65,5.63
27.27,29.03,28.12,12.5,13.33,12.9,24.240000000000002,25.81,25.0
23.810000000000002,40.0,29.849999999999998,14.63,25.0,18.459999999999997,23.810000000000002,40.0,29.849999999999998
53.56999999999999,62.5,57.69,24.099999999999998,28.17,25.97,35.709999999999994,41.67,38.46
25.4,32.65,28.57,4.84,6.25,5.45,15.870000000000001,20.41,17.86
24.62,21.33,22.86,7.8100000000000005,6.76,7.249999999999999,20.0,17.330000000000002,18.57
41.18,37.5,39.25,8.0,7.2700000000000005,7.62,29.409999999999997,26.790000000000003,28.04
45.0,30.509999999999998,36.36,7.6899999999999995,5.17,6.1899999999999995,35.0,23.73,28.28
30.380000000000003,34.78,32.43,3.85,4.41,4.109999999999999,17.72,20.29,18.92
15.909999999999998,17.5,16.669999999999998,2.33,2.56,2.44,11.360000000000001,12.5,11.899999999999999
18.459999999999997,25.0,21.240000000000002,1.5599999999999998,2.13,1.7999999999999998,10.77,14.580000000000002,12.389999999999999
11.110000000000001,17.65,13.639999999999999,0.0,0.0,0.0,6.17,9.8,7.580000000000001
54.84,26.979999999999997,36.17,23.330000000000002,11.29,15.22,41.94,20.630000000000003,27.66
34.38,18.029999999999998,23.66,3.2300000000000004,1.67,2.1999999999999997,18.75,9.84,12.9
59.72,55.84,57.720000000000006,39.44,36.84,38.1,48.61,45.45,46.98
20.45,17.31,18.75,6.98,5.88,6.38,18.18,15.379999999999999,16.669999999999998
37.74,34.48,36.04,13.459999999999999,12.280000000000001,12.839999999999998,30.19,27.589999999999996,28.83
36.0,13.239999999999998,19.35,0.0,0.0,0.0,20.0,7.35,10.75
27.27,26.090000000000003,26.669999999999998,6.15,5.88,6.02,18.18,17.39,17.78
21.57,27.500000000000004,24.18,2.0,2.56,2.25,13.73,17.5,15.379999999999999
20.34,16.669999999999998,18.32,3.45,2.82,3.1,15.25,12.5,13.74
12.5,36.36,18.6,4.760000000000001,14.29,7.140000000000001,10.94,31.819999999999997,16.28
25.0,14.29,18.18,3.2300000000000004,1.82,2.33,12.5,7.140000000000001,9.09
14.29,6.67,9.09,0.0,0.0,0.0,9.520000000000001,4.44,6.0600000000000005
59.419999999999995,57.75,58.57,29.409999999999997,28.57,28.99,46.379999999999995,45.07,45.71
21.43,5.45,8.7,0.0,0.0,0.0,21.43,5.45,8.7
20.29,19.439999999999998,19.86,2.94,2.82,2.88,11.59,11.110000000000001,11.35
12.9,14.81,13.79,0.0,0.0,0.0,9.68,11.110000000000001,10.34
