reference,system
"unter ionenwind versteht man einen gerichteten fluss von ionen, also eine art der ionenstrahlung. erzeugt wird er durch eine gasentladung, die von einer an positiver hochspannung liegenden elektrode ( meist spitz geformt, was eine sehr starke inhomogenität des elektrischen feldes mit sich bringt ) ausgeht. die ionisation erfolgt durch entzug von elektronen. die so erzeugten positiv geladenen ionen werden dann von dieser elektrode ( anode ) weg entlang des feldgradienten","der ionenwind ist eine physikalische erscheinung, bei der sich eine kugelförmige elektrische ladung – ionen – am ionenkanäle aufhielt. diese ladung wird zur erzeugung eines elektrischen feldes genutzt, indem sie auf einer leitfähigen schicht mit hoher dichte beschleunigt wird. ionenwind ist eine sonderform des elektrischen windes. wesentliche ursachen des ionenwindes sind die corona-entladung, die sich bei hohen temperaturen durch die atmosphäre"
"horror vacui ( lat. scheu vor der leere ) bezeichnet in der kunst den wunsch, alle leeren flächen, besonders in der malerei und im relief, mit darstellungen oder ornamenten zu füllen.","vakui ( englisch horror vacui ) ist ein begriff aus der zeitgenössischen bildenden kunst. er bezeichnet eine rätselhafte, allegorische vertiefung geometrischer formen. dabei wird eine ganze fläche gezählt, wobei die seiten von einer einheitlichen schnittfläche herrschen. oftmals wird mit horror vakui eine rätselhafte fläche verwechselt."
"bei der kryptosporidiose handelt es sich um eine durchfallerkrankung durch die zu den apicomplexa gehörenden kryptosporidien. bei menschen mit zellulärer immunschwäche ( z. b. aids ) tritt diese sonst seltene erkrankung gehäuft auf. die übertragung erfolgt als orale infektion durch die aufnahme infizierter speisen oder infizierten trinkwassers. eine infektion über infizierte haus- und nutztiere, sowie von mensch zu mensch ist möglich. die betroffenen leiden unter wä","die kryptosporose ( griechisch κρυπτός, kryptós, „ verborgen “ und lateinischspora, „ wurf “ ), auch bekannt als obere respiratorische cryptosporidiose, ist eine durch ein cryptosporidium hervorgerufene infektionskrankheit. gehört die infektion zu einer zoonose, so spricht man von einer asymptomatischen infektion. der erreger ist ein protozoon, dessen hauptbestandteil cryptosporidium cryptosporidium ist. solche protozoen"
"wonder woman ist einer der ältesten superhelden ( und die erste superheldin ) des dc-comics-verlags. sie wurde von william moulton marston und seiner frau, elizabeth holloway marston ( sadie ), geschaffen und hatte ihren ersten auftritt 1941 in all star comics # 8.","wonder woman ist eine comic-figur aus dem wonder-frauen-universum, die erstmals im jahr 1940 von william marston publiziert wurde. die figur ist der erste weibliche comic-autor, der eine solche erscheinung erstmals in seinem werk the wonder woman schilderte. im jahr 1945 erschien die erste auflage des comics mit wonder woman von patt ruckman. in den 1950er jahren wurde die wonder woman von robert elizabeth ruckman erschaffen. in den 1960er jahren begann gloria steinem,"
"dieser artikel beschreibt die grammatik der georgischen sprache ( eigenbezeichnung : [ kartuli ena ] ქართული ენა ). die grammatik des georgischen und der anderen sogenannten kaukasischen sprachen ist so umfangreich, dass hier keineswegs alle einzelheiten aufgeführt sind.","die georgische grammatik ist eine eigenständige nordamerikanische sprachfamilie. sie gehört zu den indigenen nordamerikanischen sprachen, ist aber mit dem gemisch der nordamerikanischen und südamerikanischen sprachen nicht einheitlich. wie die anderen nordamerikanischen sprachen lässt sich das georgische in sieben grammatische fälle einteilen. nominativ, ergativ und funktiontiv unterscheiden sich im georgischen darin, dass es in dem satz eine selbstbestimmte ergativität aufweist, da die satzglieder in beiden"
"ein zwiebelturm ist ein turm mit einer zwiebelhaube oder einem zwiebelhelm, z. b. ein kirchturm, dessen spitze in form einer zwiebel gearbeitet ist. der untere teil der spitze ist bauchig und läuft nach oben spitz zusammen, vergleichbar mit den kirchtürmen der moskauer basilius-kathedrale. neben runden bauformen werden auch türme mit eckigen turmhauben als zwiebelturm bezeichnet.","der aufiondom ( russisch стонdom ) ist eine spitzbogenförmige, in russland bis zum 13. jahrhundert verbreitete bauform. er fand vor allem in der frühen neuzeit verwendung."
"als partikelschwarmoptimierung ( pso ) wird ein naturanaloges optimierungsverfahren bezeichnet, das nach dem vorbild des biologischen schwarmverhaltens eine lösung für ein optimierungsproblem sucht. analog zum natürlichen phänomen wird eine population von lösungskandidaten durch den suchraum bewegt, um eine gute lösung für das problem zu erhalten. in jedem rechenschritt wird dazu die position jedes individuums neu berechnet. die pso ist eine metaheuristik, sie wurde 1995 von james kennedy und russell e",der simple-pso-algorithmus ( pso : discrete search by particles ) ist ein algorithmus zur berechnung des optimalen verhaltens und der erfüllung von partikeln mit diskreten eigenschaften. er wurde von keith moore und william t. steiner entwickelt. aufgrund seiner simplified implementation wird er teilweise auch swarm-algorithmus genannt.
"james rumbaugh ( * 22. august 1947 in bethlehem, pennsylvania ) ist ein amerikanischer informatiker.","james anthony rumbaugh ( * 1954 in bethlehem, pennsylvania ) ist ein us-amerikanischer informatiker. rumbaugh studierte am massachusetts institute of technology mit dem bachelor-abschluss 1960 und wurde 1991 am massachusetts institute of technology bei jack dennis promoviert ( ph.d. in computer science ). als post-doktorand war er bei general electric zur entwicklung der unified modeling language ( uml ) und deren entwicklung mit james coplien. ab 1998 war er bei ib"
das archaeological institute of america ( aia ) ist eine us-amerikanische non-profit-organisation zur förderung der archäologie mit sitz in boston und new york.,das american institute of ethics ( aia ; deutsch „ american institute of ethnologie “ ) ist ein forschungsinstitut für archäologie in den vereinigten staaten.
"hirnventrikel sind mit hirnwasser ( liquor cerebrospinalis ) gefüllte hohlräume im gehirn. sie bilden, zusammen mit dem rückenmarkskanal ( canalis centralis medullaris ), den inneren liquorraum. das gehirn weist je einen seitenventrikel in jeder großhirnhemisphäre auf, einen dritten ventrikel im zwischenhirn und den vierten ventrikel im rhombencephalon. diese vier hirnventrikel stehen durch löcher ( foram","der ventrikel ( lat. ventriculus „ kammer “, „ hohlraum “ ) ist ein teil des hirnstamms und besteht aus drei kammern ( ventrikel ), die sich jeweils hintereinander mit äußeren kammern verbinden. er stellt einen bereich des hirnstamms dar, in dem die großhirnrinde ( medulla oblongata ) ihren ursprung hat. im unteren ventrikel befindet sich die eminentia cerebri. die kleinhirnrinde, die beim menschen den hirnstamm"
"basic english oder einfaches englisch ist eine von charles kay ogden geschaffene vereinfachte form der englischen sprache mit stark verkleinertem vokabular. die englischvariante wird manchmal auch als plansprache bezeichnet, da diese form des englischen einst als welthilfssprache dienen sollte. es ist nicht mit dem formal ähnlichen, jedoch für ein sehr spezielles anwendungsgebiet geschaffenen simplified english zu verwechseln. basic ist die abkürzung für british american scientific international commercial ( language ), wobei auch auf das","basic english ist eine plansprache, die von der britischen linguistin john ogden 1990 entwickelt wurde. sie ersetzt ältere plansprachen, die er in seinem werk the shape of things to come darstellte, mit dem ziel, das basic english als die „ einfachste sprache der welt “ zu schaffen."
"randori ( japanisch 乱取り, wörtlich : das chaos nehmen ) ist eine übungsform des kampfes im budō, den japanischen kampfkünsten. sinngemäß steht dabei der übungskampf randori dem shiai − dem eigentlichen wettkampf − gegenüber. beim randori geht es nicht um gewinnen oder verlieren, sondern darum die zuvor erlernten techniken im fluss des kampfes anwenden zu lernen.","randori ( jap. 多人数掛け ) ist ein traditionelles kampfhandwerk des japanischen karate, das heute nur noch in der westlichen ni japanübung praktiziert wird. die randori ist eine kampfform, die in vielen japanischen kampfsportarten ( aikidō, judo, kendō ) und auch in der brazilianischen jūdō-bewegung ( jiu-jitsu ) angewandt wird. es wird dabei ausgenutzt, dass ein täter vom gegner körperlich angegriffen wird,"
"die manhattan bridge ist eine hängebrücke in new york city, die den east river überquert und die beiden stadtteile lower manhattan ( chinatown ) und brooklyn miteinander verbindet. die am 31. dezember 1909 eröffnete, aber erst einige monate später fertiggestellte brücke war nach der brooklyn bridge und der williamsburg bridge die letzte der drei über den east river gebauten hängebrücken. auf ihren zwei ebenen hat sie heute insgesamt vier gleise der new york city subway, sieben fa","die manhattan bridge ( offiziell new york city bridge ) ist eine hängebrücke über den lower east river in new york city. sie ist nach der brooklyn bridge und der brooklyn bridge die zweite brücke über den lower east river. die brücke wurde am 31. dezember 1909 eröffnet. die ersten fertigstellungen der brücke wurden von der amerikanischen firma fhwa, einem größten stadtbauunternehmen in den vereinigten staaten, verwirklicht. die brücke hat heute den status einer national historic landmark"
"über sinn und bedeutung ist ein 1892 erschienener aufsatz von gottlob frege. frege erläutert darin die grundbegriffe seiner sprachphilosophie. die abhandlung wurde auch in der linguistik, speziell in der semantik, rezipiert ( vgl. lyons 1980 ).","die sinnstheorie ist von dem deutschen sprachphilosophen gottlob frege ( 1848–1920 ) entwickelt worden, um die bedeutung und wahrheit von sätzen und satzteilen zu erschließen. dabei geht es um die frage, welche bedeutung die sätze und die punkte in der sprache haben."
"leon schidlowsky ( * 21. juli 1931 in santiago de chile ) ist ein chilenisch-israelischer komponist und maler. er schreibt werke für orchester, kammerensemble, chor und für einzelne instrumente. außerdem komponierte er ca. 65 musikalische werke mit graphischer notation. seine musikalischen werke wurden in verschiedenen ländern aufgeführt. durch verschiedene musikalische gruppierungen, solisten und orchester sowie dirigenten wurden seine werke bekannt. seine graphisch-musikalischen arbeiten wurden in verschiedenen aus","mit neuda ( eigentlich pablo neruda ; * 4. januar 1838 in puebla, mexiko ; † 30. november 1947 in new york ) war ein amerikanischer komponist."
