bs_p,bs_r,bs_f
73.64,72.43,73.03
67.2,71.32,69.19999999999999
69.61,66.91,68.23
66.27,67.02,66.64
67.12,67.25999999999999,67.19000000000001
64.7,64.07000000000001,64.39
67.21000000000001,65.36999999999999,66.28
65.97,88.79,75.7
66.12,71.41,68.67
67.19000000000001,68.26,67.72
72.28,65.47,68.71000000000001
67.33,67.75999999999999,67.54
81.64,78.68,80.13
67.58,63.91,65.69
74.67,64.55,69.24
71.50999999999999,65.57,68.41000000000001
69.33,67.81,68.57
73.78,61.7,67.2
67.75,66.29,67.01
68.04,71.6,69.77
71.24000000000001,73.22999999999999,72.22
89.18,89.77000000000001,89.47
64.2,65.4,64.79
65.92,66.66,66.29
69.89999999999999,66.61,68.21000000000001
70.17999999999999,69.81,70.0
84.56,81.85,83.17999999999999
78.41,84.35000000000001,81.27
75.87,68.47,71.98
71.04,69.07,70.04
71.17999999999999,61.029999999999994,65.72
64.48,65.14,64.81
66.77,64.17,65.44
79.88,65.84,72.18
65.75,63.74999999999999,64.73
69.58,67.67999999999999,68.62
66.34,69.54,67.9
71.33,63.68000000000001,67.29
73.17,65.99000000000001,69.39
69.57,70.06,69.81
75.81,77.24,76.52
75.18,78.28,76.69
83.89999999999999,66.63,74.28
68.25,69.13,68.69
65.97,65.19,65.58
83.85000000000001,76.8,80.17
68.19,66.3,67.23
72.15,72.49,72.32
71.64,71.32,71.48
63.580000000000005,58.830000000000005,61.11
64.4,65.62,65.01
69.43,69.1,69.26
71.5,65.13,68.17
76.48,72.69,74.53999999999999
72.7,63.23,67.64
71.37,68.08,69.69
71.69,71.00999999999999,71.35000000000001
72.03,65.51,68.62
73.1,75.66000000000001,74.36
73.92,69.77,71.78999999999999
65.24,69.19,67.16
68.56,66.39,67.46
69.75,66.32000000000001,67.99
77.58,76.49000000000001,77.03
70.22,62.12,65.92
73.71,73.61,73.66
63.59,66.55,65.03999999999999
71.83,69.78999999999999,70.78999999999999
69.19,70.89999999999999,70.03
65.77,65.34,65.56
75.14,73.69,74.41
79.55,66.13,72.22
71.63000000000001,72.61,72.11999999999999
81.69999999999999,82.27,81.99
98.66,89.49000000000001,93.85
73.49,76.14999999999999,74.8
61.63999999999999,65.01,63.28
86.03,74.59,79.9
69.41000000000001,69.12,69.26
70.12,67.44,68.75
68.95,72.48,70.67
62.38,63.739999999999995,63.06
69.63000000000001,64.02,66.71000000000001
65.98,65.02,65.5
70.15,67.15,68.62
70.87,70.34,70.6
77.06,71.66,74.26
79.7,82.17,80.91000000000001
74.3,75.89,75.08
67.85,68.30000000000001,68.08
71.53,66.64999999999999,69.0
67.53,60.56,63.85999999999999
64.81,64.36,64.58
62.970000000000006,59.519999999999996,61.199999999999996
69.89,71.24000000000001,70.56
74.53,68.31,71.28999999999999
70.04,69.45,69.74000000000001
74.18,73.25,73.71
72.24000000000001,67.36,69.71000000000001
68.5,63.43,65.86999999999999
65.82000000000001,65.23,65.52
69.6,63.349999999999994,66.33
68.69,65.63,67.12
87.98,85.31,86.63
71.06,66.79,68.86
72.32,70.3,71.3
64.5,66.34,65.41
67.21000000000001,65.10000000000001,66.14
74.83,66.75999999999999,70.57
66.31,66.97999999999999,66.64999999999999
71.58,69.78,70.67
71.74000000000001,68.47999999999999,70.07
72.06,69.0,70.5
70.59,72.15,71.36
63.51,59.68,61.529999999999994
60.4,61.59,60.99
62.74999999999999,63.07000000000001,62.91
71.28999999999999,66.58,68.86
81.73,80.88,81.3
76.52,76.25,76.39
81.77,65.48,72.72
93.17999999999999,91.36999999999999,92.27
76.51,72.49,74.44
67.19000000000001,67.39,67.29
68.91000000000001,67.22,68.05
60.74,57.49999999999999,59.08
60.699999999999996,60.589999999999996,60.650000000000006
66.35,63.22,64.75
69.01,68.63,68.82000000000001
69.38,66.10000000000001,67.7
73.07000000000001,70.72,71.87
68.25,64.98,66.57
65.51,70.66,67.99
70.87,70.55,70.71
75.42999999999999,76.73,76.07000000000001
72.97,65.11,68.82000000000001
64.97,63.970000000000006,64.47
73.22,69.19,71.15
67.69,65.22,66.43
84.50999999999999,76.92,80.53
81.3,73.79,77.37
63.349999999999994,62.57,62.96000000000001
68.0,63.72,65.79
65.48,67.10000000000001,66.28
66.35,65.02,65.68
66.05,65.53999999999999,65.79
79.12,69.39,73.92999999999999
82.21000000000001,81.77,81.99
68.55,63.1,65.71000000000001
65.32,65.42999999999999,65.38000000000001
74.21,65.29,69.46
66.60000000000001,67.14,66.86999999999999
69.37,66.71000000000001,68.02
67.52,67.34,67.43
70.8,71.97,71.38
67.08,61.8,64.33
65.73,67.58999999999999,66.64
68.97999999999999,71.25,70.1
64.58,60.529999999999994,62.49
67.17999999999999,66.41,66.79
62.83,63.519999999999996,63.17
72.72999999999999,65.67,69.02000000000001
68.41000000000001,69.24,68.82000000000001
61.24000000000001,58.77,59.98
72.35000000000001,68.67,70.46
67.33,66.18,66.75
65.14,62.69,63.89
66.84,65.47,66.14999999999999
70.17,66.78,68.44
70.23,70.83,70.53
74.78,74.96000000000001,74.87
76.74,76.0,76.37
67.0,65.34,66.16
74.39,69.56,71.89
71.06,72.45,71.75
64.16,64.03999999999999,64.1
69.39,65.96,67.63
81.44,62.09,70.46
65.79,66.58,66.18
64.83,66.23,65.52
75.82,74.2,75.0
67.22,63.11,65.10000000000001
93.08999999999999,93.43,93.26
68.91000000000001,68.60000000000001,68.75
68.45,62.74999999999999,65.48
83.73,80.46,82.06
71.23,76.96,73.98
87.69,90.89,89.25999999999999
72.2,70.04,71.1
69.06,67.99,68.52000000000001
67.75999999999999,67.36999999999999,67.57
57.99999999999999,60.22,59.089999999999996
64.46,60.129999999999995,62.22
71.3,60.760000000000005,65.61
71.12,72.33000000000001,71.72
61.47,60.980000000000004,61.23
73.64,70.17999999999999,71.87
67.29,64.32,65.78
70.55,61.77,65.86
61.14000000000001,54.71,57.74
71.78999999999999,66.12,68.84
66.51,63.46000000000001,64.95
69.55,66.82000000000001,68.16
78.8,83.27,80.97
92.78999999999999,81.89,87.0
73.42,64.87,68.88
66.32000000000001,66.09,66.21000000000001
66.77,66.25999999999999,66.51
72.05,66.81,69.33
73.92999999999999,71.75,72.82
72.89,70.54,71.7
93.66,86.28,89.82
86.06,76.2,80.83
65.05,63.519999999999996,64.28
67.36,65.16,66.24
75.92,84.28,79.88
64.85,65.34,65.09
70.96000000000001,67.75,69.32000000000001
92.46,83.2,87.59
88.14,72.78999999999999,79.73
62.5,60.12,61.29
74.83999999999999,64.91,69.53
77.47,77.64,77.56
