bleu,p,bp,lr,rl,pl
0.0,,1.0,1.013157894736842,76,77
0.0,,1.0,1.4444444444444444,36,52
0.0,,0.48108692061002606,0.5774647887323944,71,41
0.0,,1.0,1.5319148936170213,47,72
0.0,,1.0,1.2682926829268293,41,52
0.0,,1.0,1.1311475409836065,61,69
0.0,,0.40656965974059905,0.5263157894736842,76,40
0.0886,,1.0,4.823529411764706,17,82
0.0,,1.0,2.375,24,57
0.0,,0.9834714538216176,0.9836065573770492,61,60
0.0,,0.27645304662956444,0.4375,80,35
0.0,,1.0,1.1935483870967742,62,74
0.2113,,1.0,1.0121951219512195,82,83
0.0,,0.7903383629814982,0.8095238095238095,42,34
0.0,,0.11455884399268769,0.3157894736842105,76,24
0.0,,1.0,1.271186440677966,59,75
0.0,,1.0,1.95,40,78
0.0,,0.007276706499332492,0.16883116883116883,77,13
0.0,,0.6582425370828381,0.7051282051282052,78,55
0.0,,1.0,1.7674418604651163,43,76
0.0,,1.0,1.2222222222222223,54,66
0.3983,,0.9622687143632572,0.9629629629629629,27,26
0.0,,1.0,1.6818181818181819,44,74
0.0,,0.6996725373751302,0.7368421052631579,76,56
0.0,,1.0,1.0,68,68
0.0,,0.8809445777387952,0.8875,80,71
0.4157,,0.9017226623630116,0.90625,32,29
0.2445,,1.0,1.631578947368421,19,31
0.0,,0.34624590072707134,0.4852941176470588,68,33
0.0,,1.0,1.0704225352112675,71,76
0.0,,0.07970589231766517,0.2833333333333333,60,17
0.0,,1.0,1.6071428571428572,56,90
0.0,,0.5882447095837121,0.6533333333333333,75,49
0.0711,,0.2290799498154876,0.40425531914893614,47,19
0.0,,0.257395142052568,0.42424242424242425,66,28
0.0,,0.8770883583650915,0.8840579710144928,69,61
0.0,,1.0,2.1,30,63
0.0,,0.019671754996539097,0.2028985507246377,69,14
0.0,,0.19131267379416067,0.37681159420289856,69,26
0.0,,0.9368637752000994,0.9387755102040817,49,46
0.0,,1.0,1.15625,32,37
0.1797,,0.967216100482006,0.967741935483871,31,30
0.0255,,0.06317132735251982,0.26582278481012656,79,21
0.0,,1.0,1.1923076923076923,52,62
0.0,,0.6178673543839127,0.675,80,54
0.1633,,0.48954165955695317,0.5833333333333334,60,35
0.0,,1.0,1.305084745762712,59,77
0.0551,,0.9696993240246985,0.9701492537313433,67,65
0.1361,,1.0,1.069767441860465,43,46
0.0,,0.38230427289208063,0.5098039215686274,51,26
0.0,,1.0,1.5636363636363637,55,86
0.0,,1.0,1.1343283582089552,67,76
0.0,,0.20339760045860628,0.38571428571428573,70,27
0.2794,,1.0,1.0,80,80
0.0345,,0.25283959580474646,0.42105263157894735,57,24
0.0518,,0.7114675062078237,0.746031746031746,63,47
0.0,,0.8688150562628432,0.8767123287671232,73,64
0.0551,,0.6003730411984045,0.6621621621621622,74,49
0.1084,,1.0,1.4186046511627908,43,61
0.0,,0.20339760045860628,0.38571428571428573,70,27
0.0,,1.0,3.391304347826087,23,78
0.0,,1.0,1.0769230769230769,65,70
0.0,,0.4427213051974647,0.5510204081632653,49,27
0.1967,,1.0,1.054054054054054,74,78
0.0,,0.06081006262521795,0.2631578947368421,57,15
0.0,,0.9602702338479381,0.961038961038961,77,74
0.0,,1.0,1.206896551724138,29,35
0.0823,,0.5836454781435741,0.65,80,52
0.0,,1.0,1.6944444444444444,36,61
0.0,,1.0,1.0,68,68
0.1883,,0.9411939401248326,0.9428571428571428,35,33
