r1_p,r1_r,r1_f,r2_p,r2_r,r2_f,rL_p,rL_r,rL_f
26.39,28.360000000000003,27.339999999999996,2.82,3.0300000000000002,2.92,13.889999999999999,14.93,14.39
22.73,32.26,26.669999999999998,6.98,10.0,8.219999999999999,20.45,29.03,24.0
31.580000000000002,17.39,22.43,2.7,1.47,1.9,18.42,10.14,13.08
18.060000000000002,32.5,23.21,5.63,10.26,7.2700000000000005,12.5,22.5,16.07
14.580000000000002,21.88,17.5,4.26,6.45,5.13,10.42,15.620000000000001,12.5
20.630000000000003,22.03,21.310000000000002,1.6099999999999999,1.72,1.67,11.110000000000001,11.86,11.48
25.580000000000002,14.67,18.64,2.3800000000000003,1.35,1.72,18.6,10.67,13.56
10.67,66.67,18.39,6.76,45.45,11.76,10.67,66.67,18.39
20.34,46.150000000000006,28.24,5.17,12.0,7.23,15.25,34.62,21.18
14.29,12.5,13.33,0.0,0.0,0.0,10.2,8.93,9.520000000000001
53.33,21.33,30.48,20.69,8.110000000000001,11.65,33.33,13.33,19.05
14.67,20.75,17.19,4.05,5.7700000000000005,4.760000000000001,12.0,16.98,14.06
62.64999999999999,63.41,63.029999999999994,36.59,37.04,36.809999999999995,33.73,34.150000000000006,33.94
18.75,17.14,17.91,0.0,0.0,0.0,12.5,11.43,11.940000000000001
36.84,9.86,15.559999999999999,5.56,1.43,2.27,26.32,7.04,11.110000000000001
21.740000000000002,30.61,25.419999999999998,4.41,6.25,5.17,15.939999999999998,22.45,18.64
22.919999999999998,31.430000000000003,26.51,4.26,5.88,4.9399999999999995,14.580000000000002,20.0,16.869999999999997
57.14,11.110000000000001,18.6,15.379999999999999,2.82,4.760000000000001,50.0,9.719999999999999,16.28
33.33,24.68,28.360000000000003,5.36,3.95,4.55,19.3,14.29,16.42
22.220000000000002,43.24,29.360000000000003,1.41,2.78,1.87,8.33,16.220000000000002,11.01
27.42,32.08,29.57,4.92,5.7700000000000005,5.3100000000000005,19.35,22.64,20.87
66.67,66.67,66.67,47.06,47.06,47.06,66.67,66.67,66.67
10.77,16.28,12.959999999999999,0.0,0.0,0.0,9.229999999999999,13.950000000000001,11.110000000000001
22.64,17.14,19.509999999999998,3.85,2.9000000000000004,3.3099999999999996,16.98,12.86,14.63
19.72,21.54,20.59,4.29,4.6899999999999995,4.4799999999999995,14.08,15.379999999999999,14.71
26.090000000000003,23.380000000000003,24.66,4.41,3.95,4.17,17.39,15.58,16.439999999999998
50.0,44.83,47.27,40.0,35.709999999999994,37.74,50.0,44.83,47.27
43.480000000000004,66.67,52.629999999999995,31.819999999999997,50.0,38.89,43.480000000000004,66.67,52.629999999999995
46.67,22.95,30.769999999999996,20.69,10.0,13.48,36.67,18.029999999999998,24.18
23.61,23.94,23.78,1.41,1.43,1.4200000000000002,13.889999999999999,14.08,13.99
58.330000000000005,16.28,25.45,18.18,4.760000000000001,7.55,50.0,13.950000000000001,21.82
20.0,29.09,23.7,1.27,1.8499999999999999,1.5,15.0,21.82,17.78
19.57,12.16,15.0,4.44,2.74,3.39,17.39,10.81,13.33
50.0,12.73,20.29,23.080000000000002,5.56,8.959999999999999,50.0,12.73,20.29
26.919999999999998,11.67,16.28,8.0,3.39,4.760000000000001,19.23,8.33,11.63
18.57,19.7,19.12,1.4500000000000002,1.54,1.49,12.86,13.639999999999999,13.239999999999998
12.9,30.769999999999996,18.18,1.6400000000000001,4.0,2.33,11.29,26.919999999999998,15.909999999999998
40.0,8.82,14.46,0.0,0.0,0.0,26.669999999999998,5.88,9.64
48.0,18.18,26.369999999999997,16.669999999999998,6.15,8.99,40.0,15.15,21.98
12.2,11.63,11.899999999999999,2.5,2.3800000000000003,2.44,9.76,9.3,9.520000000000001
25.0,29.03,26.87,8.57,10.0,9.229999999999999,19.439999999999998,22.58,20.9
35.709999999999994,40.0,37.74,22.220000000000002,25.0,23.53,32.14,36.0,33.96
68.75,15.28,25.0,46.67,9.86,16.28,68.75,15.28,25.0
18.18,20.41,19.23,5.56,6.25,5.88,14.549999999999999,16.33,15.379999999999999
22.45,14.67,17.740000000000002,0.0,0.0,0.0,12.24,8.0,9.68
58.620000000000005,30.36,40.0,25.0,12.73,16.869999999999997,48.28,25.0,32.940000000000005
28.38,35.589999999999996,31.580000000000002,4.109999999999999,5.17,4.58,17.57,22.03,19.55
25.35,26.090000000000003,25.71,4.29,4.41,4.35,11.27,11.59,11.43
33.33,35.0,34.150000000000006,17.07,17.95,17.5,28.57,30.0,29.270000000000003
12.5,6.25,8.33,0.0,0.0,0.0,8.33,4.17,5.56
12.659999999999998,19.61,15.379999999999999,1.28,2.0,1.5599999999999998,8.86,13.73,10.77
25.71,28.57,27.07,2.9000000000000004,3.2300000000000004,3.05,15.709999999999999,17.46,16.54
25.0,9.84,14.12,0.0,0.0,0.0,12.5,4.92,7.06
51.9,53.25,52.559999999999995,35.9,36.84,36.36,44.3,45.45,44.87
39.129999999999995,17.31,24.0,13.639999999999999,5.88,8.219999999999999,30.43,13.459999999999999,18.67
22.73,17.24,19.61,9.3,7.02,8.0,20.45,15.52,17.65
29.23,27.939999999999998,28.57,3.1199999999999997,2.9899999999999998,3.05,15.379999999999999,14.71,15.040000000000001
40.0,26.090000000000003,31.580000000000002,13.639999999999999,8.82,10.71,28.89,18.84,22.81
23.53,30.0,26.369999999999997,8.0,10.26,8.99,15.690000000000001,20.0,17.580000000000002
42.86,16.669999999999998,24.0,14.81,5.63,8.16,32.14,12.5,18.0
7.46,22.73,11.24,0.0,0.0,0.0,4.4799999999999995,13.639999999999999,6.74
19.12,23.21,20.97,2.9899999999999998,3.64,3.2800000000000002,13.239999999999998,16.07,14.52
23.080000000000002,13.33,16.900000000000002,4.0,2.27,2.9000000000000004,11.540000000000001,6.67,8.450000000000001
44.440000000000005,45.07,44.76,21.13,21.43,21.279999999999998,31.94,32.39,32.17
46.150000000000006,10.91,17.65,0.0,0.0,0.0,30.769999999999996,7.2700000000000005,11.76
25.97,27.779999999999998,26.85,5.26,5.63,5.4399999999999995,15.58,16.669999999999998,16.11
6.0600000000000005,7.41,6.67,0.0,0.0,0.0,6.0600000000000005,7.41,6.67
49.02,34.72,40.65,18.0,12.68,14.879999999999999,31.369999999999997,22.220000000000002,26.02
23.73,40.0,29.79,3.45,5.88,4.35,11.86,20.0,14.89
23.810000000000002,22.39,23.080000000000002,3.2300000000000004,3.0300000000000002,3.1199999999999997,12.7,11.940000000000001,12.31
39.290000000000006,35.480000000000004,37.29,22.220000000000002,20.0,21.05,35.709999999999994,32.26,33.900000000000006
41.18,9.86,15.909999999999998,18.75,4.29,6.98,35.29,8.450000000000001,13.639999999999999
17.11,28.26,21.310000000000002,2.67,4.44,3.3300000000000005,13.16,21.740000000000002,16.39
