reference,system
"unter ionenwind versteht man einen gerichteten fluss von ionen, also eine art der ionenstrahlung. erzeugt wird er durch eine gasentladung, die von einer an positiver hochspannung liegenden elektrode ( meist spitz geformt, was eine sehr starke inhomogenität des elektrischen feldes mit sich bringt ) ausgeht. die ionisation erfolgt durch entzug von elektronen. die so erzeugten positiv geladenen ionen werden dann von dieser elektrode ( anode ) weg entlang des feldgradienten","ionenwind ist die ursache dafür, dass atome von atomen oder molekülen ( z. b. ionen ) in die luft steigen, dort aber abgebremst werden. dieser wind wird durch elektrische kräfte hervorgerufen, die von atomen oder molekülen erzeugt werden. typischerweise tritt dieser wind bei der erzeugung von ionen auf, die in die gasphase übergehen. die erzeugung dieser kräfte geschieht durch massive ionenmoleküle, die sich an der spitze einer scharfen ("
"horror vacui ( lat. scheu vor der leere ) bezeichnet in der kunst den wunsch, alle leeren flächen, besonders in der malerei und im relief, mit darstellungen oder ornamenten zu füllen.","als horror vacui oder vakui ( englisch, etwa : „ sakraler boden “ ) bezeichnet man in der bildenden kunst den aufwallenden überschuss an gebrauchsgegenständen, die sich durch einen ungewöhnlichen, abstrahierenden querschnitt zum raum erstrecken. seit den 1980er jahren zunehmende bedeutung erlangte der begriff im englischsprachigen raum."
"bei der kryptosporidiose handelt es sich um eine durchfallerkrankung durch die zu den apicomplexa gehörenden kryptosporidien. bei menschen mit zellulärer immunschwäche ( z. b. aids ) tritt diese sonst seltene erkrankung gehäuft auf. die übertragung erfolgt als orale infektion durch die aufnahme infizierter speisen oder infizierten trinkwassers. eine infektion über infizierte haus- und nutztiere, sowie von mensch zu mensch ist möglich. die betroffenen leiden unter wä","die kryptosporidiose ( auch busse-buschke-krankheit nach den erstbeschreibern otto busse und abraham buschke ) ist eine durch den parasiten cryptosporidium serpentes verursachte infektionskrankheit. übertragen wird die krankheit durch wasser übertragene protozoen, die als erreger der kryptosporidiose klassifiziert werden."
"wonder woman ist einer der ältesten superhelden ( und die erste superheldin ) des dc-comics-verlags. sie wurde von william moulton marston und seiner frau, elizabeth holloway marston ( sadie ), geschaffen und hatte ihren ersten auftritt 1941 in all star comics # 8.","die wonder woman ist ein fiktiver weiblicher superheld aus dem gleichnamigen comic-verlag des us-amerikanischen verlages dc comics, der sich seit den 1970er jahren herausgebildet hat. im jahr 1972 hatte die dc comics die erste hauptfigur der wonder woman-reihe herausgegeben. es war in den 1970er und 1980er jahren die zweite große überarbeitung des gleichnamigen weiblichen comics, die ein starkes weibliches rollenmodell für frauen darstellte. die wonder woman ist"
"dieser artikel beschreibt die grammatik der georgischen sprache ( eigenbezeichnung : [ kartuli ena ] ქართული ენა ). die grammatik des georgischen und der anderen sogenannten kaukasischen sprachen ist so umfangreich, dass hier keineswegs alle einzelheiten aufgeführt sind.","in der georgischen sprache handelt es sich um eine gemischte, logisch einander entsprechende sprachfamilie. sie wurde zu beginn des 20. jahrhunderts von dem russischen sprachwissenschaftler wladimir petrowitsch georgisch beschrieben, die damit die erste sprache überhaupt bezeichnete. die georgische sprache gehört zu den am besten untersuchten sprachen weltweit."
"ein zwiebelturm ist ein turm mit einer zwiebelhaube oder einem zwiebelhelm, z. b. ein kirchturm, dessen spitze in form einer zwiebel gearbeitet ist. der untere teil der spitze ist bauchig und läuft nach oben spitz zusammen, vergleichbar mit den kirchtürmen der moskauer basilius-kathedrale. neben runden bauformen werden auch türme mit eckigen turmhauben als zwiebelturm bezeichnet.","als oniondom ( auch aufionkuppel oder wendeldom ) werden in der russischen architektur kleine, spitzbogenförmige kirchenfenster bezeichnet. sie waren vor allem in orthodoxen kirchen verbreitet, fanden aber auch an einigen moscheen verwendung. das gestaltungsprinzip beruht auf der ähnlichkeit des aufbaus mit einer pfeilerförmigen wand. an den seiten äquatorialer kreise erinnert die wandgestaltung an einen vertikalen fuß. die zahl der domesten ist nicht genau"
"als partikelschwarmoptimierung ( pso ) wird ein naturanaloges optimierungsverfahren bezeichnet, das nach dem vorbild des biologischen schwarmverhaltens eine lösung für ein optimierungsproblem sucht. analog zum natürlichen phänomen wird eine population von lösungskandidaten durch den suchraum bewegt, um eine gute lösung für das problem zu erhalten. in jedem rechenschritt wird dazu die position jedes individuums neu berechnet. die pso ist eine metaheuristik, sie wurde 1995 von james kennedy und russell e","der graham-swarm-algorithmus ( graham-swarm-analysis-algorithmus ) ist ein algorithmus zur lösung bestimmter diskreter problemstellungen der diskreten mathematik, der zum beispiel zum lösen von such- und sortierproblemen eingesetzt wird. dieses algorithmische verfahren wurde bereits von anthony graham 1981 veröffentlicht."
"james rumbaugh ( * 22. august 1947 in bethlehem, pennsylvania ) ist ein amerikanischer informatiker.","arthur holly rumbaugh ( * 13. juli 1938 in bethlehem, pennsylvania ) ist ein us-amerikanischer informatiker. rumbaugh studierte physik am massachusetts institute of technology mit dem bachelor-abschluss 1960 und informatik am caltech mit dem master-abschluss 1963 und der promotion bei jack dennis 1964. danach war er assistant professor an der digital equipment corporation ( dec ) und ab 1968 bei general electric research and development center des mit. 1994 promovierte er bei ivar jacobson und grady booch ( „"
das archaeological institute of america ( aia ) ist eine us-amerikanische non-profit-organisation zur förderung der archäologie mit sitz in boston und new york.,"das american institute of classics and ancient history ( aia ; deutsch amerikanisches institut für frühgeschichte und archäologie ) ist eine forschungseinrichtung in paris. sie wurde 1919 gegründet und finanziert sich über mitgliedsbeiträge, spenden und beiträge anderer institute. erster präsident war der französische archäologe yvon laetitia. heute ist der präsident jodi magness."
"hirnventrikel sind mit hirnwasser ( liquor cerebrospinalis ) gefüllte hohlräume im gehirn. sie bilden, zusammen mit dem rückenmarkskanal ( canalis centralis medullaris ), den inneren liquorraum. das gehirn weist je einen seitenventrikel in jeder großhirnhemisphäre auf, einen dritten ventrikel im zwischenhirn und den vierten ventrikel im rhombencephalon. diese vier hirnventrikel stehen durch löcher ( foram","die medulla oblongata ( lat. „ kammer des raumes “ ) ist eine kammer des zentralnervensystems im kopfbereich. sie liegt beim menschen auf der höhe des vierten ventrikels, dem hinteren ende des zwischenhirns. die medulla oblongata besteht aus zwei einzelnen zellen, die sich über das gesamte sehnervensystem in das raumbein ( hirnstamm ) ausbreiten."
