bs_p,bs_r,bs_f
64.69,61.89,63.260000000000005
76.42999999999999,68.02,71.98
73.03,63.739999999999995,68.07
74.3,67.92,70.97
67.95,65.25,66.57
53.55,53.53,53.54
57.38999999999999,62.1,59.650000000000006
92.69,95.69,94.16
71.59,70.82000000000001,71.2
69.19,63.89,66.43
74.03,59.8,66.16
62.339999999999996,63.660000000000004,62.99
80.05,66.42,72.6
68.89999999999999,65.35,67.08
54.290000000000006,52.76,53.510000000000005
71.55,63.3,67.17999999999999
66.53999999999999,55.96,60.79
72.43,61.46,66.49000000000001
78.24,62.4,69.43
62.8,64.46,63.62
65.08,63.44,64.25
80.83,77.31,79.03
62.31,60.6,61.44
57.07,63.3,60.019999999999996
68.76,61.1,64.7
60.81999999999999,63.839999999999996,62.29
94.26,79.05,85.99
83.73,82.67999999999999,83.2
64.92999999999999,65.09,65.01
53.11,59.08,55.94
81.3,63.09,71.05
70.16,63.12,66.45
61.59,60.699999999999996,61.14000000000001
69.24,62.5,65.7
64.87,63.690000000000005,64.28
60.96,60.74,60.85
55.510000000000005,66.66,60.58
78.23,65.86,71.52
70.19,65.93,68.0
73.54,64.58,68.77
77.10000000000001,69.5,73.1
83.08,67.60000000000001,74.53999999999999
80.76,62.99,70.78
72.74000000000001,64.13,68.16
52.11,53.790000000000006,52.94
87.1,72.39999999999999,79.07
76.64999999999999,64.68,70.16
77.37,64.85,70.56
54.09,58.41,56.169999999999995
66.03999999999999,61.28,63.57000000000001
66.07,62.339999999999996,64.14999999999999
76.95,65.75,70.91
65.72,58.64,61.970000000000006
77.75,64.94,70.77
71.50999999999999,62.8,66.88
72.5,64.58,68.31
64.22,61.67,62.92
73.63,61.07,66.77
52.78,59.18,55.800000000000004
71.37,64.14,67.56
78.10000000000001,71.52,74.66000000000001
66.58,61.71,64.05
67.36999999999999,59.88,63.41
82.21000000000001,79.79,80.97999999999999
63.239999999999995,55.559999999999995,59.150000000000006
69.27,61.550000000000004,65.18
61.38,62.19,61.78
76.59,66.49000000000001,71.17999999999999
76.21,67.34,71.5
64.31,60.17,62.17
78.72,68.47,73.24000000000001
70.26,69.51,69.89
63.65,68.96,66.2
65.03999999999999,77.59,70.76
