bleu,p,bp,lr,rl,pl
0.0,,0.8071177470053892,0.8235294117647058,68,56
0.0,,0.7165313105737893,0.75,36,27
0.0,,0.003697863716482932,0.15151515151515152,66,10
0.1672,,0.7891158754249911,0.8085106382978723,47,38
0.0,,1.0,1.7560975609756098,41,72
0.0,,1.0,1.2131147540983607,61,74
0.0,,0.8688150562628432,0.8767123287671232,73,64
0.4334,,1.0,1.0588235294117647,17,18
0.0893,,1.0,1.4583333333333333,24,35
0.0,,1.0,1.098360655737705,61,67
0.0,,0.11373170793120879,0.3150684931506849,73,23
0.0,,1.0,1.0806451612903225,62,67
0.0,,0.10988363537639657,0.3116883116883117,77,24
0.0,,0.16529888822158656,0.35714285714285715,42,15
0.0,,1.0,1.0597014925373134,67,71
0.0,,0.4052602577832694,0.5254237288135594,59,31
0.0,,1.0,1.1,40,44
0.0,,0.05830279394681834,0.2602739726027397,73,19
0.0,,0.03771196813377261,0.23376623376623376,77,18
0.0661,,1.0,1.5348837209302326,43,66
0.0,,1.0,1.2222222222222223,54,66
0.1174,,1.0,1.0,27,27
0.0,,1.0,1.5681818181818181,44,69
0.0,,0.9696993240246985,0.9701492537313433,67,65
0.0,,0.14885808080333315,0.3442622950819672,61,21
0.0,,0.9858158423524047,0.9859154929577465,71,70
0.3446,,0.4138080991773701,0.53125,32,17
0.3313,,1.0,1.5789473684210527,19,30
0.0,,0.5488116360940264,0.625,64,40
0.0,,0.9696993240246985,0.9701492537313433,67,65
0.0136,,0.049787068367863944,0.25,60,15
0.0,,0.4980923900530609,0.5892857142857143,56,33
0.0,,1.0,1.0588235294117647,68,72
0.1,,0.763173203433005,0.7872340425531915,47,37
0.0,,0.9355069850316178,0.9375,64,60
0.0,,0.9118245449789161,0.9154929577464789,71,65
0.0,,1.0,1.9,30,57
0.0,,0.0560028363077737,0.25757575757575757,66,17
0.0,,0.9048374180359595,0.9090909090909091,66,60
0.0,,0.2345702880937977,0.40816326530612246,49,20
0.0,,0.5488116360940264,0.625,32,20
0.0481,,0.1224564282529819,0.3225806451612903,31,10
0.0038,,0.008348158647341045,0.1728395061728395,81,14
0.0,,0.8559395234122653,0.8653846153846154,52,45
0.0,,0.6065306597126334,0.6666666666666666,72,48
0.1055,,0.20014850716070098,0.38333333333333336,60,23
0.0,,0.18603542213433577,0.3728813559322034,59,22
0.0,,0.15510757606985043,0.3492063492063492,63,22
0.0,,1.0,1.5116279069767442,43,65
0.0,,0.38230427289208063,0.5098039215686274,51,26
0.0,,0.06948345122280151,0.2727272727272727,55,15
0.0,,0.1066614757275113,0.3088235294117647,68,21
0.0,,1.0,1.0454545454545454,66,69
0.0,,0.04709654875168941,0.2465753424657534,73,18
0.0174,,0.09508907677188685,0.2982456140350877,57,17
0.017,,0.0820849986238988,0.2857142857142857,63,18
0.0,,0.5665546020894655,0.6376811594202898,69,44
0.0349,,0.41820025936468097,0.5342465753424658,73,39
0.0,,1.0,1.4651162790697674,43,63
0.0,,0.0820849986238988,0.2857142857142857,63,18
0.0,,0.5257880244257798,0.6086956521739131,23,14
0.0,,1.0,1.2033898305084745,59,71
0.0,,0.1271357329320355,0.32653061224489793,49,16
0.1649,,1.0,1.0675675675675675,74,79
0.0,,0.9083242631244284,0.9122807017543859,57,52
0.0,,1.0,1.0757575757575757,66,71
0.0,,1.0,2.206896551724138,29,64
0.0599,,0.22313016014842982,0.4,75,30
0.0,,0.2865047968601901,0.4444444444444444,36,16
0.0,,0.9527649034645868,0.9538461538461539,65,62
0.0917,,0.2635971381157267,0.42857142857142855,35,15
0.0502,,0.9856117608207142,0.9857142857142858,70,69
0.0,,1.0,1.2040816326530612,49,59
0.0,,1.0,2.32,25,58
0.225,,0.6703200460356393,0.7142857142857143,14,10
0.0,,0.0820849986238988,0.2857142857142857,42,12
0.0,,1.0,1.4375,32,46
0.2134,,0.6897482718033084,0.7291666666666666,48,35
0.0,,0.8007374029168082,0.8181818181818182,33,27
0.0,,0.9118245449789161,0.9154929577464789,71,65
0.0,,0.5440600500081386,0.6216216216216216,37,23
0.0,,1.0,1.5116279069767442,43,65
0.0,,0.36787944117144233,0.5,22,11
0.0,,0.870696738961232,0.8783783783783784,74,65
0.0,,0.18009231214795235,0.3684210526315789,57,21
0.0,,0.594025320553635,0.6575342465753424,73,48
0.0,,0.8668778997501817,0.875,56,49
0.1073,,0.291319891133471,0.44776119402985076,67,30
0.0,,1.0,1.5405405405405406,37,57
0.0,,0.29206782369141415,0.4482758620689655,58,26
0.0,,0.06477457554835706,0.2676056338028169,71,19
0.0492,,1.0,1.5254237288135593,59,90
0.0,,0.970590386975144,0.9710144927536232,69,67
0.0,,0.25401286329038647,0.421875,64,27
0.0445,,0.1771480897843865,0.36619718309859156,71,26
0.0,,0.011625603038838491,0.18333333333333332,60,11
0.0,,1.0,1.1290322580645162,62,70
0.0,,0.029057997322928766,0.22033898305084745,59,13
0.121,,0.8770883583650915,0.8840579710144928,69,61
0.0,,0.11648415777349691,0.31746031746031744,63,20
0.0,,0.42806302118317596,0.5409836065573771,61,33
0.0,,0.008850576089052096,0.1746031746031746,63,11
0.0,,0.1525901057568839,0.3472222222222222,72,25
0.167,,0.8071177470053892,0.8235294117647058,34,28
0.0,,0.6605819128108575,0.7068965517241379,58,41
0.0,,1.0,3.5,24,84
0.0,,0.6790253796134038,0.7209302325581395,43,31
0.0,,0.6312836455069258,0.684931506849315,73,50
0.0,,0.301194211912202,0.45454545454545453,66,30
0.0,,1.0,1.6428571428571428,42,69
0.0,,0.059395939605204784,0.26153846153846155,65,17
0.0,,0.6303131865967199,0.6842105263157895,57,39
0.0,,0.007379193640893606,0.16923076923076924,65,11
0.0,,1.0,1.144927536231884,69,79
0.0253,,0.10964292652341259,0.3114754098360656,61,19
0.0,,0.9375209928337671,0.9393939393939394,66,62
0.0375,,0.8420844271433824,0.8533333333333334,75,64
0.0,,1.0,1.75,24,42
0.0812,,0.3141468469837144,0.4634146341463415,41,19
0.0,,1.0,1.4193548387096775,31,44
0.0,,0.15611804531597107,0.35,80,28
0.2005,,0.7788007830714049,0.8,20,16
0.0725,,0.34489469893018204,0.484375,64,31
0.0,,0.36787944117144233,0.5,58,29
0.0,,0.6183075876067514,0.6753246753246753,77,52
0.0,,1.0,1.196969696969697,66,79
0.0,,0.1353352832366127,0.3333333333333333,63,21
0.0,,0.06948345122280151,0.2727272727272727,66,18
0.0,,0.06827507409934686,0.2714285714285714,70,19
0.0,,1.0,1.1403508771929824,57,65
0.0,,0.031220927161230903,0.22388059701492538,67,15
0.0,,1.0,1.0377358490566038,53,55
0.0,,1.0,2.5384615384615383,26,66
0.0,,1.0,1.7105263157894737,38,65
0.0,,0.6291317189268474,0.6833333333333333,60,41
0.0,,0.07515254527331507,0.2786885245901639,61,17
0.0,,0.26644680930115217,0.4305555555555556,72,31
0.0,,0.12058690105553616,0.32098765432098764,81,26
0.0,,0.8410729144396826,0.8524590163934426,61,52
0.1235,,0.36787944117144233,0.5,60,30
0.0,,0.76396693524234,0.7878787878787878,66,52
0.0,,1.0,1.1147540983606556,61,68
0.0,,0.6065306597126334,0.6666666666666666,66,44
0.0,,0.846481724890614,0.8571428571428571,63,54
0.0,,0.5682366036329846,0.6388888888888888,72,46
0.0,,0.022692647952160423,0.208955223880597,67,14
0.0,,0.8824969025845955,0.8888888888888888,54,48
0.0598,,0.16986907720473504,0.36065573770491804,61,22
0.0452,,0.9143404998207534,0.9178082191780822,73,67
0.0,,0.31890655732397044,0.4666666666666667,75,35
0.0,,0.573753420737433,0.6428571428571429,70,45
0.0,,0.8420844271433824,0.8533333333333334,75,64
0.0,,0.9160179684893867,0.9193548387096774,62,57
0.0576,,0.2682624534699609,0.4318181818181818,44,19
0.0,,0.05452527577743519,0.2558139534883721,43,11
0.0,,0.951229424500714,0.9523809523809523,63,60
0.0,,0.03567399334725241,0.23076923076923078,65,15
0.0,,1.0,1.9166666666666667,24,46
0.0,,0.20528965757990925,0.3870967741935484,62,24
0.0,,0.6849712733063196,0.7254901960784313,51,37
0.0,,1.0,1.028169014084507,71,73
0.0,,0.0319224918348957,0.225,80,18
0.0,,0.2800667608216488,0.44,25,11
0.0,,0.23350647909091338,0.4074074074074074,54,22
0.1017,,0.6183075876067514,0.6753246753246753,77,52
0.0,,0.05563799827784279,0.2571428571428571,70,18
0.0,,1.0,1.0147058823529411,68,69
0.0,,0.7256012068189802,0.7571428571428571,70,53
0.0,,1.0,1.9210526315789473,38,73
0.0,,0.8157040254665104,0.8307692307692308,65,54
0.0429,,0.36787944117144233,0.5,64,32
0.0633,,1.0,1.0140845070422535,71,72
0.0,,0.16179445082910107,0.35443037974683544,79,28
0.0,,0.36787944117144233,0.5,40,20
0.0,,0.21530184919758028,0.39436619718309857,71,28
0.0,,0.880152954687935,0.8867924528301887,53,47
0.0,,0.1811674869469222,0.36923076923076925,65,24
0.002,,0.010051835744633586,0.17857142857142858,84,15
0.0,,1.0,1.046875,64,67
0.0,,1.0,1.5853658536585367,41,65
0.0,,0.34686364525689223,0.4857142857142857,70,34
0.0,,1.0,1.1875,64,76
0.3972,,0.6807123983233854,0.7222222222222222,36,26
0.0,,0.7894935331710389,0.8088235294117647,68,55
0.0,,0.9844964370054085,0.9846153846153847,65,64
0.28,,0.6918258252705171,0.7307692307692307,26,19
0.2234,,0.7351414805916845,0.7647058823529411,34,26
0.2032,,1.0,2.586206896551724,29,75
0.0,,0.1353352832366127,0.3333333333333333,54,18
0.0,,0.7074036474040618,0.7428571428571429,70,52
0.0,,0.22313016014842982,0.4,60,24
0.0,,1.0,1.1805555555555556,72,85
0.0,,1.0,1.603448275862069,58,93
0.0,,0.012732005168249957,0.1864406779661017,59,11
0.0,,0.8858460329277067,0.8918918918918919,74,66
0.0,,0.3888955639892228,0.5142857142857142,70,36
0.0585,,1.0,1.2115384615384615,52,63
0.0,,0.06572852861653047,0.26865671641791045,67,18
0.0,,0.9696993240246985,0.9701492537313433,67,65
0.0,,1.0,1.0923076923076922,65,71
0.0,,0.2147111723416972,0.3939393939393939,66,26
0.0,,0.39086465125630715,0.515625,64,33
0.0,,0.7351414805916845,0.7647058823529411,68,52
0.0,,0.28176928909495835,0.4411764705882353,34,15
0.0,,0.4723665527410147,0.5714285714285714,35,20
0.0,,0.01831563888873418,0.2,70,14
0.0,,0.7299240328711835,0.7605633802816901,71,54
0.0,,0.5179405887454284,0.6031746031746031,63,38
0.043,,0.36787944117144233,0.5,76,38
0.0,,0.31890655732397044,0.4666666666666667,60,28
0.0,,0.4723665527410147,0.5714285714285714,77,44
0.2081,,0.6474053920839111,0.696969696969697,33,23
0.1228,,0.28340747803507327,0.4423076923076923,52,23
0.0,,0.00795994384870645,0.17142857142857143,70,12
0.0,,0.19691167520419406,0.38095238095238093,63,24
0.0,,1.0,2.206896551724138,29,64
0.0,,0.9329119603871474,0.935064935064935,77,72
0.0,,1.0,1.0,56,56
0.3843,,0.6761743325317475,0.71875,32,23
0.0758,,0.40130101266111917,0.5227272727272727,44,23
0.0,,0.257395142052568,0.42424242424242425,66,28
0.0,,0.04173268733758947,0.23943661971830985,71,17
0.0526,,0.30314368222812843,0.45588235294117646,68,31
0.0,,0.7819991390908588,0.8026315789473685,76,61
0.0,,0.9478382358546584,0.9491525423728814,59,56
0.0,,0.5682366036329846,0.6388888888888888,72,46
0.0,,0.6065306597126334,0.6666666666666666,27,18
0.0,,1.0,1.126984126984127,63,71
0.0,,0.49774149722499034,0.589041095890411,73,43
0.0,,1.0,1.0857142857142856,70,76
0.0,,1.0,5.909090909090909,11,65
0.0,,1.0,2.0555555555555554,18,37
0.0,,1.0,1.0923076923076922,65,71
0.0361,,0.30352002442964,0.45614035087719296,57,26
0.0,,0.2635971381157267,0.42857142857142855,77,33
0.0,,0.7746692236459022,0.7966101694915254,59,47
0.0,,0.9487294800164372,0.95,40,38
0.0,,1.0,1.2307692307692308,26,32
0.0,,0.8770883583650915,0.8840579710144928,69,61
0.0,,0.9677447783045844,0.9682539682539683,63,61
0.0,,1.0,9.166666666666666,6,55
0.0,,0.8979038320326344,0.9027777777777778,72,65
0.0,,1.0,1.2758620689655173,58,74
0.0,,0.17377394345044514,0.36363636363636365,66,24
0.0,,0.2306931822549629,0.40540540540540543,74,30
0.0,,0.07585380812713456,0.27941176470588236,68,19
0.0225,,0.033373269960326066,0.22727272727272727,66,15
0.0,,0.006737946999085467,0.16666666666666666,66,11
0.0,,0.8863089783224138,0.8923076923076924,65,58
0.0,,0.8125749118638209,0.828125,64,53
0.0,,0.3791979291581653,0.5076923076923077,65,33
0.0,,1.0,2.388888888888889,18,43
0.0,,0.9160179684893867,0.9193548387096774,62,57
0.0,,0.5647181220077593,0.6363636363636364,33,21
0.0109,,0.025034510149960148,0.21333333333333335,75,16
0.0365,,0.2140240971774475,0.39344262295081966,61,24
0.0034,,0.007858544670151705,0.17105263157894737,76,13
0.0,,0.7583610066230462,0.7833333333333333,60,47
0.0,,0.740818220681718,0.7692307692307693,52,40
0.0,,1.0,2.037037037037037,27,55
0.0,,0.0776490817034759,0.28125,64,18
0.0,,0.24836467657051403,0.417910447761194,67,28
0.0,,0.8364643072929833,0.8484848484848485,66,56
0.0,,0.2592402606458915,0.425531914893617,47,20
0.0,,0.7860453895188959,0.8059701492537313,67,54
0.0,,0.08989698196504782,0.29333333333333333,75,22
0.0,,0.2584789094739671,0.425,80,34
0.0,,1.0,2.3684210526315788,19,45
0.0,,0.6616335155278887,0.7076923076923077,65,46
0.0,,0.8071177470053892,0.8235294117647058,68,56
0.0,,1.0,1.4848484848484849,33,49
0.0,,0.7494156282712189,0.7761194029850746,67,52
0.0,,1.0,1.09375,64,70
0.0,,0.6856702235245872,0.726027397260274,73,53
0.0,,1.0,2.3333333333333335,15,35
0.0197,,0.05563799827784279,0.2571428571428571,70,18
0.0,,0.08427380392170367,0.2878787878787879,66,19
0.0,,0.06392786120670757,0.26666666666666666,60,16
0.2763,,0.513417119032592,0.6,30,18
0.0,,0.970590386975144,0.9710144927536232,69,67
0.0,,0.20528965757990925,0.3870967741935484,62,24
0.0266,,0.0734528840893181,0.27692307692307694,65,18
0.0,,0.08737902619542039,0.2909090909090909,55,16
0.0,,0.7390973893525953,0.7678571428571429,56,43
0.1484,,0.4266241552421305,0.54,50,27
0.0,,1.0,3.7142857142857144,14,52
0.0,,0.9048374180359595,0.9090909090909091,66,60
0.0,,0.15987974607969396,0.35294117647058826,68,24
0.0,,0.140858420921045,0.33783783783783783,74,25
0.0,,0.028565500784550377,0.21951219512195122,82,18
0.0,,0.9701515036966302,0.9705882352941176,68,66
0.1566,,0.36787944117144233,0.5,64,32
0.0,,1.0,3.35,20,67
0.0474,,1.0,1.5365853658536586,41,63
0.0,,0.10025884372280375,0.30303030303030304,66,20
0.0,,0.17377394345044514,0.36363636363636365,77,28
0.0,,0.04426118996980666,0.24285714285714285,70,17
0.0135,,0.03934863011150552,0.2361111111111111,72,17
0.0,,0.7819991390908588,0.8026315789473685,76,61
0.0,,0.21871188695221475,0.3968253968253968,63,25
0.0,,0.9854017210216538,0.9855072463768116,69,68
0.0605,,0.8360185496124651,0.8481012658227848,79,67
0.0,,1.0,1.1296296296296295,54,61
0.0,,1.0,2.7142857142857144,21,57
0.0,,0.1666821344779465,0.3582089552238806,67,24
0.0,,1.0,1.161764705882353,68,79
0.0,,0.8668778997501817,0.875,64,56
0.0,,0.07196474394172296,0.2753623188405797,69,19
0.0,,0.9534969548334766,0.9545454545454546,44,42
0.0,,0.43459820850707814,0.5454545454545454,66,36
0.0527,,0.4371030904024768,0.5471698113207547,53,29
0.0,,0.9562115350803678,0.9571428571428572,70,67
0.0,,0.6187833918061408,0.6756756756756757,74,50
0.0,,0.03243324089479551,0.22580645161290322,62,14
0.0,,0.7475836370778213,0.7746478873239436,71,55
0.0,,0.8539396656235351,0.8636363636363636,66,57
0.0,,0.36787944117144233,0.5,60,30
0.0,,0.011108996538242306,0.18181818181818182,77,14
0.0,,0.6065306597126334,0.6666666666666666,39,26
0.0,,1.0,1.4705882352941178,34,50
0.0,,0.38776010329632493,0.5135135135135135,74,38
