r1_p,r1_r,r1_f,r2_p,r2_r,r2_f,rL_p,rL_r,rL_f
9.09,4.92,6.38,0.0,0.0,0.0,6.0600000000000005,3.2800000000000002,4.26
39.129999999999995,29.03,33.33,13.639999999999999,10.0,11.540000000000001,30.43,22.58,25.929999999999996
33.33,4.6899999999999995,8.219999999999999,0.0,0.0,0.0,11.110000000000001,1.5599999999999998,2.74
37.14,32.5,34.67,20.59,17.95,19.18,31.430000000000003,27.500000000000004,29.330000000000002
14.549999999999999,25.0,18.39,3.6999999999999997,6.45,4.71,10.91,18.75,13.79
5.36,5.08,5.220000000000001,1.82,1.72,1.77,5.36,5.08,5.220000000000001
14.52,12.5,13.43,0.0,0.0,0.0,9.68,8.33,8.959999999999999
57.14,66.67,61.53999999999999,38.46,45.45,41.67,57.14,66.67,61.53999999999999
24.14,26.919999999999998,25.45,7.140000000000001,8.0,7.55,20.69,23.080000000000002,21.82
12.07,12.5,12.280000000000001,0.0,0.0,0.0,8.62,8.93,8.77
61.11,15.709999999999999,25.0,11.76,2.9000000000000004,4.65,38.89,10.0,15.909999999999998
13.04,11.32,12.120000000000001,0.0,0.0,0.0,8.7,7.55,8.08
66.67,17.95,28.28,25.0,6.49,10.31,52.38,14.099999999999998,22.220000000000002
41.67,14.29,21.279999999999998,9.09,2.94,4.44,25.0,8.57,12.770000000000001
1.7500000000000002,1.6099999999999999,1.68,0.0,0.0,0.0,1.7500000000000002,1.6099999999999999,1.68
20.0,12.24,15.190000000000001,0.0,0.0,0.0,16.669999999999998,10.2,12.659999999999998
11.360000000000001,14.29,12.659999999999998,4.65,5.88,5.19,11.360000000000001,14.29,12.659999999999998
42.11,11.76,18.39,5.56,1.49,2.35,31.580000000000002,8.82,13.79
53.33,10.530000000000001,17.580000000000002,21.43,4.0,6.74,46.67,9.21,15.379999999999999
17.02,21.62,19.05,6.52,8.33,7.32,12.770000000000001,16.220000000000002,14.29
14.06,16.98,15.379999999999999,3.17,3.85,3.4799999999999995,12.5,15.09,13.68
27.779999999999998,27.779999999999998,27.779999999999998,11.76,11.76,11.76,27.779999999999998,27.779999999999998,27.779999999999998
6.5600000000000005,9.3,7.6899999999999995,0.0,0.0,0.0,4.92,6.98,5.7700000000000005
18.87,15.870000000000001,17.24,7.6899999999999995,6.45,7.02,16.98,14.29,15.52
33.33,11.29,16.869999999999997,5.0,1.6400000000000001,2.4699999999999998,28.57,9.68,14.46
19.64,15.49,17.32,7.2700000000000005,5.71,6.4,16.07,12.68,14.17
92.31,41.38,57.14,83.33,35.709999999999994,50.0,92.31,41.38,57.14
44.0,73.33,55.00000000000001,33.33,57.14,42.11,40.0,66.67,50.0
34.29,20.69,25.81,5.88,3.51,4.3999999999999995,25.71,15.52,19.35
10.26,5.970000000000001,7.55,0.0,0.0,0.0,10.26,5.970000000000001,7.55
58.330000000000005,16.28,25.45,27.27,7.140000000000001,11.32,50.0,13.950000000000001,21.82
27.589999999999996,14.549999999999999,19.05,0.0,0.0,0.0,27.589999999999996,14.549999999999999,19.05
13.639999999999999,13.239999999999998,13.43,0.0,0.0,0.0,9.09,8.82,8.959999999999999
21.88,12.73,16.09,9.68,5.56,7.06,18.75,10.91,13.79
16.669999999999998,15.790000000000001,16.220000000000002,1.8900000000000001,1.79,1.83,11.110000000000001,10.530000000000001,10.81
14.75,13.239999999999998,13.950000000000001,1.67,1.49,1.5699999999999998,9.84,8.82,9.3
15.15,19.23,16.950000000000003,0.0,0.0,0.0,9.09,11.540000000000001,10.17
38.89,10.61,16.669999999999998,5.88,1.54,2.44,33.33,9.09,14.29
25.419999999999998,23.810000000000002,24.59,8.62,8.06,8.33,18.64,17.46,18.029999999999998
25.0,9.3,13.56,6.67,2.3800000000000003,3.51,25.0,9.3,13.56
36.84,22.58,28.000000000000004,16.669999999999998,10.0,12.5,31.580000000000002,19.35,24.0
77.78,28.000000000000004,41.18,62.5,20.830000000000002,31.25,77.78,28.000000000000004,41.18
76.92,13.51,22.99,50.0,8.219999999999999,14.12,76.92,13.51,22.99
15.379999999999999,12.24,13.639999999999999,2.63,2.08,2.33,10.26,8.16,9.09
8.57,4.4799999999999995,5.88,0.0,0.0,0.0,8.57,4.4799999999999995,5.88
72.22,23.21,35.14,52.94,16.36,25.0,72.22,23.21,35.14
35.0,11.86,17.72,5.26,1.72,2.6,30.0,10.17,15.190000000000001
33.33,12.120000000000001,17.78,4.35,1.54,2.27,29.17,10.61,15.559999999999999
6.67,7.5,7.06,2.27,2.56,2.41,6.67,7.5,7.06
26.090000000000003,12.5,16.900000000000002,0.0,0.0,0.0,13.04,6.25,8.450000000000001
7.6899999999999995,1.96,3.1199999999999997,0.0,0.0,0.0,7.6899999999999995,1.96,3.1199999999999997
45.0,14.06,21.43,15.790000000000001,4.760000000000001,7.32,35.0,10.94,16.669999999999998
6.58,8.62,7.46,1.3299999999999998,1.7500000000000002,1.52,5.26,6.9,5.970000000000001
50.0,11.27,18.39,26.669999999999998,5.71,9.41,50.0,11.27,18.39
35.29,11.540000000000001,17.39,18.75,5.88,8.959999999999999,35.29,11.540000000000001,17.39
40.0,13.79,20.51,21.05,7.02,10.530000000000001,40.0,13.79,20.51
26.090000000000003,18.75,21.82,2.22,1.59,1.8499999999999999,19.57,14.06,16.36
36.67,15.939999999999998,22.220000000000002,13.79,5.88,8.25,30.0,13.04,18.18
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47.06,12.120000000000001,19.28,12.5,3.08,4.9399999999999995,29.409999999999997,7.580000000000001,12.049999999999999
8.33,4.55,5.88,0.0,0.0,0.0,8.33,4.55,5.88
12.9,16.0,14.29,3.2800000000000002,4.08,3.64,9.68,12.0,10.71
6.67,2.22,3.3300000000000005,0.0,0.0,0.0,6.67,2.22,3.3300000000000005
47.14,46.48,46.81,20.29,20.0,20.14,38.57,38.03,38.3
7.41,3.64,4.88,0.0,0.0,0.0,3.6999999999999997,1.82,2.44
18.57,21.310000000000002,19.85,1.4500000000000002,1.67,1.55,10.0,11.48,10.69
5.41,7.41,6.25,0.0,0.0,0.0,2.7,3.6999999999999997,3.1199999999999997
59.089999999999996,18.84,28.57,19.05,5.88,8.99,45.45,14.49,21.98
41.18,20.0,26.919999999999998,18.75,8.82,12.0,29.409999999999997,14.29,19.23
16.950000000000003,15.620000000000001,16.259999999999998,1.72,1.59,1.6500000000000001,15.25,14.06,14.63
41.67,16.13,23.26,27.27,10.0,14.63,41.67,16.13,23.26
12.120000000000001,12.9,12.5,3.08,3.2800000000000002,3.17,12.120000000000001,12.9,12.5
8.62,10.870000000000001,9.62,0.0,0.0,0.0,6.9,8.7,7.6899999999999995
17.95,35.0,23.73,7.89,15.790000000000001,10.530000000000001,17.95,35.0,23.73
77.78,53.849999999999994,63.63999999999999,50.0,33.33,40.0,77.78,53.849999999999994,63.63999999999999
77.78,19.439999999999998,31.11,62.5,14.29,23.26,77.78,19.439999999999998,31.11
14.63,20.69,17.14,0.0,0.0,0.0,7.32,10.34,8.57
46.88,38.46,42.25,22.58,18.42,20.29,37.5,30.769999999999996,33.800000000000004
33.33,32.0,32.65,13.04,12.5,12.770000000000001,33.33,32.0,32.65
12.5,5.36,7.5,4.35,1.82,2.56,12.5,5.36,7.5
20.0,11.76,14.81,10.530000000000001,6.0600000000000005,7.6899999999999995,15.0,8.82,11.110000000000001
9.43,12.82,10.870000000000001,1.92,2.63,2.22,5.66,7.6899999999999995,6.52
10.0,3.85,5.56,0.0,0.0,0.0,10.0,3.85,5.56
10.530000000000001,6.67,8.16,0.0,0.0,0.0,7.89,5.0,6.12
12.5,3.39,5.33,0.0,0.0,0.0,12.5,3.39,5.33
4.88,2.86,3.5999999999999996,2.5,1.4500000000000002,1.83,4.88,2.86,3.5999999999999996
26.47,14.75,18.95,3.0300000000000002,1.67,2.15,17.65,9.84,12.629999999999999
65.38000000000001,28.33,39.53,40.0,16.950000000000003,23.810000000000002,61.53999999999999,26.669999999999998,37.21
12.770000000000001,17.14,14.63,0.0,0.0,0.0,10.639999999999999,14.29,12.2
34.78,13.33,19.28,9.09,3.39,4.9399999999999995,21.740000000000002,8.33,12.049999999999999
41.18,11.110000000000001,17.5,6.25,1.6099999999999999,2.56,41.18,11.110000000000001,17.5
