reference,system
"unter ionenwind versteht man einen gerichteten fluss von ionen, also eine art der ionenstrahlung. erzeugt wird er durch eine gasentladung, die von einer an positiver hochspannung liegenden elektrode ( meist spitz geformt, was eine sehr starke inhomogenität des elektrischen feldes mit sich bringt ) ausgeht. die ionisation erfolgt durch entzug von elektronen. die so erzeugten positiv geladenen ionen werden dann von dieser","der elektrische wind ( auch elektrische wind ) ist ein elektrisches feld, bei dem ionen, ionen, ionen, ionen, ionen, ionen, ionen, ionen, ionen, ionen, ionen, ionen, ionen, ionen, ionen, ionen, ionen, ionen, ionen, ionen, ion"
"horror vacui ( lat. scheu vor der leere ) bezeichnet in der kunst den wunsch, alle leeren flächen, besonders in der malerei und im relief, mit darstellungen oder ornamenten zu füllen.","horror vacui ( auch horror vacui oder horror vacui genannt ) ist ein begriff aus der kunst, der in der architektur und architektur verwendet wird."
"bei der kryptosporidiose handelt es sich um eine durchfallerkrankung durch die zu den apicomplexa gehörenden kryptosporidien. bei menschen mit zellulärer immunschwäche ( z. b. aids ) tritt diese sonst seltene erkrankung gehäuft auf. die übertragung erfolgt als orale infektion durch die aufnahme infizierter speisen oder infizierten trinkwassers. eine infektion über infizierte haus- und nutztiere, sowie von mensch zu mensch ist möglich.",cryptosporidium ist eine infektionskrankheit aus der gattung der protozoen.
"wonder woman ist einer der ältesten superhelden ( und die erste superheldin ) des dc-comics-verlags. sie wurde von william moulton marston und seiner frau, elizabeth holloway marston ( sadie ), geschaffen und hatte ihren ersten auftritt 1941 in all star comics # 8.","die krise auf infinite earths ( dc comics ) ist eine us-amerikanische comic-serie, die von william moulton marston und william moulton marston entwickelt wurde. sie wurde von william moulton marston und william moulton marston entwickelt."
"dieser artikel beschreibt die grammatik der georgischen sprache ( eigenbezeichnung : [ kartuli ena ] ქართული ენა ). die grammatik des georgischen und der anderen sogenannten kaukasischen sprachen ist so umfangreich, dass hier keineswegs alle einzelheiten aufgeführt sind.","die georgianische grammatik ( auch georgianische grammatik, georgianische grammatik ) ist eine grammatik, die sich mit der grammatik, der grammatik und der grammatik beschäftigt. die georgianische grammatik befasst sich mit der grammatik, der grammatik, der grammatik, der grammatik, der grammatik, der grammatik, der grammatik, der grammatik, der grammatik, der grammatik, der grammatik, der grammatik, der grammatik"
"ein zwiebelturm ist ein turm mit einer zwiebelhaube oder einem zwiebelhelm, z. b. ein kirchturm, dessen spitze in form einer zwiebel gearbeitet ist. der untere teil der spitze ist bauchig und läuft nach oben spitz zusammen, vergleichbar mit den kirchtürmen der moskauer basilius-kathedrale. neben runden bauformen werden auch türme mit eckigen turmhauben als zwiebelturm bezeichnet.","ein onion dome ( russisch onion dome, russisch onion dome, russisch onion dome, russisch onion dome, russisch onion dome, russisch onion dome, russisch onion dome, russisch onion dome, russisch onion dome, russisch onion dome, russisch onion dome, russisch onion dome, russisch onion dome, russisch onion dome, russisch onion dome, russisch onion dome, russisch onion dome ) ist ein"
"als partikelschwarmoptimierung ( pso ) wird ein naturanaloges optimierungsverfahren bezeichnet, das nach dem vorbild des biologischen schwarmverhaltens eine lösung für ein optimierungsproblem sucht. analog zum natürlichen phänomen wird eine population von lösungskandidaten durch den suchraum bewegt, um eine gute lösung für das problem zu erhalten. in jedem rechenschritt wird dazu die position jedes individuums neu berechnet. die pso ist eine metaheuristik, sie wurde 1995 von james kenne","das pso-algorithmus ist ein algorithmus, das einen algorithmus entwickelt, um einen algorithmus zu ermöglichen. es handelt sich um einen algorithmus, bei dem die anzahl der anzahl der anzahl der anzahl der anzahl der anzahl der anzahl der anzahl der anzahl der anzahl der anzahl der anzahl der anzahl der anzahl der anzahl der anzahl der anzahl der anzahl der anzahl"
"james rumbaugh ( * 22. august 1947 in bethlehem, pennsylvania ) ist ein amerikanischer informatiker.","william william rumbaugh ( * 30. juni 1930 in bethlehem, pennsylvania ) ist ein us-amerikanischer informatiker."
das archaeological institute of america ( aia ) ist eine us-amerikanische non-profit-organisation zur förderung der archäologie mit sitz in boston und new york.,"das institute of archaeology ( aia ) ist ein forschungsinstitut, das sich mit der entwicklung des institute of archaeology ( aia ) befasst. das institut wurde von andrew m. t. moore gegründet."
"hirnventrikel sind mit hirnwasser ( liquor cerebrospinalis ) gefüllte hohlräume im gehirn. sie bilden, zusammen mit dem rückenmarkskanal ( canalis centralis medullaris ), den inneren liquorraum. das gehirn weist je einen seitenventrikel in jeder großhirnhemisphäre auf, einen dritten ventrikel im zwischenhirn und den vierten ventrikel im rhombencephalon. diese vier hirnventrikel stehen durch löcher ( foramina","der vierte ventrikel ( lateinisch quintus quintus quintus ) ist ein ventrikelsystem, das im vorderen und vorderen bereich des hirns entsteht. der vierte ventrikel befindet sich im vorderen ventrikel. der vierte ventrikel befindet sich im vorderen ventrikel. der vierte ventrikel befindet sich im vorderen ventrikel. der vierte ventrikel befindet sich im vorderen ventrikel. der vierte ventrikel liegt im vorderen ventrikel,"
"basic english oder einfaches englisch ist eine von charles kay ogden geschaffene vereinfachte form der englischen sprache mit stark verkleinertem vokabular. die englischvariante wird manchmal auch als plansprache bezeichnet, da diese form des englischen einst als welthilfssprache dienen sollte. es ist nicht mit dem formal ähnlichen, jedoch für ein sehr spezielles anwendungsgebiet geschaffenen simplified english zu verwechseln. basic ist die abkürzung für british american scientific international commercial (","basic english ( auch : basic english, englisch basic english ) ist eine sprachwissenschaft, die sich mit der grammatik beschäftigt."
"randori ( japanisch 乱取り, wörtlich : das chaos nehmen ) ist eine übungsform des kampfes im budō, den japanischen kampfkünsten. sinngemäß steht dabei der übungskampf randori dem shiai − dem eigentlichen wettkampf − gegenüber. beim randori geht es nicht um gewinnen oder verlieren, sondern darum die zuvor erlernten techniken im fluss des kampfes anwenden zu lernen.","randori ( jap. randori, auch randori oder randori ) ist ein kampfsport, bei dem zwei gegner einen kampf, einen kampf, einem kampf, einem kampf, einem kampf, einem kampf, einem kampf, einem kampf, einem kampf, einem kampf, einem kampf, einem kampf, einem kampf, einem kampf, einem kampf, einem kampf,"
"die manhattan bridge ist eine hängebrücke in new york city, die den east river überquert und die beiden stadtteile lower manhattan ( chinatown ) und brooklyn miteinander verbindet. die am 31. dezember 1909 eröffnete, aber erst einige monate später fertiggestellte brücke war nach der brooklyn bridge und der williamsburg bridge die letzte der drei über den east river gebauten hängebrücken. auf ihren zwei ebenen hat sie heute insgesamt vier gleise der new york",die manhattan bridge ( auch : brooklyn bridge ) ist eine brückenbrücke zwischen brooklyn und williamsburg. sie liegt zwischen brooklyn und williamsburg.
"über sinn und bedeutung ist ein 1892 erschienener aufsatz von gottlob frege. frege erläutert darin die grundbegriffe seiner sprachphilosophie. die abhandlung wurde auch in der linguistik, speziell in der semantik, rezipiert ( vgl. lyons 1980 ).",die begriffsschrift ( auch begriffsschrift oder begriffsschrift ) ist ein begriff aus der sprachwissenschaft.
"leon schidlowsky ( * 21. juli 1931 in santiago de chile ) ist ein chilenisch-israelischer komponist und maler. er schreibt werke für orchester, kammerensemble, chor und für einzelne instrumente. außerdem komponierte er ca. 65 musikalische werke mit graphischer notation. seine musikalischen werke wurden in verschiedenen ländern aufgeführt. durch verschiedene musikalische gruppierungen, solisten und orchester sowie dirigenten wurden seine werke","juan de la guana ( auch juan de la guana, juan de la guana, juan de la guana, juan de la guana, juan de la guana, juan de la guana, juan de la guana, juan de la guana, juan de la guana, juan de la guana, juan de la guana, juan de la guana, juan de la guana )"
"die begriffe mikrobiom und mikrobiota ( griechisch μικρός mikrós ‚klein ‘, griechisch βίος bios ‚leben ‘ ) bezeichnen im weitesten sinn die gesamtheit aller mikroorganismen der erde ( biom ), welche die erdkruste, die gewässer und die erdatmosphäre besiedeln. im engeren sinn ist die gesamtheit aller den menschen oder andere lebewesen besiedelnden mikroorganismen gemeint.","die mikrobiologie ist ein teilgebiet der biologie, das sich mit der entwicklung und entwicklung von organismen beschäftigt. die mikrobiologie beschäftigt sich mit der entwicklung und entwicklung von organismen."
"die aleph-funktion, benannt nach dem ersten buchstaben des hebräischen alphabets und auch als א { \displaystyle \aleph } geschrieben, ist eine in der mengenlehre, genauer in der theorie der kardinalzahlen, verwendete aufzählung aller unendlichen kardinalzahlen.","die aleph-funktion ( auch aleph-funktion, auch aleph-funktion, aleph-funktion, aleph-funktion, aleph-funktion, aleph-funktion, aleph-funktion, aleph-funktion, aleph-funktion, aleph-funktion, aleph-funktion, aleph-funktion, aleph-funktion, aleph-funktion, aleph-funktion, aleph-funktion, aleph-funktion, aleph-funktion, aleph-funktion, aleph-"
"der rote kamm ist ein einschlagkrater mittlerer größe in der namib im süden namibias innerhalb des tsau-ǁkhaeb- ( sperrgebiet ) -nationalparks ( ehemals diamantensperrgebiet ), in der region ǁkaras. der krater hat einen durchmesser von etwa 2,5 kilometer und ist etwa 130 meter tief, wobei er mit einer etwa 100 meter dicken sandschicht bedeckt ist. das alter des kraters wird auf etwa 3,7 ( ± 0,3 ) millionen jahre",der roter kamm-krater ist ein krater im us-bundesstaat kalifornien. er befindet sich im zentrum der stadt roter.
