bs_p,bs_r,bs_f
75.88000000000001,65.11,70.08
71.0,66.03,68.42
72.2,64.87,68.34
77.78,69.41000000000001,73.35000000000001
78.38000000000001,68.58,73.15
54.279999999999994,53.690000000000005,53.98
72.17,66.10000000000001,69.0
65.85,88.92999999999999,75.66000000000001
69.55,71.21,70.37
68.38,65.53999999999999,66.93
69.23,60.11,64.35
56.84,64.67,60.51
79.32000000000001,67.64,73.00999999999999
64.60000000000001,66.33,65.45
81.82000000000001,66.33,73.26
72.17,63.01,67.28
74.39,69.65,71.94
64.31,61.88,63.07000000000001
73.7,63.959999999999994,68.49
62.260000000000005,67.41,64.73
68.22,66.94,67.57
82.39,84.82,83.59
59.75,61.51,60.62
64.11,63.77,63.94
70.0,62.89,66.25
69.13,66.25999999999999,67.66
94.26,79.05,85.99
82.76,84.78999999999999,83.76
63.73,65.72,64.71000000000001
61.83,61.83,61.83
71.39999999999999,64.49000000000001,67.77
64.23,63.93,64.08
71.02000000000001,62.94,66.74
68.97,61.35,64.94
64.14,65.13,64.63
64.56,55.50000000000001,59.69
55.44,67.7,60.96
78.10000000000001,65.74,71.39
54.86,63.580000000000005,58.9
71.3,63.7,67.28
66.42,66.86999999999999,66.64
83.08,67.60000000000001,74.53999999999999
86.86,68.42,76.55
72.47,64.61,68.32000000000001
56.79,60.75000000000001,58.709999999999994
85.00999999999999,74.2,79.23
75.97,63.580000000000005,69.23
64.05999999999999,63.93,64.0
58.540000000000006,59.730000000000004,59.13
66.22,59.5,62.68
59.63,58.15,58.879999999999995
75.97,65.25,70.19999999999999
71.15,65.03999999999999,67.96
78.53999999999999,69.91000000000001,73.97
74.81,62.150000000000006,67.9
65.34,59.199999999999996,62.12
72.57000000000001,64.03,68.03
72.46000000000001,60.84,66.14
61.07,70.43,65.42
70.84,62.61,66.47
72.50999999999999,69.16,70.8
71.39,61.73,66.21000000000001
61.46,61.91,61.68
80.31,77.79,79.03
61.14000000000001,54.42,57.589999999999996
65.64999999999999,64.84,65.24
69.75,64.59,67.07
71.57,66.58,68.99
75.62,72.78,74.17
55.88999999999999,52.82,54.31
81.03,68.12,74.02
74.91,66.47999999999999,70.44
74.53,72.1,73.29
78.4,80.76,79.56
77.75999999999999,79.64,78.69
87.02,74.64,80.36
65.86999999999999,59.13,62.32
75.44999999999999,71.04,73.17
79.13,69.99,74.28
66.74,65.28,66.0
66.79,70.00999999999999,68.36
62.2,62.980000000000004,62.59
71.05,62.03999999999999,66.24
57.45,55.78999999999999,56.61000000000001
61.660000000000004,62.23,61.95
67.04,59.78,63.2
87.53,66.55,75.61
83.04,65.86,73.46000000000001
69.37,69.35,69.36
65.7,61.129999999999995,63.33
54.300000000000004,52.690000000000005,53.480000000000004
59.38,57.42,58.39
61.22,61.36000000000001,61.29
66.86999999999999,59.08,62.73
77.2,65.84,71.07
77.16,62.08,68.8
52.400000000000006,55.58,53.94
77.16,67.93,72.25
78.14,67.10000000000001,72.2
58.879999999999995,59.650000000000006,59.260000000000005
65.60000000000001,65.12,65.36
75.71,59.45,66.60000000000001
66.21000000000001,65.46,65.83
86.88,84.68,85.76
69.95,61.980000000000004,65.72
54.24,63.63999999999999,58.56
70.11,71.67999999999999,70.89
62.3,59.27,60.75000000000001
62.519999999999996,62.760000000000005,62.63999999999999
67.27,64.02,65.61
65.8,65.07,65.42999999999999
61.33,65.75999999999999,63.46000000000001
72.28999999999999,63.71,67.73
67.12,61.040000000000006,63.94
72.85000000000001,57.330000000000005,64.17
57.24,61.45,59.27
57.78,57.4,57.589999999999996
52.23,58.47,55.169999999999995
80.97999999999999,72.25,76.37
79.74,79.72,79.73
79.10000000000001,66.67,72.36
77.12,74.85000000000001,75.97
69.91000000000001,68.75,69.33
72.8,61.5,66.67999999999999
54.50000000000001,55.95,55.22
60.31999999999999,55.95,58.050000000000004
57.3,59.150000000000006,58.209999999999994
71.41,59.489999999999995,64.91
64.92999999999999,62.29,63.580000000000005
67.47,61.760000000000005,64.49000000000001
63.06,62.89,62.980000000000004
70.33,68.17,69.24
55.779999999999994,58.830000000000005,57.269999999999996
61.47,60.11,60.78
65.92,66.02,65.97
79.64,65.86999999999999,72.11
50.22,58.98,54.24
72.16,64.96,68.37
67.44,59.97,63.49
93.54,77.22,84.6
62.660000000000004,54.50000000000001,58.29
67.28,64.19,65.7
68.06,62.46000000000001,65.14
51.09,51.21,51.15
59.37,53.47,56.26
55.089999999999996,57.06,56.06
73.04,65.62,69.13
78.25,69.17,73.42999999999999
71.89999999999999,61.23,66.14
69.12,62.050000000000004,65.4
45.76,50.23,47.9
57.32000000000001,59.4,58.34
57.13,62.33,59.62
76.71,67.17999999999999,71.63000000000001
77.32,65.68,71.03
66.27,65.97,66.12
72.55,69.78,71.14
65.07,67.71000000000001,66.36
59.709999999999994,56.10000000000001,57.85
69.85,65.02,67.35
52.89,61.17,56.730000000000004
73.37,62.39,67.44
74.86,65.36999999999999,69.8
60.84,55.03,57.79
68.51,64.63,66.51
62.5,59.89,61.17
78.03999999999999,66.0,71.52
53.13,62.129999999999995,57.28
73.04,66.38,69.55
59.86,60.699999999999996,60.28
80.57,69.89,74.85000000000001
52.5,52.349999999999994,52.43
66.97,62.870000000000005,64.86
72.6,64.41,68.26
70.32000000000001,67.81,69.04
71.85000000000001,69.72,70.77
69.23,65.12,67.11
81.43,68.16,74.21
70.22,64.34,67.16
56.38999999999999,58.68,57.50999999999999
69.19,60.11,64.33
63.11,60.029999999999994,61.529999999999994
87.53999999999999,77.91,82.45
67.63,62.07,64.73
67.09,64.12,65.57
85.42999999999999,78.25999999999999,81.67999999999999
83.42,78.91,81.10000000000001
90.88000000000001,88.81,89.83
79.19,69.35,73.94
64.05999999999999,60.150000000000006,62.03999999999999
60.46,57.410000000000004,58.9
58.86,56.21000000000001,57.50999999999999
54.949999999999996,60.019999999999996,57.37
73.64,60.3,66.31
75.18,63.849999999999994,69.05
50.660000000000004,57.599999999999994,53.910000000000004
73.17,66.47,69.66
51.370000000000005,55.83,53.510000000000005
59.919999999999995,61.3,60.6
53.37,52.349999999999994,52.86
69.45,57.79,63.09
67.73,57.69,62.31
55.31,55.67999999999999,55.489999999999995
80.34,78.33,79.32000000000001
60.0,56.81,58.36
63.72,65.25999999999999,64.48
65.09,60.67,62.8
79.4,69.06,73.87
81.14,69.57,74.91
77.99000000000001,70.73,74.18
76.49000000000001,63.79,69.57
88.58,80.99,84.61999999999999
82.14,76.8,79.38
71.85000000000001,60.77,65.85
64.66,61.69,63.13999999999999
75.78,85.85000000000001,80.5
58.95,54.98,56.89999999999999
67.41,66.12,66.75999999999999
89.03,85.35000000000001,87.15
86.42999999999999,73.66,79.54
65.53,62.51,63.980000000000004
58.56,60.550000000000004,59.53000000000001
72.89999999999999,67.54,70.12
77.59,68.16,72.57000000000001
57.28,51.59,54.279999999999994
61.08,60.39,60.73
69.96,60.97,65.16
75.19,59.830000000000005,66.63
56.410000000000004,53.55,54.94
77.13,63.32,69.55
51.1,64.09,56.86
63.67,69.82000000000001,66.60000000000001
63.800000000000004,59.07,61.35
62.18,60.64000000000001,61.4
63.849999999999994,64.17,64.01
71.61999999999999,62.99,67.03
75.64,67.16,71.15
51.42,59.56,55.19
59.940000000000005,58.13,59.019999999999996
66.13,57.92,61.75000000000001
63.67,75.14999999999999,68.94
74.42999999999999,62.21,67.77
66.75999999999999,67.77,67.25999999999999
75.46000000000001,64.28,69.43
73.54,61.85000000000001,67.19000000000001
66.36999999999999,65.29,65.82000000000001
85.97,69.62,76.94
73.87,58.89,65.53999999999999
67.7,54.779999999999994,60.56
66.0,62.150000000000006,64.02
56.16,54.400000000000006,55.26
59.75,64.31,61.95
50.239999999999995,58.08,53.87
75.98,65.83,70.54
85.69,66.39,74.82
72.2,64.62,68.2
84.36,69.37,76.13
60.49,60.27,60.38
82.28999999999999,63.970000000000006,71.99
85.83,83.27,84.53
76.74,65.16,70.48
53.73,58.879999999999995,56.19
57.87,57.86,57.87
59.99,66.75,63.190000000000005
58.68,64.35,61.38
60.940000000000005,60.19,60.56
72.24000000000001,62.38,66.95
52.14,65.14,57.92
66.51,63.7,65.07
69.47,60.260000000000005,64.53999999999999
61.91,64.95,63.4
51.09,53.400000000000006,52.22
57.269999999999996,54.790000000000006,56.00000000000001
67.99,61.18,64.41
61.61,68.36,64.81
80.23,64.34,71.41999999999999
51.449999999999996,53.43,52.42
49.17,52.629999999999995,50.839999999999996
93.42,83.31,88.07000000000001
67.61,61.36000000000001,64.34
69.67,60.660000000000004,64.85
82.8,68.5,74.97
74.53,67.88,71.05
69.16,64.33,66.66
86.42,74.1,79.79
56.75,60.9,58.75
71.38,63.56,67.24
73.13,64.03999999999999,68.28
66.21000000000001,60.78,63.38
79.17999999999999,66.84,72.49
62.93,56.769999999999996,59.69
79.29,73.27,76.17
56.120000000000005,62.25000000000001,59.03
63.959999999999994,61.050000000000004,62.470000000000006
71.03,62.4,66.44
65.31,61.260000000000005,63.22
60.6,64.36,62.419999999999995
84.26,65.8,73.89
69.53,62.029999999999994,65.57
69.28,61.96,65.41
66.9,58.099999999999994,62.19
69.84,60.45,64.81
63.51,62.71,63.11
73.07000000000001,68.64,70.78999999999999
73.69,65.66,69.44
59.53000000000001,64.42999999999999,61.88
60.18,60.029999999999994,60.11
68.39,64.72,66.5
66.22,62.4,64.25
75.07000000000001,65.53999999999999,69.99
73.14,73.75,73.44000000000001
56.82000000000001,55.35,56.08
79.19,68.8,73.63
74.24,67.09,70.49
51.31,51.57000000000001,51.44
51.42,55.45,53.36
60.31999999999999,60.150000000000006,60.23
52.080000000000005,57.63,54.71
62.59,62.7,62.64999999999999
51.85999999999999,53.94,52.88
62.9,59.03,60.9
87.91,67.47999999999999,76.35
76.49000000000001,62.74999999999999,68.94
59.45,64.60000000000001,61.919999999999995
55.87,57.54,56.69
73.83999999999999,79.41,76.53
70.17999999999999,63.62,66.74
74.72999999999999,63.4,68.60000000000001
69.02000000000001,62.25000000000001,65.46
73.52,70.37,71.91
62.32,60.260000000000005,61.27
67.9,56.68,61.78
57.97,57.13,57.550000000000004
73.76,73.72999999999999,73.75
64.94,62.12,63.5
58.58,61.4,59.96
68.5,71.81,70.11
51.019999999999996,61.23,55.66
72.61,61.739999999999995,66.74
94.35,89.56,91.9
64.72,62.81,63.74999999999999
59.88,62.7,61.260000000000005
65.22,65.64,65.42999999999999
75.52,66.82000000000001,70.89999999999999
67.08,66.21000000000001,66.64
62.41,62.82,62.61
69.75,64.96,67.27
58.89,63.4,61.06
62.18,61.96,62.07
