r1_p,r1_r,r1_f,r2_p,r2_r,r2_f,rL_p,rL_r,rL_f
50.0,11.48,18.67,0.0,0.0,0.0,50.0,11.48,18.67
32.0,25.81,28.57,16.669999999999998,13.33,14.81,28.000000000000004,22.58,25.0
45.0,14.06,21.43,10.530000000000001,3.17,4.88,35.0,10.94,16.669999999999998
50.0,22.5,31.03,23.53,10.26,14.29,44.440000000000005,20.0,27.589999999999996
31.819999999999997,21.88,25.929999999999996,0.0,0.0,0.0,22.73,15.620000000000001,18.52
14.29,1.69,3.0300000000000002,0.0,0.0,0.0,14.29,1.69,3.0300000000000002
43.59,23.61,30.630000000000003,7.89,4.2299999999999995,5.5,28.21,15.28,19.82
13.239999999999998,75.0,22.5,7.46,45.45,12.82,13.239999999999998,75.0,22.5
28.57,38.46,32.79,8.82,12.0,10.17,25.71,34.62,29.509999999999998
13.56,14.29,13.91,0.0,0.0,0.0,11.86,12.5,12.17
37.5,8.57,13.950000000000001,13.33,2.9000000000000004,4.760000000000001,31.25,7.140000000000001,11.63
12.24,11.32,11.76,0.0,0.0,0.0,10.2,9.43,9.8
66.67,20.51,31.369999999999997,30.43,9.09,14.000000000000002,54.169999999999995,16.669999999999998,25.490000000000002
17.24,28.57,21.51,1.7500000000000002,2.94,2.1999999999999997,10.34,17.14,12.9
47.370000000000005,14.52,22.220000000000002,22.220000000000002,6.5600000000000005,10.13,36.84,11.29,17.28
29.409999999999997,10.2,15.15,0.0,0.0,0.0,23.53,8.16,12.120000000000001
28.95,31.430000000000003,30.14,8.110000000000001,8.82,8.450000000000001,26.32,28.57,27.400000000000002
23.68,13.239999999999998,16.98,2.7,1.49,1.92,21.05,11.76,15.09
44.74,22.37,29.82,8.110000000000001,4.0,5.36,31.580000000000002,15.790000000000001,21.05
19.15,24.32,21.43,4.35,5.56,4.88,12.770000000000001,16.220000000000002,14.29
25.0,22.64,23.76,8.51,7.6899999999999995,8.08,25.0,22.64,23.76
31.580000000000002,33.33,32.43,22.220000000000002,23.53,22.86,31.580000000000002,33.33,32.43
22.220000000000002,9.3,13.11,0.0,0.0,0.0,16.669999999999998,6.98,9.84
21.279999999999998,15.870000000000001,18.18,4.35,3.2300000000000004,3.6999999999999997,17.02,12.7,14.549999999999999
29.17,11.29,16.28,4.35,1.6400000000000001,2.3800000000000003,25.0,9.68,13.950000000000001
33.33,16.900000000000002,22.43,17.14,8.57,11.43,25.0,12.68,16.82
92.31,41.38,57.14,83.33,35.709999999999994,50.0,92.31,41.38,57.14
55.00000000000001,73.33,62.86000000000001,42.11,57.14,48.480000000000004,50.0,66.67,57.14
30.95,22.41,26.0,4.88,3.51,4.08,21.43,15.52,18.0
15.15,14.93,15.040000000000001,0.0,0.0,0.0,9.09,8.959999999999999,9.02
31.03,20.93,25.0,10.71,7.140000000000001,8.57,20.69,13.950000000000001,16.669999999999998
20.0,18.18,19.05,0.0,0.0,0.0,18.0,16.36,17.14
21.740000000000002,7.35,10.99,0.0,0.0,0.0,17.39,5.88,8.790000000000001
26.919999999999998,12.73,17.28,12.0,5.56,7.59,23.080000000000002,10.91,14.81
18.87,17.54,18.18,1.92,1.79,1.8499999999999999,11.32,10.530000000000001,10.91
12.120000000000001,5.88,7.920000000000001,0.0,0.0,0.0,9.09,4.41,5.94
8.82,11.540000000000001,10.0,0.0,0.0,0.0,5.88,7.6899999999999995,6.67
35.29,9.09,14.46,6.25,1.54,2.4699999999999998,29.409999999999997,7.580000000000001,12.049999999999999
21.43,14.29,17.14,7.32,4.84,5.83,19.05,12.7,15.24
28.57,9.3,14.04,0.0,0.0,0.0,28.57,9.3,14.04
12.280000000000001,22.58,15.909999999999998,5.36,10.0,6.98,10.530000000000001,19.35,13.639999999999999
77.78,28.000000000000004,41.18,62.5,20.830000000000002,31.25,77.78,28.000000000000004,41.18
84.21,21.62,34.410000000000004,55.559999999999995,13.700000000000001,21.98,84.21,21.62,34.410000000000004
23.810000000000002,10.2,14.29,5.0,2.08,2.94,14.29,6.12,8.57
13.639999999999999,8.959999999999999,10.81,0.0,0.0,0.0,11.360000000000001,7.46,9.01
72.72999999999999,28.57,41.03,47.620000000000005,18.18,26.32,72.72999999999999,28.57,41.03
40.910000000000004,15.25,22.220000000000002,9.520000000000001,3.45,5.06,36.36,13.56,19.75
16.13,15.15,15.620000000000001,1.6400000000000001,1.54,1.59,12.9,12.120000000000001,12.5
8.0,15.0,10.43,1.35,2.56,1.77,8.0,15.0,10.43
33.33,8.33,13.33,0.0,0.0,0.0,25.0,6.25,10.0
4.55,3.92,4.21,2.33,2.0,2.15,4.55,3.92,4.21
60.0,18.75,28.57,21.05,6.35,9.76,40.0,12.5,19.05
29.630000000000003,13.79,18.82,11.540000000000001,5.26,7.23,25.929999999999996,12.07,16.470000000000002
58.620000000000005,23.94,34.0,35.709999999999994,14.29,20.41,55.169999999999995,22.54,32.0
33.33,11.540000000000001,17.14,17.65,5.88,8.82,33.33,11.540000000000001,17.14
30.769999999999996,6.9,11.27,8.33,1.7500000000000002,2.9000000000000004,30.769999999999996,6.9,11.27
36.84,10.94,16.869999999999997,5.56,1.59,2.4699999999999998,15.790000000000001,4.6899999999999995,7.23
47.370000000000005,13.04,20.45,16.669999999999998,4.41,6.98,42.11,11.59,18.18
11.43,10.0,10.67,0.0,0.0,0.0,11.43,10.0,10.67
43.75,10.61,17.07,13.33,3.08,5.0,31.25,7.580000000000001,12.2
12.5,9.09,10.530000000000001,0.0,0.0,0.0,6.25,4.55,5.26
21.95,18.0,19.78,7.5,6.12,6.74,14.63,12.0,13.19
6.78,8.89,7.6899999999999995,0.0,0.0,0.0,5.08,6.67,5.7700000000000005
51.470000000000006,49.3,50.36000000000001,19.400000000000002,18.57,18.98,35.29,33.800000000000004,34.53
3.6999999999999997,1.82,2.44,0.0,0.0,0.0,3.6999999999999997,1.82,2.44
18.57,21.310000000000002,19.85,1.4500000000000002,1.67,1.55,12.86,14.75,13.74
17.65,11.110000000000001,13.639999999999999,0.0,0.0,0.0,11.76,7.41,9.09
43.24,23.189999999999998,30.19,8.33,4.41,5.7700000000000005,24.32,13.04,16.98
29.409999999999997,28.57,28.99,6.0600000000000005,5.88,5.970000000000001,20.59,20.0,20.29
7.41,3.1199999999999997,4.3999999999999995,0.0,0.0,0.0,7.41,3.1199999999999997,4.3999999999999995
41.67,16.13,23.26,27.27,10.0,14.63,41.67,16.13,23.26
25.929999999999996,11.29,15.73,7.6899999999999995,3.2800000000000002,4.6,22.220000000000002,9.68,13.48
25.81,17.39,20.78,3.3300000000000005,2.22,2.67,22.58,15.22,18.18
33.33,45.0,38.3,15.379999999999999,21.05,17.78,33.33,45.0,38.3
25.0,46.150000000000006,32.43,8.7,16.669999999999998,11.43,25.0,46.150000000000006,32.43
64.29,25.0,36.0,46.150000000000006,17.14,25.0,64.29,25.0,36.0
33.33,10.34,15.790000000000001,0.0,0.0,0.0,33.33,10.34,15.790000000000001
46.43,33.33,38.81,25.929999999999996,18.42,21.54,35.709999999999994,25.64,29.849999999999998
22.220000000000002,16.0,18.6,11.76,8.33,9.76,22.220000000000002,16.0,18.6
26.529999999999998,23.21,24.759999999999998,2.08,1.82,1.94,20.41,17.86,19.05
12.5,14.71,13.51,5.13,6.0600000000000005,5.56,10.0,11.76,10.81
12.82,12.82,12.82,2.63,2.63,2.63,10.26,10.26,10.26
10.0,3.85,5.56,0.0,0.0,0.0,10.0,3.85,5.56
18.18,6.67,9.76,4.760000000000001,1.69,2.5,13.639999999999999,5.0,7.32
10.34,5.08,6.819999999999999,0.0,0.0,0.0,10.34,5.08,6.819999999999999
23.080000000000002,4.29,7.23,0.0,0.0,0.0,23.080000000000002,4.29,7.23
93.75,24.59,38.96,40.0,10.0,16.0,68.75,18.029999999999998,28.57
78.95,25.0,37.97,55.559999999999995,16.950000000000003,25.97,78.95,25.0,37.97
18.18,17.14,17.65,3.1199999999999997,2.94,3.0300000000000002,18.18,17.14,17.65
21.05,13.33,16.33,2.7,1.69,2.08,13.16,8.33,10.2
16.0,6.35,9.09,4.17,1.6099999999999999,2.33,12.0,4.760000000000001,6.819999999999999
15.22,12.73,13.86,4.44,3.6999999999999997,4.04,13.04,10.91,11.88
25.0,19.67,22.02,2.13,1.67,1.87,16.669999999999998,13.11,14.680000000000001
36.84,9.86,15.559999999999999,5.56,1.43,2.27,26.32,7.04,11.110000000000001
56.52,18.84,28.26,36.36,11.76,17.78,52.17,17.39,26.090000000000003
63.63999999999999,12.959999999999999,21.54,30.0,5.66,9.520000000000001,45.45,9.26,15.379999999999999
13.889999999999999,8.06,10.2,5.71,3.2800000000000002,4.17,13.889999999999999,8.06,10.2
52.17,20.34,29.270000000000003,13.639999999999999,5.17,7.5,47.83,18.64,26.83
54.55,19.67,28.92,33.33,11.67,17.28,50.0,18.029999999999998,26.51
7.89,5.45,6.45,0.0,0.0,0.0,7.89,5.45,6.45
16.669999999999998,12.7,14.41,0.0,0.0,0.0,16.669999999999998,12.7,14.41
62.5,15.870000000000001,25.319999999999997,20.0,4.84,7.79,37.5,9.520000000000001,15.190000000000001
16.900000000000002,17.65,17.27,4.29,4.4799999999999995,4.38,15.49,16.18,15.83
52.0,41.94,46.43,25.0,20.0,22.220000000000002,52.0,41.94,46.43
37.04,15.379999999999999,21.740000000000002,11.540000000000001,4.6899999999999995,6.67,25.929999999999996,10.77,15.22
7.6899999999999995,11.76,9.3,0.0,0.0,0.0,7.6899999999999995,11.76,9.3
