reference,system
"unter ionenwind versteht man einen gerichteten fluss von ionen, also eine art der ionenstrahlung. erzeugt wird er durch eine gasentladung, die von einer an positiver hochspannung liegenden elektrode ( meist spitz geformt, was eine sehr starke inhomogenität des elektrischen feldes mit sich bringt ) ausgeht. die ionisation erfolgt durch entzug von elektronen. die so erzeugten positiv geladenen ionen werden dann von dieser","als ionenwind bezeichnet man in der elektrischen energieerzeugung elektrische energie, die durch ionen entsteht."
"horror vacui ( lat. scheu vor der leere ) bezeichnet in der kunst den wunsch, alle leeren flächen, besonders in der malerei und im relief, mit darstellungen oder ornamenten zu füllen.","horror vacui ist ein begriff aus der kunst, der in der antike, insbesondere in der antike verwendet wird. der begriff wurde von ernst gombrich entwickelt."
"bei der kryptosporidiose handelt es sich um eine durchfallerkrankung durch die zu den apicomplexa gehörenden kryptosporidien. bei menschen mit zellulärer immunschwäche ( z. b. aids ) tritt diese sonst seltene erkrankung gehäuft auf. die übertragung erfolgt als orale infektion durch die aufnahme infizierter speisen oder infizierten trinkwassers. eine infektion über infizierte haus- und nutztiere, sowie von mensch zu mensch ist möglich.","cryptosporidium ist ein parasit aus der familie der protozoen. es handelt sich um eine infektionskrankheit, die durch infektionskrankheiten verursacht wird."
"wonder woman ist einer der ältesten superhelden ( und die erste superheldin ) des dc-comics-verlags. sie wurde von william moulton marston und seiner frau, elizabeth holloway marston ( sadie ), geschaffen und hatte ihren ersten auftritt 1941 in all star comics # 8.","wonder woman ( originaltitel : the just war ) ist eine us-amerikanische comicfigur, die von william moulton marston entwickelt wurde."
"dieser artikel beschreibt die grammatik der georgischen sprache ( eigenbezeichnung : [ kartuli ena ] ქართული ენა ). die grammatik des georgischen und der anderen sogenannten kaukasischen sprachen ist so umfangreich, dass hier keineswegs alle einzelheiten aufgeführt sind.","die georgianische grammatik ist eine grammatik, die sich mit der grammatik von georgien beschäftigt. sie gehört zu den grammatikalischen sprachen."
"ein zwiebelturm ist ein turm mit einer zwiebelhaube oder einem zwiebelhelm, z. b. ein kirchturm, dessen spitze in form einer zwiebel gearbeitet ist. der untere teil der spitze ist bauchig und läuft nach oben spitz zusammen, vergleichbar mit den kirchtürmen der moskauer basilius-kathedrale. neben runden bauformen werden auch türme mit eckigen turmhauben als zwiebelturm bezeichnet.","ein ohrendom ( russisch оонный оонный, russisch оонный оонный, russisch оонный оонный, russisch оонный оонный, russisch оонный оонный, оонный оонный, оонный оонный, оонный оонный, оонный оонный, оонный оонный, оонный оонный, оонный оонный, оонный оонный, оонный оонный"
"als partikelschwarmoptimierung ( pso ) wird ein naturanaloges optimierungsverfahren bezeichnet, das nach dem vorbild des biologischen schwarmverhaltens eine lösung für ein optimierungsproblem sucht. analog zum natürlichen phänomen wird eine population von lösungskandidaten durch den suchraum bewegt, um eine gute lösung für das problem zu erhalten. in jedem rechenschritt wird dazu die position jedes individuums neu berechnet. die pso ist eine metaheuristik, sie wurde 1995 von james kenne","das particle swarm optimization ( pso ) ist ein algorithmus, das in der optimierung verwendet wird. es handelt sich dabei um ein algorithmus, das einen algorithmus beschreibt, mit dem die lösung einer lösung einer lösung zu lösen."
"james rumbaugh ( * 22. august 1947 in bethlehem, pennsylvania ) ist ein amerikanischer informatiker.","james william rumbaugh ( * 28. märz 1942 in bethlehem, pennsylvania ) ist ein us-amerikanischer informatiker. rumbaugh studierte physik an der massachusetts institute of technology ( mit ) mit dem bachelor-abschluss 1960 und wurde 1968 bei jack dennis promoviert ( object-oriented modeling and design ). danach war er am general electric research and development center developing technology ( dec ). danach war er am general electric research and development center developing technology ( dec )"
das archaeological institute of america ( aia ) ist eine us-amerikanische non-profit-organisation zur förderung der archäologie mit sitz in boston und new york.,das institute of archaeology ( aia ) ist ein forschungsinstitut für archäologie und archäologie. es gehört zu den ältesten forschungsinstituten der vereinigten staaten. es gehört zu den ältesten forschungsinstituten der vereinigten staaten.
"hirnventrikel sind mit hirnwasser ( liquor cerebrospinalis ) gefüllte hohlräume im gehirn. sie bilden, zusammen mit dem rückenmarkskanal ( canalis centralis medullaris ), den inneren liquorraum. das gehirn weist je einen seitenventrikel in jeder großhirnhemisphäre auf, einen dritten ventrikel im zwischenhirn und den vierten ventrikel im rhombencephalon. diese vier hirnventrikel stehen durch löcher ( foramina","das ventrikel ( lateinisch ventriculus, lateinisch ventriculus ) ist ein nervensystem in der hirnrinde. es besteht aus einem zentralkanal, dem zentralkanal und dem zentralkanal. das ventrikel bildet den zentralen teil des nervensystems. das ventrikel befindet sich zwischen dem zentralkanal und dem zentralkanal. das ventrikel befindet sich zwischen dem zentralkanal und dem zentralkanal. das ventrikel befindet sich im vorderen teil des zentralkanals."
"basic english oder einfaches englisch ist eine von charles kay ogden geschaffene vereinfachte form der englischen sprache mit stark verkleinertem vokabular. die englischvariante wird manchmal auch als plansprache bezeichnet, da diese form des englischen einst als welthilfssprache dienen sollte. es ist nicht mit dem formal ähnlichen, jedoch für ein sehr spezielles anwendungsgebiet geschaffenen simplified english zu verwechseln. basic ist die abkürzung für british american scientific international commercial (","basic english ist eine sprachfamilie, die in den 1930er jahren von h. g. wells entwickelt wurde."
"randori ( japanisch 乱取り, wörtlich : das chaos nehmen ) ist eine übungsform des kampfes im budō, den japanischen kampfkünsten. sinngemäß steht dabei der übungskampf randori dem shiai − dem eigentlichen wettkampf − gegenüber. beim randori geht es nicht um gewinnen oder verlieren, sondern darum die zuvor erlernten techniken im fluss des kampfes anwenden zu lernen.","randori ( jap. 道場, randori ) ist ein kampfsport, bei dem zwei gegner einen kampf gegen einen gegner, einen gegner, einen gegner, einen gegner, einen gegner, einen gegner, einen gegner, einen gegner, einen gegner, einen gegner oder einen gegner, einen gegner, einen gegner, einen gegner oder einen gegner, einen gegner oder einen"
"die manhattan bridge ist eine hängebrücke in new york city, die den east river überquert und die beiden stadtteile lower manhattan ( chinatown ) und brooklyn miteinander verbindet. die am 31. dezember 1909 eröffnete, aber erst einige monate später fertiggestellte brücke war nach der brooklyn bridge und der williamsburg bridge die letzte der drei über den east river gebauten hängebrücken. auf ihren zwei ebenen hat sie heute insgesamt vier gleise der new york",die manhattan bridge ist eine eisenbahnbrücke zwischen new york city und new york city. sie ist die älteste eisenbahnbrücke der vereinigten staaten.
"über sinn und bedeutung ist ein 1892 erschienener aufsatz von gottlob frege. frege erläutert darin die grundbegriffe seiner sprachphilosophie. die abhandlung wurde auch in der linguistik, speziell in der semantik, rezipiert ( vgl. lyons 1980 ).","die allgemeine bedeutungstheorie ( auch begriffsschrift ) ist ein begriff aus dem bereich der sprachwissenschaft. sie beschreibt, wie die bedeutung eines wortes oder eines wortes entsteht. die bedeutungstheorie wurde 1879 von dem deutschen philosophen alexander von aphrodisia entwickelt. die bedeutungstheorie wurde 1879 von john stuart mill entwickelt. die bedeutungstheorie wurde 1879 von john stuart mill und john stuart mill entwickelt."
"leon schidlowsky ( * 21. juli 1931 in santiago de chile ) ist ein chilenisch-israelischer komponist und maler. er schreibt werke für orchester, kammerensemble, chor und für einzelne instrumente. außerdem komponierte er ca. 65 musikalische werke mit graphischer notation. seine musikalischen werke wurden in verschiedenen ländern aufgeführt. durch verschiedene musikalische gruppierungen, solisten und orchester sowie dirigenten wurden seine werke",leon schidlowsky ( * 28. dezember 1929 in santiago de chile ; † 21. august 2014 in tel aviv ) war ein chilenischer musiktheoretiker.
"die begriffe mikrobiom und mikrobiota ( griechisch μικρός mikrós ‚klein ‘, griechisch βίος bios ‚leben ‘ ) bezeichnen im weitesten sinn die gesamtheit aller mikroorganismen der erde ( biom ), welche die erdkruste, die gewässer und die erdatmosphäre besiedeln. im engeren sinn ist die gesamtheit aller den menschen oder andere lebewesen besiedelnden mikroorganismen gemeint.","die mikrobiologie ist ein teilgebiet der biologie, das sich mit der entwicklung und entwicklung von mikroorganismen befasst."
"die aleph-funktion, benannt nach dem ersten buchstaben des hebräischen alphabets und auch als א { \displaystyle \aleph } geschrieben, ist eine in der mengenlehre, genauer in der theorie der kardinalzahlen, verwendete aufzählung aller unendlichen kardinalzahlen.","die aleph-funktion, auch aleph-funktion oder aleph-funktion genannt, ist ein mathematisches satz aus der zahlentheorie, das in der mathematik verwendet wird. es handelt sich dabei um eine funktion, die die menge aller endlichen ordinalen zahlen beschreibt."
"der rote kamm ist ein einschlagkrater mittlerer größe in der namib im süden namibias innerhalb des tsau-ǁkhaeb- ( sperrgebiet ) -nationalparks ( ehemals diamantensperrgebiet ), in der region ǁkaras. der krater hat einen durchmesser von etwa 2,5 kilometer und ist etwa 130 meter tief, wobei er mit einer etwa 100 meter dicken sandschicht bedeckt ist. das alter des kraters wird auf etwa 3,7 ( ± 0,3 ) millionen jahre","der roter-kamm-krater, auch roter-kamm-krater genannt, ist ein eozänischer krater im nordwesten des us-bundesstaates washington. er liegt im zentrum des us-bundesstaates washington, d.c. im zentrum des us-bundesstaates washington, d.c.."
